,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.3051460737733696,7.537511508370974e-21,0.09311412633930273,-0.32524509761115866,1.2780710535082807e-23,0.10578437352009212,0.32524509761115866,6.633010127366457e-19,5.623512635436435e-22,True,True
78,slopeUV0500_sma3nz_amean,-0.2997496396549639,3.849659802688464e-20,0.08984984647328069,-0.34246120845736655,3.6441251436669944e-26,0.11727967929807986,0.34246120845736655,1.6938503131829242e-18,3.206830126426955e-24,True,True
72,mfcc3V_sma3nz_amean,0.2424710447929896,1.651610937822458e-13,0.05879220756300396,0.1559956790469197,2.573968143612723e-06,0.02433465188130958,0.1559956790469197,4.844725417612544e-12,1.4156824789869975e-05,True,True
21,spectralFlux_sma3_stddevNorm,-0.2207607482856313,2.136096173467921e-11,0.04873530798363186,-0.22041039136069449,2.3012509994743915e-11,0.04858074061977451,0.22041039136069449,4.699411581629426e-10,5.062752198843661e-10,True,True
63,slopeV0500_sma3nz_stddevNorm,0.21814089623485727,3.716670473273648e-11,0.04758545061014677,0.017264162738945356,0.6049860986202221,0.0002980513150767892,0.017264162738945356,6.54134003296162e-10,0.7194429280889127,True,False
11,loudness_sma3_stddevNorm,-0.1855506922552634,2.0521246932423323e-08,0.03442905939640747,-0.1564334698753607,2.4106788428896274e-06,0.024471430497245383,0.1564334698753607,3.0097828834220874e-07,1.4142649211619149e-05,True,True
26,mfcc3_sma3_amean,0.17156705039026923,2.2391642893209848e-07,0.029435252779617182,0.06535199364642622,0.05000391019404607,0.004270883073562532,0.06535199364642622,2.814949392289238e-06,0.0830253603221897,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.16044436278599228,1.3114097977928994e-06,0.025742393549803105,0.10311513449956713,0.0019521652679158842,0.01063273096286382,0.10311513449956713,1.4425507775721892e-05,0.005205774047775691,True,True
30,jitterLocal_sma3nz_amean,0.14261343209402208,1.7514622127901264e-05,0.020338591013636248,0.11507625247235911,0.0005422116321954366,0.013242543883082138,0.11507625247235911,0.0001712540830283679,0.0017642627774240316,True,True
54,F3bandwidth_sma3nz_amean,-0.14010687021728124,2.462745545593783e-05,0.01962993508208209,-0.24523399038461102,8.585837856959305e-14,0.06013971003995949,0.24523399038461102,0.00020732098187086628,2.5185124380413963e-12,True,True
