,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.3130641283436593,5.290962644703643e-27,0.09800914845557519,0.22580233157616433,1.7964383736680492e-14,0.05098669294523206,0.22580233157616433,4.656047127339205e-25,3.9521644220697083e-13,True,True
78,slopeUV0500_sma3nz_amean,-0.30802371028951553,3.761374950608566e-26,0.09487860610051939,-0.3424238394898118,2.6667652512970504e-32,0.1172540858509444,0.3424238394898118,1.655004978267769e-24,2.3467534211414043e-30,True,True
63,slopeV0500_sma3nz_stddevNorm,0.27892865849921317,1.498601965233234e-21,0.07780119653217069,0.01890246219330128,0.5264988227212314,0.00035730307696918423,0.01890246219330128,4.3958990980174866e-20,0.671476759412585,True,False
26,mfcc3_sma3_amean,0.24459170447194473,8.689626982193986e-17,0.059825101896491144,0.1375069265842896,3.674351771323303e-06,0.018908154858657208,0.1375069265842896,1.9117179360826767e-15,2.1556197058430048e-05,True,True
30,jitterLocal_sma3nz_amean,0.23009711373126468,5.5315785968678665e-15,0.052944681747458554,0.18333136754822665,5.833624806547222e-10,0.033610390327102974,0.18333136754822665,9.735578330487445e-14,7.333699756802221e-09,True,True
62,slopeV0500_sma3nz_amean,-0.2277597745933291,1.0532810593787183e-14,0.05187451492280408,-0.24509760723016566,7.479358242689165e-17,0.060072837069952555,0.24509760723016566,1.5448122204221202e-13,3.2909176267832326e-15,True,True
21,spectralFlux_sma3_stddevNorm,-0.21329715997665352,4.84401825277557e-13,0.045495678454106125,-0.23169181042476641,3.550180441155827e-15,0.0536810950179059,0.23169181042476641,6.089622946346432e-12,1.0413862627390428e-13,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.21016600965712923,1.0712899036928337e-12,0.044169751615200536,0.1774928301706254,2.043285330377591e-09,0.03150370476197847,0.1774928301706254,1.178418894062117e-11,1.7980910907322802e-08,True,True
12,loudness_sma3_percentile200,0.2034616150191303,5.62239761984118e-12,0.04139662878619278,0.19143206910530478,9.566415987477238e-11,0.036646237081938184,0.19143206910530478,5.4974554505113754e-11,1.683689213795994e-09,True,True
11,loudness_sma3_stddevNorm,-0.19243596921155334,7.603409229121333e-11,0.037031602246389905,-0.17849437256166656,1.6527932101403133e-09,0.031860241036183026,0.17849437256166656,6.691000121626774e-10,1.616064472137195e-08,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.1782023985573613,1.7584310461183772e-09,0.031756094851596646,0.09944924299912647,0.0008371680643627042,0.009890151933099304,0.09944924299912647,1.4067448368947018e-08,0.002833491910150691,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.17431630369401682,3.971850568631175e-09,0.030386173733544703,0.09004952587149576,0.002501674203331562,0.008108917109681183,0.09004952587149576,2.912690416996195e-08,0.006685979611768283,True,True
85,MeanUnvoicedSegmentLength,-0.170502953498107,8.680983203681441e-09,0.029071257151577642,-0.15178860956974155,3.1349060685998235e-07,0.023039781995115437,0.15178860956974155,5.876357860953591e-08,2.122090261821419e-06,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.16465969718910498,2.7813648742833357e-08,0.027112815878407744,0.09002956532336709,0.002507242354413106,0.008105322632314421,0.09002956532336709,1.7482864924066682e-07,0.006685979611768283,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.16423786334990528,3.020517452075154e-08,0.02697407575774216,-0.11587219769072835,9.808593968156465e-05,0.013426366197679231,0.11587219769072835,1.772036905217424e-07,0.0004110267948560804,True,True
83,MeanVoicedSegmentLengthSec,0.16296404832291939,3.8699115215800227e-08,0.026557281045794804,0.04649235890539656,0.11911231420215504,0.002161539436588207,0.04649235890539656,2.1284513368690124e-07,0.1972400388976525,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.154638471935249,1.8646399157095255e-07,0.02391305700246879,-0.06213386960474758,0.037184724217630055,0.0038606177520597753,0.06213386960474758,9.652253681319898e-07,0.07271679402558766,True,False
58,alphaRatioV_sma3nz_amean,-0.15409242507264956,2.0613247603907264e-07,0.02374447546477012,-0.07703269298443156,0.009745692925182268,0.005934035788433692,0.07703269298443156,1.0077587717465773e-06,0.02382280492822332,True,True
79,slopeUV5001500_sma3nz_amean,-0.15276735497506724,2.6254301409088806e-07,0.023337864746078203,-0.09880560855043569,0.0009050890162638798,0.009762548281021929,0.09880560855043569,1.1933722553328614e-06,0.0029499197567119046,True,True
70,mfcc2V_sma3nz_amean,0.15258835824904002,2.712209671211049e-07,0.02328320707313738,0.046252151886018895,0.12103366023265039,0.0021392615540873614,0.046252151886018895,1.1933722553328614e-06,0.1972400388976525,True,False
13,loudness_sma3_percentile500,0.14902774119785203,5.139006640343745e-07,0.022209267646533963,0.14419630771260272,1.1946904547348647e-06,0.02079257515794761,0.14419630771260272,2.0951884752551133e-06,7.5094828583334355e-06,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.14892019011270718,5.237971188137783e-07,0.02217722302320485,-0.01636449969371173,0.583480064792991,0.00026779685022549135,0.01636449969371173,2.0951884752551133e-06,0.7098489106223319,True,False
17,loudness_sma3_stddevRisingSlope,0.14725944364068272,7.020005521279274e-07,0.02168534374136341,0.18368730196515995,5.397213242226785e-10,0.03374102490323985,0.18368730196515995,2.6859151559677224e-06,7.333699756802221e-09,True,True
80,spectralFluxUV_sma3nz_amean,0.14209441843885318,1.709939213223536e-06,0.0201908237514759,0.09574636520996746,0.0013033104088760173,0.009167366450920467,0.09574636520996746,6.2697771151529654e-06,0.004096118427896055,True,True
10,loudness_sma3_amean,0.13867660760989908,3.030240561697195e-06,0.01923120149818992,0.1366203215996697,4.247888110866001e-06,0.018665112273997173,0.1366203215996697,1.0666446777174124e-05,2.3363384609763007e-05,True,True
19,loudness_sma3_stddevFallingSlope,0.13521547575520532,5.335625039089869e-06,0.01828322488370652,0.18162994107212885,8.441800136942573e-10,0.032989435493864995,0.18162994107212885,1.805903859384263e-05,9.28598015063683e-09,True,True
27,mfcc3_sma3_stddevNorm,-0.13323670558176712,7.327995261529338e-06,0.01775201971428249,-0.0357789764303862,0.23048393416074828,0.0012801351544061315,0.0357789764303862,2.388383640794747e-05,0.33804310343576416,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.13270806387470008,7.97023009208974e-06,0.017611430217371476,-0.09118196788736985,0.0022036688842960827,0.008314151267813347,0.09118196788736985,2.4311584286135288e-05,0.006313252469413682,True,True
24,mfcc2_sma3_amean,0.13267528561541914,8.011772094294583e-06,0.017602731413133045,0.050580294624289056,0.08994003101979961,0.0025583662042798845,0.050580294624289056,2.4311584286135288e-05,0.1582944545948473,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.13219129402311455,8.649748238467077e-06,0.01747453821550552,0.0030360663135440974,0.9189790943099303,9.217698660237245e-06,0.0030360663135440974,2.537259483283676e-05,0.9647878080225837,True,False
87,equivalentSoundLevel_dBp,0.12989417867280983,1.2398054769291465e-05,0.016872497653083844,0.1098658609772545,0.00022241160834986194,0.012070507408273413,0.1098658609772545,3.5194478054762865e-05,0.0008155092306161605,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.1269385333143246,1.9529829795362724e-05,0.016113391239991892,-0.009902984348841928,0.7400440018440457,9.806909901340818e-05,0.009902984348841928,5.370703193724749e-05,0.8179353476407913,True,False
20,spectralFlux_sma3_amean,0.12301138685830193,3.517814817404603e-05,0.015131801296802817,0.072448962574211,0.01507779145871748,0.005248852178079427,0.072448962574211,9.380839513078942e-05,0.034021683291465085,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.1221808726576552,3.975164675869961e-05,0.014928165643386157,-0.02607386873958868,0.38227050007079116,0.0006798466310492997,0.02607386873958868,0.00010288661514016369,0.5256219375973379,True,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.12018110503574325,5.318499598567454e-05,0.014443498007612353,-0.03630649169241305,0.2236787343814939,0.0013181613390112576,0.03630649169241305,0.00013372227562112457,0.33362251907748247,True,False
14,loudness_sma3_percentile800,0.11976447811736705,5.647872164715714e-05,0.014343530218725292,0.11861098286521161,6.663377006741337e-05,0.014068565256251523,0.11861098286521161,0.00013805909735971746,0.00029318858829661883,True,True
16,loudness_sma3_meanRisingSlope,0.11572893854161935,0.00010006675265579477,0.01339318721596991,0.15360973541147468,2.2517403900275512e-07,0.02359595081318326,0.15360973541147468,0.00023799660091107944,1.6512762860202044e-06,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.11415756194913215,0.00012441727807028388,0.013031948950169944,-0.02318049798565648,0.43731361216980436,0.0005373354868630242,0.02318049798565648,0.00028812422289960476,0.5920553518606582,True,False
35,HNRdBACF_sma3nz_stddevNorm,0.10133991534340414,0.0006639895400609257,0.010269778441808318,-0.03019267713028755,0.3116346207794878,0.0009115977522937888,0.03019267713028755,0.0014982328083426016,0.44957125620647415,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.09876350110086078,0.0009097055879529336,0.009754229149699728,0.06913747456749574,0.02038750508429949,0.00477999038957112,0.06913747456749574,0.001957483294056295,0.04485251118545888,True,True
18,loudness_sma3_meanFallingSlope,0.09874256335321707,0.0009120092620035009,0.009750093817564087,0.16433487103598524,2.963816361843827e-08,0.0270059498384139,0.16433487103598524,0.001957483294056295,2.3710530894750615e-07,True,True
66,spectralFluxV_sma3nz_amean,0.09175954370062955,0.002064531496368268,0.008419813860147745,0.06739185383376749,0.023793410015220864,0.004541661963151882,0.06739185383376749,0.004325685040009705,0.04985285907951038,True,True
82,VoicedSegmentsPerSec,0.08991246668845854,0.0025401366041409227,0.008084251666003166,0.12377909591474585,3.139823236079182e-05,0.015321264585471854,0.12377909591474585,0.00519841909684654,0.0001535024693194267,True,True
15,loudness_sma3_pctlrange02,0.08504232531336171,0.004311717688876413,0.007232197094703643,0.0854282570402221,0.0041384826637729626,0.007297987100930256,0.0854282570402221,0.008623435377752826,0.010711366894471197,True,True
84,StddevVoicedSegmentLengthSec,0.08364270498887304,0.004996439410093375,0.006996102097855647,0.020477833755751074,0.4926148554001543,0.00041934167532817814,0.020477833755751074,0.009673139745991703,0.647016526495725,True,False
25,mfcc2_sma3_stddevNorm,-0.08352852702201609,0.005056413958132027,0.006977014826467672,0.017839177544184983,0.5500223734338558,0.0003182362554529538,0.017839177544184983,0.009673139745991703,0.6914566980311331,True,False
32,shimmerLocaldB_sma3nz_amean,0.08317341860057927,0.005247119483947219,0.006917817561707185,0.1299690608543068,1.2254564158389843e-05,0.0168919567793505,0.1299690608543068,0.009824393927390538,6.343539093754742e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.07997445967963707,0.00728031497995925,0.0063959142010498946,-0.04721777509812842,0.11345460610046094,0.0022295182852174363,0.04721777509812842,0.013204821534732611,0.1920001026315493,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.0798761708403269,0.007352684718203385,0.00638020266811309,0.010427569985199095,0.7268100387654856,0.00010873421579622507,0.010427569985199095,0.013204821534732611,0.8179353476407913,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.07423370719813517,0.01275479887262342,0.005510643284378465,0.0263455503903571,0.3773294728157918,0.0006940880253708451,0.0263455503903571,0.022448446015817216,0.5256219375973379,True,False
64,slopeV5001500_sma3nz_amean,-0.06774210526168999,0.023072991042950457,0.004588992825285886,-0.008041400891115795,0.7876054948865723,6.46641282916379e-05,0.008041400891115795,0.03981221983881647,0.8452351652441263,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.06103589550781382,0.0406739083159047,0.003725380540440767,-0.09110043637611479,0.002223986665361638,0.008299289507918538,0.09110043637611479,0.06733474549428582,0.006313252469413682,False,True
40,F1frequency_sma3nz_amean,-0.060999070734511766,0.04079557995264618,0.00372088663047397,0.00015095809939637684,0.9959645884924876,2.2788347773366393e-08,0.00015095809939637684,0.06733474549428582,0.9990379970422928,False,False
36,logRelF0H1H2_sma3nz_amean,0.060841691749524515,0.041319048371493576,0.0037017114549441595,0.05308066592483888,0.07513241583299554,0.0028175570950243513,0.05308066592483888,0.06733474549428582,0.13774276236049185,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.059940868012156874,0.04442586157369319,0.003592907658050811,0.06506669107133924,0.029088148518837592,0.004233674286973097,0.06506669107133924,0.0710813785179091,0.058843305056938744,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.05918949333400852,0.04716569561259745,0.0035033961211366387,-0.002139301651783709,0.9428608123857068,4.576611557324507e-06,0.002139301651783709,0.07411752167693886,0.9647878080225837,False,False
74,mfcc4V_sma3nz_amean,0.05385573957927785,0.07096852112309526,0.0029004406856309945,0.1103054473412369,0.00020976100484769832,0.012167291713150386,0.1103054473412369,0.10920829470923134,0.0008025638446346718,False,True
42,F1bandwidth_sma3nz_amean,-0.053664450488799594,0.0719781942401752,0.002879873246264823,0.08033993247167272,0.007016785305101156,0.0064545047495529325,0.08033993247167272,0.10920829470923134,0.017642203052825767,False,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.05192210231029585,0.0817259221909845,0.0026959047083208298,0.02050934732849082,0.49194916046291454,0.00042063332784067345,0.02050934732849082,0.12164357537782891,0.647016526495725,False,False
29,mfcc4_sma3_stddevNorm,-0.05171730766327075,0.08293880139397425,0.0026746799119374033,-0.0027437413052814573,0.9267570336669128,7.528116350307595e-06,0.0027437413052814573,0.12164357537782891,0.9647878080225837,False,False
52,F3frequency_sma3nz_amean,-0.049916167105467514,0.09424441810707494,0.002491623738500957,0.07367619375399218,0.013443943578341713,0.005428181526075796,0.07367619375399218,0.13595916054791138,0.031248130799658422,False,True
33,shimmerLocaldB_sma3nz_stddevNorm,-0.04964171167950774,0.09607072308424505,0.0024642995384713752,-0.014273930637940727,0.6324692033621163,0.00020374509585674298,0.014273930637940727,0.1363584456679607,0.7323327617877137,False,False
54,F3bandwidth_sma3nz_amean,-0.049291813165433726,0.0984399440703241,0.0024296828451360257,0.015616017165711371,0.6008164546498229,0.00024385999211979222,0.015616017165711371,0.13750341393950033,0.7098489106223319,False,False
38,logRelF0H1A3_sma3nz_amean,-0.048456471566893984,0.10428471898396262,0.0023480296367132053,-0.06092960346326391,0.04102594346547921,0.003712416578190582,0.06092960346326391,0.14229529863210091,0.07848441358613414,False,False
48,F2bandwidth_sma3nz_amean,0.04831185858832504,0.10532395798919884,0.002334035680258316,0.06826070955611122,0.02204105786213562,0.004659524469103773,0.06826070955611122,0.14229529863210091,0.047307636387022796,False,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.04811916245727337,0.10672147397407568,0.002315453795589467,0.038832448905635385,0.19307952945557771,0.001507959088008783,0.038832448905635385,0.14229529863210091,0.2961190362977646,False,False
