,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.36008830905374556,4.300784041846403e-12,0.12966359031718577,0.21921674155395254,3.707269408891787e-05,0.048055979777532426,0.21921674155395254,3.7846899568248347e-10,0.00020389981748904828,True,True
26,mfcc3_sma3_amean,0.3200863005675499,9.890270431495976e-10,0.10245523981101988,0.17612631487045743,0.0009682168216639756,0.031020478789847514,0.17612631487045743,4.3517189898582296e-08,0.0030429671538010662,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.24382899381325915,4.1876365994597735e-06,0.05945257822398637,-0.3061903154114476,5.47608071255198e-09,0.09375250925176176,0.3061903154114476,0.00011613849246137877,1.6063170090152475e-07,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2394729715809911,6.268271918227084e-06,0.05734730411783017,-0.2118478791676574,6.803590199679748e-05,0.044879523907834375,0.2118478791676574,0.00011613849246137877,0.0003326199653176765,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.23891212591898645,6.5987779807601574e-06,0.05707900391112963,-0.23151265459848624,1.2847457981096783e-05,0.053598109239237995,0.23151265459848624,0.00011613849246137877,8.075545016689407e-05,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.2290525607571328,1.59567499787308e-05,0.05246507558940001,0.19191541348261218,0.00031726194983579996,0.036831525932202,0.19191541348261218,0.00021831580324181018,0.0011789816370558648,True,True
76,alphaRatioUV_sma3nz_amean,0.22808453969342446,1.736602980332581e-05,0.052022557247161316,0.315733476610454,1.7067564213323191e-09,0.09968762825252409,0.315733476610454,0.00021831580324181018,1.5019456507724407e-07,True,True
36,logRelF0H1H2_sma3nz_amean,-0.22074769169430034,3.2593979676267794e-05,0.04872954338836187,-0.20307806726369845,0.0001364234493657152,0.04124070140355923,0.20307806726369845,0.0003320931259925269,0.000619387385670631,True,True
54,F3bandwidth_sma3nz_amean,-0.22025925534286245,3.396406970378116e-05,0.04851413956419228,-0.2502808680487648,2.2720780140196506e-06,0.06264051291124323,0.2502808680487648,0.0003320931259925269,2.2215873914858804e-05,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.21877348594227639,3.8474289018818824e-05,0.047861838151335406,0.16117158859415856,0.0025652395317383985,0.025976280969964703,0.16117158859415856,0.00033857374336560567,0.0070544087122805955,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.21756835703595087,4.254245557768143e-05,0.047335989983322994,-0.20267394569062017,0.00014076986037968886,0.04107672826180445,0.20267394569062017,0.00034033964462145143,0.000619387385670631,True,True
83,MeanVoicedSegmentLengthSec,0.20709546045776872,9.954939401006205e-05,0.04288852974221525,0.13489185443568066,0.011774096951053387,0.018195812393096863,0.13489185443568066,0.0007300288894071217,0.021989423845481394,True,True
27,mfcc3_sma3_stddevNorm,-0.20437854402338418,0.00012327556951904475,0.041770589257118386,-0.0031212011575253635,0.9537359595868841,9.741896665737669e-06,0.0031212011575253635,0.0008344807782827644,0.9646984418809862,True,False
13,loudness_sma3_percentile500,0.20220452340031747,0.00014598154023526524,0.04088666928354954,0.28749959177539974,4.7712312851647746e-08,0.0826560152710215,0.28749959177539974,0.0009175982529073815,1.0496708827362503e-06,True,True
12,loudness_sma3_percentile200,0.2007371828222604,0.00016346283165800653,0.0402954165674176,0.307011119041003,4.961701487807979e-09,0.09425582721480891,0.307011119041003,0.0009286685466872354,1.6063170090152475e-07,True,True
10,loudness_sma3_amean,0.19926868137349285,0.00018290679426725823,0.039708007376330616,0.2674710569158111,4.1007921769403476e-07,0.07154076628766105,0.2674710569158111,0.0009286685466872354,5.155281593867866e-06,True,True
14,loudness_sma3_percentile800,0.19873090801685922,0.00019055371820235725,0.03949397380120536,0.2717463639566442,2.628226264969647e-07,0.07384608632365694,0.2717463639566442,0.0009286685466872354,4.625678226346579e-06,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.1984360468563952,0.00019487249479906843,0.039376864691993474,0.17271032013349272,0.0012180573300338516,0.02982885468061354,0.17271032013349272,0.0009286685466872354,0.003696173966999274,True,True
84,StddevVoicedSegmentLengthSec,0.19806034977295978,0.00020050798167110765,0.03922790215218717,0.1343689210526591,0.012107723603499508,0.018055006944855734,0.1343689210526591,0.0009286685466872354,0.021989423845481394,True,True
16,loudness_sma3_meanRisingSlope,0.19409569637871874,0.00027002400848796435,0.03767313935273977,0.25711640310418316,1.1670302416560881e-06,0.0661088447452328,0.25711640310418316,0.0011881056373470433,1.283733265821697e-05,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19280480814865586,0.00029713142100189216,0.03717369404523999,-0.15047132123644977,0.0049090896535361715,0.02264161851464286,0.15047132123644977,0.0012451221451507861,0.011675672689491434,True,True
38,logRelF0H1A3_sma3nz_amean,-0.1898104872597904,0.0003700783095761338,0.03602802107379906,-0.24017832503514727,5.8749619482166e-06,0.05768562781668885,0.24017832503514727,0.0014803132383045352,3.976897318792775e-05,True,True
18,loudness_sma3_meanFallingSlope,0.1877431216332498,0.000429823095718501,0.035247479720597226,0.24041145213803186,5.75022226159249e-06,0.05779766631911718,0.24041145213803186,0.0016377533586204246,3.976897318792775e-05,True,True
60,hammarbergIndexV_sma3nz_amean,-0.1872088308887476,0.0004466600068964794,0.03504714636273169,-0.24236967114667204,4.797589425418703e-06,0.05874305749174595,0.24236967114667204,0.0016377533586204246,3.8380715403349626e-05,True,True
15,loudness_sma3_pctlrange02,0.18663260368982904,0.00046550407352687523,0.03483172876004478,0.24660504860511137,3.225566775652981e-06,0.06081404999752934,0.24660504860511137,0.0016385743388146006,2.8384987625746235e-05,True,True
87,equivalentSoundLevel_dBp,0.18350986147861584,0.0005811221235774396,0.03367586925990077,0.17692381906639643,0.0009171418786237995,0.031302037753038976,0.17692381906639643,0.001863542181045385,0.00298920315995905,True,True
17,loudness_sma3_stddevRisingSlope,0.18330250094795492,0.0005896720020452722,0.03359980685377501,0.2685330507118888,3.674401358540001e-07,0.07210999932463386,0.2685330507118888,0.001863542181045385,5.155281593867866e-06,True,True
19,loudness_sma3_stddevFallingSlope,0.18322385195731933,0.0005929452394235316,0.03357097992607767,0.21572888719014863,4.954334543108851e-05,0.04653895276829987,0.21572888719014863,0.001863542181045385,0.0002564596704668111,True,True
73,mfcc3V_sma3nz_stddevNorm,-0.17407314347305744,0.0011120161570702068,0.03030145927859164,-0.02612843479812401,0.6271452215883017,0.0006826951049998177,0.02612843479812401,0.0031829225328976717,0.7075484551252634,True,False
20,spectralFlux_sma3_amean,0.1736851224380768,0.0011413081273769846,0.030166521756329726,0.15073539231324104,0.004833387072815767,0.022721158495826687,0.15073539231324104,0.0031829225328976717,0.011675672689491434,True,True
40,F1frequency_sma3nz_amean,-0.17329216770257652,0.0011716948270932073,0.030030175387057906,-0.14533843334658497,0.0066089155687987676,0.021123260207639723,0.14533843334658497,0.0031829225328976717,0.014539614251357288,True,True
82,VoicedSegmentsPerSec,-0.17318724958831594,0.001179932981103815,0.029993823419965638,-0.05600701817730474,0.297478326292851,0.0031367860851129435,0.05600701817730474,0.0031829225328976717,0.379392648025665,True,False
80,spectralFluxUV_sma3nz_amean,0.17301471960276987,0.0011935959498366269,0.029934093199225083,0.09292731247628884,0.0834433998398994,0.008635485404065828,0.09292731247628884,0.0031829225328976717,0.12882489799844118,True,False
62,slopeV0500_sma3nz_amean,-0.17056383131525168,0.001404067466858063,0.029092020552937633,-0.15159593982866612,0.004593932072317967,0.02298132897253656,0.15159593982866612,0.0036340569730443986,0.011675672689491434,True,True
66,spectralFluxV_sma3nz_amean,0.16935826708240972,0.001519641109981851,0.028682222629156824,0.13415879978638967,0.012244111004870321,0.017998583560124588,0.13415879978638967,0.0038208119336686545,0.021989423845481394,True,True
52,F3frequency_sma3nz_amean,-0.16686413636092587,0.0017869097010704878,0.027843640003477662,-0.22240839966763415,2.8316371258934878e-05,0.049465496242718086,0.22240839966763415,0.004368001491505636,0.0001661227113857513,True,True
29,mfcc4_sma3_stddevNorm,-0.149016619840203,0.005345583877101097,0.022205952988599585,-0.021365636246825838,0.6912331810788653,0.0004564904122316781,0.021365636246825838,0.01271382111310531,0.7418112187187823,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.14584744280057027,0.006419477291881394,0.021271476571465615,0.031082102683834583,0.5633433958739505,0.000966097107248437,0.031082102683834583,0.014866157939093754,0.6491391531427408,True,False
78,slopeUV0500_sma3nz_amean,-0.14505065016665897,0.006718220741130996,0.021039691113770482,-0.13690088485586288,0.010566641755237544,0.018741852274318228,0.13690088485586288,0.015159062185116095,0.020663654988020086,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.14262138309612366,0.0077073137650746654,0.020340858916251266,-0.1902356391523783,0.00035879221713423955,0.036189598403713885,0.1902356391523783,0.016956090283164263,0.001262948604312523,True,True
11,loudness_sma3_stddevNorm,-0.1393742826100494,0.009231573762690355,0.019425190653065916,-0.15054099771954302,0.004889012131349797,0.022662591994395458,0.15054099771954302,0.019684476693514117,0.011675672689491434,True,True
75,mfcc4V_sma3nz_stddevNorm,-0.13905533338234277,0.00939486387644992,0.019336385742074493,-0.06080481959804545,0.25794352190797615,0.003697226086350852,0.06080481959804545,0.019684476693514117,0.3387914914612224,True,False
48,F2bandwidth_sma3nz_amean,-0.13700204331316682,0.010508853992337018,0.018769559871982835,-0.12937557730510454,0.01573761844171414,0.016738040003029083,0.12937557730510454,0.021506491891294364,0.027698208457416884,True,True
85,MeanUnvoicedSegmentLength,-0.1339579897237156,0.012375719304860462,0.01794474301081909,-0.14716965853862546,0.00594991607058141,0.021658908394375613,0.14716965853862546,0.024751438609720924,0.013425451646440104,True,True
