,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.38042678798409746,1.8330404697525317e-14,0.14472454101589743,0.24717325799643708,1.142371978509419e-06,0.061094619468573245,0.24717325799643708,1.6130756133822278e-12,1.0052873410882887e-05,True,True
26,mfcc3_sma3_amean,0.32749014555948375,6.714318247437769e-11,0.10724979543857185,0.19568929669506485,0.00012860294786411097,0.03829430084100912,0.19568929669506485,2.9543000288726185e-09,0.0006287255228912092,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.23725797437513232,3.0965241617729665e-06,0.05629134640459095,0.2054780280600981,5.703690072369517e-05,0.042221220015466465,0.2054780280600981,9.083137541200702e-05,0.00033461648424567837,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.22781679287714215,7.692894170446904e-06,0.05190049111682669,-0.2951030363008573,4.93864182023802e-09,0.08708580203398511,0.2951030363008573,0.0001176308935709431,1.448668267269819e-07,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.22776533235506968,7.730340330038755e-06,0.05187704662281535,0.18358690947410636,0.00033314932433927796,0.03370415333025372,0.18358690947410636,0.0001176308935709431,0.0012746582844285418,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2273747208276173,8.020288198018848e-06,0.05169926367143691,-0.21495797411431186,2.5000928814896415e-05,0.04620693063532917,0.21495797411431186,0.0001176308935709431,0.00016923705659314494,True,True
12,loudness_sma3_percentile200,0.21370713630933696,2.7934657741892948e-05,0.045670740109537526,0.3072776637012643,1.0433025133710728e-09,0.09441956260970728,0.3072776637012643,0.0003152336983867492,9.18106211766544e-08,True,True
83,MeanVoicedSegmentLengthSec,0.21341804999866365,2.8657608944249927e-05,0.045547264065232095,0.1536390588142595,0.0027445107169910233,0.023604960393331487,0.1536390588142595,0.0003152336983867492,0.007318695245309395,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.2094122565283637,4.068700216566317e-05,0.04385349318430121,0.18984819918798923,0.0002050876854132386,0.036042338734922436,0.18984819918798923,0.00036362200857711257,0.0008437133686830498,True,True
27,mfcc3_sma3_stddevNorm,-0.20822568210376904,4.5080829743705556e-05,0.04335793468757988,-0.006876309862133354,0.8939960283912827,4.728363732007242e-05,0.006876309862133354,0.00036362200857711257,0.9594103719321083,True,False
