,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
77,hammarbergIndexUV_sma3nz_amean,-0.31006724714929496,6.068397191722964e-09,0.09614169775474196,-0.29805453804463905,2.4257032771200814e-08,0.0888365076490032,0.29805453804463905,5.340189528716207e-07,1.6518335200259684e-06,True,True
76,alphaRatioUV_sma3nz_amean,0.2593522399582901,1.3915287835335692e-06,0.06726358437138248,0.2941517350561195,3.75416709096811e-08,0.08652524323652554,0.2941517350561195,3.96543999079049e-05,1.6518335200259684e-06,True,True
26,mfcc3_sma3_amean,0.2587138958995607,1.480028347880475e-06,0.06693287993152872,0.15970072890134449,0.0032851674679565705,0.025504322811620725,0.15970072890134449,3.96543999079049e-05,0.014410540559766333,True,True
72,mfcc3V_sma3nz_amean,0.25666197062972634,1.8024727230865864e-06,0.0658753671675345,0.1791100278465458,0.0009580936764152253,0.03208040207519042,0.1791100278465458,3.96543999079049e-05,0.0056208162349693225,True,True
38,logRelF0H1A3_sma3nz_amean,-0.20390856258202977,0.00016388382072415238,0.04157870189426955,-0.21008886595747023,0.00010197539798589732,0.04413733159929589,0.21008886595747023,0.002884355244745082,0.0011217293778448705,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.18887942108428976,0.000490465816850775,0.03567543570913644,-0.021548222219372668,0.6934711996685661,0.00046432588081546594,0.021548222219372668,0.0071934986471447,0.7823777637286387,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.18623528251375435,0.0005898648379107691,0.0346835804529779,0.16346070168404253,0.0026136845110612586,0.026719400995039545,0.16346070168404253,0.007415443676592527,0.01210548615649425,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.17940370012755888,0.0009394592471622792,0.03218568761945907,-0.033292515272006405,0.54247977951676,0.0011083915731367798,0.033292515272006405,0.009711602309413508,0.6539482273626696,True,False
27,mfcc3_sma3_stddevNorm,-0.1785703077150895,0.0009932320543718362,0.03188735479746175,-0.14802964687982414,0.006481353984410821,0.02191277635536543,0.14802964687982414,0.009711602309413508,0.021936890408775084,True,True
62,slopeV0500_sma3nz_amean,-0.16015499420621118,0.00319646682764428,0.025649622169191536,-0.19279290364910817,0.00037155121458019136,0.037169103697454305,0.19279290364910817,0.028128908083269667,0.003269650688305684,True,True
12,loudness_sma3_percentile200,0.15437763159181953,0.00450408586973649,0.023832453135899555,0.22382438544021002,3.3785304707539395e-05,0.0500973555176877,0.22382438544021002,0.03499208375547908,0.0004955178023772445,True,True
36,logRelF0H1H2_sma3nz_amean,-0.15125488764628559,0.005396196115030239,0.022878041036890475,-0.11181832492654444,0.04021609070342663,0.012503337789378269,0.11181832492654444,0.03499208375547908,0.0983059994972651,True,False
19,loudness_sma3_stddevFallingSlope,0.1507773775951195,0.005545799565276924,0.022733817594461244,0.143190606517048,0.008477352375146114,0.020503549794720074,0.143190606517048,0.03499208375547908,0.027629889222698448,True,True
60,hammarbergIndexV_sma3nz_amean,-0.15026535066150737,0.005710347404316062,0.022579675609425774,-0.17311920895421937,0.0014209547130033685,0.029970260508934667,0.17311920895421937,0.03499208375547908,0.00735553027907626,True,True
16,loudness_sma3_meanRisingSlope,0.1494997757526924,0.00596455973104757,0.022350182950105317,0.20852218127041403,0.00011515913387271589,0.04348150008177141,0.20852218127041403,0.03499208375547908,0.0011260004200887776,True,True
13,loudness_sma3_percentile500,0.1430505269104108,0.008542510958626324,0.020463453249346168,0.18908218957012823,0.0004835245811231002,0.03575207441263391,0.18908218957012823,0.045286172702022676,0.0038681966489848016,True,True
54,F3bandwidth_sma3nz_amean,-0.14178469580208974,0.009151831132134315,0.020102899963691124,-0.21064268427315655,9.766441783931063e-05,0.044370340437800714,0.21064268427315655,0.045286172702022676,0.0011217293778448705,True,True
10,loudness_sma3_amean,0.14121142923833138,0.009440265449641716,0.01994066774753227,0.18615243781112134,0.0005932615842294488,0.034652730103023395,0.18615243781112134,0.045286172702022676,0.004015924570168576,True,True
17,loudness_sma3_stddevRisingSlope,0.1397766721891914,0.010197824759671074,0.019537518088284675,0.22944884921207717,2.1059528612272894e-05,0.05264677440474653,0.22944884921207717,0.045286172702022676,0.00046330962947000365,True,True
14,loudness_sma3_percentile800,0.13960440590490997,0.010292311977732426,0.01948939014806286,0.17946392530585906,0.0009356793145100766,0.03220730048618696,0.17946392530585906,0.045286172702022676,0.0056208162349693225,True,True
52,F3frequency_sma3nz_amean,-0.13731913378462238,0.011621196063173566,0.018856544503359017,-0.08016895741706778,0.14194051168253594,0.006427061733339627,0.08016895741706778,0.04869834540758446,0.25491357200128906,True,False
83,MeanVoicedSegmentLengthSec,0.13085380101521937,0.01623565791011678,0.017122717240130626,0.10961244629966856,0.04434624251626993,0.012014888383797722,0.10961244629966856,0.05940986406824991,0.1031490433700577,False,False
18,loudness_sma3_meanFallingSlope,0.13064353690676134,0.016409462464724002,0.017067733735508312,0.17806043957680529,0.001027514253009653,0.03170552014228513,0.17806043957680529,0.05940986406824991,0.005651328391553091,False,True
84,StddevVoicedSegmentLengthSec,0.1303343129199403,0.01666802311069589,0.016987033124312916,0.13680865117736002,0.011937972076391155,0.01871660703696857,0.13680865117736002,0.05940986406824991,0.03751934081151506,False,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.13008649486839238,0.016877802292116453,0.016922496147144278,-0.16367657919448847,0.0025792206796616205,0.026790022576809656,0.16367657919448847,0.05940986406824991,0.01210548615649425,False,True
81,loudnessPeaksPerSec,0.1283370731753834,0.01842541519402496,0.016470404351223714,0.1589392253427274,0.003438878997216966,0.025261677352546277,0.1589392253427274,0.06201446489430823,0.014410540559766333,False,True
