,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.31950730245846043,2.678680791276771e-10,0.10208491632428211,0.23668775932710379,3.8062543482052105e-06,0.05602109541528501,0.23668775932710379,2.3572390963235584e-08,0.00011165012754735285,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.3110565566930828,8.235389242580467e-10,0.09675618146175703,-0.2891982498829252,1.2807886549433787e-08,0.08363562773534684,0.2891982498829252,3.6235712667354054e-08,1.1270940163501732e-06,True,True
26,mfcc3_sma3_amean,0.28818179661259063,1.4471009870457775e-08,0.08304874789886056,0.19401524792117925,0.0001630077470833641,0.03764191642591665,0.19401524792117925,4.244829562000948e-07,0.0014872507379288414,True,True
76,alphaRatioUV_sma3nz_amean,0.24726039438575698,1.3338845941505735e-06,0.06113770263180008,0.26483508321689414,2.0959703170419196e-07,0.07013762130249925,0.26483508321689414,2.9345461071312617e-05,9.222269394984447e-06,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.2303643288514529,6.965615208345077e-06,0.05306772400718033,-0.01759779867739348,0.7347939687014425,0.0003096825182900717,0.01759779867739348,0.00011051121081075392,0.8397645356587915,True,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.2295291843978318,7.534855282551403e-06,0.05268364649033387,-0.005692862833978734,0.9127430236778741,3.2408687246496384e-05,0.005692862833978734,0.00011051121081075392,0.9562069771863442,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.2063600630871397,5.9345166782651e-05,0.04258447563732828,0.18619541356625893,0.00029961993662544674,0.0346687320331102,0.18619541356625893,0.0007460535252676126,0.0018833253159313795,True,True
27,mfcc3_sma3_stddevNorm,-0.19275477929151238,0.00018010630001218708,0.03715440493971965,-0.1426184622396337,0.005792648912136629,0.020340025771597825,0.1426184622396337,0.0018837576991927209,0.018205468009572266,True,True
12,loudness_sma3_percentile200,0.19138777079037134,0.00020054072737637905,0.036629278808107714,0.22540986736019317,1.1053206790537048e-05,0.05080960830333988,0.22540986736019317,0.0018837576991927209,0.00019453643951345206,True,True
38,logRelF0H1A3_sma3nz_amean,-0.19055312132005822,0.00021406337490826374,0.03631049204481683,-0.15659703325385044,0.0024215715864782964,0.02452263082390754,0.15659703325385044,0.0018837576991927209,0.009817246682914314,True,True
19,loudness_sma3_stddevFallingSlope,0.17917670559759472,0.0005069793555920615,0.03210429182880713,0.14915282451374504,0.0038878934495999934,0.022246565060428023,0.14915282451374504,0.0036593529670997204,0.013159023983261516,True,True
16,loudness_sma3_meanRisingSlope,0.17903075661122686,0.0005124504169267008,0.03205201181278835,0.2099099896614344,4.387960838869137e-05,0.04406220375966349,0.2099099896614344,0.0036593529670997204,0.0005687486726915881,True,True
13,loudness_sma3_percentile500,0.1782880854406594,0.0005411493368486,0.03178664141009587,0.19299546379442387,0.00017671686567705784,0.03724724904522477,0.19299546379442387,0.0036593529670997204,0.0014872507379288414,True,True
10,loudness_sma3_amean,0.17677865329098547,0.0006041294459777586,0.03125069225937445,0.19004692921256466,0.00022267504403182363,0.03611783530312557,0.19004692921256466,0.0036593529670997204,0.0015073387596000367,True,True
14,loudness_sma3_percentile800,0.1763381035728751,0.000623753346664725,0.031095126771678028,0.18385580960050185,0.000357797997657735,0.03380295872385599,0.18385580960050185,0.0036593529670997204,0.002099081586258712,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.17508484769289323,0.0006828552980344802,0.03065470389164362,-0.19222279984025636,0.000187815043635687,0.036949604778427264,0.19222279984025636,0.003755704139189641,0.0014872507379288414,True,True
62,slopeV0500_sma3nz_amean,-0.16868787422563622,0.0010738179184939705,0.028455598910764063,-0.19124429235382626,0.00020280691880847834,0.03657437935791577,0.19124429235382626,0.005341582616308629,0.0014872507379288414,True,True
84,StddevVoicedSegmentLengthSec,0.16843841805357274,0.001092596444244947,0.02837150067639014,0.15267128056351564,0.003116335973328155,0.02330851990890371,0.15267128056351564,0.005341582616308629,0.011426565235536569,True,True
36,logRelF0H1H2_sma3nz_amean,-0.16567687708855064,0.0013216692657554358,0.027448827601814715,-0.13774183933129297,0.007721355154700965,0.018972814302367726,0.13774183933129297,0.005754586646627621,0.023430319090127067,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.16509648779533495,0.0013751059421457865,0.027256850282355184,0.13672642491000703,0.008188632075070434,0.01869411526867179,0.13672642491000703,0.005754586646627621,0.02401998742020661,True,True
18,loudness_sma3_meanFallingSlope,0.16501319080054935,0.0013829359318356803,0.027229353138178505,0.1822281920806422,0.0004043010511251038,0.03320711398897943,0.1822281920806422,0.005754586646627621,0.002223655781188071,True,True
