,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.32345314155913746,2.4601629543447828e-27,0.10462193478447541,-0.3285925035133002,3.3076384216245275e-28,0.10797303336513822,0.3285925035133002,2.1649433998234086e-25,2.910721811029584e-26,True,True
40,F1frequency_sma3nz_amean,-0.2903595282764921,4.076530858850546e-22,0.084308655660947,-0.2335101202294003,1.211584703728087e-14,0.05452697624954898,0.2335101202294003,1.79367357789424e-20,9.692677629824696e-14,True,True
38,logRelF0H1A3_sma3nz_amean,-0.2757548610858571,5.070777086603209e-20,0.07604074341248035,-0.2707034088930647,2.5168296286117974e-19,0.07328033558632578,0.2707034088930647,1.487427945403608e-18,3.3269365781583655e-18,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.25899547944405443,9.071742960558602e-18,0.06707865837245562,0.249316114866923,1.537449090568712e-16,0.06215852513233675,0.249316114866923,1.9957834513228922e-16,1.5032835552227404e-15,True,True
46,F2frequency_sma3nz_amean,-0.24124190174654792,1.4879474467214514e-15,0.058197655158291076,-0.21696188462106258,8.419464836135043e-13,0.04707245937832327,0.21696188462106258,2.6187875062297546e-14,4.822512088194702e-12,True,True
52,F3frequency_sma3nz_amean,-0.23558323489297245,6.955302744162829e-15,0.05549946056263743,-0.1898522888200507,4.309836406486525e-10,0.03604389157021195,0.1898522888200507,1.0201110691438817e-13,1.72393456259461e-09,True,True
25,mfcc2_sma3_stddevNorm,0.23286355264459133,1.438986778669155e-14,0.054225434150260356,0.06850093973452022,0.025454689900605017,0.004692378744512371,0.06850093973452022,1.809011950326938e-13,0.046666931484442536,True,True
42,F1bandwidth_sma3nz_amean,-0.2308733975238724,2.4355041042371268e-14,0.05330252568421601,-0.16912128062441958,2.8548951136559556e-08,0.02860200756004368,0.16912128062441958,2.6790545146608395e-13,1.0467948750071838e-07,True,True
48,F2bandwidth_sma3nz_amean,-0.22354462190025182,1.6216366122959013e-13,0.049972197980526545,-0.21220281133834917,2.6810157523344816e-12,0.04503003313989901,0.21220281133834917,1.58560024313377e-12,1.310718812252413e-11,True,True
70,mfcc2V_sma3nz_amean,-0.2216023250548738,2.65088603162072e-13,0.049107590469725945,-0.2772302464724849,3.155655914988282e-20,0.07685660955919472,0.2772302464724849,2.3327797078262336e-12,5.553954410379376e-19,True,True
74,mfcc4V_sma3nz_amean,-0.21978440746117234,4.1817559705185804e-13,0.048305185763058624,-0.22261793507211403,2.0513269840419702e-13,0.049558745015771975,0.22261793507211403,3.3454047764148644e-12,1.3885905738130259e-12,True,True
60,hammarbergIndexV_sma3nz_amean,-0.2118533691830684,2.9158752681009227e-12,0.04488185003421748,-0.2415437223449141,1.368920892619916e-15,0.05834336980423696,0.2415437223449141,2.1383085299406768e-11,1.204650385505526e-14,True,True
24,mfcc2_sma3_amean,-0.19828236369887287,6.79727086965458e-11,0.0393158957540121,-0.21629896816251012,9.90971187433107e-13,0.04678524362816657,0.21629896816251012,4.601229511766177e-10,5.1297332055360836e-12,True,True
58,alphaRatioV_sma3nz_amean,0.19435754866997673,1.6227936189586806e-10,0.03777485672500237,0.21679699356134458,8.768203796717641e-13,0.04700093641723768,0.21679699356134458,1.0200417033454564e-09,4.822512088194702e-12,True,True
28,mfcc4_sma3_amean,-0.1930689054456027,2.151020882082273e-10,0.037275602249963076,-0.17063787842984032,2.1358619514881114e-08,0.029117285555036964,0.17063787842984032,1.2619322508216001e-09,8.171993553519731e-08,True,True
16,loudness_sma3_meanRisingSlope,0.18505473158517674,1.1883367807101951e-09,0.03424525368206181,0.30974823614599656,4.302605722711331e-25,0.09594396979555606,0.30974823614599656,6.535852293906073e-09,1.2620976786619907e-23,True,True
15,loudness_sma3_pctlrange02,0.18138084670729435,2.5378042696659248e-09,0.03289901155225501,0.2773778621889887,3.0089242268261306e-20,0.0769384784325336,0.2773778621889887,1.313686916062361e-08,5.553954410379376e-19,True,True
18,loudness_sma3_meanFallingSlope,0.17362676690911022,1.1965009489107953e-08,0.03014625418731049,0.31722241861600264,2.661397651446808e-26,0.10063006287258643,0.31722241861600264,5.849560194674999e-08,1.1710149666365955e-24,True,True
71,mfcc2V_sma3nz_stddevNorm,0.1706760619693719,2.12024414896237e-08,0.02913031812937288,0.0304247785753333,0.3214467507341206,0.0009256671513580602,0.0304247785753333,9.820078163615187e-08,0.4041044866371802,True,False
17,loudness_sma3_stddevRisingSlope,0.16783125884289884,3.646644615181768e-08,0.028167331444792113,0.27054336032190596,2.6464268235350634e-19,0.07319370981426863,0.27054336032190596,1.604523630679978e-07,3.3269365781583655e-18,True,True
14,loudness_sma3_percentile800,0.16347981048855764,8.212503847307298e-08,0.02672564843737472,0.25736872814178285,1.4719776674703568e-17,0.06623866222531893,0.25736872814178285,3.441430183633534e-07,1.6191754342173925e-16,True,True
10,loudness_sma3_amean,0.14854534688603657,1.1345928025003509e-06,0.022065720081492934,0.23102328852825899,2.3412646670454652e-14,0.0533717598424112,0.23102328852825899,4.470688841326777e-06,1.716927422500008e-13,True,True
72,mfcc3V_sma3nz_amean,0.14836963649418133,1.1684754926194985e-06,0.022013549033415507,0.1348911162984779,1.0099324647865405e-05,0.018195613256249486,0.1348911162984779,4.470688841326777e-06,3.174073460757699e-05,True,True
63,slopeV0500_sma3nz_stddevNorm,0.14461321428666482,2.1742581146755282e-06,0.02091298174632084,0.04536991730841651,0.13915529882070174,0.002058429396572552,0.04536991730841651,7.97227975381027e-06,0.22677159807818062,True,False
32,shimmerLocaldB_sma3nz_amean,0.13922828947989405,5.1552285895035675e-06,0.019384516591497175,0.1285188833492889,2.6145239062315284e-05,0.01651710337734813,0.1285188833492889,1.768226680403712e-05,7.669270124945818e-05,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.13914369652451533,5.224306101192786e-06,0.01936096828250642,0.04487424174402077,0.14353038264103737,0.0020136975721008164,0.04487424174402077,1.768226680403712e-05,0.2296486122256598,True,False
13,loudness_sma3_percentile500,0.1349768117594535,9.96798881313276e-06,0.018218739712746946,0.21015390658073674,4.377533317200602e-12,0.04416466445114502,0.21015390658073674,3.139436257568432e-05,1.926114659568265e-11,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.13496295445740097,9.989115364990464e-06,0.01821499907587049,-0.11355986058590381,0.00020573394767446805,0.01289584193628991,0.11355986058590381,3.139436257568432e-05,0.0005324878645692115,True,True
19,loudness_sma3_stddevFallingSlope,0.13416377639072255,1.1282451087144208e-05,0.0179999188954198,0.2200694505215866,3.894332593384848e-13,0.048430563052873056,0.2200694505215866,3.423640329892036e-05,2.44786620155619e-12,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.13151963628938226,1.6796530431070713e-05,0.017297414729691395,-0.09132500558698481,0.0028668776841204394,0.008340256645462807,0.09132500558698481,4.926982259780743e-05,0.006468852210323043,True,True
76,alphaRatioUV_sma3nz_amean,0.12989810316370864,2.135923968205168e-05,0.016873517205529494,0.09015191139526266,0.003248336684672629,0.00812736712821929,0.09015191139526266,6.06326803877596e-05,0.006972039713443692,True,True
26,mfcc3_sma3_amean,0.12367476239065034,5.233544574821182e-05,0.015295446852383819,0.09159501563979704,0.0027850716242986654,0.008389646890054664,0.09159501563979704,0.0001439224758075825,0.006449639551007435,True,True
