,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.2850834609917543,4.488693659435628e-30,0.08127257973103709,-0.14882578126440774,4.717281938780037e-09,0.022149113168961336,0.14882578126440774,3.9500504203033526e-28,1.804873089620188e-08,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.2411262151081215,9.895021004160075e-22,0.058141851612368074,0.23080194632005238,5.3763984288266606e-20,0.053269538425124344,0.23080194632005238,4.353809241830433e-20,5.914038271709327e-19,True,True
40,F1frequency_sma3nz_amean,-0.2369243241003386,5.147783499558152e-21,0.056133135350402284,-0.10976582924338216,1.642592322050989e-05,0.01204853726948733,0.10976582924338216,1.5100164932037249e-19,5.162433012160251e-05,True,True
72,mfcc3V_sma3nz_amean,0.233684846053683,1.7962146004266675e-20,0.054608607275133524,0.22052563208933681,2.3743540387690006e-18,0.04863155440840154,0.22052563208933681,3.9516721209386684e-19,2.0894315541167205e-17,True,True
74,mfcc4V_sma3nz_amean,-0.22355665030841806,7.9206651711875e-19,0.04997757589712032,-0.19850451099446875,4.276030572329712e-15,0.03940404088515317,0.19850451099446875,1.394037070129e-17,3.135755753041789e-14,True,True
42,F1bandwidth_sma3nz_amean,-0.2221950592921431,1.2996029334959972e-18,0.049370644373838986,-0.017664438432388838,0.48935135315775974,0.0003120323851316558,0.017664438432388838,1.906084302460796e-17,0.6151845582554695,True,False
28,mfcc4_sma3_amean,-0.21551239658219765,1.4085537540251838e-17,0.046445593080602435,-0.17037897675758792,1.8570233277510357e-11,0.029028995720962687,0.17037897675758792,1.770753290774517e-16,9.612826637770067e-11,True,True
26,mfcc3_sma3_amean,0.20837113732948565,1.649673810045791e-16,0.043418530871983364,0.17819893217690652,2.0646833483988396e-12,0.03175485942898973,0.17819893217690652,1.8146411910503703e-15,1.2112808977273193e-11,True,True
18,loudness_sma3_meanFallingSlope,0.20083014166583815,2.0153723502273606e-15,0.040332745801520624,0.3072858602339411,6.657012237561033e-35,0.09442459989971319,0.3072858602339411,1.783437973700179e-14,5.8581707690537094e-33,True,True
16,loudness_sma3_meanRisingSlope,0.20081301796802953,2.0266340610229305e-15,0.04032586818542815,0.29972422984357217,3.279870992368621e-33,0.08983461395532248,0.29972422984357217,1.783437973700179e-14,1.4431432366421932e-31,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.19472355278923303,1.4243882581739668e-14,0.03791726201086122,-0.09129811076546428,0.0003431015156325045,0.008335345029342984,0.09129811076546428,1.1395106065391734e-13,0.0007364130091624487,True,True
17,loudness_sma3_stddevRisingSlope,0.19320892399773487,2.2909757363198998e-14,0.03732968831236249,0.2713425368877802,2.693409675765065e-27,0.07362677232469636,0.2713425368877802,1.68004887330126e-13,5.925501286683143e-26,True,True
15,loudness_sma3_pctlrange02,0.19202045265466564,3.3173326580765545e-14,0.036871854237702686,0.27426492850912854,7.122662672085463e-28,0.07522125101011738,0.27426492850912854,2.2455790300825907e-13,2.0893143838117358e-26,True,True
