,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.2253160076844358,1.3945815208767434e-33,0.05076730331885273,-0.284036076737813,3.7923761626593027e-53,0.0806764928886088,0.284036076737813,1.227231738371534e-31,3.3372910231401864e-51,True,True
72,mfcc3V_sma3nz_amean,0.2101640313043275,2.432648232754213e-29,0.044168920054086354,0.133536007850033,1.2727586067651412e-12,0.017831865392524075,0.133536007850033,1.0703652224118537e-27,4.6667815581388515e-12,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.1956971467109452,1.3805505883646515e-25,0.03829737323080521,0.1497764152823363,1.5904873818035402e-15,0.02243297457482686,0.1497764152823363,4.049615059202978e-24,6.664899504700549e-15,True,True
40,F1frequency_sma3nz_amean,-0.18852210592222352,7.877552458344118e-24,0.035540584421350066,-0.19257294697435853,8.191083150313794e-25,0.037084339906389104,0.19257294697435853,1.7330615408357059e-22,7.208153172276138e-24,True,True
26,mfcc3_sma3_amean,0.18090104993766748,4.855612002647552e-22,0.03272518986855046,0.08384642247049855,8.823317282792114e-06,0.007030222561101323,0.08384642247049855,8.545877124659692e-21,1.9909023612454e-05,True,True
38,logRelF0H1A3_sma3nz_amean,-0.17550793818535787,8.056405456095829e-21,0.030803036366075398,-0.20750769144543788,1.249843302382176e-28,0.04305944200901505,0.20750769144543788,1.1816061335607216e-19,1.833103510160525e-27,True,True
42,F1bandwidth_sma3nz_amean,-0.15802093434146253,3.9677004257765805e-17,0.02497061569014881,-0.12050602229806703,1.56047738552112e-10,0.01452170141010223,0.12050602229806703,4.987966249547701e-16,5.281615766379175e-10,True,True
52,F3frequency_sma3nz_amean,-0.1481261935582191,3.249992012481789e-15,0.02194136921804699,-0.17111174413724456,7.449018403841175e-20,0.02927922898168985,0.17111174413724456,3.574991213729968e-14,4.0969601221126464e-19,True,True
78,slopeUV0500_sma3nz_amean,-0.13665004389630636,3.749898822981604e-13,0.018673234496862454,-0.22204400564924043,1.2234083868647723e-32,0.049303540444759916,0.22204400564924043,3.666567738026457e-12,2.691498451102499e-31,True,True
63,slopeV0500_sma3nz_stddevNorm,0.13468971346781913,8.119847376871376e-13,0.01814131891404322,0.01935986631528754,0.3056310969173106,0.0003748044237458051,0.01935986631528754,7.145465691646812e-12,0.3832657888518771,True,False
46,F2frequency_sma3nz_amean,-0.12697518636570548,1.523806022464374e-11,0.01612269795260564,-0.19072694964038234,2.3123996203834847e-24,0.03637676931912494,0.19072694964038234,1.2190448179714993e-10,1.7253211065729966e-23,True,True
60,hammarbergIndexV_sma3nz_amean,-0.12242152130791156,7.934953450396165e-11,0.014987028879343445,-0.1659421754250272,9.451415428828003e-19,0.027536805584790502,0.1659421754250272,5.818965863623855e-10,4.620691987427024e-18,True,True
48,F2bandwidth_sma3nz_amean,-0.11946332419279014,2.245020600466978e-10,0.014271485827191678,-0.1422320005017473,3.9079251682439226e-14,0.020229941966729045,0.1422320005017473,1.5197062526238005e-09,1.563170067297569e-13,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.11396519570382738,1.4515927743857539e-09,0.012988065831811673,-0.11214022123586773,2.6463400398137747e-09,0.012575429218829358,0.11214022123586773,9.124297438996168e-09,8.317068696557578e-09,True,True
16,loudness_sma3_meanRisingSlope,0.10914084575104291,6.955975013866138e-09,0.01191172421125294,0.22446585187728998,2.460043978869039e-33,0.05038491865899749,0.22446585187728998,4.080838674801468e-08,7.216129004682514e-32,True,True
17,loudness_sma3_stddevRisingSlope,0.10753625390325015,1.154386304556281e-08,0.011564045903544283,0.22118013959366464,2.1580621181831586e-32,0.048920654150672975,0.22118013959366464,6.349124675059546e-08,3.7981893280023593e-31,True,True
62,slopeV0500_sma3nz_amean,-0.10512146380515522,2.4404566402606287e-08,0.011050522152538558,-0.1619718842128276,6.297982847257916e-18,0.026234891275453632,0.1619718842128276,1.2632952020172667e-07,2.9169604766247194e-17,True,True
76,alphaRatioUV_sma3nz_amean,0.1048054739891919,2.6883546379030672e-08,0.010984187378099182,0.10989957433886914,5.460506177255917e-09,0.012077916439864625,0.10989957433886914,1.3143067118637216e-07,1.6569811848224853e-08,True,True
81,loudnessPeaksPerSec,0.1023764201592051,5.6025925510643613e-08,0.010480931404614096,0.19303716567955861,6.299034840781768e-25,0.03726334733359736,0.19303716567955861,2.594884971019283e-07,6.159056288764395e-24,True,True
74,mfcc4V_sma3nz_amean,-0.10158244636242074,7.096841234142597e-08,0.010318993408974086,-0.1071894295786834,1.2867261641246782e-08,0.011489573813403526,0.1071894295786834,3.122610143022743e-07,3.774396748099056e-08,True,True
18,loudness_sma3_meanFallingSlope,0.0999697794361398,1.1409033386881845e-07,0.00999395680051044,0.22813139393765955,2.0934046161704034e-34,0.05204393289993961,0.22813139393765955,4.78092827640763e-07,9.210980311149775e-33,True,True
12,loudness_sma3_percentile200,0.09761052111273624,2.2552057972168478e-07,0.009527813831899927,0.18196665528154746,2.7582956095255046e-22,0.033111863634353526,0.18196665528154746,9.020823188867391e-07,1.6182000909216295e-21,True,True
19,loudness_sma3_stddevFallingSlope,0.09381902595142375,6.525808890936924e-07,0.008802009630473923,0.18244977866179207,2.1320206966638772e-22,0.03328792173373692,0.18244977866179207,2.3927500193576773e-06,1.3401272950458658e-21,True,True
10,loudness_sma3_amean,0.09367102772947773,6.796633881821571e-07,0.008774261435896586,0.1959879258630337,1.16790686998466e-25,0.038411267084093995,0.1959879258630337,2.3927500193576773e-06,1.284697556983126e-24,True,True
14,loudness_sma3_percentile800,0.09367051789695438,6.797585282266129e-07,0.008774165923083652,0.19615744528658197,1.0592660216797834e-25,0.038477743341358395,0.19615744528658197,2.3927500193576773e-06,1.284697556983126e-24,True,True
13,loudness_sma3_percentile500,0.09288318502899755,8.430551661235805e-07,0.008627286061130994,0.19069604928309103,2.3527105998722677e-24,0.03636498321217908,0.19069604928309103,2.8534174853413495e-06,1.7253211065729966e-23,True,True
53,F3frequency_sma3nz_stddevNorm,-0.09170444227076148,1.1599560779828103e-06,0.008409704732191424,-0.03639310011290036,0.05407841055966023,0.0013244577358275881,0.03639310011290036,3.78059758749953e-06,0.07931500215416834,True,False
28,mfcc4_sma3_amean,-0.09014461435943881,1.7589658893166582e-06,0.008126051498011941,-0.08083685460277315,1.8346823870857607e-05,0.006534597062069887,0.08083685460277315,5.528178509280926e-06,4.036301251588674e-05,True,True
25,mfcc2_sma3_stddevNorm,0.0894886659984757,2.091320359291025e-06,0.00800822134218674,0.026327370256932603,0.16355007328980214,0.0006931304246456195,0.026327370256932603,6.3460755730210415e-06,0.21806676438640285,True,False
32,shimmerLocaldB_sma3nz_amean,0.08350413670717476,9.601407056249584e-06,0.00697294084721053,0.0627825622083674,0.0008837896146723134,0.003941650117447524,0.0627825622083674,2.8164127364998783e-05,0.0017675792293446269,True,True
21,spectralFlux_sma3_stddevNorm,-0.08334321565627845,9.98945935340546e-06,0.006946091595928937,-0.13805090832820446,2.144225348328488e-13,0.01905805329024231,0.13805090832820446,2.835717493869937e-05,8.20399263708291e-13,True,True
