,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.2761753211533049,5.801830911067595e-64,0.0762728080141311,0.20521539005622072,1.700887218819213e-35,0.04211335631592682,0.20521539005622072,5.105611201739484e-62,2.993561505121815e-34,True,True
26,mfcc3_sma3_amean,0.23807304204444044,1.617101107487632e-47,0.0566787733482939,0.1497727947546595,1.7289419452600983e-19,0.022431890048621356,0.1497727947546595,7.115244872945581e-46,1.0143126078859245e-18,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.21658427413408637,1.953172266129604e-39,0.04690874780218907,0.18337269563924638,1.4579400864294063e-28,0.03362554550600369,0.18337269563924638,5.729305313980173e-38,1.2829872760578776e-27,True,True
54,F3bandwidth_sma3nz_amean,-0.1812242269184092,6.32585374989144e-28,0.03284222042217507,-0.09196807484590791,3.2983808724359254e-08,0.00845812679086252,0.09196807484590791,1.3916878249761166e-26,9.675250559145382e-08,True,True
16,loudness_sma3_meanRisingSlope,0.1701582426684969,9.106959926400804e-25,0.028953827548031084,0.22684845879458934,3.427723247218348e-43,0.0514602232574805,0.22684845879458934,1.6028249470465415e-23,1.0054654858507155e-41,True,True
17,loudness_sma3_stddevRisingSlope,0.168591822236884,2.4527929594666026e-24,0.02842320252515309,0.22624957790580083,5.7460447168606206e-43,0.05118887150255304,0.22624957790580083,3.5974296738843506e-23,1.2641298377093364e-41,True,True
63,slopeV0500_sma3nz_stddevNorm,0.1661118345023652,1.1546317973735057e-23,0.027593141561741162,0.020748225260318463,0.21353524921670786,0.00043048885145291715,0.020748225260318463,1.4515371166981216e-22,0.28046420792642224,True,False
19,loudness_sma3_stddevFallingSlope,0.15987157240760827,5.124442981352683e-22,0.025558919664081133,0.19010199575101475,1.3063188218809746e-30,0.03613876878851883,0.19010199575101475,5.636887279487952e-21,1.277289514728064e-29,True,True
18,loudness_sma3_meanFallingSlope,0.15965830610960263,5.818212552636766e-22,0.025490774709787577,0.22693436010550047,3.1825152966976996e-43,0.05149920379649296,0.22693436010550047,5.688918940355949e-21,1.0054654858507155e-41,True,True
10,loudness_sma3_amean,0.15905422164864463,8.328595923736311e-22,0.025298245424256176,0.2025371982795541,1.3351395238919672e-34,0.04102131668693142,0.2025371982795541,7.078661981227094e-21,1.6784611157499017e-33,True,True
