,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.4032456302586282,2.3646044322720757e-07,0.16260703832267828,-0.43373903637544997,2.1343036944007697e-08,0.18812955167590392,0.43373903637544997,2.0808519003994266e-05,3.756374502145355e-07,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.3263484066780541,3.840116352381011e-05,0.10650328254130458,-0.1590322338672877,0.04958779548251699,0.02529125140881969,0.1590322338672877,0.0016896511950476446,0.09194172844588885,True,False
78,slopeUV0500_sma3nz_amean,-0.2912869842360342,0.0002591792438285083,0.08484810718532365,-0.3398360612707356,1.725943074298143e-05,0.11548854854000717,0.3398360612707356,0.00760259115230291,0.00013807544594385143,True,True
11,loudness_sma3_stddevNorm,-0.28125572959732204,0.00042866547208696696,0.07910478543132193,-0.4995751557741544,4.9052512962466994e-11,0.24957533626677064,0.4995751557741544,0.009430640385913272,2.158310570348548e-09,True,True
30,jitterLocal_sma3nz_amean,-0.22731228788077437,0.004717334336820296,0.05167087622159204,-0.2960401856832227,0.0002028663030066577,0.08763979153935698,0.2960401856832227,0.05940784906800648,0.0009917908146992154,False,True
53,F3frequency_sma3nz_stddevNorm,-0.22630052735857575,0.004911019577918023,0.05121192868276949,-0.4462144857139735,7.435157409772482e-09,0.19910736726098585,0.4462144857139735,0.05940784906800648,2.180979506866595e-07,False,True
46,F2frequency_sma3nz_amean,-0.22548050487104077,0.005073191973009164,0.05084145807689944,-0.4119946485452799,1.2150456463112225e-07,0.1697395904299487,0.4119946485452799,0.05940784906800648,1.6582906424310498e-06,False,True
12,loudness_sma3_percentile200,0.22389353024485104,0.005400713551636953,0.05012831288550203,0.4091876568095486,1.5075369476645907e-07,0.16743453848528894,0.4091876568095486,0.05940784906800648,1.6582906424310498e-06,False,True
49,F2bandwidth_sma3nz_stddevNorm,-0.21520197665567573,0.007552491978147472,0.04631189075651,-0.3357321839770644,2.2101730720721095e-05,0.11271609935800941,0.3357321839770644,0.06759347126049656,0.00016207935861862138,False,True
15,loudness_sma3_pctlrange02,-0.21143398188518633,0.008701209137675596,0.0447043286958253,-0.20442125311977022,0.011256313605015826,0.041788048727057166,0.20442125311977022,0.06759347126049656,0.026067252558984018,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2108108332725293,0.008905398544305802,0.04444120742505815,-0.22093764631020496,0.0060614988180935124,0.048813443557093224,0.22093764631020496,0.06759347126049656,0.017780396533074304,False,True
21,spectralFlux_sma3_stddevNorm,-0.209882958140496,0.009217291535522257,0.0440508561178052,-0.4399408852566143,1.2702676297001583e-08,0.19354798252037347,0.4399408852566143,0.06759347126049656,2.7945887853403484e-07,False,True
35,HNRdBACF_sma3nz_stddevNorm,-0.20640770626221636,0.010472903926423,0.04260414120442939,-0.26804895178773047,0.0008083761634556772,0.07185024055450105,0.26804895178773047,0.0708935035019403,0.003092917494960852,False,True
69,mfcc1V_sma3nz_stddevNorm,-0.2000307046629101,0.01317290942707887,0.040012282807940364,-0.2102280655389302,0.009100178606562155,0.04419583954024073,0.2102280655389302,0.08280114497021004,0.022244881038263043,False,True
39,logRelF0H1A3_sma3nz_stddevNorm,-0.1945456273141377,0.015964216716483407,0.03784800110705135,-0.22406382619525042,0.005364684434790197,0.05020459820925539,0.22406382619525042,0.093656738070036,0.016279042422811633,False,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.19206159259719988,0.017389161572932722,0.036887655350972784,0.297214214766473,0.0001908299742321998,0.08833628945925112,0.297214214766473,0.09564038865112998,0.0009878257489666813,False,True
31,jitterLocal_sma3nz_stddevNorm,-0.1888003340611788,0.019426711665816148,0.03564556614161271,-0.16799110493094724,0.03792454583423724,0.028221011335920525,0.16799110493094724,0.10056180156422477,0.07416355629806394,False,False
67,spectralFluxV_sma3nz_stddevNorm,-0.1835994398709258,0.02310329766152348,0.0337087543209177,-0.3937501120440945,4.768398745421022e-07,0.15503915073473695,0.3937501120440945,0.11294945523411479,4.66243432885611e-06,False,True
85,MeanUnvoicedSegmentLength,-0.17336680926959896,0.03210518148920685,0.030056050556321507,-0.24841582754907332,0.001960058325189774,0.061710423376890935,0.24841582754907332,0.14830192940422304,0.006634043562180774,False,True
48,F2bandwidth_sma3nz_amean,0.16832545107387606,0.037538343494449934,0.028333457479223844,0.07778550149154932,0.33921772911026676,0.0060505842422918215,0.07778550149154932,0.14830192940422304,0.4664243775266168,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.16758417813629226,0.03839909471734337,0.028084456761616534,-0.2165228749944714,0.007182898973416532,0.04688215539587149,0.2165228749944714,0.14830192940422304,0.018603450187731362,False,True
47,F2frequency_sma3nz_stddevNorm,-0.1665672817738794,0.039606866177206025,0.027744659357538934,-0.356370366630988,6.1474886379481e-06,0.1269998382127048,0.356370366630988,0.14830192940422304,5.409790001394328e-05,False,True
33,shimmerLocaldB_sma3nz_stddevNorm,-0.16502824165635555,0.04149540310263988,0.027234320544188485,-0.2269510888083106,0.004785679976705686,0.05150679671127769,0.2269510888083106,0.14830192940422304,0.015040708498217871,False,True
54,F3bandwidth_sma3nz_amean,-0.1636141736507107,0.04329657409019105,0.026769597819404918,-0.41004240047312,1.4119977917008e-07,0.16813477018575854,0.41004240047312,0.14830192940422304,1.6582906424310498e-06,False,True
36,logRelF0H1H2_sma3nz_amean,0.1625116799513944,0.04474584360626269,0.026410046120624444,0.14534458209270465,0.07303673561594058,0.021125047543702962,0.14534458209270465,0.14830192940422304,0.12360062950389944,False,False
38,logRelF0H1A3_sma3nz_amean,0.1622001056450659,0.04516268617631932,0.02630887427127054,-0.0030084774906471794,0.9705585855723984,9.050936811730749e-06,0.0030084774906471794,0.14830192940422304,0.9817144313835754,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.1619484494745698,0.045501728339932074,0.026227300287217287,-0.1273269293868346,0.11678268854917936,0.016212146947079963,0.1273269293868346,0.14830192940422304,0.186852301678687,False,False
37,logRelF0H1H2_sma3nz_stddevNorm,-0.1571481508210249,0.05238632040903728,0.02469554130646759,0.013101591289217207,0.8723016293069247,0.0001716516943096922,0.013101591289217207,0.16050270177442294,0.9248499202290286,False,False
23,mfcc1_sma3_stddevNorm,-0.15681603315383952,0.05289293581202574,0.024591268254106093,-0.20822452734538932,0.009798856847728866,0.043357453788210785,0.20822452734538932,0.16050270177442294,0.02330538925946325,False,True
13,loudness_sma3_percentile500,0.15315931492132462,0.05874362478368756,0.02345777574716949,0.2730946357573213,0.0006367607087385026,0.07458068007942399,0.2730946357573213,0.17231463269881686,0.0025470428349540102,False,True
40,F1frequency_sma3nz_amean,-0.14996139841461212,0.06428690046271343,0.02248842101446603,-0.30848368521463415,0.00010467621370239749,0.0951621840436015,0.30848368521463415,0.1824918464747994,0.0005757191753631861,False,True
41,F1frequency_sma3nz_stddevNorm,-0.14644848370809493,0.07086147610786843,0.021447158380400146,-0.3293974117478069,3.215481706289066e-05,0.10850265486615424,0.3293974117478069,0.19486905929663817,0.00021766337704110598,False,True
10,loudness_sma3_amean,0.1405645227693525,0.08308792366356656,0.019758385061375817,0.2799204959457866,0.0004577166835811363,0.07835548405053513,0.2799204959457866,0.2215677964361775,0.0019180508645304758,False,True
83,MeanVoicedSegmentLengthSec,0.13812236216505566,0.08863562702928457,0.0190777869300548,0.5425756404470616,4.339381980563845e-13,0.2943883256065391,0.5425756404470616,0.22375948250056393,3.8186561428961834e-11,False,True
43,F1bandwidth_sma3nz_stddevNorm,-0.13671606650217383,0.09196192723665095,0.018691282839826816,-0.21260722569772916,0.00832798201733197,0.045201832418885146,0.21260722569772916,0.22375948250056393,0.020938926215006096,False,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.13625726477637143,0.09306835574056929,0.01856604220433819,0.02351754243475318,0.7729255580931311,0.0005530748021704165,0.02351754243475318,0.22375948250056393,0.8526731572990959,False,False
59,alphaRatioV_sma3nz_stddevNorm,0.13584126171902067,0.09408069150591893,0.01845284838541547,0.18717923615776833,0.020514210470799123,0.0350360664486056,0.18717923615776833,0.22375948250056393,0.0440305005226908,False,True
87,equivalentSoundLevel_dBp,0.13158193823470554,0.10495577870166005,0.017313806469601865,0.2618861519599858,0.0010752759859470314,0.06858435658840879,0.2618861519599858,0.2430554875196338,0.003942678615139116,False,True
72,mfcc3V_sma3nz_amean,-0.12987341539011288,0.10958626318644035,0.016867104025092807,-0.1742340314017324,0.03124130827302876,0.030357497698499877,0.1742340314017324,0.2472715682155577,0.0639357006517798,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.12234598558282439,0.13191541292121456,0.014968540188232673,0.3136652929946352,7.876857173686204e-05,0.09838591602941034,0.3136652929946352,0.28981337014198183,0.00046324227101363574,False,True
68,mfcc1V_sma3nz_amean,0.12137702372907744,0.13502668381615063,0.014732381889329028,0.1168510671575386,0.1503071902398607,0.013654171895855596,0.1168510671575386,0.28981337014198183,0.23205320598434634,False,False
75,mfcc4V_sma3nz_stddevNorm,0.11976265795507858,0.14033456270332473,0.014343094240465147,0.041499161768498,0.6105236150231874,0.001722180427487966,0.041499161768498,0.2940343218545851,0.7359736729046642,False,False
82,VoicedSegmentsPerSec,-0.11245630294536985,0.16636012995671393,0.012646420072140799,-0.3136210635683792,7.896175074096063e-05,0.09835817151376135,0.3136210635683792,0.3404579403765308,0.00046324227101363574,False,True
81,loudnessPeaksPerSec,0.11007222336119099,0.17558579630342264,0.01211589435567592,0.21929603269616188,0.006458815499054474,0.0480907499562761,0.21929603269616188,0.3511715926068453,0.018334702061832055,False,True
60,hammarbergIndexV_sma3nz_amean,0.10511695361090005,0.1959599768854623,0.011049573936436113,0.0068214609713737485,0.933306227592932,4.653232978397528e-05,0.0068214609713737485,0.38321062146490403,0.9753798429007157,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.10311055203388343,0.2046796945061789,0.010631785940732183,0.29165596648380643,0.00025433572719845007,0.08506320278560321,0.29165596648380643,0.3915611547074727,0.0011779759996559792,False,True
26,mfcc3_sma3_amean,-0.10180091277926079,0.21051996690159305,0.010363425842690663,-0.1545835691740245,0.05640452971130634,0.023896079858580416,0.1545835691740245,0.3941650444114934,0.09927197229189916,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.09824177551081578,0.2269922373222714,0.009651446455517524,0.28884987023995407,0.0002933836590754943,0.0834342475376383,0.28884987023995407,0.40992876886828017,0.001290888099932175,False,True
22,mfcc1_sma3_amean,0.09797642376641512,0.22825579175620145,0.009599379614056153,0.17336194638291993,0.03211008216903453,0.030054364453674407,0.17336194638291993,0.40992876886828017,0.06422016433806906,False,False
32,shimmerLocaldB_sma3nz_amean,-0.09347742773877034,0.2504371913264788,0.008738029496657031,-0.2484556728313355,0.001956671103956648,0.06173022136207162,0.2484556728313355,0.44076945673460266,0.006634043562180774,False,True
86,StddevUnvoicedSegmentLength,-0.08760516214697771,0.2815690653929081,0.007674664434798256,-0.216719880437919,0.00712917578475088,0.04696750657702591,0.216719880437919,0.4849507729402975,0.018603450187731362,False,True
34,HNRdBACF_sma3nz_amean,0.08670496644297018,0.28656182037381217,0.007517751205876585,0.15760760665672308,0.05169209038629812,0.02484015767606034,0.15760760665672308,0.4849507729402975,0.09283477457131092,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.08530288206449185,0.29445543157432147,0.007276581688508606,-0.10774312681128394,0.18495831255487394,0.011608581375072412,0.10774312681128394,0.4889071316705715,0.28062640525567084,False,False
14,loudness_sma3_percentile800,0.0836320220481367,0.3040489550252554,0.006994315111860024,0.17611368462226332,0.02943649906988547,0.031016029911230026,0.17611368462226332,0.4954871859670829,0.061676474241664794,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.0826117017922477,0.3100072509245093,0.006824693273011261,-0.03451655095226033,0.6718786286475923,0.0011913922896399838,0.03451655095226033,0.4960116014792149,0.77963962160133,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.08109491698231874,0.31900485822446983,0.006576385560369169,-0.12939890916916205,0.11090024552932223,0.01674407769416905,0.12939890916916205,0.5012933486384527,0.18072632604778438,False,False
20,spectralFlux_sma3_amean,0.07868449597511788,0.3336481493877079,0.006191249906858342,0.034224818015901826,0.6744934972914406,0.0011713381682215982,0.034224818015901826,0.511331397104386,0.77963962160133,False,False
28,mfcc4_sma3_amean,-0.07814009691241201,0.3370138753642544,0.006105874745481141,-0.18904552155334872,0.019266649869866103,0.035738209219377634,0.18904552155334872,0.511331397104386,0.04238662971370543,False,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.07705814657395252,0.34376689889125545,0.0059379579534127504,0.09095820498396547,0.26348848260819757,0.00827339505390508,0.09095820498396547,0.51273706953272,0.3864497744920231,False,False
65,slopeV5001500_sma3nz_stddevNorm,0.06918661547231221,0.39544080035826723,0.004786787760513591,0.06477525321615733,0.4263280451217128,0.004195833429217301,0.06477525321615733,0.5762721940601803,0.5437227242131989,False,False
58,alphaRatioV_sma3nz_amean,-0.06860112968789268,0.39946140724626134,0.004706114994455071,0.08391587454835986,0.30240483949836666,0.00704187400121607,0.08391587454835986,0.5762721940601803,0.4292197721912301,False,False
24,mfcc2_sma3_amean,0.0673924952908161,0.40783787828521345,0.004541748421522671,-0.0701775480544139,0.38869135921056425,0.004924888250929572,0.0701775480544139,0.5788666659532061,0.5030123472136714,False,False
