,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.3441673442610356,1.5097838450182395e-06,0.11845116085569421,-0.3601154897820632,4.4498766730843013e-07,0.12968316598097526,0.3601154897820632,0.00013286097836160508,7.83178294462837e-06,True,True
47,F2frequency_sma3nz_stddevNorm,-0.2196716290796057,0.0025901080956477023,0.048255624622487864,-0.32955347639372856,4.365449951920136e-06,0.1086054938031918,0.32955347639372856,0.08849462379765546,5.4879942252710285e-05,False,True
78,slopeUV0500_sma3nz_amean,-0.21280254094959575,0.0035437856296342174,0.04528492143460437,-0.2965597560061324,3.9546191807663066e-05,0.08794768888241677,0.2965597560061324,0.08849462379765546,0.00038667387545270553,False,True
12,loudness_sma3_percentile200,0.20996663579890026,0.004022482899893431,0.044085988148708025,0.3884840421905486,4.2714207740991104e-08,0.15091985103670794,0.3884840421905486,0.08849462379765546,1.2529500937357392e-06,False,True
53,F3frequency_sma3nz_stddevNorm,-0.19539730936795344,0.0075240779902131585,0.0381801085082357,-0.3619372511269127,3.8536944128893914e-07,0.13099857375330587,0.3619372511269127,0.12438927337400969,7.83178294462837e-06,False,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.19249817470762007,0.008481086820955205,0.03705554726576542,-0.135537003557462,0.06510477762416378,0.01837027933333547,0.135537003557462,0.12438927337400969,0.1331544052184982,False,False
11,loudness_sma3_stddevNorm,-0.186743224514198,0.010705728106076978,0.034873031901960165,-0.3966522091276538,2.085271754270048e-08,0.157332975005848,0.3966522091276538,0.1258403475913918,9.17519571878821e-07,False,True
13,loudness_sma3_percentile500,0.18412128771039046,0.011879725925654951,0.03390064858813238,0.2909504251236493,5.606413226354063e-05,0.08465214987963227,0.2909504251236493,0.1258403475913918,0.00044851305810832506,False,True
87,equivalentSoundLevel_dBp,0.1820812651935974,0.012870035549119616,0.033153587134501145,0.2871774896668668,7.061138824154794e-05,0.08247091057136338,0.2871774896668668,0.1258403475913918,0.0005178168471046849,False,True
10,loudness_sma3_amean,0.1745116330163486,0.01720549698528217,0.030454310058032726,0.3008453781480804,3.0141080144300804e-05,0.09050794155306148,0.3008453781480804,0.15140837347048308,0.0003315518815873088,False,True
46,F2frequency_sma3nz_amean,-0.1673286735995387,0.022442536802512444,0.027998885008580963,-0.1838331267126592,0.01201541599069872,0.033794618476952615,0.1838331267126592,0.17954029442009956,0.03916135582153657,False,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.15785380030393037,0.03141031558009639,0.024917822270393127,0.25231852123281295,0.0005120828033590229,0.06366463615711349,0.25231852123281295,0.2303423142540402,0.002503515927533001,False,True
