,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.2971187372248539,2.08760738450175e-12,0.08827954401009178,-0.31413832746411396,9.185533149941364e-14,0.0986828887819509,0.31413832746411396,1.8370944983615401e-10,8.0832691719484e-12,True,True
78,slopeUV0500_sma3nz_amean,-0.27955420911906875,4.251838086428024e-11,0.07815055583618802,-0.298399253328319,1.662048389333791e-12,0.08904211438689831,0.298399253328319,1.8708087580283306e-09,7.313012913068681e-11,True,True
72,mfcc3V_sma3nz_amean,0.24848784868136925,5.326210303515681e-09,0.061746210942295064,0.15439826513927835,0.00032924737221645965,0.023838824278018894,0.15439826513927835,1.5623550223645998e-07,0.0026339789777316772,True,True
21,spectralFlux_sma3_stddevNorm,-0.21623462046155806,4.2110823575861853e-07,0.04675741108615406,-0.21929475970781367,2.858621164794424e-07,0.04809019163530774,0.21929475970781367,9.264381186689608e-06,6.288966562547733e-06,True,True
26,mfcc3_sma3_amean,0.17929128362080976,2.9280463930378032e-05,0.032145364382397644,0.06518275364631425,0.1314056999772586,0.004248791372916093,0.06518275364631425,0.0004484523066063822,0.23871264738561268,True,False
11,loudness_sma3_stddevNorm,-0.17887509823471268,3.057629363225333e-05,0.03199630076847811,-0.16184046474777652,0.00016555855956061746,0.026192336029776296,0.16184046474777652,0.0004484523066063822,0.0014569153241334337,True,True
30,jitterLocal_sma3nz_amean,0.17142152711999228,6.531664552546069e-05,0.02938533996015025,0.09787077702224152,0.023320210768498745,0.009578688994937318,0.09787077702224152,0.0008211235437486487,0.05700495965633026,True,False
58,alphaRatioV_sma3nz_amean,-0.16591528577020773,0.00011216722865308162,0.027527882052209695,-0.014119254515103659,0.7440892050456603,0.00019935334806227506,0.014119254515103659,0.0011115963622058255,0.8394852569745912,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.16577611021849245,0.00011368599158923216,0.027481718719173757,0.10299433123045411,0.016963167836234243,0.010607832265608495,0.10299433123045411,0.0011115963622058255,0.04815350869640688,True,True
63,slopeV0500_sma3nz_stddevNorm,0.16463927318636923,0.0001268362757426479,0.027106090275335917,-0.0440171659957462,0.30861243918534503,0.0019375109022970753,0.0440171659957462,0.0011161592265353014,0.49377990269655203,True,False
