,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.3604697299898571,1.6268756499691972e-23,0.12993842623896049,0.2671086585337659,3.1542905787024867e-13,0.07134703546370796,0.2671086585337659,1.4316505719728936e-21,1.3878878546290942e-11,True,True
78,slopeUV0500_sma3nz_amean,-0.33388996978220814,3.2849489651071294e-20,0.11148251192116386,-0.3272269309457866,1.9775775668543756e-19,0.10707746433619858,0.3272269309457866,1.445377544647137e-18,1.7402682588318504e-17,True,True
26,mfcc3_sma3_amean,0.2923668258823092,1.1754638188379593e-15,0.08547836087649652,0.17034526201049677,4.2957116077225e-06,0.029017508289424794,0.17034526201049677,3.448027201924681e-14,4.200251349773111e-05,True,True
63,slopeV0500_sma3nz_stddevNorm,0.28931943795415715,2.379757413949083e-15,0.08370573717810939,-0.03195178646807102,0.3919505821277508,0.0010209166585012064,0.03195178646807102,5.235466310687982e-14,0.5230823886236254,True,False
30,jitterLocal_sma3nz_amean,0.2758575005116904,4.850784773475929e-14,0.07609736058855726,0.18645563486454056,4.687343530435673e-07,0.034765703772738875,0.18645563486454056,8.537381201317635e-13,5.892660438261989e-06,True,True
21,spectralFlux_sma3_stddevNorm,-0.24502413967895528,2.644410691947191e-11,0.060036829025412186,-0.25985505671115094,1.4152819375398526e-12,0.06752465049835547,0.25985505671115094,3.8784690148558805e-10,4.1514936834502344e-11,True,True
62,slopeV0500_sma3nz_amean,-0.24051541688248662,6.205051030504126e-11,0.05784766575815633,-0.24846514265208358,1.3633417491638759e-11,0.061734927113120244,0.24846514265208358,7.800635581205187e-10,2.9993518481605267e-10,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.23818625865186033,9.576093068617709e-11,0.05673269381057091,0.19694220024697925,9.952217998009373e-08,0.03878623023812128,0.19694220024697925,1.0533702375479479e-09,1.4596586397080416e-06,True,True
70,mfcc2V_sma3nz_amean,0.229763336001174,4.428345821324734e-10,0.05279119057038838,0.12099038783405411,0.0011426229269131387,0.014638673948234829,0.12099038783405411,4.3299381364064065e-09,0.00502754087841781,True,True
79,slopeUV5001500_sma3nz_amean,-0.21574128594225322,4.9784791955952605e-09,0.04654430246001707,-0.15542661567169241,2.8047238815778613e-05,0.024157432859155982,0.15542661567169241,4.381061692123829e-08,0.0002243779105262289,True,True
11,loudness_sma3_stddevNorm,-0.21370146911845317,6.985237260055366e-09,0.04566831790338519,-0.20712835590997078,2.033594475358532e-08,0.042902155821967526,0.20712835590997078,5.588189808044293e-08,3.5791262766310166e-07,True,True
12,loudness_sma3_percentile200,0.21067814962902542,1.1468482336438853e-08,0.044385282731110025,0.1395864049669,0.00017168906402245508,0.019484364451583407,0.1395864049669,8.41022038005516e-08,0.0011622028949212343,True,True
24,mfcc2_sma3_amean,0.20559330879007387,2.5970609068708926e-08,0.042268608619250664,0.12388185099117954,0.0008648393513846042,0.015346713005000812,0.12388185099117954,1.758010460035681e-07,0.004005571732728693,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.20180760207935444,4.709308490426573e-08,0.04072630825701906,0.10469280874973225,0.004922639616629381,0.010960584203908013,0.10469280874973225,2.960136765410989e-07,0.016925177445664658,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.19560777514870817,1.2179590131721815e-07,0.038262401698627574,0.093602952890786,0.011978212253926358,0.008761512789874705,0.093602952890786,7.057229419942927e-07,0.032940083698297484,True,True
58,alphaRatioV_sma3nz_amean,-0.19526185020279255,1.2831326218078048e-07,0.038127190144617795,-0.10080028112311143,0.006790381268791615,0.010160696674498294,0.10080028112311143,7.057229419942927e-07,0.021341198273345074,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1860491237504304,4.968988955581095e-07,0.034614276448302964,-0.1204693167563022,0.001200687652246256,0.014512856279730273,0.1204693167563022,2.572182518183155e-06,0.005031453018936692,True,True
83,MeanVoicedSegmentLengthSec,0.18465005968913953,6.068192313333201e-07,0.03409564454320279,0.05098671065102889,0.1717416621439382,0.0025996446630117426,0.05098671065102889,2.9095001150564856e-06,0.3084340054829911,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.18440669794041098,6.281875248417412e-07,0.03400583024528597,0.0922427703528775,0.013282130737509317,0.008508728682373698,0.0922427703528775,2.9095001150564856e-06,0.03541901530002484,True,True
85,MeanUnvoicedSegmentLength,-0.18296391964491138,7.705265052657399e-07,0.033475795891829585,-0.17208009267524194,3.4163508897703956e-06,0.029611558295119852,0.17208009267524194,3.390316623169256e-06,3.757985978747435e-05,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.1779455476287735,1.5484286055823993e-06,0.031664617920904095,-0.06824036065671005,0.0672449791027676,0.00465674682255786,0.06824036065671005,6.145906946892674e-06,0.13150129246763442,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.1778412830648916,1.57072354286661e-06,0.0316275219621669,0.0054888944849697495,0.883110157613003,3.012796266713133e-05,0.0054888944849697495,6.145906946892674e-06,0.9070589968637379,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.17767773529467656,1.6063165883924033e-06,0.03156937761944516,0.01426576076312936,0.7023539057639555,0.0002035119301508412,0.01426576076312936,6.145906946892674e-06,0.7725892963403511,True,False
27,mfcc3_sma3_stddevNorm,-0.17413540988180182,2.596753405454384e-06,0.030323140974703122,-0.05217232019091056,0.16197786599572894,0.0027219509941028936,0.05217232019091056,9.521429153332743e-06,0.29695942099216976,True,False
35,HNRdBACF_sma3nz_stddevNorm,0.17101340066047824,3.934071281573014e-06,0.029245583205461258,-0.026094826210301833,0.4844894642770807,0.0006809399549458556,0.026094826210301833,1.3847930911137008e-05,0.5921537896719875,True,False
17,loudness_sma3_stddevRisingSlope,0.1593115620316241,1.7484394881725877e-05,0.025380173796956017,0.1262115820273507,0.0006880173617113644,0.015929363437846674,0.1262115820273507,5.9177951907379885e-05,0.003860435098620297,True,True
13,loudness_sma3_percentile500,0.156407568402369,2.491874643487232e-05,0.024463327453541735,0.10212680347479462,0.006092469051737926,0.010429883987979323,0.10212680347479462,8.121665504699126e-05,0.019856936168627316,True,True
25,mfcc2_sma3_stddevNorm,-0.1547542817241767,3.040293745728312e-05,0.023948887711965853,0.0011997333775996353,0.9743633533548355,1.439360177326629e-06,0.0011997333775996353,9.555208915146123e-05,0.9838912397316922,True,False
80,spectralFluxUV_sma3nz_amean,0.15302184217092402,3.7367869666072605e-05,0.02341568418138318,0.06738601902715806,0.0707514682215871,0.004540875560328508,0.06738601902715806,0.00011339215622808239,0.13535063485868837,True,False
