,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.49244088506501477,7.704190480298861e-15,0.24249802528361508,0.3326904827646141,4.3925001052820313e-07,0.110682957322152,0.3326904827646141,6.779687622662997e-13,1.1644441949172122e-05,True,True
26,mfcc3_sma3_amean,0.4573176352843806,9.072288504077488e-13,0.20913941954209772,0.3036389414498093,4.501075033061864e-06,0.09219660676476071,0.3036389414498093,3.9918069417940946e-11,6.042736391691462e-05,True,True
40,F1frequency_sma3nz_amean,-0.314368085610498,1.960667639958235e-06,0.0988272932504094,-0.30277240684733464,4.806722129754572e-06,0.09167113034812793,0.30277240684733464,5.7512917438774894e-05,6.042736391691462e-05,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.2992918575673388,6.245060057115686e-06,0.08957561600610821,-0.3613809853164438,3.4444241991117005e-08,0.13059621654828377,0.3613809853164438,0.0001373913212565451,1.5155466476091482e-06,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.28712968232710306,1.5184024229801825e-05,0.08244345447326312,-0.24377336288551774,0.0002618640976944646,0.059425452452514314,0.24377336288551774,0.00026723882644451216,0.002094912781555717,True,True
52,F3frequency_sma3nz_amean,-0.2830248544330622,2.0307810482123218e-05,0.08010306822685605,-0.37900970980431337,6.332552470523259e-09,0.14364836012594984,0.37900970980431337,0.00029784788707114057,5.572646174060468e-07,True,True
36,logRelF0H1H2_sma3nz_amean,-0.27632789839735916,3.2319597819973e-05,0.07635710743270124,-0.2559080488029463,0.00012393172388626373,0.06548892944213115,0.2559080488029463,0.0004063035154510892,0.001211776855776801,True,True
83,MeanVoicedSegmentLengthSec,0.2482449372439713,0.0001996308156824059,0.06162554886726324,0.1231853719592557,0.06820083096426244,0.015174635864740181,0.1231853719592557,0.002195938972506465,0.141694733798281,True,False
62,slopeV0500_sma3nz_amean,-0.24523909154898474,0.00023970987883391805,0.06014221202377132,-0.21786629446888772,0.0011450491387779986,0.047465722265604096,0.21786629446888772,0.0023438299263760873,0.007751101862497221,True,True
76,alphaRatioUV_sma3nz_amean,0.24273869462800463,0.0002786350419316249,0.05892207386970768,0.3267055867772875,7.238273036988779e-07,0.10673654043149174,0.3267055867772875,0.0024519883689982994,1.2739360545100251e-05,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.23684770409728756,0.0003947637321134439,0.05609683493615628,-0.20584854673859593,0.00214944622026195,0.04237362419439191,0.20584854673859593,0.003158109856907551,0.01261008449220344,True,True
82,VoicedSegmentsPerSec,-0.22850793063704677,0.0006370908351111947,0.05221587436402538,-0.03561340170904893,0.5993123630723319,0.001268314381290089,0.03561340170904893,0.004671999457482095,0.7126957831130434,True,False
84,StddevVoicedSegmentLengthSec,0.22224781564377077,0.0009024351300822622,0.04939409155842752,0.13609401453649908,0.04374847975102128,0.01852158079266082,0.13609401453649908,0.00610879164978762,0.10405043832675331,True,False
21,spectralFlux_sma3_stddevNorm,-0.21882742310356043,0.0010872034022946808,0.047885441102144655,-0.24731558697239658,0.00021130006120847008,0.06116499955950106,0.24731558697239658,0.00683384995728085,0.0018594405386345367,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.20258753548734704,0.0025351897281247894,0.041041709534837094,0.1405142608585081,0.03728458179451515,0.019744257504612863,0.1405142608585081,0.013409497396408877,0.09374409136906667,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.20257657389493847,0.0025365861675100774,0.04103726829101147,0.12203074551013778,0.0708473668991405,0.014891502849760012,0.12203074551013778,0.013409497396408877,0.141694733798281,True,False
27,mfcc3_sma3_stddevNorm,-0.2021577256797489,0.002590471087942624,0.04086774605200861,-0.00147820007302754,0.9826072071870785,2.1850754558986245e-06,0.00147820007302754,0.013409497396408877,0.9826072071870785,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1987665551440957,0.003066510243356816,0.039508143443850834,-0.144605232884067,0.03204052482215707,0.02091067337745525,0.144605232884067,0.014991827856411101,0.08544139952575219,True,False
46,F2frequency_sma3nz_amean,-0.1892513160075648,0.004854135441360826,0.035816060610595155,-0.2892842585274129,1.3011080796027522e-05,0.08368538223175506,0.2892842585274129,0.02248231151788172,0.00014312188875630272,True,True
78,slopeUV0500_sma3nz_amean,-0.18765669277508007,0.005231981706274461,0.035215034343280785,-0.1683222133997587,0.01241006715697527,0.028332367523793905,0.1683222133997587,0.023020719507607628,0.03765813482116634,True,True
12,loudness_sma3_percentile200,0.1831007088145402,0.00646111538269422,0.03352586956838703,0.20056308889666055,0.00280526587489336,0.040225552627769764,0.20056308889666055,0.027075150175099587,0.013161432642547226,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.17520893920630604,0.00921053191652528,0.030698172377799045,-0.09692632500985915,0.15190481198043912,0.009394712479916847,0.09692632500985915,0.03684212766610112,0.27280864192405396,True,False
10,loudness_sma3_amean,0.17066853224550463,0.011224417706552905,0.029127747898834853,0.15407661434566577,0.02225577865160394,0.02373960308822302,0.15407661434566577,0.04294559818159373,0.06120339129191084,True,False
13,loudness_sma3_percentile500,0.16901506256956347,0.012048990850704839,0.028566091375393454,0.17443839725055074,0.009527912916040254,0.03042875443534095,0.17443839725055074,0.043989938989517294,0.03430937755058368,True,True
11,loudness_sma3_stddevNorm,-0.16722659222922237,0.013000483045423755,0.027964733148598615,-0.17226727253708296,0.010474876332959394,0.029676013187365617,0.17226727253708296,0.043989938989517294,0.03545342758847795,True,True
54,F3bandwidth_sma3nz_amean,-0.1664431268349697,0.01343767809976617,0.02770331447060181,-0.19099830991478445,0.004468485078348841,0.036480354390304046,0.19099830991478445,0.043989938989517294,0.01872508032831895,True,True
16,loudness_sma3_meanRisingSlope,0.16633870324413044,0.013496913099056443,0.027668564196938892,0.16374816406715134,0.015041609502598452,0.026813461235362712,0.16374816406715134,0.043989938989517294,0.04412205454095546,True,True
29,mfcc4_sma3_stddevNorm,-0.16441234760980822,0.014631501931106142,0.02703142004656841,-0.20030384914215238,0.0028416729569136056,0.040121631981162136,0.20030384914215238,0.045984720354905015,0.013161432642547226,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.16312234053834107,0.015437196407478905,0.02660889798270651,0.037966602532976526,0.5753909753656411,0.0014414629078970196,0.037966602532976526,0.04684390633993599,0.7032556365580057,True,False
14,loudness_sma3_percentile800,0.1615236795471992,0.016489268053982147,0.0260898990544663,0.15662222331512285,0.0201141686987932,0.02453052083617221,0.15662222331512285,0.0483685196250143,0.05709828533850972,True,False
80,spectralFluxUV_sma3nz_amean,0.16056771330399108,0.017147824380464756,0.025781990555672676,0.06692408116073693,0.32310467618467226,0.004478832639208904,0.06692408116073693,0.048677695015512855,0.473886858404186,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.15865405003982613,0.018535267302781412,0.025171107594039656,-0.1227126412845073,0.06927445722351404,0.015058392331020166,0.1227126412845073,0.049056678491827974,0.141694733798281,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.15862751144767911,0.018555174821238266,0.02516268738808357,0.11116967481635413,0.10004798139898351,0.012358696598773922,0.11116967481635413,0.049056678491827974,0.1913961383284902,True,False
87,equivalentSoundLevel_dBp,0.15810135501206912,0.018953716690024443,0.024996038456652315,0.10350524519036629,0.1258685313665582,0.010713335781917844,0.10350524519036629,0.049056678491827974,0.2307589741720234,True,False
18,loudness_sma3_meanFallingSlope,0.1560469218243418,0.020581880103744572,0.02435064181085224,0.20318528981127407,0.0024600885585619814,0.041284261995691435,0.20318528981127407,0.05174872711798636,0.012734576067850258,False,True
38,logRelF0H1A3_sma3nz_amean,-0.15409691222745375,0.0222379522654282,0.023745858358035585,-0.20433500719316866,0.002321296674104227,0.04175279516463229,0.20433500719316866,0.0543594388710467,0.012734576067850258,False,True
60,hammarbergIndexV_sma3nz_amean,-0.15306594561513454,0.023159131346092352,0.023429183707055323,-0.2106981236508631,0.001673913992189698,0.0443936993099944,0.2106981236508631,0.05438817451206313,0.010521745093763817,False,True
55,F3bandwidth_sma3nz_stddevNorm,0.15270882847298256,0.02348580263020908,0.02331998629359081,0.013473905736515319,0.8424811158017229,0.00018154613579650041,0.013473905736515319,0.05438817451206313,0.8932015011733953,False,False
20,spectralFlux_sma3_amean,0.15176670845176418,0.02436672463426465,0.02303313379428279,0.0592878918209543,0.3814966096993584,0.0035150541165731796,0.0592878918209543,0.054981327379879215,0.5086621462658112,False,False
