,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.5105457292982876,1.3396894674800887e-17,0.2606569417047203,0.3667096856208015,3.509502530180412e-09,0.13447599352810705,0.3667096856208015,1.178926731382478e-15,3.0883622265587626e-07,True,True
26,mfcc3_sma3_amean,0.4656065610789913,1.565508007723325e-14,0.21678946971980445,0.3296030702924314,1.3632626289743342e-07,0.10863818394619748,0.3296030702924314,6.888235233982629e-13,2.9991777837435353e-06,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.2828352387501578,7.213070674535067e-06,0.07999577227885878,-0.3454010710135444,3.041297497151565e-08,0.11930189985730354,0.3454010710135444,0.00021158340645302865,1.3381708987466886e-06,True,True
40,F1frequency_sma3nz_amean,-0.26747686175943447,2.295014713912558e-05,0.07154387157667562,-0.14004281285289655,0.028735624453530808,0.019611989431751405,0.14004281285289655,0.0005049032370607627,0.07437455740913856,True,False
83,MeanVoicedSegmentLengthSec,0.26020263188704257,3.8764493118614806e-05,0.06770540964094378,0.15090405916441754,0.018343278190499527,0.02277203507229803,0.15090405916441754,0.0006822550788876206,0.05566236140565374,True,False
62,slopeV0500_sma3nz_amean,-0.25577607426781956,5.2934565139110014e-05,0.06542140016785715,-0.22071044359970582,0.0005150042207877539,0.04871309991397892,0.22071044359970582,0.0007763736220402803,0.0056650464286652925,True,True
52,F3frequency_sma3nz_amean,-0.24880604970098028,8.54873496368649e-05,0.06190445036780667,-0.00738182974114752,0.9086691887375818,5.449141032729007e-05,0.00738182974114752,0.0010746981097205874,0.9422436961063412,True,False
84,StddevVoicedSegmentLengthSec,0.24039201322692932,0.00014973457580807535,0.05778832002329616,0.15963947078849458,0.012529252465355583,0.025484760633630615,0.15963947078849458,0.0016470803338888287,0.03937765060540326,True,True
36,logRelF0H1H2_sma3nz_amean,-0.2375953519809605,0.00017961623101987522,0.05645155128295651,-0.21536852060190684,0.0007073372284631347,0.04638359966625397,0.21536852060190684,0.0017562475921943355,0.006916186233861762,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.23437210180784449,0.00022093611479109755,0.05493028210582662,0.18749511880599476,0.0032837743455556715,0.03515441957607409,0.18749511880599476,0.001826379943191144,0.0169201074294354,True,True
