,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
77,hammarbergIndexUV_sma3nz_amean,-0.3308721964476786,8.281438174265794e-07,0.10947641038211124,-0.3432598507593585,2.976011337230029e-07,0.11782732514333707,0.3432598507593585,3.9286954571418156e-05,2.6188899767624255e-05,True,True
26,mfcc3_sma3_amean,0.32993938017724284,8.928853311685945e-07,0.10885999459174318,0.1980698613147643,0.0037839401307732568,0.039231669961249965,0.1980698613147643,3.9286954571418156e-05,0.033516409528468724,True,True
72,mfcc3V_sma3nz_amean,0.3228861050817002,1.5649215503033302e-06,0.10425543685483073,0.21176793350537715,0.0019326109715462406,0.044845657661137836,0.21176793350537715,4.5904365475564356e-05,0.024295680785152738,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.24814311528187621,0.0002633723775288578,0.06157500566179451,0.004028006855087251,0.953507952315128,1.6224839224629886e-05,0.004028006855087251,0.005794192305634871,0.9835773466006976,True,False
81,loudnessPeaksPerSec,0.24370441416128297,0.00034154504413619753,0.05939184148169414,0.2703801961747111,6.661741059577642e-05,0.07310545048347526,0.2703801961747111,0.006011192776797077,0.001688733334294244,True,True
76,alphaRatioUV_sma3nz_amean,0.23670025361060185,0.0005098018558347174,0.05602701005932323,0.30712145695301063,5.215961137585937e-06,0.09432358932093995,0.30712145695301063,0.007126914949384614,0.00022950229005378123,True,True
27,mfcc3_sma3_stddevNorm,-0.23480850836991737,0.0005669136891555943,0.05513503560290556,-0.19591653437670958,0.0041895511910585905,0.038383288442180426,0.19591653437670958,0.007126914949384614,0.033516409528468724,True,True
52,F3frequency_sma3nz_amean,-0.2051499283030731,0.0026877985407724792,0.042086493082756034,-0.2681761550416501,7.676060610428382e-05,0.07191845013292315,0.2681761550416501,0.029124858474606795,0.001688733334294244,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.20304700502399728,0.0029786787076302407,0.04122808624921517,-0.025538583686681778,0.7115991482280843,0.0006522192567216486,0.025538583686681778,0.029124858474606795,0.8483107822452185,True,False
40,F1frequency_sma3nz_amean,-0.1821221181980759,0.007852911013465491,0.033168465936953925,-0.19610600984364027,0.004152350509784093,0.03845756709679393,0.19610600984364027,0.06909870907301684,0.033516409528468724,False,True
62,slopeV0500_sma3nz_amean,-0.17994941755601093,0.008637338634127105,0.032381792878747574,-0.20160078126507047,0.00319496576125788,0.04064287500668679,0.20160078126507047,0.06909870907301684,0.033516409528468724,False,True
30,jitterLocal_sma3nz_amean,0.17388454840959863,0.011206945997091565,0.03023583617561005,0.07368995034011336,0.2854974452058023,0.005430208781128373,0.07368995034011336,0.0738144746875519,0.5981851232883476,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.17281804302666395,0.011722673566639434,0.029866075995565875,0.013259559666233777,0.8477977408833407,0.0001758159225424136,0.013259559666233777,0.0738144746875519,0.926116584231982,False,False
55,F3bandwidth_sma3nz_stddevNorm,0.17277643267258788,0.011743211882110529,0.029851695687065295,0.13465513462284417,0.05023670629208746,0.01813200528029629,0.13465513462284417,0.0738144746875519,0.2407266690097982,False,False
