,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.39513442854382946,2.5666029892037024e-10,0.15613121662065868,0.2867530721218189,6.947784940771664e-06,0.08222732437130106,0.2867530721218189,2.258610630499258e-08,0.0003057025373939532,True,True
26,mfcc3_sma3_amean,0.37684132358007727,1.9028302115869597e-09,0.1420093831575845,0.2538838597103243,7.457196917552984e-05,0.06445701422141162,0.2538838597103243,8.372452930982622e-08,0.0013124666574893253,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.33677013348646745,1.0127199429973796e-07,0.1134141228084931,-0.33395876805115415,1.3115186169773948e-07,0.11152845875824458,0.33395876805115415,2.970645166125647e-06,1.1541363829401074e-05,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.2827748718686097,9.413546980664998e-06,0.07996162816030865,0.02374639300619843,0.7155114145794275,0.0005638911808048298,0.02374639300619843,0.00020709803357462996,0.9273621040735653,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.2616781545025625,4.366788529815008e-05,0.06847545654386697,-0.006414473684343855,0.9215847426367691,4.114547264713984e-05,0.006414473684343855,0.0007685547812474415,0.995176203810942,True,False
27,mfcc3_sma3_stddevNorm,-0.2572467152308751,5.931967020518081e-05,0.06617587249707495,-0.18619904955785507,0.003943234045417152,0.03467008605624857,0.18619904955785507,0.0008700218296759853,0.047610107265923116,True,True
81,loudnessPeaksPerSec,0.2473373246467034,0.00011538777773005763,0.06117575216338876,0.27637947782907923,1.5192051219618348e-05,0.0763856157650745,0.27637947782907923,0.0014505892057492958,0.00034938635829547736,True,True
76,alphaRatioUV_sma3nz_amean,0.23312930678649252,0.0002859326901985181,0.05434927368275055,0.27577857485062623,1.588119810433988e-05,0.07605382234664246,0.27577857485062623,0.003145259592183699,0.00034938635829547736,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.22717012450971796,0.00041172043248265756,0.05160626546976076,0.1803329243423567,0.005265823093654648,0.032519963601866146,0.1803329243423567,0.004025710895385985,0.05148804802684544,True,False
62,slopeV0500_sma3nz_amean,-0.2040480565813737,0.0015524889754667084,0.04163560939463549,-0.20906418051620668,0.001177688088414675,0.04370783157491305,0.20906418051620668,0.013661902984107034,0.017272758630081902,True,True
36,logRelF0H1H2_sma3nz_amean,-0.19128853707314078,0.003047277597416275,0.03659130441558235,-0.13764588677157144,0.03380162592695811,0.018946390145132264,0.13764588677157144,0.0243782207793302,0.2258398734687421,True,False
30,jitterLocal_sma3nz_amean,0.18567868189413295,0.004047086257148885,0.03447657290994261,0.09282148922759233,0.15342870559170738,0.008615828862428038,0.09282148922759233,0.029678632552425158,0.3857636026305786,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.17907295956675087,0.005597234739468916,0.03206712484799519,0.14618567256385614,0.024101985621910432,0.021370250862946964,0.14618567256385614,0.03788897362102035,0.19029036423303422,True,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.17100056254894222,0.008201024315831995,0.0292411923920547,0.0038012323655854663,0.9534825667409007,1.444936749717448e-05,0.0038012323655854663,0.0515492956995154,0.995176203810942,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.16647156774811966,0.010092217865167893,0.027712782868516795,-0.0025458442302579193,0.9688356503963145,6.481322844737537e-06,0.0025458442302579193,0.05708506958959482,0.995176203810942,False,False
63,slopeV0500_sma3nz_stddevNorm,0.16585154264195287,0.010379103561744513,0.02750673419671551,-0.006840090622856232,0.9164000576474279,4.678683972888575e-05,0.006840090622856232,0.05708506958959482,0.995176203810942,False,False
