,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.35213038177970085,3.2299102218291223e-19,0.12399580577231788,-0.3275054787776253,1.0820865734959775e-16,0.10725983862936159,0.3275054787776253,1.5623234967974335e-17,9.522361846764601e-15,True,True
40,F1frequency_sma3nz_amean,-0.3517463534319284,3.5507352199941673e-19,0.12372549715265908,-0.306860000735837,9.578569239720487e-15,0.0941630600515979,0.306860000735837,1.5623234967974335e-17,2.107285232738507e-13,True,True
38,logRelF0H1A3_sma3nz_amean,-0.3122608759297671,3.0655546354322767e-15,0.0975068546364254,-0.30692537893395644,9.448697363472597e-15,0.09420318823375275,0.30692537893395644,8.260561370982847e-14,2.107285232738507e-13,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.31130755753823935,3.754800623174021e-15,0.0969123953804242,0.28047247133733916,1.7990822017961366e-12,0.07866480717807453,0.28047247133733916,8.260561370982847e-14,3.1663846751612003e-11,True,True
25,mfcc2_sma3_stddevNorm,0.3023313052188991,2.4455399600389397e-14,0.09140421811536313,0.07769521441453568,0.05532501194118088,0.006036546342920673,0.07769521441453568,4.304150329668534e-13,0.10583915327878081,True,False
48,F2bandwidth_sma3nz_amean,-0.2928493959935085,1.6515506395531933e-13,0.08576076873376276,-0.26298091896777287,4.313635875754398e-11,0.06915896374113432,0.26298091896777287,2.4222742713446836e-12,4.2177773007376335e-10,True,True
46,F2frequency_sma3nz_amean,-0.28523198067699584,7.28219572064034e-13,0.08135728280092214,-0.24664056944029333,6.844813911276489e-10,0.06083157049383216,0.24664056944029333,9.154760334519284e-12,5.1518167989221406e-09,True,True
52,F3frequency_sma3nz_amean,-0.27489329326173634,5.081244410051197e-12,0.07556632268028297,-0.20377601568405104,3.9417816136815075e-07,0.04152466456806662,0.20377601568405104,5.589368851056317e-11,2.167979887524829e-06,True,True
70,mfcc2V_sma3nz_amean,-0.25635876867049945,1.3537014246728863e-10,0.06571981827425465,-0.31814177160104073,8.631532561864357e-16,0.10121418683744877,0.31814177160104073,1.3236191707912665e-09,3.797874327220317e-14,True,True
42,F1bandwidth_sma3nz_amean,-0.25062728793048616,3.5497982912917725e-10,0.06281403745539081,-0.18075347429094732,7.173354729173329e-06,0.032671818468248154,0.18075347429094732,3.12382249633676e-09,3.32239587456449e-05,True,True
24,mfcc2_sma3_amean,-0.24030512592321562,1.898301871804053e-09,0.05774655354497252,-0.23545702471909383,4.064631922760975e-09,0.05544001048956796,0.23545702471909383,1.5186414974432424e-08,2.5549114943068986e-08,True,True
60,hammarbergIndexV_sma3nz_amean,-0.23932181492913562,2.218261922107814e-09,0.057274931100975444,-0.27614546012699015,4.033262138379419e-12,0.0762563151487471,0.27614546012699015,1.6267254095457302e-08,5.070386688248413e-11,True,True
74,mfcc4V_sma3nz_amean,-0.23200640225543415,6.918185032707699e-09,0.05382697068751032,-0.2178292196519843,5.6396974285877766e-08,0.04744956893419242,0.2178292196519843,4.6830790990636726e-08,3.3086224914381623e-07,True,True
72,mfcc3V_sma3nz_amean,0.2304459909012605,8.775105417978095e-09,0.05310535472246384,0.19749327343280032,9.007271725293219e-07,0.03900359305120283,0.19749327343280032,5.5157805484433744e-08,4.403555065698907e-06,True,True
58,alphaRatioV_sma3nz_amean,0.22187248065083148,3.144159044427498e-08,0.04922739767015359,0.23962082863462367,2.1157941575055873e-09,0.05741814151554368,0.23962082863462367,1.8445733060641323e-07,1.4322298912345514e-08,True,True
28,mfcc4_sma3_amean,-0.21808196811970126,5.439211876614884e-08,0.0475597448189624,-0.1742754237434115,1.5249004339730082e-05,0.03037192332094564,0.1742754237434115,2.991566532138186e-07,6.3900589614107e-05,True,True
26,mfcc3_sma3_amean,0.20806164715879863,2.209574220738565e-07,0.043289649018432415,0.14202109733077317,0.0004390592250386845,0.020169992087036945,0.14202109733077317,1.1437795966176101e-06,0.0014310078445705272,True,True
71,mfcc2V_sma3nz_stddevNorm,0.1873359257064069,3.2423901220049785e-06,0.0350947490602764,0.034191060637568306,0.399632799445531,0.001169028627521873,0.034191060637568306,1.5851685040913228e-05,0.4627327151474569,True,False
17,loudness_sma3_stddevRisingSlope,0.1560417380725883,0.00011037023752958778,0.024349024020714257,0.2780775151713902,2.8175262597803346e-12,0.07732710444389473,0.2780775151713902,0.0005111884685580907,4.1323718476778246e-11,True,True
53,F3frequency_sma3nz_stddevNorm,-0.15481810141757402,0.00012510966514070847,0.023968644526542234,-0.03015387812257948,0.45761776266756915,0.0009092563658313773,0.03015387812257948,0.0005504825266191173,0.5229917287629362,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.15160219476922837,0.00017315621927480005,0.022983225458847054,-0.10235807066967907,0.01148985731397961,0.010477174631219015,0.10235807066967907,0.0007218957535301022,0.028086317878616825,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.15118800764756501,0.00018047393838252555,0.022857813656440178,-0.10067986981892527,0.012926616636895073,0.010136436186755738,0.10067986981892527,0.0007218957535301022,0.03074438551477747,True,True
15,loudness_sma3_pctlrange02,0.1486431843964362,0.00023219523711057456,0.022094796267512935,0.19971839739767264,6.741975356912323e-07,0.039887438259094694,0.19971839739767264,0.0008697685359890826,3.489963714166379e-06,True,True
16,loudness_sma3_meanRisingSlope,0.14842554368151173,0.00023720960072429523,0.022030142017152348,0.2670730889728661,2.0937260553952512e-11,0.07132803485350844,0.2670730889728661,0.0008697685359890826,2.3030986609347763e-10,True,True
63,slopeV0500_sma3nz_stddevNorm,0.14785313275935522,0.00025088580199994,0.02186054886675552,0.07051871658784176,0.0820619417932731,0.004972889389196348,0.07051871658784176,0.0008831180230397887,0.15044689328766736,True,False
32,shimmerLocaldB_sma3nz_amean,0.14522539160175368,0.0003236733648440124,0.021090414365882708,0.11672055477251006,0.003922001884198754,0.013623687906402521,0.11672055477251006,0.0010955098502412727,0.010458671691196677,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.14313762952905762,0.000395086814616876,0.020488380987197748,0.04340774046215912,0.28483707127164065,0.0018842319320301658,0.04340774046215912,0.0012876903587512997,0.3679584081680782,True,False
76,alphaRatioUV_sma3nz_amean,0.13952912947762844,0.0005541410413574592,0.019468377972784803,0.09000653564185172,0.026342772917580935,0.008101176458247924,0.09000653564185172,0.001741586129980586,0.05654058577432006,True,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.13346252562545846,0.0009613746569542302,0.017812245746326158,-0.13849184307758597,0.0006098434822654098,0.019179990599026697,0.13849184307758597,0.002917274821102492,0.0018505595323915884,True,True
81,loudnessPeaksPerSec,0.12925110428533415,0.0013909926383668843,0.016705847958978323,0.25018652761288174,3.819213200210254e-10,0.06259329859899124,0.25018652761288174,0.004080245072542861,3.3609076161850234e-09,True,True
14,loudness_sma3_percentile800,0.11789881049347195,0.0035718619380331784,0.013900129515775612,0.1696618190137209,2.5667333115743502e-05,0.02878513283104459,0.1696618190137209,0.010139479049900636,0.00010266933246297401,True,True
18,loudness_sma3_meanFallingSlope,0.116793650392413,0.0038994071298384205,0.013640756771985195,0.24648118517213435,7.025204725802919e-10,0.06075297464385999,0.24648118517213435,0.010723369607055656,5.1518167989221406e-09,True,True
22,mfcc1_sma3_amean,-0.11208326979412354,0.0056223498210911495,0.012562659367742287,-0.14415157200482653,0.0003587452657834645,0.02077967571146269,0.14415157200482653,0.014992932856243065,0.001262783335557795,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.10162306665873899,0.012100738488680762,0.010327247677126509,0.11359059747939737,0.005008140150864801,0.012902823835726477,0.11359059747939737,0.03131955844129138,0.012962245096355955,True,True
34,HNRdBACF_sma3nz_amean,-0.09695769338610052,0.01669119938906912,0.009400794306753082,-0.16482274189521565,4.3677639723514446e-05,0.027166536245856875,0.16482274189521565,0.041966444178230936,0.0001671144476377944,True,True
10,loudness_sma3_amean,0.0963479419820503,0.01739183653232745,0.00928292592417653,0.1424101239360924,0.00042324533606127846,0.020280643399493196,0.1424101239360924,0.04251337819013377,0.0014310078445705272,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.0926797726386702,0.022174206175335293,0.0085895402563556,-0.02130855811414735,0.5997012046223467,0.00045405464890399484,0.02130855811414735,0.052738652525121776,0.6515272346514384,False,False
68,mfcc1V_sma3nz_amean,-0.09129977434523052,0.024248583917919078,0.008335648795490013,-0.03919350768825433,0.33424519279480636,0.0015361310449092513,0.03919350768825433,0.05615461538886523,0.4142757319146896,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.08470028868979222,0.03664571185048462,0.007174138904134144,-0.13380210042830112,0.0009327276856119643,0.01790300207902518,0.13380210042830112,0.08040896687022303,0.0027360012111284286,False,True
19,loudness_sma3_stddevFallingSlope,0.08443408280364395,0.03724228548697599,0.007129114338892603,0.1745096619042703,1.4845768539578031e-05,0.03045362209794273,0.1745096619042703,0.08040896687022303,6.3900589614107e-05,False,True
13,loudness_sma3_percentile500,0.08433639338516767,0.03746326865544482,0.007112627249217753,0.12216232592635262,0.002529109233197062,0.014923633875736406,0.12216232592635262,0.08040896687022303,0.00695505039129192,False,True
0,F0semitoneFrom275Hz_sma3nz_amean,-0.08255472650198098,0.04169303448594673,0.006815282867816881,-0.15743609194015498,9.557052981163686e-05,0.024786123045388932,0.15743609194015498,0.08735683416103124,0.00035042527597600184,False,True
35,HNRdBACF_sma3nz_stddevNorm,0.08136883905977674,0.04472645727975861,0.006620887969935848,-0.027431599941565514,0.4992366356355027,0.0007524926753540971,0.027431599941565514,0.09153321489811064,0.5632413325118492,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.07725960590878185,0.05671009351202217,0.005969046705180279,-0.13887622071147437,0.0005886225437722404,0.019286604679102145,0.13887622071147437,0.11342018702404434,0.0018499565661413268,False,True
23,mfcc1_sma3_stddevNorm,0.07679449201933017,0.058220643984162296,0.0058973940045069645,0.052026369793126616,0.19979581342450545,0.0027067431538511577,0.052026369793126616,0.11385370379125072,0.2882300259238767,False,False
27,mfcc3_sma3_stddevNorm,-0.07482035787688238,0.06500775711612077,0.005598085952824755,-0.026859295223970882,0.5082344881016694,0.000721421739928425,0.026859295223970882,0.12436266578736146,0.5661346196575557,False,False
66,spectralFluxV_sma3nz_amean,0.07215382863106903,0.07519580101115152,0.005206174986121677,0.08092798617678093,0.04590051064893496,0.0065493389466292455,0.08092798617678093,0.14079213806343263,0.09180102129786992,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.07110367450165873,0.07954952605717584,0.005055732527637835,-0.13282924783284147,0.0010169811941268892,0.01764360907983842,0.13282924783284147,0.14584079777148906,0.0028869143575214916,False,True
12,loudness_sma3_percentile200,0.07018100841437631,0.08354139590420961,0.004925373942058759,0.06920042783450982,0.08795962010537547,0.004788699212479201,0.06920042783450982,0.15003352733817238,0.1579682973321029,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.06958901015802656,0.08618679871669577,0.0048426303347739235,0.011555424445856628,0.7759601595812933,0.00013352783412390096,0.011555424445856628,0.15168876574138454,0.8227047475078771,False,False
62,slopeV0500_sma3nz_amean,0.06752565562209238,0.09593866836005734,0.0045597141671934165,-0.02416536050430934,0.5517013085418001,0.0005839646483032338,0.02416536050430934,0.16554123168009893,0.6068714393959801,False,False
31,jitterLocal_sma3nz_stddevNorm,-0.06645365831432029,0.10134232744766637,0.004416088703356431,-0.061649020382091205,0.12858889948461824,0.0038006017140714966,0.061649020382091205,0.17150240029605077,0.22631646309292808,False,False
59,alphaRatioV_sma3nz_stddevNorm,-0.06265447558885658,0.12246153907072904,0.003925583311314625,0.009231350999122843,0.8201536169202418,8.52178412690063e-05,0.009231350999122843,0.20333236675894634,0.8298854212853121,False,False
36,logRelF0H1H2_sma3nz_amean,-0.056656028950357734,0.1625933071007239,0.003209905616423774,0.10755404486302655,0.00789641296193767,0.011567872566397928,0.10755404486302655,0.26496687083080933,0.01985383830430043,False,True
65,slopeV5001500_sma3nz_stddevNorm,-0.0530485073580051,0.19109109432484533,0.002814144132912321,-0.05287779615734916,0.19252520646082863,0.0027960613264581694,0.05287779615734916,0.30574575091975253,0.2823703028092153,False,False
67,spectralFluxV_sma3nz_stddevNorm,-0.050300618662538536,0.2151421070815975,0.00253015223783412,-0.08450478225378144,0.03708304758844969,0.007141058223759014,0.08450478225378144,0.3380804539853675,0.07589088808799006,False,False
64,slopeV5001500_sma3nz_amean,0.04928363796412562,0.224573145138578,0.0024288769709790037,0.03575697944872334,0.3783844613075512,0.0012785615792964232,0.03575697944872334,0.3463481280869216,0.44397110126752676,False,False
84,StddevVoicedSegmentLengthSec,0.048892797391048674,0.22827490260274377,0.002390505636722136,0.0064952606629025056,0.8729110614809845,4.2188411079048693e-05,0.0064952606629025056,0.3463481280869216,0.8729110614809845,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.048140101585909804,0.2355255837440161,0.0023174693807017158,-0.03793086210117415,0.3500624447713242,0.0014387502997382892,0.03793086210117415,0.3512923960927698,0.42261452926290594,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.04545165469250577,0.2627448921105067,0.0020658529142867817,0.03789032657365429,0.35057796177491063,0.0014356768478581727,0.03789032657365429,0.3853591750954099,0.42261452926290594,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.041223884044078965,0.30979053957916675,0.0016994086156796682,-0.05857143966155524,0.14882574096895082,0.003430613544027206,0.05857143966155524,0.4469109423437159,0.25185894625514754,False,False
43,F1bandwidth_sma3nz_stddevNorm,0.040528920243797555,0.31802478525790623,0.0016425933761281032,0.05383311391673718,0.1846005412548569,0.0028980041539724026,0.05383311391673718,0.45139001778541527,0.2823703028092153,False,False
69,mfcc1V_sma3nz_stddevNorm,0.03925381135356929,0.3335014458779889,0.0015408617057816054,-0.051036921835139075,0.20849393990571985,0.0026047673904060955,0.051036921835139075,0.46517991521160285,0.29592688244682813,False,False
86,StddevUnvoicedSegmentLength,0.03886522889810306,0.3383126656084384,0.001510506017301945,0.053013901764555185,0.1913811737215812,0.0028104737803019073,0.053013901764555185,0.46517991521160285,0.2823703028092153,False,False
82,VoicedSegmentsPerSec,-0.03824038565888968,0.34614186101851374,0.0014623270953406156,0.09768019534350791,0.015893109856962632,0.009541420562345864,0.09768019534350791,0.46862282722506476,0.03586137608750543,False,True
20,spectralFlux_sma3_amean,0.037069213050629345,0.3611238303543286,0.001374126556192949,0.05615602537330132,0.16634027366817036,0.0031534991857268616,0.05615602537330132,0.4814984404724381,0.27618762420375453,False,False
11,loudness_sma3_stddevNorm,0.03500429711721114,0.3885098108155939,0.001225300816669996,0.0789108831569398,0.05160766800785467,0.006226927480608204,0.0789108831569398,0.5102815425637651,0.10092166188202692,False,False
85,MeanUnvoicedSegmentLength,0.031889437136934345,0.4321322568959681,0.0010169362009104874,0.016639369938630258,0.6819454197426061,0.0002768686319545923,0.016639369938630258,0.5527902192920313,0.7318438650896262,False,False
75,mfcc4V_sma3nz_stddevNorm,-0.03179913053520162,0.4334377855812518,0.001011184702794792,-0.0543257893721595,0.18060899983938083,0.0029512913909082376,0.0543257893721595,0.5527902192920313,0.2823703028092153,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.030716898711573366,0.44925926195981747,0.0009435278664570575,-0.04894141435801208,0.2278120914074542,0.002395262039362631,0.04894141435801208,0.5647830721780562,0.31324162568524955,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.030190999844283643,0.4570639927648026,0.0009114964715975349,-0.040939878050349654,0.31313844328660057,0.0016760736147775014,0.040939878050349654,0.566501850187361,0.3936597572745836,False,False
30,jitterLocal_sma3nz_amean,-0.02736449203489263,0.5002873286213947,0.0007488154243277022,-0.05524818536707213,0.1733084885049812,0.0030523619863543627,0.05524818536707213,0.6114622905372601,0.2772935816079699,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.026089055791427642,0.5204769152557536,0.0006806388320882242,-0.04307821692824784,0.2885128427681522,0.001855732773717179,0.04307821692824784,0.6274242266096755,0.3679584081680782,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.02539183711087618,0.5316880069715522,0.0006447453918652688,-0.04357626663864725,0.2829694603307882,0.001898891014162481,0.04357626663864725,0.6322776299121161,0.3679584081680782,False,False
41,F1frequency_sma3nz_stddevNorm,0.023893444458418595,0.5561878423292401,0.0005708966880875342,0.09454651496085956,0.019614170823984662,0.00893904349124404,0.09454651496085956,0.6525937349996417,0.04315117581276626,False,True
79,slopeUV5001500_sma3nz_amean,0.02245888130982771,0.5801472158540022,0.0005044013496889283,0.05870261478342789,0.14791640313839058,0.003445996982411527,0.05870261478342789,0.6688864522611032,0.25185894625514754,False,False
78,slopeUV0500_sma3nz_amean,0.022139883732368915,0.5855398194388143,0.0004901744516828137,-0.08820328556022898,0.029521967179622813,0.007779819583619298,0.08820328556022898,0.6688864522611032,0.06185555028111446,False,False
21,spectralFlux_sma3_stddevNorm,-0.02170805195034383,0.5928766281405233,0.0004712395194788266,-0.04439052291589201,0.27406262448558627,0.0019705185247463337,0.04439052291589201,0.6688864522611032,0.3679584081680782,False,False
29,mfcc4_sma3_stddevNorm,-0.019544601888343713,0.6302497968330052,0.00038199146297384864,-0.009303581234170829,0.8187707167107923,8.655662378081559e-05,0.009303581234170829,0.7020504065987906,0.8298854212853121,False,False
47,F2frequency_sma3nz_stddevNorm,-0.018589284036789132,0.6470659292595684,0.00034556148100042323,0.04952250305573511,0.22233196539481,0.002452478308905294,0.04952250305573511,0.7117725221855252,0.3105589357895759,False,False
87,equivalentSoundLevel_dBp,0.015282624167662672,0.7066265300741639,0.00023355860145002718,0.053417164815316845,0.1880208577040461,0.0028533934969067237,0.053417164815316845,0.7676930203274868,0.2823703028092153,False,False
