,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
55,F3bandwidth_sma3nz_stddevNorm,0.29072369412273263,9.756175202734057e-19,0.08452026632436821,0.2637344706657612,1.4006082040584423e-15,0.06955587101734927,0.2637344706657612,8.58543417840597e-17,3.3459354527957057e-14,True,True
72,mfcc3V_sma3nz_amean,0.284722807406295,5.2677675880250544e-18,0.08106707705732216,0.2617469333413614,2.317905919798406e-15,0.0685114571136071,0.2617469333413614,2.317817738731024e-16,4.0795144188451945e-14,True,True
28,mfcc4_sma3_amean,-0.28222105176858514,1.0513525918035756e-17,0.07964872206136642,-0.21736700553405902,6.029661685126944e-11,0.04724841509484364,0.21736700553405902,2.3860861087726505e-16,5.895669203235234e-10,True,True
54,F3bandwidth_sma3nz_amean,-0.28210779366662286,1.0845845948966593e-17,0.07958480724744986,-0.11767968868534363,0.0004446339157191579,0.013848509129079395,0.11767968868534363,2.3860861087726505e-16,0.00130425948610953,True,True
74,mfcc4V_sma3nz_amean,-0.25978499939765537,3.795292443683367e-15,0.06748824591203981,-0.22465868247372084,1.3041912412672766e-11,0.05047152361082812,0.22465868247372084,6.042476593452691e-14,1.6395547033074334e-10,True,True
26,mfcc3_sma3_amean,0.2594568931091068,4.1198704046268344e-15,0.06731787938183047,0.21344370510787442,1.344242510357902e-10,0.04555821525017725,0.21344370510787442,6.042476593452691e-14,1.1829334091149538e-09,True,True
40,F1frequency_sma3nz_amean,-0.25124600590660806,3.09372698609426e-14,0.06312455548402333,-0.11530956416422287,0.0005798836341415239,0.013296295587743033,0.11530956416422287,3.8892567825184986e-13,0.0015946799938891907,True,True
17,loudness_sma3_stddevRisingSlope,0.24577309295004554,1.1399378716670735e-13,0.06040441321823173,0.28820567002377756,1.9894236397283233e-18,0.08306250823385455,0.28820567002377756,1.2539316588337807e-12,1.7506928029609244e-16,True,True
16,loudness_sma3_meanRisingSlope,0.2381016291042012,6.728053536748154e-13,0.0566923857820746,0.2774035351381101,3.9007036974655395e-17,0.07695272130712069,0.2774035351381101,6.578541235931528e-12,1.7163096268848373e-15,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.23223926299949818,2.5074110842848083e-12,0.053935075278550085,-0.18958252885227725,1.2706463759450573e-08,0.03594153524602454,0.18958252885227725,2.2065217541706314e-11,8.601298544858849e-08,True,True
18,loudness_sma3_meanFallingSlope,0.23150142642515545,2.9515243648142094e-12,0.05359291043688166,0.26341058396750594,1.5208797512707753e-15,0.0693851357461025,0.26341058396750594,2.3612194918513676e-11,3.3459354527957057e-14,True,True
15,loudness_sma3_pctlrange02,0.23107641391671685,3.2413878953339006e-12,0.05339630906860985,0.22667359697804765,8.462107189722928e-12,0.051380919566966374,0.22667359697804765,2.3770177899115274e-11,1.2411090544926963e-10,True,True
35,HNRdBACF_sma3nz_stddevNorm,0.2214552063354899,2.5724312596111735e-11,0.04904240841309441,-0.014995301288231339,0.6556019126224591,0.00022485906072483244,0.014995301288231339,1.741338083429102e-10,0.7903146343941972,True,False
14,loudness_sma3_percentile800,0.2189395027339908,4.353696880332423e-11,0.04793450585740716,0.2060972841271162,5.788567698578016e-10,0.04247609052457326,0.2060972841271162,2.585761202116264e-10,4.244949645623879e-09,True,True
19,loudness_sma3_stddevFallingSlope,0.2188803617824788,4.407547503607268e-11,0.0479086127740288,0.21177919314431845,1.8801157940469066e-10,0.04485042664885854,0.21177919314431845,2.585761202116264e-10,1.5040926352375253e-09,True,True
10,loudness_sma3_amean,0.21102331894438875,2.1875436301491142e-10,0.04453084113830522,0.18761697864818466,1.8031617238338027e-08,0.03520013067707338,0.18761697864818466,1.2031489965820128e-09,1.1334159406955332e-07,True,True
66,spectralFluxV_sma3nz_amean,0.20815674901634637,3.865036432204214e-10,0.043329232161054214,0.13435417483777626,5.970370932102706e-05,0.01805104429633975,0.13435417483777626,2.0007247413762988e-09,0.00021015705681001523,True,True
38,logRelF0H1A3_sma3nz_amean,-0.20291917935643294,1.070801169374683e-09,0.0411761933506882,-0.14514767483608942,1.426300373962429e-05,0.021067847510323146,0.14514767483608942,5.235027939165117e-09,5.705201495849716e-05,True,True
42,F1bandwidth_sma3nz_amean,-0.20080377324051368,1.6037378892950337e-09,0.04032215534762764,0.005591457665594563,0.8679253437264013,3.1264398826136204e-05,0.005591457665594563,7.427838645155945e-09,0.8985580029167448,True,False
13,loudness_sma3_percentile500,0.20032171734357598,1.7572870098548225e-09,0.040128790439479554,0.17244396187068053,2.3745521475941751e-07,0.029736919985656723,0.17244396187068053,7.732062843361219e-09,1.3060036811767963e-06,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.1968279638435076,3.386068841362682e-09,0.03874124735078113,-0.08686992942859169,0.009640786531597613,0.0075463846389285,0.08686992942859169,1.4189240859043619e-08,0.020199743209061666,True,True
20,spectralFlux_sma3_amean,0.19580411088915056,4.094440034769272e-09,0.03833924984109077,0.11640954374624653,0.0005129514968206561,0.013551181875209284,0.11640954374624653,1.6377760139077088e-08,0.0014561203780715398,True,True
52,F3frequency_sma3nz_amean,-0.1934208240799786,6.34629679922749e-09,0.03741161518777803,0.012566548921147896,0.708589728641186,0.00015791815178760335,0.012566548921147896,2.428148340573996e-08,0.8204723173740048,True,False
46,F2frequency_sma3nz_amean,-0.19168825442435133,8.697239736850349e-09,0.03674438688425485,-0.010242226672309802,0.7606575551506939,0.00010490320720697431,0.010242226672309802,3.188987903511795e-08,0.8322938584836931,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.19121397487949005,9.476034788204323e-09,0.03656278418921425,-0.08285182913061735,0.013575516002277703,0.006864425590289014,0.08285182913061735,3.3355642454479216e-08,0.026547675737787508,True,True
34,HNRdBACF_sma3nz_amean,-0.19036060670771046,1.1051069972321006e-08,0.03623716058612762,-0.18032140755139048,6.400300666137094e-08,0.032515810021314664,0.18032140755139048,3.740362144477879e-08,3.7548430574670954e-07,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1898714846531069,1.206539649691205e-08,0.03605118068437501,-0.12444755250706696,0.00020272912184545524,0.015487193324999189,0.12444755250706696,3.932425524919483e-08,0.0006371486686571451,True,True
12,loudness_sma3_percentile200,0.18746335349631157,1.852881601026234e-08,0.035142508904083075,0.12912156392925325,0.00011511631095080318,0.016672378271536236,0.12912156392925325,5.823342174653879e-08,0.0003896244370642569,True,True
