,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.276184018933546,1.2322878912676693e-30,0.07627761231428529,0.17594255313296084,4.3774288436390926e-13,0.030955782002944746,0.17594255313296084,1.084413344315549e-28,4.8151717280030014e-12,True,True
26,mfcc3_sma3_amean,0.25135857763912106,1.7108138850310662e-25,0.06318113455276204,0.1243351540656254,3.422687079147468e-07,0.015459230536522805,0.1243351540656254,7.527581094136691e-24,1.3690748316589872e-06,True,True
40,F1frequency_sma3nz_amean,-0.2282730155589522,3.4090684535757314e-21,0.05210856963237764,-0.2557682806142705,2.2888705658126597e-26,0.06541741336838021,0.2557682806142705,9.999934130488813e-20,1.0071030489575702e-24,True,True
54,F3bandwidth_sma3nz_amean,-0.22549642093630562,1.045295654022212e-20,0.05084863585508353,-0.2716618218206798,1.1708322293555235e-29,0.0738001454349308,0.2716618218206798,2.299650438848866e-19,1.0303323618328607e-27,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.22298240111155046,2.8461343965401144e-20,0.04972115120547238,0.1601077599636,4.626880570269236e-11,0.025634494800561753,0.1601077599636,5.009196537910601e-19,3.132042232182252e-10,True,True
52,F3frequency_sma3nz_amean,-0.1868736660467036,1.347765615394948e-14,0.0349217670617349,-0.20850785937464608,7.192281603850386e-18,0.04347552742099719,0.20850785937464608,1.9767229025792572e-13,1.265841562277668e-16,True,True
38,logRelF0H1A3_sma3nz_amean,-0.16579936908151682,9.122825765985942e-12,0.027489430787829037,-0.20293728633378064,5.441134185439549e-17,0.04118354218451887,0.20293728633378064,1.1468695248668042e-10,7.980330138644672e-16,True,True
42,F1bandwidth_sma3nz_amean,-0.15672241705013631,1.1827720499503078e-10,0.024561916006036858,-0.13652785852937668,2.1061729376857945e-08,0.018639856154617492,0.13652785852937668,1.3010492549453385e-09,9.754906237702627e-08,True,True
46,F2frequency_sma3nz_amean,-0.1502466995920172,6.733104279493021e-10,0.02257407073829386,-0.22747180639210351,4.717516660586568e-21,0.05174342270328663,0.22747180639210351,6.5834797399487315e-09,1.0378536653290449e-19,True,True
81,loudnessPeaksPerSec,0.13705408274773107,1.8567172480713315e-08,0.018783821597821913,0.238481489074368,4.8712018816445505e-23,0.05687342063112791,0.238481489074368,1.633911178302772e-07,1.4288858852824017e-21,True,True
53,F3frequency_sma3nz_stddevNorm,-0.12956719889799156,1.0672484052059364e-07,0.016787659030271705,-0.05906278525157511,0.01574981471675058,0.003488412601673678,0.05906278525157511,8.537987241647491e-07,0.030799637668312247,True,True
63,slopeV0500_sma3nz_stddevNorm,0.1219003368099201,5.794423184648963e-07,0.014859692114371962,0.011877681243492833,0.6275429542898677,0.00014107931172202144,0.011877681243492833,4.249243668742573e-06,0.6990351895887135,True,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.11852396243397957,1.1826915296039417e-06,0.014047929671051401,-0.14008411201382734,8.90166664628039e-09,0.019623558438702525,0.14008411201382734,8.005911892703604e-06,4.351925915959302e-08,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.11800082231390527,1.3186672151885779e-06,0.013924194066757843,-0.11823687934166227,1.255547416770446e-06,0.013979959636454802,0.11823687934166227,8.288765352613917e-06,4.41952690703197e-06,True,True
21,spectralFlux_sma3_stddevNorm,-0.1112662050076796,5.137719464646859e-06,0.012380168376810986,-0.14044889613994363,8.13898104464597e-09,0.01972589242692867,0.14044889613994363,3.0141287525928242e-05,4.351925915959302e-08,True,True
