,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.3451615009797896,1.5895818033008602e-62,0.11913646175862129,0.25993093309611637,2.852219675956723e-35,0.06756408998021772,0.25993093309611637,1.398831986904757e-60,2.509953314841916e-33,True,True
26,mfcc3_sma3_amean,0.3091105794360134,7.074614619043997e-50,0.09554935031926794,0.1997913337118413,3.1704366474213402e-21,0.039916577026356335,0.1997913337118413,3.1128304323793587e-48,1.2240041178616547e-19,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.2488004120550524,2.2961167798815485e-32,0.061901645038763865,0.1988446625918223,4.9038395742819775e-21,0.03953919984125565,0.1988446625918223,6.735275887652543e-31,1.2240041178616547e-19,True,True
63,slopeV0500_sma3nz_stddevNorm,0.1819988406319342,7.99360956099217e-18,0.03312357799136818,0.014065444139673368,0.5098409619117099,0.0001978367188462719,0.014065444139673368,1.7585941034182775e-16,0.6127091046825636,True,False
17,loudness_sma3_stddevRisingSlope,0.1808579096411876,1.2868800441723806e-17,0.03270958347977997,0.19856976944970867,5.56365508118934e-21,0.03942995333931045,0.19856976944970867,2.26490887774339e-16,1.2240041178616547e-19,True,True
16,loudness_sma3_meanRisingSlope,0.17979464255001643,2.0000339162384303e-17,0.032326113489688175,0.1778657081243848,4.420281647063696e-17,0.03163621012658884,0.1778657081243848,2.933383077149698e-16,4.862309811770065e-16,True,True
30,jitterLocal_sma3nz_amean,0.17853007426371642,3.367152528785691e-17,0.0318729874166081,0.09169714472936473,1.664961876523042e-05,0.008408366351518062,0.09169714472936473,4.2329917504734408e-16,4.8838881711342564e-05,True,True
35,HNRdBACF_sma3nz_stddevNorm,0.1756831751198398,1.072735081462731e-16,0.0308645780201883,-0.016502374094880576,0.43935042235142435,0.00027232835076738553,0.016502374094880576,1.1800085896090041e-15,0.5445470023510612,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.17341813047882768,2.660018279801191e-16,0.0300738479787717,-0.1329882814380218,3.8710514223454166e-10,0.017685882999838493,0.1329882814380218,2.600906762472275e-15,2.838771043053306e-09,True,True
40,F1frequency_sma3nz_amean,-0.17154669174730824,5.581494378116129e-16,0.029428267449445995,-0.06802448857954026,0.001417502596716291,0.0046273310465080025,0.06802448857954026,4.9117150527421935e-15,0.003282637592395621,True,True
19,loudness_sma3_stddevFallingSlope,0.1654903863737972,5.803783107166304e-15,0.027387067982148683,0.14914430892289657,2.100121523876179e-12,0.022244024884088404,0.14914430892289657,4.6430264857330435e-14,2.05345215667893e-11,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.16162671862768263,2.4711540950626818e-14,0.026123196174352093,0.0001492929361419864,0.9944186082297031,2.2288380781895226e-08,0.0001492929361419864,1.8121796697126335e-13,0.9944186082297031,True,False
32,shimmerLocaldB_sma3nz_amean,0.1610920563275714,3.0114192405428884e-14,0.025950650611845438,0.12014315616010769,1.6051978815886467e-08,0.014434377972112023,0.12014315616010769,2.0384991782136474e-13,9.417160905320062e-08,True,True
18,loudness_sma3_meanFallingSlope,0.1599815094742653,4.531130962905019e-14,0.025594083373664433,0.18029486584409615,1.6258903532497935e-17,0.03250623864974063,0.18029486584409615,2.8240918983522093e-13,2.0439764440854548e-16,True,True
12,loudness_sma3_percentile200,0.15981635176832945,4.8137930085549016e-14,0.02554126629253842,0.09816811790634013,4.008868865199924e-06,0.009636979373273097,0.09816811790634013,2.8240918983522093e-13,1.356847923606128e-05,True,True
54,F3bandwidth_sma3nz_amean,-0.15856783201001182,7.590382936732655e-14,0.025143757348355326,-0.05221638110344681,0.01435203162850963,0.0027265504555403974,0.05221638110344681,4.1305526802277395e-13,0.027722895232383554,True,True
10,loudness_sma3_amean,0.15843016626865522,7.97947676862177e-14,0.02510011758391374,0.1180746079185143,2.8249402526351454e-08,0.013941613035110881,0.1180746079185143,4.1305526802277395e-13,1.55371713894933e-07,True,True
14,loudness_sma3_percentile800,0.15686384108077162,1.4048901754624865e-13,0.024606264638613574,0.12192226839108046,9.79658580376781e-09,0.014865039529626657,0.12192226839108046,6.868351968927711e-13,6.157853933796909e-08,True,True
20,spectralFlux_sma3_amean,0.15657949244374522,1.5558740319984875e-13,0.024517137453940865,0.05458619062128402,0.01047903232543246,0.002979652206543155,0.05458619062128402,7.206153411361415e-13,0.02095806465086492,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.1558707636943681,2.0050020671266454e-13,0.024295694974665535,0.0218428125056452,0.3060277860346241,0.0004771084581567703,0.0218428125056452,8.82200909535724e-13,0.4080370480461655,True,False
13,loudness_sma3_percentile500,0.15554224668038583,2.2542189185274754e-13,0.024193390502381996,0.1167571991725718,4.028931611017552e-08,0.0136322435586236,0.1167571991725718,9.446250706210373e-13,1.969699898719692e-07,True,True
66,spectralFluxV_sma3nz_amean,0.15351140239747224,4.625081619177886e-13,0.023565750666038648,0.052142127394459614,0.014491513416927766,0.0027188014492200555,0.052142127394459614,1.8500326476711544e-12,0.027722895232383554,True,True
80,spectralFluxUV_sma3nz_amean,0.15240108092879545,6.823529585768661e-13,0.023226089468265262,0.036020563504555445,0.09134726907584412,0.0012974809951857116,0.036020563504555445,2.6107417545549662e-12,0.14886221627174598,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.15077579658526488,1.1994802967736012e-12,0.022733340835921174,0.13315095167131666,3.683882625423587e-10,0.017729175930977305,0.13315095167131666,4.398094421503205e-12,2.838771043053306e-09,True,True
15,loudness_sma3_pctlrange02,0.15037931635353938,1.3751596853930145e-12,0.022613938786957874,0.11473391707927595,6.8978638794098e-08,0.01316387172835417,0.11473391707927595,4.840562092583411e-12,3.0350601069403124e-07,True,True
27,mfcc3_sma3_stddevNorm,-0.1496331813448187,1.7767845412442934e-12,0.0223900889593714,-0.06892253459957871,0.0012237291912013508,0.004750315775630125,0.06892253459957871,6.013732293442223e-12,0.002910491049343753,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.1468029679022213,4.641655379825578e-12,0.02155111138490062,-0.12889338237530376,1.3214857415637235e-09,0.016613504020146268,0.12889338237530376,1.512835827498707e-11,8.945441942892897e-09,True,True
87,equivalentSoundLevel_dBp,0.14630904990463617,5.478118215198644e-12,0.021406338083997316,0.11357943708250975,9.336697543992371e-08,0.012900288527979791,0.11357943708250975,1.7216942962052882e-11,3.912520875577755e-07,True,True
52,F3frequency_sma3nz_amean,-0.14468942702833584,9.39471380834437e-12,0.020935030293788123,0.03766841990590334,0.07745891052025002,0.001418909858207455,0.03766841990590334,2.8508097073596712e-11,0.12861102124116983,True,False
78,slopeUV0500_sma3nz_amean,-0.14168906992445107,2.5114688935612562e-11,0.020075792536055986,-0.1898192473426601,2.8098089838494417e-19,0.03603134666173397,0.1898192473426601,7.366975421113019e-11,4.945263811575018e-18,True,True
