,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.3821719321198283,0.00015667799325925341,0.14605538570020266,-0.4745976010839005,1.5385632808576981e-06,0.22524288295459313,0.4745976010839005,0.0137876634068143,0.00013539356871547742,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.3124631831312593,0.002294004289481069,0.0976332408125189,-0.13790695683625318,0.18742062390860562,0.019018328743836195,0.13790695683625318,0.10093618873716703,0.28935113866591744,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2594689000116513,0.012019947008841929,0.0673241100732563,-0.20850391585476494,0.04489408049600391,0.043473882926770895,0.20850391585476494,0.2098864682292478,0.10435775939322016,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.2580817756089544,0.012501745390052289,0.06660620290147069,-0.34654745759385347,0.0006668059090455679,0.12009514036476367,0.34654745759385347,0.2098864682292478,0.008391709691728023,False,True
78,slopeUV0500_sma3nz_amean,-0.25572286500177493,0.013359749392175662,0.06539418368471601,-0.3303792282600522,0.0012194242933452953,0.10915043446570769,0.3303792282600522,0.2098864682292478,0.0107309337814386,False,True
11,loudness_sma3_stddevNorm,-0.2526712240713632,0.014545329136401596,0.06384274747372104,-0.4085947219331509,4.782381772644986e-05,0.16694964679162888,0.4085947219331509,0.2098864682292478,0.0014935035121381327,False,True
48,F2bandwidth_sma3nz_amean,0.24280041616708914,0.019026000833238438,0.058952042090911684,0.13123600185447148,0.20987526974007054,0.017222888182746844,0.13123600185447148,0.2098864682292478,0.3184314437435553,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.24269312477682528,0.01908058802084071,0.058899952813939685,-0.24123776190601115,0.019834444928664947,0.05819565776942132,0.24123776190601115,0.2098864682292478,0.07933777971465979,False,False
53,F3frequency_sma3nz_stddevNorm,-0.22880655340839,0.027381134500659415,0.05235243888262643,-0.40725435581429487,5.0914892459254516e-05,0.16585611032971628,0.40725435581429487,0.25432480241674676,0.0014935035121381327,False,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.22551117499314324,0.02974891882983957,0.05085529004678808,-0.1769598662342926,0.08971963870762205,0.031314794257658735,0.1769598662342926,0.25432480241674676,0.16448600429730711,False,False
38,logRelF0H1A3_sma3nz_amean,0.21934192005297198,0.03464822551776917,0.048110877892524356,0.06278652729723284,0.5499115968381939,0.003942148010046165,0.06278652729723284,0.25432480241674676,0.6452296069568142,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.21930360169930632,0.034680654875010916,0.04809406971828799,0.20046051912718507,0.05402572003246489,0.04018441972874053,0.20046051912718507,0.25432480241674676,0.11595764299651001,False,False
15,loudness_sma3_pctlrange02,-0.2153798022839427,0.03813908942371463,0.04638845923187025,-0.21313077180772175,0.04024825486793185,0.04542472589135516,0.21313077180772175,0.25817229763745286,0.10417195377582361,False,False
68,mfcc1V_sma3nz_amean,0.2122683519662911,0.04108243642850214,0.04505785324648524,0.19315150895490152,0.06359584863129945,0.0373075054115554,0.19315150895490152,0.2582324575505849,0.1281866854306209,False,False
12,loudness_sma3_percentile200,0.20766248585567876,0.04578500110807829,0.04312370803175998,0.3175073888036068,0.0019275025329081321,0.10081094194488473,0.3175073888036068,0.2686053398340593,0.015137570629264368,False,True
60,hammarbergIndexV_sma3nz_amean,0.20292633734260312,0.051077044053145434,0.041179098387283966,0.0911948435881299,0.3846446019811988,0.008316499497063477,0.0911948435881299,0.2712850335360358,0.5010235417632042,False,False
69,mfcc1V_sma3nz_stddevNorm,-0.20179977774483274,0.052407336024006906,0.04072315029786389,-0.20138713708386338,0.05290167348983193,0.04055677898283478,0.20138713708386338,0.2712850335360358,0.11595764299651001,False,False
21,spectralFlux_sma3_stddevNorm,-0.19768438656114085,0.05751119177625012,0.039079116690054566,-0.3465194473214728,0.0006675223618420018,0.12007572737197894,0.3465194473214728,0.28116582646166727,0.008391709691728023,False,True
35,HNRdBACF_sma3nz_stddevNorm,-0.193224130194458,0.06349439974146384,0.03733556448940486,-0.20721680507983295,0.046262798265666365,0.04293880430749348,0.20721680507983295,0.28864465970307085,0.10438785249688821,False,False
46,F2frequency_sma3nz_amean,-0.19008202519387385,0.06800564106600479,0.03613117630180449,-0.3910011379098938,0.00010656416968638746,0.15288188984683182,0.3910011379098938,0.28864465970307085,0.002344411733100524,False,True
30,jitterLocal_sma3nz_amean,-0.1894919225474227,0.06888111197459645,0.03590718871071844,-0.33227933150303024,0.0011378111571668532,0.11040955414410067,0.33227933150303024,0.28864465970307085,0.0107309337814386,False,True
0,F0semitoneFrom275Hz_sma3nz_amean,-0.17412626272749296,0.0950618421027166,0.030319955371443903,-0.263151011920054,0.010818701679516434,0.06924845507454841,0.263151011920054,0.3770593764678946,0.05289143043319145,False,False
67,spectralFluxV_sma3nz_stddevNorm,-0.17217202669054432,0.09888994462272281,0.029643206774729508,-0.310514392257805,0.002451639636301322,0.096419187799234,0.310514392257805,0.3770593764678946,0.016595714461116642,False,True
41,F1frequency_sma3nz_stddevNorm,-0.16923684079975473,0.104865734200174,0.028641108283881528,-0.31553200073010096,0.002064214176717868,0.09956044348474043,0.31553200073010096,0.3770593764678946,0.015137570629264368,False,True
22,mfcc1_sma3_amean,0.16816392689711623,0.10711914104201552,0.02827910630945865,0.2296608515257471,0.026794083046430904,0.05274410672353126,0.2296608515257471,0.3770593764678946,0.09068766569561229,False,False
37,logRelF0H1H2_sma3nz_stddevNorm,-0.16428610950615144,0.11557934194654508,0.026989925776667183,-0.007482971729130171,0.943248001154579,5.599486589896138e-05,0.007482971729130171,0.39119161889599874,0.9540899322023327,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.15981818946873547,0.12595734104578454,0.025541853685064626,-0.21754395616267086,0.0361975734535112,0.047325372862906064,0.21754395616267086,0.41052763007514964,0.10149302588048477,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.15684468522428024,0.1332501534634265,0.024600255283103552,-0.16368742739079523,0.11693028779582054,0.02679357388581686,0.16368742739079523,0.41878619659934047,0.2017620652163178,False,False
47,F2frequency_sma3nz_stddevNorm,-0.15340369706510393,0.14208567899513588,0.023532694273242175,-0.2829336595225068,0.00599600526801893,0.08005145569079782,0.2829336595225068,0.4311565431576537,0.037689175970404706,False,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.1468819132712086,0.1600352148661949,0.021574296446210842,-0.06868936836075393,0.5129632199025566,0.004718229325799342,0.06868936836075393,0.46943663027417176,0.6183666212523969,False,False
23,mfcc1_sma3_stddevNorm,-0.1393715159527392,0.1827336040232337,0.019424419458964635,-0.1897755165291322,0.06845924465298191,0.03601474667389892,0.1897755165291322,0.48940674390256306,0.13387585621027573,False,False
13,loudness_sma3_percentile500,0.13865879457455793,0.1850037353141141,0.019226261312869457,0.2169060597314932,0.03676103931123965,0.0470482387482421,0.2169060597314932,0.48940674390256306,0.10149302588048477,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.1379154185134441,0.1873932957185251,0.01902066266373844,-0.11616807646476977,0.2674767543046369,0.013495021989524597,0.11616807646476977,0.48940674390256306,0.37964442546464594,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.13430582959813891,0.19931514694967814,0.018038055864044326,-0.33522807079144806,0.0010209486982186832,0.11237785944655611,0.33522807079144806,0.48940674390256306,0.0107309337814386,False,True
40,F1frequency_sma3nz_amean,-0.13416788352494255,0.19978132712327273,0.01800102096956255,-0.24821527197613244,0.016439945124926577,0.0616108212421854,0.24821527197613244,0.48940674390256306,0.07233575854967694,False,False
59,alphaRatioV_sma3nz_stddevNorm,0.13337852543942993,0.2024639803665861,0.017789831048396657,0.16527286583293974,0.11337906977423694,0.0273151201806329,0.16527286583293974,0.48940674390256306,0.199547162802657,False,False
75,mfcc4V_sma3nz_stddevNorm,0.13110241523168972,0.21034367773827797,0.01718784327958239,0.05518620083164142,0.5993056410689745,0.00304551676223026,0.05518620083164142,0.48940674390256306,0.6849207326502567,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.12929378893867058,0.2167587762745444,0.016716883858117496,0.07050141283128601,0.501881690989066,0.00497044921120742,0.07050141283128601,0.48940674390256306,0.6134109556533028,False,False
36,logRelF0H1H2_sma3nz_amean,0.1292554705850049,0.21689617059318136,0.016706976676151064,0.18374786215941066,0.07788716583997436,0.03376327684815378,0.18374786215941066,0.48940674390256306,0.14900153465038574,False,False
72,mfcc3V_sma3nz_amean,-0.12538531686477322,0.23109177846296827,0.015721477685279584,-0.21516540072546975,0.038336088015911436,0.04629614966935198,0.21516540072546975,0.5084019126185302,0.1022295680424305,False,False
