,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.2812985272344225,0.003045970890383376,0.07912886142425514,-0.3744426219522142,6.042009809244097e-05,0.14020727713444883,0.3744426219522142,0.26804543835373706,0.0053169686321348055,False,True
58,alphaRatioV_sma3nz_amean,-0.21647009058086064,0.023769408140853127,0.04685930011608601,-0.011812443085525488,0.9029719060486733,0.00013953381164877893,0.011812443085525488,0.8152895225385243,0.934841502732744,False,False
38,logRelF0H1A3_sma3nz_amean,0.2107955283377664,0.027793960995631507,0.04443475476719808,0.09494024939875995,0.3261007541657629,0.009013650955898738,0.09494024939875995,0.8152895225385243,0.6220708957192131,False,False
68,mfcc1V_sma3nz_amean,0.19787250688858105,0.03916279751745708,0.03915352898237155,0.1956251500117532,0.041491830302908324,0.038269199317120944,0.1956251500117532,0.8414682207372324,0.23457671059027496,False,False
60,hammarbergIndexV_sma3nz_amean,0.17921803535426545,0.06223094051072905,0.03211910419624274,0.11133098512655576,0.24910901983054543,0.01239458824924938,0.11133098512655576,0.8414682207372324,0.5768840459233684,False,False
63,slopeV0500_sma3nz_stddevNorm,0.1770088908218662,0.06557913644588369,0.03133214742998734,-0.022727464629621247,0.8145375248775947,0.0005165376484906848,0.022727464629621247,0.8414682207372324,0.9034972066930897,False,False
47,F2frequency_sma3nz_stddevNorm,-0.16100918524923208,0.09441856235670423,0.02592395773462153,-0.2453156509833643,0.010138868988542974,0.060179768617391806,0.2453156509833643,0.8414682207372324,0.11152755887397271,False,False
75,mfcc4V_sma3nz_stddevNorm,0.14966954207004965,0.12034091160651489,0.022400971823458363,0.039235100745040184,0.6854334173272875,0.0015393931304734528,0.039235100745040184,0.8414682207372324,0.8270331566292897,False,False
12,loudness_sma3_percentile200,0.14836314830913122,0.12364982668616128,0.022011623776197267,0.1919345048296515,0.04556694909398335,0.036838854144203514,0.1919345048296515,0.8414682207372324,0.2358759717806197,False,False
78,slopeUV0500_sma3nz_amean,-0.14633854363360424,0.12891562875150162,0.02141496935280429,-0.25912401149702563,0.006512794424601502,0.06714525333431066,0.25912401149702563,0.8414682207372324,0.10154852811945024,False,False
48,F2bandwidth_sma3nz_amean,0.13630563984508504,0.1575758903307273,0.018579227453578033,0.09374758361700958,0.3322424102136706,0.008788609434028203,0.09374758361700958,0.8414682207372324,0.6220708957192131,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.12521725130156172,0.19451166966538322,0.01567936002351846,0.121898650355515,0.20669639733004458,0.014859280958496097,0.121898650355515,0.8414682207372324,0.505257860140109,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.12306025395769549,0.20237075469183857,0.015143826104132507,-0.09988816962476592,0.30140396082644766,0.009977646430986009,0.09988816962476592,0.8414682207372324,0.6025955756693112,False,False
41,F1frequency_sma3nz_stddevNorm,-0.12169968640233372,0.20744389868363292,0.014810813670426371,-0.25249555489644887,0.008077723827683542,0.06375400524246562,0.25249555489644887,0.8414682207372324,0.10154852811945024,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.12096488510936831,0.21022127676345978,0.014632503429522676,-0.2340836752790295,0.014290812269168136,0.05479516703213813,0.2340836752790295,0.8414682207372324,0.1397323866318662,False,False
87,equivalentSoundLevel_dBp,0.12091956876025721,0.21039342643922024,0.014621542109166571,0.20776885739015336,0.030167967666544854,0.043167898101209884,0.20776885739015336,0.8414682207372324,0.23457671059027496,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.12052547614597496,0.21189476372046998,0.014526390400213978,-0.022127153337802886,0.8193517008959789,0.0004896109148346414,0.022127153337802886,0.8414682207372324,0.9034972066930897,False,False
13,loudness_sma3_percentile500,0.11557212399758146,0.23141868514218358,0.013356915845312345,0.1383139505478913,0.15148792383891527,0.019130748916164522,0.1383139505478913,0.8414682207372324,0.49270215801329204,False,False
