,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.3154997177562723,1.6975232595229116e-06,0.09954007190428747,-0.397039854229627,9.213352512655887e-10,0.15764064584668347,0.397039854229627,0.00014938204683801623,7.3706820101247096e-09,True,True
78,slopeUV0500_sma3nz_amean,-0.2971852738668282,6.960501322058969e-06,0.08831908700330167,-0.4006064957263607,6.307411732536801e-10,0.16048556441815465,0.4006064957263607,0.00020476218678455678,5.550522324632385e-09,True,True
72,mfcc3V_sma3nz_amean,0.29714668847258846,6.980529094928071e-06,0.08829615447022554,0.27716865342005076,2.925184994513695e-05,0.07682246243868422,0.27716865342005076,0.00020476218678455678,0.00016088517469825322,True,True
17,loudness_sma3_stddevRisingSlope,0.27450670840241476,3.5118221939066116e-05,0.07535393295792836,0.4539676279392063,1.2361930331396969e-12,0.20608660721674965,0.4539676279392063,0.0007726008826594546,3.626166230543111e-11,True,True
87,equivalentSoundLevel_dBp,0.2646197685607468,6.811484984400911e-05,0.07002362191314321,0.27411217051651443,3.607680017252652e-05,0.07513748202527468,0.27411217051651443,0.0011988213572545604,0.0001867504950107255,True,True
10,loudness_sma3_amean,0.2516964986517715,0.0001558365381713217,0.06335112743356122,0.4275376507403074,3.108075618416489e-11,0.1827884428005411,0.4275376507403074,0.0020251578311075388,4.558510907010851e-10,True,True
63,slopeV0500_sma3nz_stddevNorm,0.2511642471841702,0.00016109210020173604,0.06308347906359094,0.23683454330821319,0.0003830517423177318,0.056090600904009906,0.23683454330821319,0.0020251578311075388,0.001605169205902876,True,True
19,loudness_sma3_stddevFallingSlope,0.24724612737203086,0.0002051898468679169,0.061130647500466505,0.4725633051549971,1.0762863341685347e-13,0.22331607737901493,0.4725633051549971,0.002257088315547086,4.735659870341552e-12,True,True
18,loudness_sma3_meanFallingSlope,0.24310557411074465,0.00026386240092859145,0.05910032016371476,0.4829214505848735,2.588111553211797e-14,0.23321312743499842,0.4829214505848735,0.002380079139032115,2.2775381668263813e-12,True,True
14,loudness_sma3_percentile800,0.24267489301915685,0.0002707890471256393,0.05889110370185922,0.40298479698779727,4.886813023638859e-10,0.16239674660329617,0.40298479698779727,0.002380079139032115,4.778217178669106e-09,True,True
20,spectralFlux_sma3_amean,0.2411042405006917,0.0002975098923790144,0.05813125478741539,0.3428461526961898,1.7213166240908868e-07,0.11754348441857908,0.3428461526961898,0.002380079139032115,1.0169987741038786e-06,True,True
13,loudness_sma3_percentile500,0.233111389570381,0.0004757363315010323,0.05434091994743393,0.4092187629595436,2.479411827714532e-10,0.16745999595813915,0.4092187629595436,0.0033356691093865973,2.7273530104859852e-09,True,True
66,spectralFluxV_sma3nz_amean,0.23250139988203197,0.0004927693002502928,0.05405690094710454,0.3819185985401646,4.372672790874375e-09,0.1458618159108834,0.3819185985401646,0.0033356691093865973,3.2066267133078756e-08,True,True
53,F3frequency_sma3nz_stddevNorm,-0.23100337869390047,0.000537024178593793,0.05336256096799759,-0.204663857614319,0.0022302373943955504,0.04188729461357424,0.204663857614319,0.0033755805511609845,0.008177537112783686,True,True
16,loudness_sma3_meanRisingSlope,0.22956323559712863,0.000583010313652735,0.05269927913782278,0.44787281697040404,2.6657724497854093e-12,0.20059006018100503,0.44787281697040404,0.003400098307730176,5.864699389527901e-11,True,True
80,spectralFluxUV_sma3nz_amean,0.22853050886894705,0.0006181996923145775,0.05222619348389988,0.3427656819768503,1.7335206376770658e-07,0.11748831274105528,0.3427656819768503,0.003400098307730176,1.0169987741038786e-06,True,True
12,loudness_sma3_percentile200,0.2216600389651985,0.0009069794463497146,0.04913317287405332,0.4431853080009207,4.764591443834207e-12,0.19641321722787095,0.4431853080009207,0.0046949524281632285,8.385680941148205e-11,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.21759779135692828,0.001131620839720204,0.04734879880341329,-0.09309726814137326,0.16785191930474247,0.008667101335386751,0.09309726814137326,0.005532368549743219,0.2957811478812752,True,False
26,mfcc3_sma3_amean,0.21327168774393035,0.0014261513447360184,0.04548481279314453,0.16253371050351534,0.015578671091734579,0.026417207050040532,0.16253371050351534,0.0066053325440405064,0.04422332438944009,True,True
15,loudness_sma3_pctlrange02,0.20032685540876222,0.002775481335625551,0.040130848997963126,0.35159980607013924,7.88676430678509e-08,0.12362242362855952,0.35159980607013924,0.012212117876752426,5.338732761516061e-07,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.19152881808983083,0.0042680839710540494,0.03668328815888751,-0.01743761172409359,0.7965780274401445,0.0003040703026402462,0.01743761172409359,0.017885304259655063,0.8445646555991893,True,False
59,alphaRatioV_sma3nz_stddevNorm,0.18282497452742588,0.0064207005202075495,0.03342497131095392,0.12231852430763225,0.06953855675300369,0.014961821388796821,0.12231852430763225,0.025682802080830198,0.17483979983612358,True,False
54,F3bandwidth_sma3nz_amean,-0.17592670044253397,0.008767713410171001,0.030950203928597084,-0.41642012567115816,1.112485857393049e-10,0.17340572106398316,0.41642012567115816,0.033546033917176005,1.3985536492941186e-09,True,True
58,alphaRatioV_sma3nz_amean,-0.16712639339452964,0.012848314691760735,0.027931231369063083,-0.019084816746335144,0.7778415485076756,0.00036423023024119433,0.019084816746335144,0.0471104872031227,0.8347567837643348,True,False
