,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.30694278125595853,7.091715008642801e-07,0.0942138709651432,0.2994051409927786,1.3579901524879285e-06,0.08964343845290564,0.2994051409927786,6.112228260533966e-05,7.468945838683607e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.29913811694431935,1.3891427864849922e-06,0.08948361300899328,0.4705527978818384,3.105761762798797e-15,0.22141993559442627,0.4705527978818384,6.112228260533966e-05,9.110234504209806e-14,True,True
87,equivalentSoundLevel_dBp,0.29232252163271805,2.459497425038104e-06,0.08545245665371091,0.3038565584184713,9.273235288462086e-07,0.09232880809391787,0.3038565584184713,7.214525780111773e-05,5.828890752747597e-06,True,True
10,loudness_sma3_amean,0.2845391915920551,4.639095231484134e-06,0.08096255155186023,0.4467370128548838,1.0236675056941266e-13,0.19957395865450464,0.4467370128548838,0.00010206009509265094,1.501379008351386e-12,True,True
14,loudness_sma3_percentile800,0.2779250462640855,7.838408249893032e-06,0.07724233134089406,0.42442737496457544,2.131753407971228e-12,0.18013859661932033,0.42442737496457544,0.00012791441306711198,2.344928748768351e-11,True,True
20,spectralFlux_sma3_amean,0.27655789820209253,8.721437254575815e-06,0.07648427105795898,0.36646241760885745,2.14501044683201e-09,0.13429470351972864,0.36646241760885745,0.00012791441306711198,1.5455104796721472e-08,True,True
18,loudness_sma3_meanFallingSlope,0.2742342501216637,1.0442806374284068e-05,0.0752044239397912,0.4972051187004415,4.4405057824572246e-17,0.2472129300619201,0.4972051187004415,0.00013128099441957116,3.9076450885623574e-15,True,True
19,loudness_sma3_stddevFallingSlope,0.26952187011994033,1.497235544984081e-05,0.07264203847294999,0.48728024397306413,2.255308459041803e-16,0.2374420361664489,0.48728024397306413,0.0001533793042913305,9.923357219783934e-15,True,True
13,loudness_sma3_percentile500,0.2680884760056378,1.6684390112438215e-05,0.07187143096702543,0.43010465035742895,1.0053062780621473e-12,0.1849900102590862,0.43010465035742895,0.0001533793042913305,1.2638136067066994e-11,True,True
80,spectralFluxUV_sma3nz_amean,0.2663180405725668,1.90554059654854e-05,0.07092529873441134,0.3658839365832425,2.2831404813338537e-09,0.1338710550496502,0.3658839365832425,0.0001533793042913305,1.5455104796721472e-08,True,True
66,spectralFluxV_sma3nz_amean,0.26623617600405725,1.9172413036416313e-05,0.07088170141326335,0.40292308046378544,3.244555803157042e-11,0.16234700877042613,0.40292308046378544,0.0001533793042913305,3.1724545630868853e-10,True,True
16,loudness_sma3_meanRisingSlope,0.26413850671119754,2.2413179580190332e-05,0.06976915072762135,0.465225350719251,6.951094536357012e-15,0.21643462695185006,0.465225350719251,0.00016436331692139578,1.5292407979985427e-13,True,True
12,loudness_sma3_percentile200,0.26217165754408556,2.591699625960863e-05,0.06873397801941328,0.46037211967000785,1.430680146316351e-14,0.21194248856945602,0.46037211967000785,0.0001754381285265815,2.5179970575167783e-13,True,True
