,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.3639576503794682,0.0010543537428983477,0.13246517126974322,-0.414374207400713,0.00016219990566537876,0.17170598375896912,0.414374207400713,0.06701469390191048,0.0011894659748794443,False,True
19,loudness_sma3_stddevFallingSlope,0.32681649637867294,0.003495681081152343,0.10680902230523114,0.4190796570968931,0.00013408898956657162,0.1756277589924495,0.4190796570968931,0.06701469390191048,0.001072711916532573,False,True
80,spectralFluxUV_sma3nz_amean,0.32385290170710684,0.0038231363084874196,0.104880701944113,0.2195286542221547,0.05346448004003391,0.04819283002459036,0.2195286542221547,0.06701469390191048,0.13442497838637096,False,False
18,loudness_sma3_meanFallingSlope,0.3203504716407107,0.004245134365484147,0.10262442468042578,0.49707758759251525,3.667816075382571e-06,0.24708612808679467,0.49707758759251525,0.06701469390191048,4.610968780480947e-05,False,True
15,loudness_sma3_pctlrange02,0.3173227298983315,0.004642783202825233,0.10069371491012945,0.5192082506553438,1.1132757052277554e-06,0.26957720754858233,0.5192082506553438,0.06701469390191048,1.6328043676673745e-05,False,True
87,equivalentSoundLevel_dBp,0.31077972867539344,0.005616829937625389,0.09658403975555116,0.3743970187721521,0.0007330473340159361,0.1401731276654752,0.3743970187721521,0.06701469390191048,0.0046077260995287415,False,True
66,spectralFluxV_sma3nz_amean,0.3083293105703323,0.006025692664205581,0.09506696375677644,0.4452825963920956,4.407587075225147e-05,0.19827659064968592,0.4452825963920956,0.06701469390191048,0.0004781016926651181,False,True
14,loudness_sma3_percentile800,0.30794442814545364,0.00609224490017368,0.09482977082583047,0.5389606910906054,3.5689682759546687e-07,0.290478626540863,0.5389606910906054,0.06701469390191048,1.02975396230444e-05,False,True
20,spectralFlux_sma3_amean,0.3029281272078678,0.007020885318746938,0.09176545025366616,0.4429266724862184,4.88967640225689e-05,0.1961840371997138,0.4429266724862184,0.06841835756311206,0.0004781016926651181,False,True
13,loudness_sma3_percentile500,0.29614136711584,0.008474502172544396,0.08769970931723872,0.5648973563651997,7.143404258895688e-08,0.3191090232283914,0.5648973563651997,0.06841835756311206,3.845384780256988e-06,False,True
10,loudness_sma3_amean,0.2958078023476117,0.008552294695389007,0.08750225592972373,0.5320448107596317,5.359244566872109e-07,0.2830716806562523,0.5320448107596317,0.06841835756311206,1.02975396230444e-05,False,True
16,loudness_sma3_meanRisingSlope,0.2919974663413126,0.009486310233196321,0.08526252034974596,0.530531333008564,5.850874785820681e-07,0.28146349530384385,0.530531333008564,0.0695662750434397,1.02975396230444e-05,False,True
12,loudness_sma3_percentile200,0.28523636507760997,0.011364407563745058,0.08135978396268759,0.5617641442260041,8.739510864220428e-08,0.3155789537379747,0.5617641442260041,0.07692829735458193,3.845384780256988e-06,False,True
17,loudness_sma3_stddevRisingSlope,0.27567845152645537,0.014567467236691946,0.0759986086360242,0.433765803265278,7.268612451384494e-05,0.18815277208237188,0.433765803265278,0.09156693691634937,0.0006396378957218355,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.24124430391397372,0.033357998624035795,0.05819881417093772,-0.16007781307122124,0.16151639420648656,0.02562490623766485,0.16007781307122124,0.19570025859434334,0.30241367425895355,False,False
72,mfcc3V_sma3nz_amean,0.23672835012873022,0.03691224185353822,0.05604031175467069,0.09481419479766134,0.40896337579373454,0.00898973153512887,0.09481419479766134,0.2030173301944602,0.5712504296801371,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.22634935407116774,0.0462907498423493,0.05123403008843486,-0.3838755314054766,0.0005214341870306642,0.14736042361183704,0.3838755314054766,0.22918271312329896,0.0035297083429768035,False,True
48,F2bandwidth_sma3nz_amean,-0.22575920101968705,0.0468782822297657,0.050967216845047465,-0.2613670447321926,0.020810889828952798,0.06831273207203996,0.2613670447321926,0.22918271312329896,0.06782808536843875,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.2210636354361668,0.051775430862431915,0.04886913091225446,0.25177980186636656,0.026167729502204404,0.0633930686278668,0.25177980186636656,0.23413534464238991,0.07797357131000271,False,False
30,jitterLocal_sma3nz_amean,-0.21975503519157918,0.05321257832781589,0.04829227549205221,-0.18409633790838892,0.10664293022880314,0.033891461631279714,0.18409633790838892,0.23413534464238991,0.22889214293011406,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2168684170049889,0.05649839200823076,0.04703191029424976,-0.1861993769949133,0.1026317235275897,0.034670207993293845,0.1861993769949133,0.23675516651068126,0.22578979176069736,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.19330078318824936,0.08995093358104403,0.03736519278119059,0.2852663270471453,0.011355418365383268,0.08137687734696884,0.2852663270471453,0.35434007968162223,0.04520774200547489,False,True
76,alphaRatioUV_sma3nz_amean,0.19174842407457193,0.09261161173496944,0.03676745813508188,0.33414415628482336,0.002790871681894698,0.11165231717929645,0.33414415628482336,0.35434007968162223,0.014446865176866674,False,True
84,StddevVoicedSegmentLengthSec,0.1861163112571802,0.10278789400029273,0.034639281315979584,0.16914283070181535,0.1387664168634993,0.02860929717782297,0.16914283070181535,0.35485375166455496,0.2713654374219542,False,False
74,mfcc4V_sma3nz_amean,-0.184486975658527,0.105888784849728,0.03403544418762994,-0.23476086843476734,0.038556744102122814,0.055112665348246145,0.23476086843476734,0.35485375166455496,0.10281798427232751,False,False
26,mfcc3_sma3_amean,0.18212636345260427,0.11050981117636385,0.03317001226447011,0.047798653317043686,0.6777258877073283,0.0022847112589229313,0.047798653317043686,0.35485375166455496,0.7951983749099318,False,False
27,mfcc3_sma3_stddevNorm,-0.17825188037549192,0.11843075612252141,0.03177373285739868,-0.027835071940824577,0.808849467297423,0.0007747912299508797,0.027835071940824577,0.35485375166455496,0.8473661085973002,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.177636068495686,0.11972892440597173,0.03155457283060405,0.19950114591699927,0.07992015898615187,0.039800707222195836,0.19950114591699927,0.35485375166455496,0.18507826291529908,False,False
