,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
19,loudness_sma3_stddevFallingSlope,0.34951420985678616,0.00138266893168546,0.12216018289181356,0.4288052379384023,6.496297761459601e-05,0.18387393208340982,0.4288052379384023,0.03015702770109469,0.0005197038209167681,True,True
80,spectralFluxUV_sma3nz_amean,0.3490212258305498,0.0014059490040762405,0.12181581608025964,0.22939382928654056,0.03939733598209957,0.05262152891474251,0.22939382928654056,0.03015702770109469,0.11481434536331643,True,False
18,loudness_sma3_meanFallingSlope,0.3473817673246939,0.0014859405094405883,0.12067409226962776,0.5059054407035626,1.4513595620237437e-06,0.25594031493346586,0.5059054407035626,0.03015702770109469,1.8245663065441348e-05,True,True
15,loudness_sma3_pctlrange02,0.3412825230931185,0.0018209235742507233,0.11647376056880497,0.5279442000489644,4.0852134949006577e-07,0.2787250783653409,0.5279442000489644,0.03015702770109469,5.991646459187632e-06,True,True
87,equivalentSoundLevel_dBp,0.33627242961718146,0.0021454328204119485,0.11307914692064226,0.3906783027099057,0.00031109799607838463,0.15262953620829273,0.3906783027099057,0.03015702770109469,0.0022813853045748206,True,True
14,loudness_sma3_percentile800,0.3336011440796682,0.00233892088614857,0.11128972333126352,0.5470682403482374,1.2614103449006707e-07,0.29928365959771686,0.5470682403482374,0.03015702770109469,3.700137011708634e-06,True,True
66,spectralFluxV_sma3nz_amean,0.3327871471991384,0.002400919731642179,0.110747285340941,0.45387298118264574,2.0846104841152022e-05,0.20600068304762228,0.45387298118264574,0.03015702770109469,0.00022930715325267224,True,True
20,spectralFlux_sma3_amean,0.3284420089213806,0.002757513252720547,0.10787415322431225,0.451342688188128,2.347615223432333e-05,0.20371022218088575,0.451342688188128,0.03015702770109469,0.00022954459962449476,True,True
13,loudness_sma3_percentile500,0.3220102870907155,0.0033726489990246336,0.10369062499224502,0.572080467133687,2.4179123686279376e-08,0.3272760608758975,0.572080467133687,0.03015702770109469,1.3407363914887623e-06,True,True
10,loudness_sma3_amean,0.32149437357488675,0.003426934966033487,0.10335863224030883,0.5401193103419346,1.9496774352849056e-07,0.2917288694042471,0.5401193103419346,0.03015702770109469,3.803545827027895e-06,True,True
16,loudness_sma3_meanRisingSlope,0.31536073510892265,0.004134737347342478,0.09945239324844007,0.5384531236399698,2.1611055835385766e-07,0.28993176635764056,0.5384531236399698,0.033077898778739824,3.803545827027895e-06,True,True
12,loudness_sma3_percentile200,0.3086423946583527,0.005056723431604204,0.09526012778044234,0.568700228128454,3.04712816247446e-08,0.3234199494733556,0.568700228128454,0.035112021384303964,1.3407363914887623e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.3077825387986381,0.005187003159044904,0.09473009118933516,0.4445305186640658,3.2176518097993305e-05,0.19760738202374334,0.4445305186640658,0.035112021384303964,0.0002831533592623411,True,True
54,F3bandwidth_sma3nz_amean,-0.294575152793422,0.007596868318472359,0.08677452064326792,-0.21056601095384467,0.05918011224812057,0.04433804496901463,0.21056601095384467,0.047751743716111975,0.14086782165737258,True,False
72,mfcc3V_sma3nz_amean,0.26232482568172677,0.01799016754258772,0.06881431416894834,0.11987471913659903,0.2864448136706751,0.0143699482880785,0.11987471913659903,0.10554231624984796,0.4501275643396323,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.2558587096166731,0.02114108311144493,0.06546367928670906,0.27737641983412675,0.012176485014805385,0.07693767827999774,0.27737641983412675,0.11371586176027176,0.04661770407261768,False,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2542995043243906,0.02196783693096159,0.06466823789963075,-0.3806914480564019,0.00045495309978044705,0.14492597862328016,0.3806914480564019,0.11371586176027176,0.0030796825215907184,False,True
