,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
74,mfcc4V_sma3nz_amean,-0.3648756698598266,0.001103693842153065,0.13313425445565719,-0.27410501044118285,0.015851454721723272,0.07513355674896095,0.27410501044118285,0.076171118108524,0.07341726397429726,False,False
28,mfcc4_sma3_amean,-0.3352940436843749,0.002874306674153004,0.11242209573021948,-0.2488755073446143,0.02906378327319091,0.061939018156039166,0.2488755073446143,0.076171118108524,0.102304517121632,False,False
82,VoicedSegmentsPerSec,-0.3291681759669478,0.003465372252379304,0.10835168806940751,-0.23862161153651332,0.036623101045893565,0.056940273492282666,0.23862161153651332,0.076171118108524,0.11936418118661606,False,False
12,loudness_sma3_percentile200,0.321498188226478,0.004356802356350385,0.10336108503290789,0.5428560909725797,3.387352077596627e-07,0.2946927355060297,0.5428560909725797,0.076171118108524,2.9808698282850318e-05,False,True
10,loudness_sma3_amean,0.31064046268217,0.005965842790018117,0.09649749705539265,0.5059701225363896,2.676644931199781e-06,0.2560057648994891,0.5059701225363896,0.076171118108524,7.851491798186026e-05,False,True
66,spectralFluxV_sma3nz_amean,0.3105736870023157,0.005977177932955098,0.09645601505821236,0.39309470152372245,0.00040550809828533507,0.15452344436602444,0.39309470152372245,0.076171118108524,0.002744977896085345,False,True
13,loudness_sma3_percentile500,0.3079560803520274,0.006436765353805348,0.09483694742578434,0.5127389234316079,1.864956877003362e-06,0.26290120360180425,0.5127389234316079,0.076171118108524,7.851491798186026e-05,False,True
19,loudness_sma3_stddevFallingSlope,0.3030681005866932,0.007378949981163713,0.09185027359322599,0.44433990014171515,5.160092588116043e-05,0.19743794685794938,0.44433990014171515,0.076171118108524,0.0005104599058489219,False,True
14,loudness_sma3_percentile800,0.30110489559897696,0.007790227988371774,0.09066415815367082,0.4941291681982464,4.944814520808041e-06,0.2441636348642909,0.4941291681982464,0.076171118108524,0.0001087859194577769,False,True
54,F3bandwidth_sma3nz_amean,-0.2969247380400983,0.008733538136372895,0.08816430006018099,-0.25520866881282955,0.025087596870333777,0.06513146463721652,0.25520866881282955,0.07685513560008148,0.09863695893623405,False,False
