,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
12,loudness_sma3_percentile200,0.3471801448077898,0.001604106916909208,0.1205340529487579,0.5517627975093087,1.1274679098933811e-07,0.3044421847152984,0.5517627975093087,0.03787231504065506,9.921717607061754e-06,True,True
74,mfcc4V_sma3nz_amean,-0.3416013159015085,0.0019277422492099115,0.1166914590256422,-0.26905316419043046,0.01580917655417302,0.07238960516088273,0.26905316419043046,0.03787231504065506,0.06897578408205504,True,False
66,spectralFluxV_sma3nz_amean,0.33856046078893137,0.002127885648580118,0.11462318560961354,0.40449888206957596,0.00019813857034480995,0.16361934559553673,0.40449888206957596,0.03787231504065506,0.0013412457069494827,True,True
10,loudness_sma3_amean,0.33671012464081723,0.0022586284099469643,0.11337370803563468,0.5159846085658586,9.651451840297693e-07,0.26624011627686234,0.5159846085658586,0.03787231504065506,2.831092539820657e-05,True,True
13,loudness_sma3_percentile500,0.33090272165526413,0.0027171425618654965,0.10949661119886121,0.5225404981940296,6.632167277178571e-07,0.27304857225286466,0.5225404981940296,0.03787231504065506,2.831092539820657e-05,True,True
14,loudness_sma3_percentile800,0.3290185950192941,0.002882885593194922,0.10825323586847026,0.5043454724503127,1.8433900256052797e-06,0.25436435558112913,0.5043454724503127,0.03787231504065506,4.055458056331615e-05,True,True
28,mfcc4_sma3_amean,-0.3250595441133318,0.0032609550320978195,0.10566370721916711,-0.2511048480423216,0.024657246070778335,0.06305364471035742,0.2511048480423216,0.03787231504065506,0.08776777099811772,True,False
20,spectralFlux_sma3_amean,0.31863204881720625,0.0039696627687872904,0.1015263825334505,0.42155671338927125,9.847437615974325e-05,0.1777100626035642,0.42155671338927125,0.03787231504065506,0.000787795009277946,True,True
19,loudness_sma3_stddevFallingSlope,0.3168075464418682,0.004194381367603265,0.10036702148251649,0.4544718458157785,2.2883725679691293e-05,0.20654465863920074,0.4544718458157785,0.03787231504065506,0.00022375198442364818,True,True
80,spectralFluxUV_sma3nz_amean,0.31077357126591365,0.005020304303433671,0.09658021259736992,0.42864144538009225,7.283809389232941e-05,0.1837334886975346,0.42864144538009225,0.03787231504065506,0.0006409752262524988,True,True
82,VoicedSegmentsPerSec,-0.3100630202604958,0.005126481624447129,0.09613907653306064,-0.20579609797523524,0.06704342052884446,0.04235203394183262,0.20579609797523524,0.03787231504065506,0.1885155581758323,True,False
15,loudness_sma3_pctlrange02,0.3074226878183973,0.005538670672472322,0.09450870898548777,0.45755779304379374,1.9801265953487988e-05,0.2093591339751072,0.45755779304379374,0.03787231504065506,0.00022375198442364818,True,True
87,equivalentSoundLevel_dBp,0.307076867106732,0.005594773812824043,0.09429620231208553,0.3782282704693938,0.0005418134673387792,0.1430566245822689,0.3782282704693938,0.03787231504065506,0.0034056846518437547,True,True
17,loudness_sma3_stddevRisingSlope,0.2969765173556776,0.007471296895592378,0.08819505186070707,0.4554980756148158,2.1812159104202815e-05,0.20747849688880046,0.4554980756148158,0.046334701133380396,0.00022375198442364818,True,True
18,loudness_sma3_meanFallingSlope,0.2949969919026964,0.007897960420462567,0.08702322523163952,0.49114324250812763,3.7332516591276927e-06,0.24122168466139746,0.49114324250812763,0.046334701133380396,6.444109261494223e-05,True,True
16,loudness_sma3_meanRisingSlope,0.2888676179097307,0.009357772028317174,0.08344450067684217,0.48801594341352034,4.3937108601096975e-06,0.23815956102578828,0.48801594341352034,0.051467746155744454,6.444109261494223e-05,False,True
84,StddevVoicedSegmentLengthSec,0.2845932672716242,0.010510661590086155,0.08099332777633812,0.35163683319723055,0.0013817420081678978,0.12364846246097694,0.35163683319723055,0.05440813058397539,0.008106219781251667,False,True
54,F3bandwidth_sma3nz_amean,-0.2781130311197019,0.012494600757118404,0.0773468580785883,-0.18255877633934642,0.10505861551149667,0.03332770681851951,0.18255877633934642,0.061084714812578864,0.26414737614319167,False,False
64,slopeV5001500_sma3nz_amean,-0.25719671791397525,0.021271921472931523,0.06615015170572096,-0.18536801445511877,0.09972498824216561,0.03436130078303312,0.18536801445511877,0.09414331940254371,0.2581117342738404,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.25500103787077616,0.022443247569077833,0.06502552931517301,-0.2457129481452433,0.028025186664040413,0.06037485288622702,0.2457129481452433,0.09414331940254371,0.09485447793982908,False,False
83,MeanVoicedSegmentLengthSec,0.25495932940265026,0.02246601940287975,0.06500425964944911,0.25900292573540606,0.020347892420570706,0.06708251553950027,0.25900292573540606,0.09414331940254371,0.07785280578305313,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.24629733919673802,0.02764231505100716,0.060662379295393025,-0.26747016924630207,0.01646013029230859,0.07154029143664548,0.26747016924630207,0.1080607392024276,0.06897578408205504,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.24492708060457857,0.028547117048385105,0.05998927481348173,-0.07816762773765222,0.490694573030851,0.006110178026132177,0.07816762773765222,0.1080607392024276,0.7857190635636844,False,False
29,mfcc4_sma3_stddevNorm,-0.24356510468156578,0.029471110691571163,0.059323960218542096,-0.24117345083394537,0.031154709657826823,0.05816463338715346,0.24117345083394537,0.1080607392024276,0.10154127592180594,False,False
76,alphaRatioUV_sma3nz_amean,0.23076973834994668,0.039449346450138804,0.05325467213810285,0.2635172080549305,0.01818729665802594,0.06944131894106553,0.2635172080549305,0.13886169950448857,0.07274918663210377,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.216604283391573,0.053624908656633434,0.04691741558357687,0.204694587872149,0.06855111206393902,0.04189987430414893,0.204694587872149,0.18149969083783624,0.1885155581758323,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.2119110788290173,0.0591533707501525,0.044906305330477986,-0.013994646065793898,0.9019424648393536,0.00019585011850684062,0.013994646065793898,0.19279617133383037,0.9706163966667992,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.20760096727394267,0.06463096359161576,0.04309816161307661,-0.2506389204828645,0.02493402585173799,0.06281986846081568,0.2506389204828645,0.20064255990189056,0.08776777099811772,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.20648002460499268,0.06612084360403211,0.042634000560878384,0.2228108635344093,0.04697065608694009,0.04964468090894916,0.2228108635344093,0.20064255990189056,0.1377805911883576,False,False
