,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
74,mfcc4V_sma3nz_amean,-0.46882886413576963,2.622248026471542e-17,0.21980050384683594,-0.3641322807655624,1.4922694347114673e-10,0.1325923178955304,0.3641322807655624,2.307578263294957e-15,1.4559851571608638e-09,True,True
28,mfcc4_sma3_amean,-0.4440147891545356,1.7281382660219246e-15,0.19714913298794673,-0.311221189669996,5.9128682120666326e-08,0.09685862889960763,0.311221189669996,7.603808370496468e-14,3.4688826844124246e-07,True,True
54,F3bandwidth_sma3nz_amean,-0.3628081198508136,1.7577536711096479e-10,0.13162973182968235,-0.39430515860201115,2.903443300999265e-12,0.15547655810015718,0.39430515860201115,5.156077435254968e-09,5.110060209758707e-11,True,True
70,mfcc2V_sma3nz_amean,-0.32812654469865893,9.87688122655532e-09,0.10766702933588101,-0.38190619498879586,1.5393212878450938e-11,0.14585234177082015,0.38190619498879586,2.1729138698421703e-07,1.693253416629603e-10,True,True
38,logRelF0H1A3_sma3nz_amean,-0.3093079409917256,7.190372091390487e-08,0.09567140236054081,-0.2976046416145987,2.308863723203388e-07,0.08856852271055374,0.2976046416145987,1.2655054880847257e-06,1.1287778202327673e-06,True,True
58,alphaRatioV_sma3nz_amean,0.29645344710055527,2.582490781816265e-07,0.08788464629780172,0.30537611667653436,1.0701586870860702e-07,0.09325457263644032,0.30537611667653436,3.7876531466638555e-06,5.53964496844554e-07,True,True
32,shimmerLocaldB_sma3nz_amean,0.288672101273936,5.435996074072699e-07,0.08333158205390956,0.23626403374292793,4.6853064428497836e-05,0.05582069364047938,0.23626403374292793,6.554127584759795e-06,0.00017179456957115875,True,True
24,mfcc2_sma3_amean,-0.2876966858312288,5.958297804327087e-07,0.08276938303827278,-0.3245227758226058,1.4599427168814278e-08,0.10531503202760926,0.3245227758226058,6.554127584759795e-06,9.176782791826118e-08,True,True
42,F1bandwidth_sma3nz_amean,-0.28154860525475267,1.0539551949301128e-06,0.07926961712089654,-0.27019580713384433,2.9162843674063497e-06,0.07300577419270961,0.27019580713384433,1.0305339683761102e-05,1.3507001280618882e-05,True,True
60,hammarbergIndexV_sma3nz_amean,-0.27666708311008537,1.6417501945604047e-06,0.07654467487664288,-0.30758838533233046,8.562302036300677e-08,0.0946106147913502,0.30758838533233046,1.4447401712131562e-05,4.7092661199653726e-07,True,True
25,mfcc2_sma3_stddevNorm,0.26397754555201086,4.9957204181551e-06,0.06968414455566396,0.11282473073826135,0.05454228372369074,0.012729419866161176,0.11282473073826135,3.99657633452408e-05,0.0979534891364242,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.25745559687926667,8.660489542959284e-06,0.06628338436445946,0.18486318596602633,0.0015386173427247613,0.03417439752550963,0.18486318596602633,6.351025664836809e-05,0.004416850378470478,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.24028902590947537,3.4394515333984154e-05,0.057738815972524525,0.25035378944212944,1.5507906974076347e-05,0.06267701988803408,0.25035378944212944,0.00023282441149158502,5.9334600596466025e-05,True,True
18,loudness_sma3_meanFallingSlope,0.23884368246993987,3.8456010483353246e-05,0.05704630465580146,0.49726259514761645,1.39463127283123e-19,0.2472700885329423,0.49726259514761645,0.0002333265187038366,1.2272755200914824e-17,True,True
52,F3frequency_sma3nz_amean,-0.23840635063474128,3.977156568815396e-05,0.0568375880229752,-0.2657075778820344,4.306711636146317e-06,0.07060051694393739,0.2657075778820344,0.0002333265187038366,1.8949531199043798e-05,True,True
16,loudness_sma3_meanRisingSlope,0.2268152049473406,9.480443318429766e-05,0.051445137195304115,0.4222894838399573,5.16155077001763e-14,0.17832840816181755,0.4222894838399573,0.0005214243825136371,1.1355411694038785e-12,True,True
14,loudness_sma3_percentile800,0.2198319711994124,0.00015666613491496342,0.04832609556141928,0.434137768913245,8.343739413528688e-15,0.18847560239697012,0.434137768913245,0.0008109776395598107,2.447496894635082e-13,True,True
15,loudness_sma3_pctlrange02,0.21707438531366272,0.00019021709345959072,0.047121288759304505,0.4559780461782265,2.3938983064940786e-16,0.20791597859651287,0.4559780461782265,0.0009115529556642436,1.0533152548573945e-14,True,True
66,spectralFluxV_sma3nz_amean,0.21612193534846733,0.00020328857801867094,0.04670869093876709,0.38626769636867175,8.629090177429606e-12,0.1492027332579604,0.38626769636867175,0.0009115529556642436,1.084799908019722e-10,True,True
46,F2frequency_sma3nz_amean,-0.21585005372760135,0.0002071711262873281,0.04659124569420839,-0.23453559586264253,5.341666721374049e-05,0.05500694572664478,0.23453559586264253,0.0009115529556642436,0.00018802666859236652,True,True
71,mfcc2V_sma3nz_stddevNorm,0.21075468100739372,0.00029405682353814106,0.044417535566528284,0.03959185622393688,0.501110547767999,0.0015675150792568893,0.03959185622393688,0.0012322381176836387,0.6390975101968683,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.20971555488513757,0.00031551037512290753,0.04398061396078115,0.115319872656968,0.04937905190194888,0.013298673029619314,0.115319872656968,0.0012620415004916301,0.09245439505045748,True,False
10,loudness_sma3_amean,0.2089485573243658,0.0003322710794841203,0.04365949960793378,0.3916137996395975,4.1951465644796944e-12,0.15336136806816283,0.3916137996395975,0.001271298043243591,6.152881627903552e-11,True,True
19,loudness_sma3_stddevFallingSlope,0.19933234350018406,0.0006259695335142203,0.03973338316527537,0.3631745093386902,1.6800204460888636e-10,0.1318957242333984,0.3631745093386902,0.0022952216228854746,1.4559851571608638e-09,True,True
34,HNRdBACF_sma3nz_amean,-0.1980881089268311,0.0006780053133837634,0.0392388988982081,-0.2132907192827473,0.00024727111433895993,0.045492930932151704,0.2132907192827473,0.0023865787031108468,0.0007771377879224455,True,True
40,F1frequency_sma3nz_amean,-0.19674648054702648,0.0007385766479283183,0.03870917760764147,-0.1481052408714332,0.011419994015474515,0.021935162373585247,0.1481052408714332,0.0024997978852958464,0.024511206667359935,True,True
13,loudness_sma3_percentile500,0.18974620789642815,0.0011439709933692027,0.036003623411074534,0.36252599130169516,1.8199814464510798e-10,0.13142509436927677,0.36252599130169516,0.0037284980524625866,1.4559851571608638e-09,True,True
17,loudness_sma3_stddevRisingSlope,0.18824530281775112,0.0012540424920629981,0.03543629403294682,0.3601052117812581,2.449641814656915e-10,0.12967576355202473,0.3601052117812581,0.003924815763538088,1.7964039974150713e-09,True,True
23,mfcc1_sma3_stddevNorm,0.18773783984692496,0.0012934051948023243,0.03524549651038965,0.09819457729628514,0.09454262895423153,0.009642175010396117,0.09819457729628514,0.003924815763538088,0.16313237937200734,True,False
76,alphaRatioUV_sma3nz_amean,0.18118209151312056,0.0019146953870082598,0.032826950285068796,0.13108474913939683,0.025340546781368826,0.0171832114569386,0.13108474913939683,0.005616439801890896,0.05309447897048706,True,False
67,spectralFluxV_sma3nz_stddevNorm,-0.17501521224598393,0.002736882604089079,0.030630324517506805,-0.1862210568521488,0.0014179197156495172,0.034678282015131234,0.1862210568521488,0.0077347911749585775,0.004302652930246811,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.17453565356503775,0.0028126513363485738,0.030462694365374875,-0.17228916184528717,0.0031935911937703036,0.029683555289351557,0.17228916184528717,0.0077347911749585775,0.008516243183387477,True,True
20,spectralFlux_sma3_amean,0.17231565740555987,0.0031888382251524165,0.029692685787110283,0.34959392035937187,8.648575376288346e-10,0.12221590915223483,0.34959392035937187,0.008503568600406445,5.8544202547182645e-09,True,True
35,HNRdBACF_sma3nz_stddevNorm,0.16443232510353853,0.0049219433308675155,0.027037989538955788,0.04960727038541525,0.3991649031887842,0.002460881275091697,0.04960727038541525,0.012739147444598276,0.5404078689325079,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.16290717317762218,0.005341890680824349,0.026538747072723783,-0.11664236239637146,0.04681208158907984,0.013605440705406452,0.11664236239637146,0.01343103942607265,0.08955354738780491,True,False
12,loudness_sma3_percentile200,0.1592747233474924,0.006474466349171561,0.02536843749742024,0.264471282604159,4.789055554812493e-06,0.06994505932228892,0.264471282604159,0.015826473297974927,1.915622221924997e-05,True,True
48,F2bandwidth_sma3nz_amean,-0.14742058590148838,0.011810573071654666,0.021732829147538112,-0.1846764169884736,0.0015559359287793731,0.034105378991700575,0.1846764169884736,0.027461584112513805,0.004416850378470478,True,True
22,mfcc1_sma3_amean,-0.1473381077349405,0.01185841132131278,0.02170851799091293,-0.11999805301981419,0.040795720248654264,0.014399532728546136,0.11999805301981419,0.027461584112513805,0.07977829737514612,True,False
72,mfcc3V_sma3nz_amean,0.12764953222935965,0.029474650599992196,0.01629440307837433,0.15099363981273087,0.00989497529591218,0.022799079263896703,0.15099363981273087,0.06569360683573601,0.022327123744622358,False,True
87,equivalentSoundLevel_dBp,0.12735024019985056,0.02986073037988,0.016218083678959633,0.21876712396128314,0.00016890506800533935,0.047859054526291425,0.21876712396128314,0.06569360683573601,0.0005505054068322172,False,True
75,mfcc4V_sma3nz_stddevNorm,-0.12388961437349646,0.03464812183648903,0.015348636549613662,-0.050012291215299466,0.3953218326890061,0.00250122927260392,0.050012291215299466,0.07069713618422996,0.5404078689325079,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.12376392159872737,0.03483362275441301,0.015317508289495936,-0.17635091959035634,0.0025355216052937563,0.03109964684036433,0.17635091959035634,0.07069713618422996,0.00697268441455783,False,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.12366391064827258,0.03498182379544381,0.015292762796823943,-0.16545431489534385,0.004657412478563818,0.0273751303174876,0.16545431489534385,0.07069713618422996,0.012054479356282823,False,True
37,logRelF0H1H2_sma3nz_stddevNorm,-0.12341795779233933,0.03534856809211498,0.015231992305631652,-0.02648268183581873,0.6527859874350931,0.0007013324372172033,0.02648268183581873,0.07069713618422996,0.7466358256765779,False,False
47,F2frequency_sma3nz_stddevNorm,0.11339463809120394,0.05332511141176145,0.012858343947835119,0.11290776579466785,0.05436352079793998,0.012748163576743568,0.11290776579466785,0.10428021787188907,0.0979534891364242,False,False
65,slopeV5001500_sma3nz_stddevNorm,0.11221426193521904,0.055871567764883105,0.012592040581665949,0.02279559283306002,0.6985783009032676,0.0005196390526106574,0.02279559283306002,0.10466246487676714,0.7589492651788586,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1122016679636803,0.0558992710137279,0.01258921429383196,-0.1253254330106116,0.03258798828108142,0.015706464159297297,0.1253254330106116,0.10466246487676714,0.06517597656216284,False,False
78,slopeUV0500_sma3nz_amean,-0.11081186445667894,0.05902713456730207,0.012279269304365386,-0.2647690469659967,4.668384742891759e-06,0.07010264823128215,0.2647690469659967,0.10821641337338714,1.915622221924997e-05,False,True
11,loudness_sma3_stddevNorm,0.10920035168756304,0.06283349307712001,0.01192471680868745,0.0910905541407984,0.12103945948779442,0.008297489053677725,0.0910905541407984,0.11284382430176655,0.19724948953566498,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.10699369032147912,0.0683708150125812,0.011447649768608575,-0.151186894418943,0.009799702774214677,0.02285747704404462,0.151186894418943,0.118257835020401,0.022327123744622358,False,True
59,alphaRatioV_sma3nz_stddevNorm,-0.10693022658254855,0.06853579075045968,0.011434073356995174,-0.0663086288012035,0.25952551619925407,0.004396834253495794,0.0663086288012035,0.118257835020401,0.3870889055175315,False,False
69,mfcc1V_sma3nz_stddevNorm,0.10527053868623588,0.07296702675782682,0.011081886315290286,0.015239128445384383,0.7957461861195689,0.00023223103577492345,0.015239128445384383,0.12348266066709153,0.8336388616490722,False,False
81,loudnessPeaksPerSec,0.10250428567280859,0.08086882513335353,0.010507128581292751,0.225717160117285,0.00010270269792279263,0.05094823637141207,0.225717160117285,0.1324847719311303,0.0003476091314309904,False,True
31,jitterLocal_sma3nz_stddevNorm,-0.10236059043892917,0.08129747368501178,0.010477690475006199,-0.05255378777541681,0.3717183136196847,0.0027619006095435496,0.05255378777541681,0.1324847719311303,0.5192255809290834,False,False
64,slopeV5001500_sma3nz_amean,-0.09534574829184485,0.10455176946556047,0.009090811717331835,-0.06981018159425202,0.23515038505689204,0.0048734614542224435,0.06981018159425202,0.16728283114489675,0.3567798945690776,False,False
63,slopeV0500_sma3nz_stddevNorm,0.09363766003432444,0.11094325496987346,0.008768011376703721,-0.032288490160782904,0.5832986762250219,0.0010425465968629743,0.032288490160782904,0.174339400666944,0.7031545686000263,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.08983637828969096,0.12626666839789488,0.008070574864208457,-0.09011715501321887,0.12508150039029986,0.00812110162767652,0.09011715501321887,0.19493801436867983,0.2001304006244798,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.08433960492945006,0.15126099695288175,0.0071131689596557164,-0.16415998882476426,0.004994679078774026,0.02694850193094673,0.16415998882476426,0.22949944365264818,0.012558050255203266,False,True
33,shimmerLocaldB_sma3nz_stddevNorm,-0.08238704545970685,0.16098908282788185,0.006787625259579802,-0.07697817615679277,0.19038494388218186,0.005925639604426219,0.07697817615679277,0.24011930998056955,0.29917634038628577,False,False
21,spectralFlux_sma3_stddevNorm,-0.07689977797808749,0.19083816040623716,0.00591357585307915,-0.15443500031168528,0.008315702921782376,0.02385016932127023,0.15443500031168528,0.2798959685958145,0.01977788803018511,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.07354385497393795,0.2109859165719687,0.005408698604427617,-0.03055735758488339,0.6036581249743751,0.0009337521025704304,0.03055735758488339,0.29967478495641814,0.7178637161857433,False,False
26,mfcc3_sma3_amean,0.07309639857338467,0.21378381303742533,0.005343083484399112,0.10188529539476224,0.0827283814437211,0.010380613417677959,0.10188529539476224,0.29967478495641814,0.14560195134094914,False,False
80,spectralFluxUV_sma3nz_amean,0.07297620250667487,0.21453990286652663,0.00532552613229522,0.15790382505432465,0.006954885374317788,0.024933617966786767,0.15790382505432465,0.29967478495641814,0.017000830914999036,False,True
62,slopeV0500_sma3nz_amean,0.06865418378886326,0.24301256561435702,0.004713396951715015,-0.09553983797776873,0.10384429649148624,0.0091278606408183,0.09553983797776873,0.3341422777197409,0.17573650175482286,False,False
83,MeanVoicedSegmentLengthSec,-0.0630410192820004,0.2837931983565565,0.003974170112113546,-0.09273835243510617,0.114429566861437,0.008600402012377962,0.09273835243510617,0.3842123300827226,0.18999626195861238,False,False
79,slopeUV5001500_sma3nz_amean,0.06019227915946301,0.30616030819713846,0.0036231104704107244,0.057897542211194225,0.3250009551181541,0.0033521253940970172,0.057897542211194225,0.4082137442628513,0.46885383689176324,False,False
30,jitterLocal_sma3nz_amean,-0.05700229070933446,0.33255060932297176,0.003249261146111478,-0.12995388211563413,0.026642645037999225,0.016888011476924134,0.12995388211563413,0.43678288985703756,0.05452448286846353,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.04790104727733038,0.41559848680094313,0.0022945103302650406,0.005727785906233828,0.9224969206386235,3.280753138765088e-05,0.005727785906233828,0.5378333358600441,0.9224969206386235,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.04689797448536163,0.4254424124354834,0.0021994200108296303,0.05583888740170121,0.3425285365443724,0.0031179813462598664,0.05583888740170121,0.5425932216568484,0.48616953574039945,False,False
85,MeanUnvoicedSegmentLength,0.045161455344308654,0.44280060033669255,0.0020395570488159847,0.02644022537346826,0.6533063474670057,0.0006990855177997948,0.02644022537346826,0.5511217290795398,0.7466358256765779,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.044978258117866515,0.4446550314164469,0.002023043703317425,-0.07241522658421563,0.21809407083468263,0.005243965041243291,0.07241522658421563,0.5511217290795398,0.33670663567459774,False,False
84,StddevVoicedSegmentLengthSec,-0.04135458323289368,0.4822298194074536,0.0017102015543663308,-0.03830364998832265,0.5151511325167776,0.0014671696024279295,0.03830364998832265,0.5893920014979988,0.6476185665925204,False,False
