,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.32007808558983225,1.2551729282278159e-11,0.10244998087485198,-0.2631611696763651,3.3976455453991484e-08,0.06925380122543262,0.2631611696763651,1.104552176840478e-09,2.1356629142508933e-07,True,True
42,F1bandwidth_sma3nz_amean,-0.2963567223049398,4.188536442180385e-10,0.0878273068553272,-0.10974901401590577,0.023325642969058265,0.012044846077463481,0.10974901401590577,1.8429560345593693e-08,0.05131641453192819,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.285985724744621,1.7611190363455875e-09,0.08178783475770611,-0.20261395636641985,2.460751767789642e-05,0.041052415314453486,0.20261395636641985,5.1659491732803904e-08,9.415050241977761e-05,True,True
66,spectralFluxV_sma3nz_amean,0.27987719524212684,3.994302580694789e-09,0.07833124441659958,0.4305091523004797,1.0760722906667276e-20,0.18533813021447762,0.4305091523004797,8.787465677528535e-08,1.5782393596445339e-19,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.27414059582815753,8.465193940582487e-09,0.07515306628101723,-0.20462402706535052,2.0340298944767255e-05,0.0418709924524413,0.20462402706535052,1.385657833326889e-07,8.136119577906902e-05,True,True
14,loudness_sma3_percentile800,0.2718832249678429,1.1322505629485445e-08,0.07392048801891467,0.4647154848784805,2.9073713419357368e-24,0.21596048188584127,0.4647154848784805,1.385657833326889e-07,8.528289269678161e-23,True,True
10,loudness_sma3_amean,0.2717649300370127,1.1495546629935486e-08,0.0738561771980224,0.43273545377962025,6.481643439044467e-21,0.18725997295785385,0.43273545377962025,1.385657833326889e-07,1.140769245271826e-19,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,-0.27105015920663256,1.2596889393880809e-08,0.07346818880594086,-0.2200374460324254,4.43471534395807e-06,0.048416477656472515,0.2200374460324254,1.385657833326889e-07,2.1437072334277265e-05,True,True
20,spectralFlux_sma3_amean,0.26937303167133453,1.5597004948802446e-08,0.0725618301918058,0.40268077151302895,4.467431744102623e-18,0.16215180374632823,0.40268077151302895,1.5183200791277848e-07,3.931339934810309e-17,True,True
18,loudness_sma3_meanFallingSlope,0.26857654389004726,1.7253637262815735e-08,0.07213335992792248,0.5129649799100986,4.951943876067354e-30,0.26313307061416785,0.5129649799100986,1.5183200791277848e-07,4.357710610939271e-28,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.2676645349879215,1.9359913186807506e-08,0.07164430329030023,-0.20750863635975278,1.5425446778382616e-05,0.04305983416388411,0.20750863635975278,1.5487930549446005e-07,6.619486598352169e-05,True,True
40,F1frequency_sma3nz_amean,-0.26465468976467027,2.8227185418381162e-08,0.07004210481443386,-0.14395327321520715,0.0028686726214830057,0.020722544869372077,0.14395327321520715,1.9392079975669783e-07,0.008143328731951758,True,True
87,equivalentSoundLevel_dBp,0.26453597865637724,2.8647390873148545e-08,0.06997928400368728,0.3146561351974291,2.8773538117542612e-11,0.09900848341738276,0.3146561351974291,1.9392079975669783e-07,2.110059461953125e-10,True,True
15,loudness_sma3_pctlrange02,0.2621117180652661,3.867704743258196e-08,0.06870255274712556,0.48178233522462227,3.364108833303359e-26,0.2321142185344903,0.48178233522462227,2.4311286957622946e-07,1.480207886653478e-24,True,True
13,loudness_sma3_percentile500,0.2584263518204502,6.06932539343854e-08,0.06678417931522711,0.4108774589224297,8.018257448559385e-19,0.16882028625055293,0.4108774589224297,3.5606708974839433e-07,1.0080095078188941e-17,True,True
72,mfcc3V_sma3nz_amean,0.2565170008161652,7.64441137869007e-08,0.0658009717077205,0.2621128271382253,3.867176286137503e-08,0.06870313415039318,0.2621128271382253,4.204426258279538e-07,2.2687434212006686e-07,True,True
19,loudness_sma3_stddevFallingSlope,0.2559260951564466,8.20715189724538e-08,0.06549816618202656,0.40726263851538086,1.7202940398523513e-18,0.1658628567305098,0.40726263851538086,4.2484080409270203e-07,1.8923234438375863e-17,True,True
16,loudness_sma3_meanRisingSlope,0.2550204632409025,9.147921609042537e-08,0.0650354366716045,0.4530045804847042,5.380238443195632e-23,0.20521314994012285,0.4530045804847042,4.4723172310874624e-07,1.183652457503039e-21,True,True
74,mfcc4V_sma3nz_amean,-0.2459233950465794,2.6595703133815245e-07,0.06047831623123595,-0.2211772235885646,3.944718733658495e-06,0.0489193642343459,0.2211772235885646,1.2318009872503902e-06,2.0419720503643976e-05,True,True
12,loudness_sma3_percentile200,0.24457736161150062,3.1036083190118925e-07,0.05981808581284274,0.33289797689399603,1.650313472047734e-12,0.11082106302011552,0.33289797689399603,1.3655876603652328e-06,1.3202507776381873e-11,True,True
28,mfcc4_sma3_amean,-0.2383674275865495,6.254451545766384e-07,0.05681903053422892,-0.19522596824731436,4.8765649854350086e-05,0.0381131786781014,0.19522596824731436,2.6209130287021035e-06,0.00017880738279928366,True,True
17,loudness_sma3_stddevRisingSlope,0.23094171073331796,1.4103015197461587e-06,0.0533340737564315,0.402819589196579,4.341051767432192e-18,0.16226362144050066,0.402819589196579,5.641206078984635e-06,3.931339934810309e-17,True,True
