,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.3078077156499245,5.851904470517756e-17,0.09474558981362477,-0.40159427051562674,9.652182958585188e-29,0.1612779581109784,0.40159427051562674,5.149675934055625e-15,1.4156535005924943e-27,True,True
74,mfcc4V_sma3nz_amean,-0.2594923570191311,2.50590482748527e-12,0.06733628335134419,-0.2131014756919596,1.0777260884725243e-08,0.04541223894209086,0.2131014756919596,1.0429091876234341e-10,4.99157346239906e-08,True,True
18,loudness_sma3_meanFallingSlope,0.2577330145069932,3.555372230534434e-12,0.06642630676686197,0.4646934893017878,4.164593997092693e-39,0.21594003899947076,0.4646934893017878,1.0429091876234341e-10,3.66484271744157e-37,True,True
66,spectralFluxV_sma3nz_amean,0.2548741694793244,6.241928435369702e-12,0.06496084226777538,0.3718761774416651,1.4145952874753683e-24,0.1382918913486248,0.3718761774416651,1.2588169921923503e-10,1.2448438529783241e-23,True,True
14,loudness_sma3_percentile800,0.25417726682215297,7.152369273820172e-12,0.06460608296917994,0.43520408068790944,5.446865924097806e-34,0.1894025918474084,0.43520408068790944,1.2588169921923503e-10,2.3966210066030345e-32,True,True
10,loudness_sma3_amean,0.2517317717286075,1.1495858981445053e-11,0.06336888489762375,0.42697364655596237,1.1933138329864483e-32,0.1823064948532959,0.42697364655596237,1.686059317278608e-10,2.625290432570186e-31,True,True
19,loudness_sma3_stddevFallingSlope,0.24326711202675252,5.7163116130684903e-11,0.059178887793836565,0.3837495444128503,3.4454789155477774e-26,0.14726371283707018,0.3837495444128503,6.401905572535094e-10,3.790026807102555e-25,True,True
13,loudness_sma3_percentile500,0.24317050486914982,5.819914156850085e-11,0.05913189443831721,0.4185226412233482,2.6022378410627236e-31,0.17516120121656745,0.4185226412233482,6.401905572535094e-10,4.579938600270394e-30,True,True
28,mfcc4_sma3_amean,-0.24233246635416333,6.798991895410944e-11,0.058725024249291706,-0.18255929004146915,1.0436733057247897e-06,0.033327894380445255,0.18255929004146915,6.647903186624034e-10,3.6737300361512595e-06,True,True
20,spectralFlux_sma3_amean,0.24007141901788753,1.0312885160008142e-10,0.05763428622926213,0.3559407739852943,1.6334177926550536e-22,0.12669383458525035,0.3559407739852943,9.075338940807165e-10,1.197839714613706e-21,True,True
16,loudness_sma3_meanRisingSlope,0.23693431840595292,1.825552659737506e-10,0.05613787123849348,0.42920484391892766,5.2115516849866233e-33,0.18421679804347105,0.42920484391892766,1.4604421277900048e-09,1.5287218275960763e-31,True,True
87,equivalentSoundLevel_dBp,0.23322460747820734,3.549459209100363e-10,0.05439371753336388,0.28278875358372424,1.897201991095358e-14,0.07996947915343632,0.28278875358372424,2.6029367533402665e-09,1.1130251681092767e-13,True,True
17,loudness_sma3_stddevRisingSlope,0.22957813330853832,6.749399472591049e-10,0.052706119293432996,0.37590142627526263,4.084360586948508e-25,0.1413018822757767,0.37590142627526263,4.568824258369325e-09,3.993597018349652e-24,True,True
15,loudness_sma3_pctlrange02,0.22874277798476503,7.808086419856558e-10,0.052323258480187505,0.3987252562555452,2.544623658118226e-28,0.1589818299760502,0.3987252562555452,4.907940035338408e-09,3.1989554559200556e-27,True,True
12,loudness_sma3_percentile200,0.22026560753120278,3.318194598383185e-09,0.048516937861089855,0.3711804366938783,1.750314509871779e-24,0.1377749165842582,0.3711804366938783,1.946674164384802e-08,1.4002516078974232e-23,True,True
78,slopeUV0500_sma3nz_amean,-0.1880975848899368,4.802958926481296e-07,0.03538070144142698,-0.30084641171859045,3.0959272660934273e-16,0.09050856344395164,0.30084641171859045,2.6416274095647127e-06,2.095704610894012e-15,True,True
80,spectralFluxUV_sma3nz_amean,0.17058141594110576,5.167363596605056e-06,0.029098019464472533,0.2154439276186959,7.365005936284908e-09,0.04641608594776988,0.2154439276186959,2.6748705676543823e-05,3.600669568850399e-08,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.16648574823013287,8.713123331218735e-06,0.027717504363747193,0.14949841424500745,6.672726656190097e-05,0.022349775861771847,0.14949841424500745,4.259749184151381e-05,0.00018349998304522766,True,True
70,mfcc2V_sma3nz_amean,-0.16089749185673843,1.742258601754901e-05,0.02588800288578921,-0.29325249354598093,1.811369833976414e-15,0.08599702497093559,0.29325249354598093,8.069408260759542e-05,1.138575324213746e-14,True,True
38,logRelF0H1A3_sma3nz_amean,-0.15816631479808546,2.4242543049385404e-05,0.025016583136807068,-0.21174756736231284,1.3403318790467716e-08,0.044837032283857214,0.21174756736231284,0.00010666718941729577,5.897460267805795e-08,True,True
72,mfcc3V_sma3nz_amean,0.15601647275441413,3.132175998792779e-05,0.024341139770728847,0.13522112325397762,0.00031443342770008583,0.018284752174067404,0.13522112325397762,0.0001312530894732212,0.0007905754753602159,True,True
63,slopeV0500_sma3nz_stddevNorm,0.14564801602466806,0.00010282164504388958,0.021213344571921967,0.0780443608663484,0.03815566414849867,0.006090922263036814,0.0780443608663484,0.00041128658017555833,0.06503810998330123,True,False
24,mfcc2_sma3_amean,-0.1381803486600722,0.0002307608321162974,0.019093808755819116,-0.25560906261651156,5.404697519128079e-12,0.06533599289169173,0.25560906261651156,0.0008829110098362684,2.972583635520443e-11,True,True
62,slopeV0500_sma3nz_amean,-0.1374099611854808,0.0002502656108552089,0.018881497432995338,-0.22537840850717225,1.3961240859184393e-09,0.05079542702122581,0.22537840850717225,0.0009176405731357661,7.226995268283686e-09,True,True
76,alphaRatioUV_sma3nz_amean,0.13265982609003263,0.0004089416564322628,0.017598629458237702,0.1594621631574807,2.0739754349000375e-05,0.025428181478863,0.1594621631574807,0.0014394746306415648,6.293442699007011e-05,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.1235899538291011,0.000999485519014862,0.015274476687479341,-0.1565652179592843,2.9348362423358673e-05,0.0245126674746382,0.1565652179592843,0.0033828740643579943,8.608852977518545e-05,True,True
60,hammarbergIndexV_sma3nz_amean,-0.11464384542144561,0.0022821030381340477,0.013143211293016314,-0.18861273625981065,4.463171997808276e-07,0.03557476427941289,0.18861273625981065,0.007437965457622081,1.636496399196368e-06,True,True
46,F2frequency_sma3nz_amean,-0.10768622674011517,0.004175918766525545,0.011596323429523497,-0.20293360590047327,5.35145154543472e-08,0.0411820484037686,0.20293360590047327,0.013124316123365998,2.140580618173888e-07,True,True
26,mfcc3_sma3_amean,0.10563327386560743,0.004959745109044515,0.011158388547566423,0.06922573677737759,0.06601527145104118,0.004792202632370768,0.06922573677737759,0.015050261020548876,0.1019183138191513,True,False
40,F1frequency_sma3nz_amean,-0.10340439020206812,0.005958990579039935,0.010692467913061563,-0.13333435485083228,0.00038176709196978707,0.017778050183487663,0.13333435485083228,0.016953887007956473,0.0009332084470372572,True,True
75,mfcc4V_sma3nz_stddevNorm,-0.10326524509902416,0.006026996971905712,0.010663710845361532,-0.010213114234786607,0.7864714870293147,0.00010430770237280083,0.010213114234786607,0.016953887007956473,0.8651186357322462,True,False
42,F1bandwidth_sma3nz_amean,-0.10298706829185039,0.006165049821075082,0.010606336235350256,-0.11313799379647194,0.0026082183208485793,0.012800205640290522,0.11313799379647194,0.016953887007956473,0.006040084532491447,True,True
25,mfcc2_sma3_stddevNorm,0.09919261092105255,0.008353193902321898,0.009839174061335314,0.0735489272844231,0.05076902838466598,0.005409444704689357,0.0735489272844231,0.02227518373952506,0.08273471292315937,True,False
32,shimmerLocaldB_sma3nz_amean,0.09790241140936184,0.009241793800003936,0.009584882159767945,0.0872135859050955,0.020469233234006262,0.007606209566425472,0.0872135859050955,0.023805604413415945,0.04002872276872336,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.09759149013593901,0.00946813811897225,0.009524098946953082,-0.10898323264225784,0.003740384043919227,0.011877344997156496,0.10898323264225784,0.023805604413415945,0.0082288448966223,True,True
53,F3frequency_sma3nz_stddevNorm,-0.09314571927022013,0.013288500867218788,0.008676125018366657,-0.009597213272636055,0.7990642738757859,9.210650260046164e-05,0.009597213272636055,0.03182441156742542,0.8681192111243107,True,False
31,jitterLocal_sma3nz_stddevNorm,-0.09305319562385553,0.013380718499940237,0.008658897215811525,-0.05911257248093008,0.11658985361377852,0.0034942962253132126,0.05911257248093008,0.03182441156742542,0.1628556685398811,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.09265910956052047,0.013779852636589145,0.008585710584548536,0.010668194823263515,0.7772023273913427,0.00011381038078710646,0.010668194823263515,0.03191123768473276,0.8651186357322462,True,False
82,VoicedSegmentsPerSec,-0.088929276914547,0.01810778689754478,0.007908416292544181,-0.07105151116692084,0.059170342694019204,0.005048317239103076,0.07105151116692084,0.040858596076511294,0.09467254831043073,True,False
58,alphaRatioV_sma3nz_amean,0.08833487860130464,0.018897461408556915,0.007803050777507228,0.16710106368973784,8.06172994844835e-06,0.027922765486241823,0.16710106368973784,0.041574415098825215,2.7285855210132875e-05,True,True
52,F3frequency_sma3nz_amean,-0.08677985677232523,0.02110705850362704,0.007530743541425282,-0.1630842579332637,1.33209944748264e-05,0.026596475185643283,0.1630842579332637,0.04530295483705316,4.341657458461938e-05,True,True
21,spectralFlux_sma3_stddevNorm,-0.07766606025387805,0.03910324109568317,0.006032016915359016,-0.19549180750147718,1.6432417145146284e-07,0.03821704680019461,0.19549180750147718,0.0813764424664481,6.287185690316839e-07,False,True
48,F2bandwidth_sma3nz_amean,-0.0774070370917921,0.039763488932468956,0.005991849391330078,-0.14068716770757517,0.0001766975971154324,0.01979287915757938,0.14068716770757517,0.0813764424664481,0.0004711935923078197,False,True
67,spectralFluxV_sma3nz_stddevNorm,-0.07360775951025833,0.05058380988371815,0.0054181022601200255,-0.15981055815486592,1.9883431258314266e-05,0.02553941449776978,0.15981055815486592,0.1011676197674363,6.249078395470198e-05,False,True
65,slopeV5001500_sma3nz_stddevNorm,0.07324069895229064,0.05174869673787597,0.005364199983020067,-0.03175675318279218,0.3994996252712669,0.0010084913727127815,0.03175675318279218,0.10119745139851301,0.48827731977599287,False,False
64,slopeV5001500_sma3nz_amean,-0.07103800669717451,0.059218725996420675,0.005046398395507811,-0.05032197934009514,0.1816914403440241,0.002532301604704962,0.05032197934009514,0.11142179551622841,0.23513009926873707,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.07073376984751546,0.060317446998633555,0.005003266196841287,-0.09663769574165695,0.010193569881117746,0.009338844238257062,0.09663769574165695,0.11142179551622841,0.021878881696057603,False,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.07060828064119498,0.060775524827033675,0.0049855292951057496,0.09516783747651412,0.011408340583175301,0.009056917289956206,0.09516783747651412,0.11142179551622841,0.023903189793319676,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.0695504114596824,0.06475254188909121,0.004837259734211121,-0.05555545323453136,0.1403017150222166,0.0030864083840942006,0.05555545323453136,0.11629027931102097,0.18723730372486155,False,False
