,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
66,spectralFluxV_sma3nz_amean,0.3002041940656982,6.252462779595916e-20,0.09012255813463539,0.4027588382188569,6.412796048288054e-36,0.16221468176340334,0.4027588382188569,3.0087790780605545e-18,7.054075653116859e-35,True,True
87,equivalentSoundLevel_dBp,0.2997614306245092,7.124840791995803e-20,0.08985691529005245,0.3382423149647059,3.5183740674552815e-25,0.11440786363268332,0.3382423149647059,3.0087790780605545e-18,2.58014098280054e-24,True,True
10,loudness_sma3_amean,0.2976964574007125,1.306261598001332e-19,0.08862318074893423,0.4700923032663353,5.794837575011738e-50,0.22098677359024813,0.4700923032663353,3.0087790780605545e-18,1.881718591169458e-48,True,True
14,loudness_sma3_percentile800,0.2975393837234868,1.3676268536638885e-19,0.08852968486655233,0.47428257627672266,6.033037823997673e-51,0.22494396215968523,0.47428257627672266,3.0087790780605545e-18,5.309073285117952e-49,True,True
20,spectralFlux_sma3_amean,0.29495935515695243,2.8952959350564136e-19,0.0870010211946052,0.3914441662095655,7.405609711875792e-34,0.15322853525950195,0.3914441662095655,5.095720845699288e-18,5.9244877695006336e-33,True,True
13,loudness_sma3_percentile500,0.2892939914179241,1.4633978470290543e-18,0.08369101347051396,0.4632606973790811,2.167233218342498e-48,0.21461047373615255,0.4632606973790811,2.1463168423092797e-17,4.767913080353496e-47,True,True
18,loudness_sma3_meanFallingSlope,0.2834925391639626,7.406195729809911e-18,0.08036801976163087,0.46990262759717183,6.414949742623152e-50,0.22080847942272636,0.46990262759717183,9.31064606033246e-17,1.881718591169458e-48,True,True
54,F3bandwidth_sma3nz_amean,-0.27468009961978423,8.092656532141685e-17,0.0754491571271346,-0.22744512569614875,7.162586286614761e-12,0.051731285202936905,0.22744512569614875,8.901922185355852e-16,4.20205062148066e-11,True,True
19,loudness_sma3_stddevFallingSlope,0.27389956604015586,9.960320245018636e-17,0.0750209722769857,0.40170921424732775,1.0040559185504547e-35,0.16137029281120546,0.40170921424732775,9.738979795129333e-16,9.817435648048889e-35,True,True
15,loudness_sma3_pctlrange02,0.27332458920222114,1.1601643076057483e-16,0.07470633106256294,0.42027793005501257,2.8348815512239867e-39,0.17663353849132604,0.42027793005501257,1.0209445906930586e-15,4.157826275128514e-38,True,True
12,loudness_sma3_percentile200,0.2664263953096171,7.0314634194812185e-16,0.07098302411767636,0.41661151195176366,1.482957300033078e-38,0.17356515189073451,0.41661151195176366,5.625170735584975e-15,1.8642891771844408e-37,True,True
16,loudness_sma3_meanRisingSlope,0.26434167958117827,1.1997991939293345e-15,0.06987652356379832,0.4406595372485551,1.9605148041547504e-43,0.19418082776811074,0.4406595372485551,8.32034854821702e-15,3.450506055312361e-42,True,True
17,loudness_sma3_stddevRisingSlope,0.2642469750664456,1.2291423991684233e-15,0.06982646383176673,0.40145754234543096,1.1177397920380352e-35,0.16116815830603348,0.40145754234543096,8.32034854821702e-15,9.83611016993471e-35,True,True
80,spectralFluxUV_sma3nz_amean,0.22406161578548703,1.481378206906666e-11,0.05020360766840321,0.25719842591593833,7.22495939864488e-15,0.06615103029363642,0.25719842591593833,9.311520157699044e-11,4.541403050576782e-14,True,True
72,mfcc3V_sma3nz_amean,0.21954239187032354,3.840136418338995e-11,0.0481988618281427,0.18899431958462748,1.411511083086056e-08,0.035718852835256304,0.18899431958462748,2.2528800320922106e-10,6.90072085064294e-08,True,True
78,slopeUV0500_sma3nz_amean,-0.1954794343973385,4.347739436980634e-09,0.038212209272303364,-0.3119773974962318,1.7840332085158386e-21,0.09732989654852184,0.3119773974962318,2.3912566903393485e-08,1.2076532488414907e-20,True,True
28,mfcc4_sma3_amean,-0.19411849193353686,5.585385991410991e-09,0.037681988910550614,-0.17418958345854493,1.7848571930633178e-07,0.030342010985461392,0.17418958345854493,2.8912586308480422e-08,7.139428772253271e-07,True,True
74,mfcc4V_sma3nz_amean,-0.19201340824911842,8.199598460743466e-09,0.036869148947442615,-0.18421868699623342,3.2737892944194896e-08,0.03393652463861622,0.18421868699623342,4.0086925808079165e-08,1.5162813574153425e-07,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.1815449084966265,5.1936715951242546e-08,0.032958553801048486,0.1743202727871763,1.7469137038185567e-07,0.030387557504595555,0.1743202727871763,2.4054900019522865e-07,7.139428772253271e-07,True,True
26,mfcc3_sma3_amean,0.17232088531994894,2.422567616155232e-07,0.029694487517450994,0.12375068212613921,0.00022021317979434776,0.015314231326684751,0.12375068212613921,1.065929751108302e-06,0.0005872351461182607,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.17064631280239403,3.176541330374066e-07,0.02912016407305251,0.1808235123088704,5.875472222439759e-08,0.0326971426037162,0.1808235123088704,1.3311220812996087e-06,2.585207777873494e-07,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.16727322629849153,5.439121824950898e-07,0.02798033223630636,0.16118513151108904,1.3977932219905553e-06,0.02598064662024707,0.16118513151108904,2.1756487299803593e-06,4.920232141406754e-06,True,True
83,MeanVoicedSegmentLengthSec,0.16411160450981696,8.918060316097959e-07,0.026932618734786574,0.2252303446373277,1.1540471773230864e-11,0.05072870814544941,0.2252303446373277,3.412127425289654e-06,6.347259475276974e-11,True,True
63,slopeV0500_sma3nz_stddevNorm,0.16137358843079905,1.358245457864258e-06,0.02604143504303292,0.07757806075802984,0.020849593260575464,0.006018355510976569,0.07757806075802984,4.98023334550228e-06,0.040772537931792016,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.15995196615610602,1.6852057995568815e-06,0.025584631477204085,0.17202340481042977,2.5425210471797414e-07,0.029592051802572992,0.17202340481042977,5.931924414440222e-06,9.727906615296403e-07,True,True
64,slopeV5001500_sma3nz_amean,-0.15750383982743502,2.4325723314493005e-06,0.024807459560386304,-0.14736922695166546,1.0484890612712048e-05,0.02171768905233148,0.14736922695166546,8.233321737213017e-06,3.295251335423787e-05,True,True
40,F1frequency_sma3nz_amean,-0.1530576852275035,4.671478679905947e-06,0.02342665500720154,-0.08192586526427217,0.014661921173710714,0.006711847399299678,0.08192586526427217,1.5225560141915679e-05,0.030005792169454485,True,True
42,F1bandwidth_sma3nz_amean,-0.14393561512175243,1.683868962855117e-05,0.020717461300477247,-0.011019103540129966,0.7431202667214838,0.00012142064282810474,0.011019103540129966,5.292159597544654e-05,0.8492803048245529,True,False
62,slopeV0500_sma3nz_amean,-0.14288545862864194,1.942263943949975e-05,0.020416254287517345,-0.22190850766863293,2.3381566524517547e-11,0.04924338577571972,0.22190850766863293,5.8937664506068215e-05,1.2103399142103202e-10,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.1410370152495799,2.491077562367184e-05,0.019891439670510234,-0.07776511494605562,0.02054268692079383,0.006047413102573243,0.07776511494605562,7.307160849610407e-05,0.040772537931792016,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.13701013571358533,4.238520630794266e-05,0.018771777288255072,-0.13545194399300498,5.186048137442836e-05,0.018347229131484157,0.13545194399300498,0.0001203192953257727,0.000142616323779678,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,-0.13604804269288548,4.802058545247642e-05,0.01850906992056519,-0.09161498800553201,0.006325295087442146,0.008393306027253775,0.09161498800553201,0.00013205660999431016,0.015043945072835374,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.13552923058133096,5.1346720526645515e-05,0.018368172341967574,-0.14458952542834708,1.5398674134556633e-05,0.020906130863594625,0.14458952542834708,0.0001369245880710547,4.6727011166930473e-05,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.12714057649585261,0.0001466660113530986,0.01616472619169775,-0.08856788124802589,0.008309081886581002,0.007844269588764417,0.08856788124802589,0.0003796061470315493,0.019242084368924425,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.12606703754041976,0.00016699587103052909,0.015892897954217604,-0.061001369476747024,0.0693848817731246,0.0037211670780386034,0.061001369476747024,0.0004198753328767589,0.11742056915451855,True,False
68,mfcc1V_sma3nz_amean,0.12201695137865716,0.00027003560098380483,0.014888136423741585,0.08767596964226675,0.008986591073890732,0.00768707565271168,0.08767596964226675,0.0006600870246270784,0.02027743626929191,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.11620809118185361,0.0005246449342168617,0.013504320456130004,-0.16006422243545998,1.6568591606805586e-06,0.02562055530386841,0.16006422243545998,0.0012478041678671305,5.607831005380352e-06,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.1073377496658166,0.0013669652231387728,0.011521392503321513,-0.060324897955080226,0.07253729829068752,0.0036390933132908424,0.060324897955080226,0.003165603674637158,0.12043928772793398,True,False
84,StddevVoicedSegmentLengthSec,0.10387090179434738,0.0019512109035476233,0.010789164239570957,0.086891192677958,0.009622998695818683,0.007550079364998023,0.086891192677958,0.0043723678225565865,0.021170597130801102,True,True
48,F2bandwidth_sma3nz_amean,-0.10368890387370525,0.001987439919343903,0.010751388786530487,-0.055296548023804556,0.09980310238437133,0.0030577082233489237,0.055296548023804556,0.0043723678225565865,0.15142539672111513,True,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.09959506244335467,0.002983845809412425,0.009919176463095716,-0.05261299523782239,0.11738986327070802,0.0027681272678951215,0.05261299523782239,0.006404351981177888,0.16934931094790664,True,False
76,alphaRatioUV_sma3nz_amean,0.09308378994259027,0.005530560567424853,0.008664591950076269,0.13838711543586912,3.539937658842864e-05,0.019150993718660567,0.13838711543586912,0.011587841188890167,0.00010048855289618451,True,True
85,MeanUnvoicedSegmentLength,-0.08984764884326711,0.0074166061798162436,0.008072600002663037,-0.09211854149567132,0.006041963262096519,0.008485825687289719,0.09211854149567132,0.015178170786600683,0.014769243529569268,True,True
46,F2frequency_sma3nz_amean,-0.08769568151823409,0.008971100729645187,0.007690532556947544,-0.03220181204020114,0.33808900890291715,0.001036956698672443,0.03220181204020114,0.017942201459290374,0.4375269526978928,True,False
53,F3frequency_sma3nz_stddevNorm,-0.08609561996174502,0.01030880012009365,0.007412455776597227,0.001239816286172316,0.9705864044739254,1.5371444234581141e-06,0.001239816286172316,0.020159431345960915,0.9705864044739254,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.08382101633659943,0.01251505293207311,0.007025962779700468,0.033210568082877846,0.32316587326594637,0.0011029418323874648,0.033210568082877846,0.02394184039179204,0.42445666936422805,True,False
38,logRelF0H1A3_sma3nz_amean,-0.07240781085380459,0.031061902196843138,0.005242891072640341,-0.1098108207497239,0.0010538372098067037,0.012058416353727992,0.1098108207497239,0.058158455177068004,0.002649647841799712,False,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.07140962537143118,0.03346360155725193,0.005099334595688148,-0.0671666142359453,0.045518566986642764,0.0045113540679202905,0.0671666142359453,0.06134993618829521,0.08011267789649126,False,False
75,mfcc4V_sma3nz_stddevNorm,-0.0659345475138194,0.04963850918856077,0.004347364555852108,-0.01649071229080783,0.6237969978813628,0.00027194359185820044,0.01649071229080783,0.08914671037945608,0.7370924605753315,False,False
82,VoicedSegmentsPerSec,-0.06528019752964714,0.05195068574566483,0.004261504189509749,-0.04499444942062326,0.18062353895512986,0.0020245004786650245,0.04499444942062326,0.09116331135648416,0.2522995464770068,False,False
36,logRelF0H1H2_sma3nz_amean,-0.06503682836236643,0.052833282717962414,0.0042297890434359105,0.008349031814520437,0.8038952574914441,6.970633223987442e-05,0.008349031814520437,0.09116331135648416,0.9069587520416292,False,False
47,F2frequency_sma3nz_stddevNorm,0.06129692721172437,0.06804326255236277,0.003757313285599435,0.062384161171750586,0.06329007037312552,0.0038917835651029534,0.062384161171750586,0.11515013662707546,0.10920639593794207,False,False
86,StddevUnvoicedSegmentLength,-0.060505437355220376,0.07168473119095352,0.003660907949546497,-0.05392173154811096,0.108531347612727,0.002907553133146545,0.05392173154811096,0.11902370461894168,0.1591793098319996,False,False
71,mfcc2V_sma3nz_stddevNorm,0.05988725404169916,0.07463842301196155,0.0035864831966550123,0.0177355824994044,0.597841267712815,0.0003145508865931796,0.0177355824994044,0.12056723263742597,0.7206853638181879,False,False
52,F3frequency_sma3nz_amean,-0.05974039422489828,0.07535452039839123,0.0035689147021462603,0.006845831577935076,0.8386651849049405,4.686540999345305e-05,0.006845831577935076,0.12056723263742597,0.9225317033954346,False,False
22,mfcc1_sma3_amean,0.05642640606247379,0.09305650724658851,0.0031839393011271785,0.005918599484360309,0.8602751438331666,3.502981985627011e-05,0.005918599484360309,0.1462316542446391,0.9232221055770569,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.050213025183311416,0.13509577818439406,0.0025213478980598667,-0.058302154060353745,0.08266745047021548,0.0033991411680772228,0.058302154060353745,0.2085689207057312,0.1299059935960529,False,False
25,mfcc2_sma3_stddevNorm,0.0492448599722603,0.14279593650078093,0.0024250562336875247,0.07141266751149902,0.03345604762091154,0.005099769081107908,0.07141266751149902,0.21665590365635728,0.06264111043915352,False,False
32,shimmerLocaldB_sma3nz_amean,0.04786938503504283,0.15430804409995869,0.0022914780236331827,0.03775132492072238,0.2613757356522649,0.0014251625332699549,0.03775132492072238,0.23015437086095533,0.35055300807827866,False,False
70,mfcc2V_sma3nz_amean,-0.045500019084275,0.1757693439617458,0.002070251736669389,-0.16449084192715596,8.408634282087236e-07,0.02705723707790461,0.16449084192715596,0.25613778565598144,3.083165903431987e-06,False,True
35,HNRdBACF_sma3nz_stddevNorm,0.04531336489815262,0.17755005596607806,0.00205330103839313,0.002029772103141763,0.9518636634442628,4.119974790692536e-06,0.002029772103141763,0.25613778565598144,0.9628046250930474,False,False
79,slopeUV5001500_sma3nz_amean,-0.044193172529467445,0.18851944658436579,0.001953036498219276,-0.03072497992753125,0.3607202610564564,0.0009440243915471982,0.03072497992753125,0.2675759887003901,0.46004902859374147,False,False
24,mfcc2_sma3_amean,-0.04380788270758924,0.19240541187605734,0.001919130587321896,-0.15800742642196183,2.2566816662673584e-06,0.024966346804491682,0.15800742642196183,0.2687567657951277,7.355110615982502e-06,False,True
69,mfcc1V_sma3nz_stddevNorm,-0.0415001833961551,0.21691606838338423,0.0017222652219145073,-0.0740394996914796,0.027453938073526075,0.0054818475145646086,0.0740394996914796,0.2982595940271533,0.052520577184136844,False,False
