,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.5936842963893957,6.779652877893236e-05,0.3524610437793718,-0.663299658064466,4.187334792895433e-06,0.4399664363884375,0.663299658064466,0.005966094532546047,9.212136544369952e-05,True,True
78,slopeUV0500_sma3nz_amean,-0.4905046055078492,0.0015237983538768569,0.24059476802441077,-0.5130776677408198,0.0008376679526461697,0.26324869313435906,0.5130776677408198,0.0670471275705817,0.0056703676794509945,False,True
54,F3bandwidth_sma3nz_amean,-0.397039392602873,0.012326304482863266,0.15764027927845833,-0.7663823848574681,1.2923032006998581e-08,0.5873419598198204,0.7663823848574681,0.21545221887131744,1.137226816615875e-06,False,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.39089423935954415,0.013874720292182103,0.15279830636447658,-0.22892610337646171,0.16096752224463567,0.05240716080713043,0.22892610337646171,0.21545221887131744,0.32193504448927135,False,False
87,equivalentSoundLevel_dBp,0.3746460375636239,0.018781213046232165,0.1403596534621243,0.41572604744701946,0.008486789278051363,0.1728281465259215,0.41572604744701946,0.21545221887131744,0.028724517556481536,False,True
12,loudness_sma3_percentile200,0.3673551777834032,0.0214150563783207,0.13494982664427577,0.6774517954888036,2.171466046555305e-06,0.4589409352110038,0.6774517954888036,0.21545221887131744,6.369633736562228e-05,False,True
13,loudness_sma3_percentile500,0.3628765067755534,0.02318083277017095,0.13167935916962825,0.5701804558682538,0.0001510120257071987,0.32510575225412974,0.5701804558682538,0.21545221887131744,0.0015211593173320805,False,True
18,loudness_sma3_meanFallingSlope,0.36225157593724877,0.023436588808535982,0.13122620426902032,0.12979944890378414,0.43095155738839386,0.01684789693572607,0.12979944890378414,0.21545221887131744,0.5577020154438038,False,False
53,F3frequency_sma3nz_stddevNorm,-0.3602726282826175,0.024262018555281928,0.1297963666896651,-0.5817021936105506,0.0001027659793063657,0.3383774420513265,0.5817021936105506,0.21545221887131744,0.001291915168422883,False,True
43,F1bandwidth_sma3nz_stddevNorm,-0.3597518525840303,0.024483206689922436,0.12942139543764186,-0.3323727249804537,0.03870421880960483,0.11047162831093232,0.3323727249804537,0.21545221887131744,0.10321125015894622,False,False
10,loudness_sma3_amean,0.3419413236923484,0.03311893420727031,0.1169238688484754,0.5526655034272198,0.00026397634291188657,0.3054391586784623,0.5526655034272198,0.2175898918635199,0.002322991817624602,False,True
46,F2frequency_sma3nz_amean,-0.3363169461476068,0.03631554234959099,0.11310908826605226,-0.6399686571279102,1.1498865934321236e-05,0.40955988210610067,0.6399686571279102,0.2175898918635199,0.00018717085606630694,False,True
20,spectralFlux_sma3_amean,0.33423384335325806,0.037561628080060146,0.11171226204269025,0.32513385080021534,0.043420542604746135,0.1057120209361767,0.32513385080021534,0.2175898918635199,0.11042709300345248,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.33402553307382316,0.037688131544151654,0.11157305674525173,0.484732692847266,0.0017643288108088752,0.23496578351496192,0.484732692847266,0.2175898918635199,0.009703808459448814,False,True
81,loudnessPeaksPerSec,0.3324632059780616,0.038648023008537175,0.11053178332921103,0.4400449181280414,0.005058638172790714,0.19363952997031467,0.4400449181280414,0.2175898918635199,0.021198102819313468,False,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.3310050340220174,0.039561798520639985,0.1095643325479169,0.46588058888378436,0.002798894962580412,0.2170447230987017,0.46588058888378436,0.2175898918635199,0.014488397453357428,False,True
66,spectralFluxV_sma3nz_amean,0.32371417424179677,0.04439794246123538,0.10479086660504836,0.24697733244443326,0.1295742655978312,0.06099780274136811,0.24697733244443326,0.22982464332874786,0.2714889374430749,False,False
35,HNRdBACF_sma3nz_stddevNorm,-0.3186105723956424,0.04805955052992097,0.10151269684227889,-0.3846996761120582,0.015599091502669566,0.14799384080072248,0.3846996761120582,0.2349578025907247,0.047335174214997305,False,True
14,loudness_sma3_percentile800,0.3104864714976822,0.05438639668609091,0.09640184898308103,0.42883332034211835,0.0064510097178719795,0.1838980166356459,0.42883332034211835,0.2518948899145263,0.02353498324696567,False,True
83,MeanVoicedSegmentLengthSec,0.30251245723104686,0.06122743649424026,0.09151378677996595,0.7393907414788596,7.592427352316451e-08,0.5466986685846579,0.7393907414788596,0.2694007205746572,3.3406680350192385e-06,False,True
33,shimmerLocaldB_sma3nz_stddevNorm,-0.2944465799811968,0.06882509441218677,0.08669878846262331,-0.34624834289851997,0.030830326985054037,0.11988791495997106,0.34624834289851997,0.28840991944154454,0.09043562582282517,False,False
86,StddevUnvoicedSegmentLength,-0.2885806718201192,0.07480266818421612,0.08327880414815134,-0.34266918511938094,0.03272267356371213,0.11742217043038056,0.34266918511938094,0.2962706006672371,0.09289017011634411,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.2861141688038017,0.07743436153802788,0.08186131759029033,0.42715129781702116,0.006686074786069793,0.1824582312267655,0.42715129781702116,0.2962706006672371,0.02353498324696567,False,True
69,mfcc1V_sma3nz_stddevNorm,-0.27674020622923234,0.08810090433788201,0.07658514174379805,-0.2752663565605558,0.08987656272954471,0.07577156705412305,0.2752663565605558,0.31744029440747645,0.19772843800499837,False,False
85,MeanUnvoicedSegmentLength,-0.27351047748489177,0.0920279094722589,0.07480798129401349,-0.4491484887117211,0.004127533256032682,0.20173436491202304,0.4491484887117211,0.31744029440747645,0.019455748228123744,False,True
79,slopeUV5001500_sma3nz_amean,0.2720963580383193,0.09378917789311805,0.07403642805771724,0.15450370054051105,0.347659659368022,0.023871393480711912,0.15450370054051105,0.31744029440747645,0.49345241974816023,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.26340834834540033,0.10518443316545807,0.06938395797805176,-0.3135100547834836,0.05195814267767592,0.09828855445034289,0.3135100547834836,0.34282333772445595,0.12700879321209668,False,False
11,loudness_sma3_stddevNorm,-0.2532011446530914,0.11988411948307066,0.06411081965363571,-0.6374465197206098,1.2761649277248199e-05,0.4063380655039178,0.6374465197206098,0.3767786612325078,0.00018717085606630694,False,True
55,F3bandwidth_sma3nz_stddevNorm,-0.2480975428069369,0.12778847348941336,0.061552390746839894,-0.3397242883377999,0.03435025140148123,0.11541259208662459,0.3397242883377999,0.3877719195540819,0.09446319135407337,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.23903604565151984,0.14277018266849884,0.05713823112071548,-0.25677325322401695,0.11457410455501733,0.06593250357124514,0.25677325322401695,0.4187925358275966,0.2459151512400372,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.22862053167977606,0.1615425143275401,0.05226734750554349,-0.432704999550211,0.005936851165235205,0.1872336166357481,0.432704999550211,0.4407271083775468,0.02353498324696567,False,True
30,jitterLocal_sma3nz_amean,-0.2279956008414714,0.16272306914365087,0.05198199400306356,-0.3244053859829279,0.04391986653546405,0.10523885445473243,0.3244053859829279,0.4407271083775468,0.11042709300345248,False,False
23,mfcc1_sma3_stddevNorm,-0.22424601581164366,0.1699376305011285,0.05028627560739594,-0.29432824142040587,0.06894184758198811,0.08662911369762873,0.29432824142040587,0.4407271083775468,0.1596548049267093,False,False
72,mfcc3V_sma3nz_amean,-0.2223712232967298,0.17362987886687126,0.04944896095048406,-0.17987933371405782,0.27318144565606295,0.032356574697413376,0.17987933371405782,0.4407271083775468,0.46525423199083327,False,False
25,mfcc2_sma3_stddevNorm,-0.2215379821789903,0.17528919083197883,0.04907907754793862,-0.005934761916390237,0.9713963841710866,3.522139900423592e-05,0.005934761916390237,0.4407271083775468,0.9713963841710866,False,False
67,spectralFluxV_sma3nz_stddevNorm,-0.21508036351650914,0.18853463691735392,0.04625956277039372,-0.4997017210479568,0.0012000263530388404,0.24970181001829003,0.4997017210479568,0.4608624457979762,0.007543022790529854,False,True
82,VoicedSegmentsPerSec,-0.2105709288645462,0.19819402199350994,0.04434011608287778,-0.4449986838376415,0.00453164125580021,0.19802382861723322,0.4449986838376415,0.4713803766332128,0.019939221525520925,False,True
21,spectralFlux_sma3_stddevNorm,-0.2047690046844828,0.21112530117733422,0.041930345279473744,-0.569271603015239,0.00015557311199987188,0.3240701579995399,0.569271603015239,0.48892175009487926,0.0015211593173320805,False,True
34,HNRdBACF_sma3nz_amean,0.17987592629201515,0.2731906831938535,0.032355348859410465,0.15813472879302695,0.33630659072960273,0.025006592450444187,0.15813472879302695,0.616430259514336,0.49345241974816023,False,False
73,mfcc3V_sma3nz_stddevNorm,0.17685542724020945,0.28145986552907476,0.03127784214431702,0.10629763952205315,0.5195369944637974,0.011299188167960356,0.10629763952205315,0.6192117041639645,0.6262911714084133,False,False
40,F1frequency_sma3nz_amean,-0.17091858427631548,0.29818284614642204,0.02921316245101996,-0.493117688528292,0.0014247729519304545,0.24316505473948563,0.493117688528292,0.6400022063630523,0.008358667984658667,False,True
59,alphaRatioV_sma3nz_stddevNorm,0.16758561980535747,0.30784428990873214,0.02808493996554582,0.23876132609508885,0.14324373295841547,0.057006970838685354,0.23876132609508885,0.643200807579415,0.2931499651241991,False,False
26,mfcc3_sma3_amean,-0.16539836187129128,0.3142913037035778,0.02735661810970662,-0.1441076635871956,0.3814362910827932,0.02076701870456034,0.1441076635871956,0.643200807579415,0.5215268304973296,False,False
