,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
62,slopeV0500_sma3nz_amean,-0.555758300240135,4.11963990483826e-05,0.308867288285804,-0.5275620773532904,0.00011663515573186514,0.27832174546131916,0.5275620773532904,0.0036252831162576684,0.0012829867130505165,True,True
54,F3bandwidth_sma3nz_amean,-0.4990132110541844,0.000305891966835523,0.24901418480660797,-0.622292350911618,2.3357513285083042e-06,0.3872477700031084,0.622292350911618,0.013459246540763012,3.628598859667228e-05,True,True
12,loudness_sma3_percentile200,0.4732451773906424,0.0006811423873333988,0.2239609979235006,0.7574105165083747,4.6399904287423675e-10,0.5736706905174829,0.7574105165083747,0.01823050535152067,2.0415957886466416e-08,True,True
78,slopeUV0500_sma3nz_amean,-0.4570300849353367,0.0010926258315955514,0.20887649853600107,-0.4756000077601709,0.0006347258292467021,0.22619536738147464,0.4756000077601709,0.01823050535152067,0.003989705212407842,True,True
13,loudness_sma3_percentile500,0.45628814878624696,0.0011158959137789269,0.20819887472278023,0.6763558996769772,1.3177868359088877e-07,0.4574573030278532,0.6763558996769772,0.01823050535152067,3.865508051999404e-06,True,True
53,F3frequency_sma3nz_stddevNorm,-0.45246450508133434,0.0012429890012400457,0.20472412835849682,-0.49951196197666564,0.00030099895362717454,0.24951220015777786,0.49951196197666564,0.01823050535152067,0.0027141708912161062,True,True
10,loudness_sma3_amean,0.4380011571540559,0.0018486678165026296,0.19184501366829199,0.6630353542713356,2.8246105782688005e-07,0.43961588101371557,0.6630353542713356,0.020917547095242694,6.214143272191361e-06,True,True
87,equivalentSoundLevel_dBp,0.4369482697570509,0.0019015951904766087,0.19092379044368055,0.45771946272138553,0.0010713939736120154,0.20950710655395383,0.45771946272138553,0.020917547095242694,0.006285511311857157,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.42824809495022065,0.0023930254074574866,0.1833964308284932,0.49615583915517225,0.000335338361279348,0.24617061672777316,0.49615583915517225,0.023398470650695422,0.0027141708912161062,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.4206008075403953,0.0029145226477119775,0.17690503930363266,-0.24335452066315583,0.09556846149271445,0.059221422727194335,0.24335452066315583,0.02344822507162694,0.1816212806205981,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.4203791470357627,0.0029310281339533675,0.1767186272625154,0.4905760026230516,0.00040033997822180086,0.24066481434961234,0.4905760026230516,0.02344822507162694,0.0029358265069598733,True,True
83,MeanVoicedSegmentLengthSec,0.4143232457945334,0.0034150564767706144,0.17166375200571732,0.7608108770943672,3.491474346674081e-10,0.5788331907051003,0.7608108770943672,0.02504374749631784,2.0415957886466416e-08,True,True
46,F2frequency_sma3nz_amean,-0.4106814999580855,0.0037388454214841447,0.16865929440782298,-0.32149213677262634,0.02586918961170188,0.10335719400662907,0.32149213677262634,0.025309107468508056,0.07849960985619882,True,False
14,loudness_sma3_percentile800,0.4040870999452651,0.004394278425284965,0.16328638434217466,0.5536970635531067,4.4595262195974665e-05,0.30658043818733305,0.5536970635531067,0.02762117867321978,0.0005606261533208244,True,True
20,spectralFlux_sma3_amean,0.39499901925532777,0.005461552020011093,0.1560242252126708,0.3748061271027124,0.00867183350439843,0.14047963291373458,0.3748061271027124,0.03204110518406508,0.033179189060307035,True,True
11,loudness_sma3_stddevNorm,-0.3813114830942635,0.007494657092459741,0.1453984471395468,-0.6210958044671715,2.4740446770458373e-06,0.3857599983267229,0.6210958044671715,0.03928540824555576,3.628598859667228e-05,True,True
66,spectralFluxV_sma3nz_amean,0.3807573318326819,0.007589226592891453,0.14497614574434303,0.291478210201523,0.044423794986700654,0.08495954702228321,0.291478210201523,0.03928540824555576,0.1093975524671316,True,False
35,HNRdBACF_sma3nz_stddevNorm,-0.35764922422473144,0.012570582307942798,0.12791296758855222,-0.38667665100368215,0.006630622230895165,0.14951883243142342,0.38667665100368215,0.05903662154297319,0.029174737815938726,False,True
86,StddevUnvoicedSegmentLength,-0.35256776560892106,0.013980527475737286,0.1243040293464671,-0.3760707368583145,0.008431239286390361,0.14142919912115562,0.3760707368583145,0.05903662154297319,0.033179189060307035,False,True
85,MeanUnvoicedSegmentLength,-0.3521653019010468,0.014097749082325101,0.12402039986305542,-0.2386128137723906,0.10241233370061609,0.05693607489637756,0.2386128137723906,0.05903662154297319,0.18775594511779617,False,False
43,F1bandwidth_sma3nz_stddevNorm,-0.3519968813565995,0.014147051557292012,0.12390180448477199,-0.2910474579745779,0.044753544191099295,0.08470862279346367,0.2910474579745779,0.05903662154297319,0.1093975524671316,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.34994652168874785,0.014759155385743298,0.12246256804205327,0.443258640131559,0.0016034666413405638,0.19647822205127893,0.443258640131559,0.05903662154297319,0.0088190665273731,False,True
82,VoicedSegmentsPerSec,-0.3420224399435577,0.017341377744849947,0.11697934942494452,-0.47620084806166096,0.0006233474311729724,0.22676724769464512,0.47620084806166096,0.06634961919768675,0.003989705212407842,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.33592649477073466,0.01957979167570256,0.11284660988895243,-0.3343781047866051,0.020185709930092506,0.11180871696068187,0.3343781047866051,0.07179256947757605,0.06820286928328406,False,False
69,mfcc1V_sma3nz_stddevNorm,-0.32312560062820095,0.025081960305145215,0.10441015378133561,-0.2926212111502662,0.04355840377137998,0.08562717321504866,0.2926212111502662,0.08778854102009558,0.1093975524671316,False,False
21,spectralFlux_sma3_stddevNorm,-0.32135231659113994,0.025937523483210056,0.10326731137849224,-0.49579153368701867,0.0003392713614020133,0.24580924487572617,0.49579153368701867,0.08778854102009558,0.0027141708912161062,False,True
72,mfcc3V_sma3nz_amean,-0.3129846325412586,0.030310738894097453,0.09795938020698666,-0.2467141661260283,0.09093766168441378,0.0608678797672615,0.2467141661260283,0.09682527259409679,0.17783364951618694,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,-0.3120979905227281,0.03080804127993989,0.09740515568832486,-0.30060610431344403,0.037889523295203106,0.0903640299505052,0.30060610431344403,0.09682527259409679,0.10419618906180854,False,False
49,F2bandwidth_sma3nz_stddevNorm,-0.31004763085487635,0.031984034663805685,0.09612953339872167,-0.40257613436713013,0.004557915745915467,0.1620675439619816,0.40257613436713013,0.09705500173844485,0.021110346612661108,False,True
23,mfcc1_sma3_stddevNorm,-0.307775610682392,0.03333036843782139,0.09472582653091934,-0.3325389728938033,0.020925880348280336,0.11058216849326565,0.3325389728938033,0.09776908075094275,0.06820286928328406,False,False
34,HNRdBACF_sma3nz_amean,0.2925918661150576,0.04358044805939858,0.0856100001166918,0.2583194165261004,0.07627218003012312,0.06672892095438496,0.2583194165261004,0.12371223965248627,0.1526915452691577,False,False
30,jitterLocal_sma3nz_amean,-0.2857203904714464,0.04899895140710438,0.08163614153115578,-0.3578713543850913,0.0125118317086012,0.1280719062894196,0.3578713543850913,0.13474711636953704,0.04587671626487107,False,True
47,F2frequency_sma3nz_stddevNorm,-0.2817305013880592,0.05238812169668711,0.07937207541236724,-0.42278117411958316,0.002756485448455024,0.1787439211899333,0.42278117411958316,0.13970165785783228,0.014268865850826007,False,True
25,mfcc2_sma3_stddevNorm,-0.2730857417073871,0.060382293579076186,0.07457582232387373,-0.14554684921864475,0.32361000360352404,0.02118388531747491,0.14554684921864475,0.15628358338113837,0.4668472183132806,False,False
26,mfcc3_sma3_amean,-0.2707583064087446,0.06269378261061212,0.07331006048933163,-0.22532089392306157,0.12361012340466483,0.05076950523828756,0.22532089392306157,0.1576300819923962,0.2132880560707942,False,False
67,spectralFluxV_sma3nz_stddevNorm,-0.24637565089915642,0.09139619813841797,0.060700961355983,-0.3802841132437852,0.007670801319673662,0.14461600678561204,0.3802841132437852,0.22341292878279947,0.03214431029196582,False,True
59,alphaRatioV_sma3nz_stddevNorm,0.24388197022203945,0.09482960680367228,0.059478415399383734,0.2583443657632969,0.07624279528493938,0.06674181132164013,0.2583443657632969,0.2248507592939065,0.1526915452691577,False,False
18,loudness_sma3_meanFallingSlope,0.24227493156345298,0.09709464605873235,0.05869714246407583,0.06404794196793157,0.6653890243442091,0.00410213887032753,0.06404794196793157,0.2248507592939065,0.7912734343552756,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.24005832651712677,0.10028719131515888,0.05762800013020345,0.4151679392462859,0.0033435788322024253,0.17236441777800776,0.4151679392462859,0.22628904707010208,0.01634638540187852,False,True
