,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.3668392279128338,2.752291086019632e-26,0.13457101913568403,-0.39143524932514506,5.329498172141174e-30,0.1532215544142385,0.39143524932514506,2.422016155697276e-24,4.689958391484233e-28,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.34503329356635526,2.972033982481149e-23,0.11904797366924669,-0.208232174743713,4.240538014983613e-09,0.043360638598496225,0.208232174743713,1.3076949522917056e-21,2.332295908240987e-08,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.31459305856424835,2.111176441281549e-19,0.0989687924968086,-0.32419304770973967,1.4340775103907897e-20,0.10510113218332955,0.32419304770973967,6.192784227759211e-18,4.2066273638129835e-19,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.30987920616108916,7.63231023597766e-19,0.0960251224110268,0.2373289021311046,1.8414502800258377e-11,0.05632500778675543,0.2373289021311046,1.6791082519150853e-17,1.80052916269193e-10,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.29149865723249757,9.212792075455107e-17,0.08497146716834911,-0.1688892640895787,2.070493969085535e-06,0.028523583524719454,0.1688892640895787,1.621451405280099e-15,7.92188996867509e-06,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.2869711337084729,2.8475664002606035e-16,0.08235243158192622,-0.17956692203471059,4.387663672617717e-07,0.03224427948901983,0.17956692203471059,4.176430720382219e-15,1.838640015192186e-06,True,True
34,HNRdBACF_sma3nz_amean,0.2820719631816261,9.437520233724774e-16,0.07956459241313663,0.24106580512875922,8.66745653105221e-12,0.058112722402376915,0.24106580512875922,1.1864311150968288e-14,1.0896231067608493e-10,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.2661455803119773,3.947678398698167e-14,0.07083346991959917,-0.2392283078846339,1.25749262218485e-11,0.057230183293345185,0.2392283078846339,4.342446238567984e-13,1.383241884403335e-10,True,True
78,slopeUV0500_sma3nz_amean,-0.2619685361194054,1.0094945689719056e-13,0.06862751391654422,-0.3427781376146302,5.935024634130356e-23,0.11749685162655438,0.3427781376146302,9.870613563280854e-13,2.6114108390173566e-21,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2611738168105905,1.2046770584347456e-13,0.06821176258741188,0.11570476299739875,0.0011985076889328154,0.013387592180284215,0.11570476299739875,1.0601158114225762e-12,0.0031020199007672873,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.25754061748111845,2.6824172648901276e-13,0.06632716965255578,0.09585923924496244,0.007344565650050472,0.009188993748622946,0.09585923924496244,2.145933811912102e-12,0.016158044430111037,True,True
41,F1frequency_sma3nz_stddevNorm,-0.253742470637737,6.112360369808657e-13,0.06438524140534284,-0.2656742276107086,4.3925404608226875e-14,0.07058279521654659,0.2656742276107086,4.482397604526348e-12,6.442392675873275e-13,True,True
53,F3frequency_sma3nz_stddevNorm,-0.25230498201604723,8.318675566711092e-13,0.06365780395011791,-0.2327581064870864,4.54958568853313e-11,0.05417633613545385,0.2327581064870864,5.631103460542893e-12,3.639668550826504e-10,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.2422731461707966,6.775992320529858e-12,0.05869627735549617,-0.2349725693165467,2.942303441343266e-11,0.05521210833121934,0.2349725693165467,4.259195172904482e-11,2.589227028382074e-10,True,True
62,slopeV0500_sma3nz_amean,-0.22145419888481163,3.9301605356277245e-10,0.04904196220371371,-0.2678751295710666,2.6631246384331173e-14,0.0717570850427157,0.2678751295710666,2.3056941809015985e-09,4.687099363642287e-13,True,True
54,F3bandwidth_sma3nz_amean,-0.21806615958485123,7.336128097393626e-10,0.0475528499560858,-0.2798555668142994,1.6103310139619011e-15,0.0783191382769528,0.2798555668142994,4.0348704535664946e-09,3.542728230716182e-14,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.20880699965990498,3.83611310557613e-09,0.04360036310697156,0.14746633954443494,3.515879400553793e-05,0.021746321298634578,0.14746633954443494,1.9857526664158788e-08,0.00011459162490693844,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,-0.2057653953788219,6.498428795405061e-09,0.0423393979354029,-0.2302225540283799,7.453219967146198e-11,0.0530024243833503,0.2302225540283799,3.177009633309141e-08,5.46569464257388e-10,True,True
23,mfcc1_sma3_stddevNorm,-0.1992060928874679,1.970890775740844e-08,0.03968306744349049,-0.1323155065498149,0.00020879401619468087,0.017507393273534105,0.1323155065498149,9.128336224483908e-08,0.0005927055943590941,True,True
76,alphaRatioUV_sma3nz_amean,-0.19425962431366425,4.4405541136263636e-08,0.03773680163848597,-0.19534318260631212,3.723359806453946e-08,0.038158958990763,0.19534318260631212,1.9538438099956e-07,1.927386252752631e-07,True,True
12,loudness_sma3_percentile200,-0.1885886773538641,1.0983988991154641e-07,0.03556568922607985,-0.07551106095263367,0.0348675253395818,0.005701920326192358,0.07551106095263367,4.602814434388611e-07,0.06818538288629329,True,False
77,hammarbergIndexUV_sma3nz_amean,0.187822123033845,1.2388535525714307e-07,0.0352771499009408,0.18830815311152024,1.1479152293727994e-07,0.03545996052827175,0.18830815311152024,4.955414210285723e-07,5.31666000972665e-07,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.17944938955228065,4.465539733224535e-07,0.03220208341068617,-0.17182277304857857,1.3646546365980927e-06,0.029523065338103338,0.17182277304857857,1.6795381989278158e-06,5.458618546392371e-06,True,True
