,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.2283309772690797,4.545312387793275e-13,0.05213503518065299,-0.31118398795303454,1.8082920050617993e-23,0.09683547435835434,0.31118398795303454,3.999874901258082e-11,1.5912969644543834e-21,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2250262812495538,9.986600428185572e-13,0.05063682725300328,-0.27221941914639325,3.967241022336021e-18,0.07410341216039973,0.27221941914639325,4.3941041884016514e-11,1.745586049827849e-16,True,True
62,slopeV0500_sma3nz_amean,-0.21084094736171988,2.5504504584340843e-11,0.044453905084387534,-0.21431410485558078,1.1777166808407082e-11,0.045930535540048875,0.21431410485558078,7.108065756140052e-10,3.4546355971327444e-10,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.2097657928152212,3.23093898006366e-11,0.044001687835398304,-0.18790117483104532,3.0176319023717595e-09,0.03530685150288706,0.18790117483104532,7.108065756140052e-10,5.311032148174297e-08,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.2037232989406599,1.1921997318773177e-10,0.04150318253126548,-0.06848087330102597,0.0319794514113859,0.004689630008071171,0.06848087330102597,2.0982715281040793e-09,0.08040547783434168,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.2028331171024147,1.4401906609963166e-10,0.04114127339348187,-0.1065632499739209,0.0008289989049171011,0.011355726245004354,0.1065632499739209,2.1122796361279313e-09,0.0033159956196684042,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.1911694150025809,1.5825820035922501e-09,0.036545745232429,0.13840683703283083,1.358543071538489e-05,0.01915645253743259,0.13840683703283083,1.989531661658829e-08,9.196291561183617e-05,True,True
54,F3bandwidth_sma3nz_amean,-0.18868618008043703,2.5869735746693475e-09,0.03560247455334711,-0.08953547618635399,0.005009905593836633,0.008016601495917163,0.08953547618635399,2.8456709321362822e-08,0.016328581194726802,True,True
23,mfcc1_sma3_stddevNorm,-0.18687081161849295,3.6898612352140075e-09,0.03492070023495428,-0.05590692849052537,0.08008504306700089,0.0031255846532447177,0.05590692849052537,3.6078643188759185e-08,0.1457785318950712,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.18482669710243074,5.480737658055885e-09,0.034160907961793684,-0.08039311611855585,0.011773749459426644,0.006463053119251604,0.08039311611855585,4.823049139089179e-08,0.03342225652998531,True,True
72,mfcc3V_sma3nz_amean,0.1830841005066686,7.652490103679599e-09,0.033519787858335925,0.19729189650248719,4.580373464624454e-10,0.03892409242554812,0.19729189650248719,6.121992082943679e-08,1.0076821622173798e-08,True,True
41,F1frequency_sma3nz_stddevNorm,-0.17736405402181196,2.2379831983395966e-08,0.03145800765905223,-0.09915501790572026,0.001875108890149559,0.009831717575883706,0.09915501790572026,1.641187678782371e-07,0.006875399263881717,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.16443355045928923,2.2315695878644407e-07,0.02703839251664762,-0.06633823603812866,0.03776334998518773,0.004400761560650473,0.06633823603812866,1.5106009517851597e-06,0.08745196838675054,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1581082966893281,6.453702312681715e-07,0.0249982334820006,0.06781374425830636,0.033693068762047,0.004598703910330978,0.06781374425830636,3.995475349731583e-06,0.08236083475167044,True,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.15776187041063613,6.83208727645503e-07,0.024888807755462348,-0.15282795309537262,1.5177461658045555e-06,0.02335638324732141,0.15282795309537262,3.995475349731583e-06,1.3356166259080088e-05,True,True
53,F3frequency_sma3nz_stddevNorm,-0.15738789597775685,7.264500635875605e-07,0.02477094980030521,-0.05624599121169858,0.07826817122113412,0.0031636115273864737,0.05624599121169858,3.995475349731583e-06,0.1457785318950712,True,False
36,logRelF0H1H2_sma3nz_amean,-0.1556360254617501,9.665666528905382e-07,0.024222572421530524,-0.12597538521783436,7.608586817321649e-05,0.01586979768078176,0.12597538521783436,5.003403850256904e-06,0.00033477781996215256,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.15269753876363812,1.549586225478767e-06,0.023316538344472768,0.07022999193003755,0.027836721241600866,0.00493225176649314,0.07022999193003755,7.575754880118416e-06,0.07423125664426898,True,False
76,alphaRatioUV_sma3nz_amean,-0.14323221201443634,6.678503483100924e-06,0.020515466558548443,-0.15582073540218483,9.380352695931357e-07,0.024280101581277698,0.15582073540218483,3.093201613225691e-05,9.75198886410917e-06,True,True
63,slopeV0500_sma3nz_stddevNorm,0.13516965491866834,2.159293710161177e-05,0.01827083561083188,0.04947666241785087,0.12147133619805393,0.0024479401240099768,0.04947666241785087,9.500892324709178e-05,0.2055668766428605,True,False
