,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.31267923920729457,2.4220077301425594e-08,0.09776830663125254,-0.3320006792744887,2.7854152451458364e-09,0.11022445103872189,0.3320006792744887,2.1313668025254523e-06,1.2255827078641679e-07,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2989021390622777,1.0331288559210403e-07,0.0893424887360052,-0.2782607376285879,7.912342890909841e-07,0.07742903810560582,0.2782607376285879,4.5457669660525774e-06,7.736513048889622e-06,True,True
84,StddevVoicedSegmentLengthSec,0.29040608234648674,2.435656112423766e-07,0.08433569266383444,0.28197812088039137,5.549512754500607e-07,0.07951166065523661,0.28197812088039137,7.144591263109714e-06,6.104464029950668e-06,True,True
83,MeanVoicedSegmentLengthSec,0.28447255393846016,4.3613475089346983e-07,0.08092463394427013,0.24383993210564325,1.6610600168555297e-05,0.05945791248928471,0.24383993210564325,9.594964519656336e-06,8.598428322546272e-05,True,True
82,VoicedSegmentsPerSec,-0.2515769505869588,8.695839034018084e-06,0.0632909620666331,-0.22703278926615955,6.306319039130097e-05,0.05154388740197241,0.22703278926615955,0.00015304676699871828,0.00026426479783021357,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.24663268853929807,1.3182110037337606e-05,0.060827683056122406,0.25338361547543686,7.453393255448964e-06,0.06420325659140405,0.25338361547543686,0.00018901403260039598,5.045373895996222e-05,True,True
13,loudness_sma3_percentile500,0.24504775980127824,1.503520713866786e-05,0.060048404583624954,0.3246308104134859,6.47129207137133e-09,0.10538516306971663,0.3246308104134859,0.00018901403260039598,1.8982456742689236e-07,True,True
10,loudness_sma3_amean,0.23942897324543877,2.3798404961698762e-05,0.05732623322936503,0.3044703545598516,5.800288278683936e-08,0.09270219680580175,0.3044703545598516,0.00025911885366861656,1.2760634213104659e-06,True,True
36,logRelF0H1H2_sma3nz_amean,-0.2363272248692221,3.0521186797626136e-05,0.05585055721438788,-0.25114079721154314,9.024028839630749e-06,0.06307170002404944,0.25114079721154314,0.00025911885366861656,5.2940969192500396e-05,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.23542038861560374,3.280343334203456e-05,0.055422759375921886,0.2558455396032798,6.029743718800484e-06,0.06545694013489342,0.2558455396032798,0.00025911885366861656,4.4218120604536885e-05,True,True
14,loudness_sma3_percentile800,0.23536277431418118,3.295375185141393e-05,0.055395635532868186,0.29956155175404214,9.654711992434049e-08,0.08973712328928966,0.29956155175404214,0.00025911885366861656,1.6992293106683926e-06,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.2335934369756971,3.79000601344329e-05,0.05456589379811897,-0.21081724145411246,0.00020856488371089773,0.04444390929432155,0.21081724145411246,0.00025911885366861656,0.00073414839066236,True,True
16,loudness_sma3_meanRisingSlope,0.2334670710357739,3.8278921564681996e-05,0.0545068732580231,0.29358555211499926,1.7727351892467585e-07,0.08619247641066895,0.29358555211499926,0.00025911885366861656,2.600011610895246e-06,True,True
12,loudness_sma3_percentile200,0.22800120868519744,5.8551136808582965e-05,0.051984551161910954,0.33336579442894715,2.3768509084185236e-09,0.11113275289524305,0.33336579442894715,0.0003680357170825215,1.2255827078641679e-07,True,True
18,loudness_sma3_meanFallingSlope,0.22704896636503039,6.298519926415637e-05,0.0515512331274287,0.29155819782980574,2.1717741649977153e-07,0.08500618272176415,0.29155819782980574,0.0003695131690163841,2.730230378854271e-06,True,True
87,equivalentSoundLevel_dBp,0.21750255505273042,0.00012873885850008768,0.047307361454466026,0.24923359381948154,1.0602547066715421e-05,0.06211738428817431,0.24923359381948154,0.0007080637217504823,5.831400886693481e-05,True,True
15,loudness_sma3_pctlrange02,0.214863220344809,0.00015602814383591977,0.046166203456941945,0.2745384932743456,1.1228274478711569e-06,0.0753713842893479,0.2745384932743456,0.0007725792888567234,9.880881541266181e-06,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.21404355517178175,0.00016554928478538134,0.04581464351057558,-0.2109033084798427,0.00020729297777612947,0.04448020552774369,0.2109033084798427,0.0007725792888567234,0.00073414839066236,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.2139386071877777,0.0001668068919122471,0.045769727645446255,0.22596574448877094,6.841317146838888e-05,0.05106051768236451,0.22596574448877094,0.0007725792888567234,0.00027365268587355553,True,True
19,loudness_sma3_stddevFallingSlope,0.21135367408789105,0.00020075482169622187,0.04467037555045047,0.25184966863074965,8.49642978679399e-06,0.0634282555894184,0.25184966863074965,0.0008833212154633763,5.2940969192500396e-05,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.21008937214998147,0.00021961679077221527,0.04413754429037341,0.23547020397853452,3.2673985343338894e-05,0.055446216961692656,0.23547020397853452,0.0009202989327597591,0.00015973948390076792,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.20826006453492374,0.00024985504473311164,0.0433722544800906,-0.20839232024248786,0.00024754482180383775,0.043427359136047616,0.20839232024248786,0.0009994201789324465,0.0008378440122591432,True,True
76,alphaRatioUV_sma3nz_amean,0.20705294853931833,0.0002718905087131769,0.042870923498825604,0.23308947239809535,3.9432438184744394e-05,0.05433070214282246,0.23308947239809535,0.0010233871342337974,0.00018263445053986877,True,True
20,spectralFlux_sma3_amean,0.206677491772055,0.0002791055820637629,0.04271558560518786,0.18833648980506568,0.000948825446468931,0.03547063339209361,0.18833648980506568,0.0010233871342337974,0.0028791944582505493,True,True
66,spectralFluxV_sma3nz_amean,0.20582826981985924,0.0002960885568624038,0.04236527665703678,0.1758969075681114,0.002046712292463531,0.030939722092024727,0.1758969075681114,0.0010422317201556612,0.0058100219915093775,True,True
17,loudness_sma3_stddevRisingSlope,0.20206963273560113,0.0003834696759737319,0.04083213647390072,0.26612208314183344,2.4312273855678287e-06,0.07082096313574891,0.26612208314183344,0.0012978973648341695,1.944981908454263e-05,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.20096146769634238,0.0004134865516750992,0.040385511498668064,-0.23229243281181544,4.197594720611966e-05,0.053959774341631794,0.23229243281181544,0.0013476598721262492,0.00018469416770692653,True,True
72,mfcc3V_sma3nz_amean,0.19867702851800195,0.0004823774512308322,0.039472561660742964,0.1654098361756658,0.0037689634491783674,0.027360413903660594,0.1654098361756658,0.001516043418154044,0.01005056919780898,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.1847048107945612,0.001193576055714203,0.03411586713065465,0.1031175867889263,0.07213371690548852,0.010633236705171746,0.1031175867889263,0.003621885962167237,0.12446602132711744,True,False
80,spectralFluxUV_sma3nz_amean,0.1699330607766572,0.002908458467933499,0.028877245144923073,0.11399388885175384,0.046686678790051526,0.012994606695546007,0.11399388885175384,0.00853147817260493,0.09337335758010305,True,False
26,mfcc3_sma3_amean,0.16354108601213507,0.004187250680874702,0.02674568681402856,0.12274082463554671,0.03212246500564036,0.01506531003221403,0.12274082463554671,0.0118863890295798,0.07066942301240879,True,False
78,slopeUV0500_sma3nz_amean,-0.15289400594514813,0.007473814660054143,0.02337657705395499,-0.18850967350395043,0.0009384004263583152,0.03553589700456599,0.18850967350395043,0.020552990315148893,0.0028791944582505493,True,True
60,hammarbergIndexV_sma3nz_amean,-0.15207069971961457,0.00780512438606658,0.02312549771321318,-0.17471596211180002,0.002196122125555935,0.030525667416651938,0.17471596211180002,0.02081366502951088,0.006039335845278821,True,True
38,logRelF0H1A3_sma3nz_amean,-0.138921359862589,0.015183200387177109,0.01929914422607095,-0.1635678677173993,0.004180971386048982,0.026754447349616642,0.1635678677173993,0.03929769511975252,0.010821337705067954,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.1373015198564209,0.016422136805568123,0.01885170735488314,-0.19019751862968537,0.0008421866454086773,0.03617509609288951,0.19019751862968537,0.041289943968285565,0.002744904622072726,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.1346619544256714,0.018630662552886302,0.018133841969741597,-0.04400693020972122,0.443817149902564,0.001936609906483274,0.04400693020972122,0.04554161957372207,0.5843158559733638,True,False
35,HNRdBACF_sma3nz_stddevNorm,-0.12826785440882624,0.02508021435240711,0.016452642474643845,-0.21199005920230332,0.00019184422768476052,0.04493978520059607,0.21199005920230332,0.05938190104025934,0.000734012697228649,False,True
75,mfcc4V_sma3nz_stddevNorm,-0.12778081009122394,0.02564218454011199,0.016327935427569436,-0.032636003240508187,0.5701882779612634,0.0010651087075144608,0.032636003240508187,0.05938190104025934,0.6873502528848106,False,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.12234279108334241,0.03268907469459391,0.014967758530062367,0.11298565779922805,0.04867534444471343,0.012765758868324262,0.11298565779922805,0.07375996341344267,0.09518734024743959,False,False
62,slopeV0500_sma3nz_amean,-0.1140853123582591,0.04650976593049294,0.013015458495881546,-0.1796559992877247,0.0016307780762094542,0.032276278080070935,0.1796559992877247,0.10232148504708448,0.004783615690214399,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.11141782481927544,0.051908070003924896,0.01241393168745875,-0.05619926437955724,0.3279649251054893,0.003158357316803371,0.05619926437955724,0.11141244293525344,0.46549860337553317,False,False
85,MeanUnvoicedSegmentLength,-0.10891210886477483,0.05744448564794175,0.011861847457372563,-0.15918739047071273,0.005328674330849748,0.025340625284875164,0.15918739047071273,0.11838137454249727,0.01339780974613651,False,True
28,mfcc4_sma3_amean,-0.10873853384259329,0.05784544437872026,0.011824068742236805,-0.14510140483829767,0.011176770929203713,0.021054417686047554,0.14510140483829767,0.11838137454249727,0.027320995604720184,False,True
29,mfcc4_sma3_stddevNorm,-0.10701160405682925,0.06196212535341146,0.011451483402815594,0.03704044724601683,0.5192845663804262,0.0013719947321849558,0.03704044724601683,0.12392425070682292,0.6436203076264437,False,False
74,mfcc4V_sma3nz_amean,-0.10633779516361165,0.06363245819092836,0.011307726680258229,-0.1432477591136917,0.012266935789989861,0.020519920491094242,0.1432477591136917,0.12443680712892657,0.029175414851867778,False,True
61,hammarbergIndexV_sma3nz_stddevNorm,0.10345236814217879,0.07120889246812709,0.010702392474224888,0.05551267002949602,0.33391831428459245,0.003081656533803705,0.05551267002949602,0.134932984290339,0.4664255818578434,False,False
42,F1bandwidth_sma3nz_amean,-0.10314180778135057,0.0720664802459765,0.010638232512405069,-0.11136996849258318,0.052009490560828216,0.012403269882038971,0.11136996849258318,0.134932984290339,0.09949641672506268,False,False
64,slopeV5001500_sma3nz_amean,-0.1009336165260824,0.0784096704708433,0.010187594945034255,-0.10835648917946826,0.05873612593581931,0.011741128747300222,0.10835648917946826,0.14375106252987938,0.10997402302876808,False,False
24,mfcc2_sma3_amean,-0.09776675756387145,0.08828814075292128,0.009558338884552814,-0.1315211691876063,0.0215916454845402,0.017297817944474964,0.1315211691876063,0.15855829359708312,0.04871961032409071,False,True
40,F1frequency_sma3nz_amean,-0.09280207538180393,0.1057582843186902,0.00861222519517002,-0.10756191468557103,0.0606248723501103,0.011569565490826059,0.10756191468557103,0.18613458040089473,0.11114559930853556,False,False
27,mfcc3_sma3_stddevNorm,-0.08895562467827715,0.12108417975672514,0.007913103161902512,-0.042490413400906174,0.4596944025360062,0.001805435230979907,0.042490413400906174,0.20892956507042768,0.594898638576008,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.08829971913402075,0.12386207782684087,0.00779684039914695,-0.005801516315495558,0.9196267089576281,3.365759155896116e-05,0.005801516315495558,0.20961274709157685,0.9322178657993251,False,False
52,F3frequency_sma3nz_amean,-0.0876981764862617,0.1264530111586174,0.007690970159015505,-0.10312939250504832,0.07210093825195683,0.010635671598460317,0.10312939250504832,0.20995971664072322,0.12446602132711744,False,False
48,F2bandwidth_sma3nz_amean,-0.0824327862030888,0.15095661533034532,0.006795164241204148,-0.06549063598298267,0.2541725928821089,0.0042890234014555445,0.06549063598298267,0.24600337313093312,0.37910488429873873,False,False
81,loudnessPeaksPerSec,0.07561456914824391,0.18783341503025028,0.00571756306747456,0.11650648988017538,0.04202496103806099,0.013573762184199409,0.11650648988017538,0.3005334640484004,0.0876028960164129,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.07459167254107449,0.19389276419309745,0.005563917612474886,0.03816518051704927,0.5066702371942764,0.0014565810038989573,0.03816518051704927,0.30276550345416015,0.6369568696156618,False,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.07384525677729083,0.19840358498271526,0.005453121948504017,0.03586168938000303,0.5326758139671162,0.0012860607651878223,0.03586168938000303,0.30276550345416015,0.6510482170709198,False,False
58,alphaRatioV_sma3nz_amean,0.07311426194176898,0.20289475280302924,0.005345695299289608,0.11737152333219228,0.04051354874507968,0.013776074489319357,0.11737152333219228,0.30276550345416015,0.08695590950163444,False,False
37,logRelF0H1H2_sma3nz_stddevNorm,0.07290522269199771,0.20419251673987646,0.005315171495769778,0.016362463137515326,0.7759476732554181,0.0002677301999265479,0.016362463137515326,0.30276550345416015,0.8754281441856,False,False
11,loudness_sma3_stddevNorm,-0.07254690028946972,0.2064310250823819,0.005263052741610263,-0.0922687843975413,0.10778682401010627,0.008513528574199961,0.0922687843975413,0.30276550345416015,0.17896680212998775,False,False
21,spectralFlux_sma3_stddevNorm,-0.07190843102351877,0.2104635079022026,0.005170822452264156,-0.07564722583092783,0.18764228326542992,0.0057225027759153935,0.07564722583092783,0.3036194868097349,0.28469863667858336,False,False
32,shimmerLocaldB_sma3nz_amean,-0.067213615086033,0.24186443852040826,0.004517670052933404,-0.0613643533219297,0.2853901796780725,0.003765583858618625,0.0613643533219297,0.33822478927215605,0.4185722635278397,False,False
47,F2frequency_sma3nz_stddevNorm,0.06717463440626009,0.24213820141074807,0.004512431507614702,0.09480508327133588,0.09840713207850367,0.008988003814084931,0.09480508327133588,0.33822478927215605,0.1665351465943908,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.06467580148916856,0.26014193240085426,0.004182959298266338,0.050308592021164444,0.38127542152239247,0.0025309544311519707,0.050308592021164444,0.3576951570511746,0.5242537045932896,False,False
53,F3frequency_sma3nz_stddevNorm,-0.05991373317009655,0.2969533066626642,0.0035896554223775277,-0.019395042238446746,0.7358449562318616,0.0003761676634311334,0.019395042238446746,0.4020290920971453,0.8520310019526819,False,False
41,F1frequency_sma3nz_stddevNorm,0.057710468044689794,0.31510441134339245,0.003330498121937162,0.07939792533336738,0.1666293194850019,0.006304030547242982,0.07939792533336738,0.4166619695031436,0.25725228271368716,False,False
46,F2frequency_sma3nz_amean,-0.05731744855357272,0.31841688899694826,0.0032852899086914557,-0.084396096543253,0.14142989193489197,0.007122701111738081,0.084396096543253,0.4166619695031436,0.22224697304054453,False,False
86,StddevUnvoicedSegmentLength,-0.05689929062165974,0.3219660673433382,0.0032375292732480963,-0.11606972138701073,0.042805960553474486,0.013472180222858296,0.11606972138701073,0.4166619695031436,0.0876028960164129,False,False
63,slopeV0500_sma3nz_stddevNorm,0.05313280832608199,0.3550866843214304,0.0028230953206161676,-0.01811580562714489,0.752681386641908,0.0003281824135204945,0.01811580562714489,0.45286417710559246,0.8602072990193234,False,False
70,mfcc2V_sma3nz_amean,-0.05252004060723405,0.36067066978977835,0.002758354665385514,-0.08739050243152148,0.12779434004076323,0.007637099915233762,0.08739050243152148,0.45341455630714994,0.20447094406522118,False,False
59,alphaRatioV_sma3nz_stddevNorm,-0.05179118756730412,0.3673834716958393,0.002682327109631677,-0.05811092797391241,0.31175248229579944,0.003376879949989236,0.05811092797391241,0.45534852829906847,0.44974128593492374,False,False
23,mfcc1_sma3_stddevNorm,-0.04950610585028608,0.388926776507484,0.0024508545164597297,-0.005656843008001573,0.9216244809606964,3.199987281717629e-05,0.005656843008001573,0.4753549490647026,0.9322178657993251,False,False
34,HNRdBACF_sma3nz_amean,0.046172615191023836,0.421692939955715,0.002131910393578365,0.03153592207638014,0.5832619769894015,0.0009945143812075201,0.03153592207638014,0.5083421741931906,0.6936088375009098,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.03917965258340932,0.49543155550483176,0.0015350451765566528,-0.10619011106278177,0.06400346040616706,0.011276339687525927,0.10619011106278177,0.5891618497895297,0.11494499011719798,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.037018152472044985,0.5195362316014583,0.0013703436124435702,-0.007917189315844944,0.8904757944338837,6.268188666292934e-05,0.007917189315844944,0.6086026064356864,0.9322178657993251,False,False
22,mfcc1_sma3_amean,0.03648163267626935,0.5256113419217292,0.0013309095227262437,0.008188354236934998,0.8867493252851363,6.704914510953133e-05,0.008188354236934998,0.6086026064356864,0.9322178657993251,False,False
79,slopeUV5001500_sma3nz_amean,0.03350689277865349,0.5599379634515216,0.0011227118636801816,-0.0025841660821135986,0.9641509215235765,6.677914339946346e-06,0.0025841660821135986,0.6399291010874533,0.9641509215235765,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.030552928298279245,0.5950604908756645,0.0009334814275997927,-0.020995875739555435,0.7149532711516359,0.00044082679807085247,0.020995875739555435,0.6713502973981855,0.8388785048179194,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.027736895454024555,0.6294451982706741,0.0007693353694274881,-0.011313556520263062,0.844001446535964,0.00012799656113718686,0.011313556520263062,0.7011541449091053,0.9322178657993251,False,False
