,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.2838745578653431,1.4283428921326525e-07,0.08058476460324403,-0.17022466842250572,0.0018539006010103983,0.028976437739552018,0.17022466842250572,1.2569417450767341e-05,0.00582654474603268,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2763279579250278,3.1225194683127467e-07,0.07635714033101593,-0.23826370123238463,1.1420942498939587e-05,0.05676959132495505,0.23826370123238463,1.3739085660576085e-05,8.375357832555697e-05,True,True
84,StddevVoicedSegmentLengthSec,0.24834830945704248,4.649603021779872e-06,0.06167688281017093,0.2584015333946861,1.8256196964297456e-06,0.06677135246072506,0.2584015333946861,0.00013638835530554292,2.0081816660727202e-05,True,True
83,MeanVoicedSegmentLengthSec,0.23857925228821752,1.1110780834204287e-05,0.05692005962240495,0.22377002514586017,3.885332512736874e-05,0.05007302415377889,0.22377002514586017,0.00023486455140011607,0.00026300712393911147,True,True
36,logRelF0H1H2_sma3nz_amean,-0.2364714996468261,1.3344576784097503e-05,0.05591877014521887,-0.2389352744869471,1.0770452854292035e-05,0.057090065394152754,0.2389352744869471,0.00023486455140011607,8.375357832555697e-05,True,True
82,VoicedSegmentsPerSec,-0.23152634454243476,2.0375814811135278e-05,0.05360444821718221,-0.1751157931654489,0.0013576034608765554,0.03066554101596428,0.1751157931654489,0.00029884528389665077,0.0047787641822854745,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.2091164184040534,0.00012382156500322713,0.04372967644613912,0.1920025903883837,0.0004347368903106293,0.03686499471584945,0.1920025903883837,0.0015566139600405697,0.0019128423173667688,True,True
13,loudness_sma3_percentile500,0.2022495382266221,0.00020752842069383264,0.04090487571288187,0.3109131892089803,7.130911767909126e-09,0.0966670112240992,0.3109131892089803,0.0018396426770672105,3.137601177880015e-07,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.20218519224444684,0.000208518505023894,0.04087885196292393,-0.19997709169077454,0.00024529533514342937,0.03999083720110045,0.19997709169077454,0.0018396426770672105,0.0012697640878012815,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.19979451624909392,0.0002485928223002591,0.039917848723209456,0.19300614457250762,0.00040502660567134317,0.037251371842743713,0.19300614457250762,0.0018396426770672105,0.0018759126999514841,True,True
72,mfcc3V_sma3nz_amean,0.19928803894645655,0.00025795822757086094,0.03971572246712438,0.16920641448605228,0.0019761241126601574,0.028630810703225724,0.16920641448605228,0.0018396426770672105,0.005996514548761857,True,True
12,loudness_sma3_percentile200,0.19786041254556416,0.00028615957379495667,0.03914874285270085,0.32005523037139016,2.4109214066949685e-09,0.10243535048808362,0.32005523037139016,0.0018396426770672105,2.1216108378915722e-07,True,True
10,loudness_sma3_amean,0.19756322697840417,0.00029238071490954824,0.039031228654120446,0.291245463008521,6.504903453711454e-08,0.08482391972304777,0.291245463008521,0.0018396426770672105,1.9081050130886935e-06,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19754953155826155,0.0002926704258970562,0.039025817418888574,-0.18397371077132474,0.0007562978366364512,0.03384632625497105,0.18397371077132474,0.0018396426770672105,0.0031692480773337,True,True
14,loudness_sma3_percentile800,0.19382618480743163,0.0003821629270849563,0.03756858991700464,0.28650372218913356,1.0817080617644344e-07,0.08208438282822822,0.28650372218913356,0.002242022505565077,2.3797577358817555e-06,True,True
76,alphaRatioUV_sma3nz_amean,0.19219299090933378,0.00042894886987446517,0.03693814575467526,0.2200918939534821,5.235736510857456e-05,0.04844044178403081,0.2200918939534821,0.0023537462547413754,0.00030716320863697076,True,True
16,loudness_sma3_meanRisingSlope,0.19136345842778568,0.0004547009810295839,0.03661997322144286,0.2807743443920497,1.9751350260447193e-07,0.07883423246878532,0.2807743443920497,0.0023537462547413754,3.1170053108096796e-06,True,True
18,loudness_sma3_meanFallingSlope,0.1887627530348155,0.0005450448618073623,0.03563137693328274,0.2800685064757308,2.1252308937338722e-07,0.07843836831954645,0.2800685064757308,0.0026646637688359934,3.1170053108096796e-06,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.18778316810542783,0.0005831932593930725,0.03526251822371137,0.19539653971828302,0.00034169446480210785,0.03817980773387856,0.19539653971828302,0.0027011056224521255,0.0016705062723658605,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.18671432336566204,0.0006276313283281169,0.034862238549897014,-0.20970458666821334,0.00011837073174652028,0.043976013669686204,0.20970458666821334,0.002761577844643714,0.0006510390246058615,True,True
87,equivalentSoundLevel_dBp,0.17897370589600317,0.0010557204826870505,0.032031587402149043,0.22128202994435092,4.756590432919819e-05,0.048965736776292616,0.22128202994435092,0.004417856904676761,0.00029898568435496006,True,True
19,loudness_sma3_stddevFallingSlope,0.17814301253333337,0.0011149461962317293,0.03173493291445137,0.2421139230340125,8.141085254080148e-06,0.05861915172691973,0.2421139230340125,0.004417856904676761,7.16415502359053e-05,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1776083559521631,0.001154667145540517,0.031544728104030265,-0.16714935924293586,0.002245775028779045,0.027938908295324028,0.16714935924293586,0.004417856904676761,0.006587606751085199,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.17670319776035084,0.0012248929628590958,0.03122402009873366,0.17656528639275854,0.0012359310003276847,0.031175300358956843,0.17656528639275854,0.0044912741971500185,0.00472877947951462,True,True
15,loudness_sma3_pctlrange02,0.17471824738410316,0.0013928450284559888,0.030526465968972672,0.26267423773551735,1.2124361478705876e-06,0.06899775516993509,0.26267423773551735,0.0049028145001650805,1.5242054430373102e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.17217339135904197,0.0016390680913760409,0.02964367669207383,0.08622312477563387,0.11686802344573778,0.007434427246074528,0.08622312477563387,0.005547615078503523,0.20988542986173317,True,False
66,spectralFluxV_sma3nz_amean,0.1706252663558281,0.0018077409660878052,0.02911298151899728,0.1703461448811817,0.0018397906368984754,0.029017809075880543,0.1703461448811817,0.005891896482063958,0.00582654474603268,True,True
20,spectralFlux_sma3_amean,0.16979196542400998,0.0019049686136032608,0.028829311522548202,0.18240132925985542,0.0008407163265220998,0.033270244915762186,0.18240132925985542,0.005987044214181677,0.003362865306088399,True,True
