,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.3308616697359621,6.893521360698281e-09,0.10946944450046886,-0.35049514640800083,7.270767847757863e-10,0.12284684765556594,0.35049514640800083,6.066298797414487e-07,3.1991378530134595e-08,True,True
84,StddevVoicedSegmentLengthSec,0.2917700021578894,3.8700851583215596e-07,0.08512973415921478,0.27683968611165527,1.5507876550270827e-06,0.07664021180639982,0.27683968611165527,1.702837469661486e-05,1.3536021080027456e-05,True,True
83,MeanVoicedSegmentLengthSec,0.28480856519876563,7.467038470968911e-07,0.08111591881057953,0.2572937240665572,8.46895092892986e-06,0.06620006044403767,0.2572937240665572,2.1903312848175473e-05,5.32334058389877e-05,True,True
82,VoicedSegmentsPerSec,-0.27618406482413305,1.6452318077161418e-06,0.07627763766278092,-0.28455835616097025,7.643021108676147e-07,0.08097345806103359,0.28455835616097025,3.619509976975512e-05,7.47317619515001e-06,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.25582504043222715,9.569838265690788e-06,0.06544645131215066,-0.2112288068946781,0.0002778758937894149,0.04461760886214921,0.2112288068946781,0.00016842915347615789,0.0013585043696371394,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2514575177664466,1.3704018243030568e-05,0.0632308832412628,0.11274629548083419,0.0542936621011958,0.012711727144651571,0.11274629548083419,0.00020099226756444834,0.10555194293093811,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.24501439175831974,2.3002596383565902e-05,0.060032052168699376,0.19756113123386285,0.0006863678266160531,0.03903040057440358,0.19756113123386285,0.00028917549739339993,0.0028762080353434603,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.23246831011141902,6.060064078412516e-05,0.054041515206058884,0.1826615575918884,0.00172238193039512,0.03336524462189476,0.1826615575918884,0.0006666070486253768,0.005613689254621131,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.2303453723196964,7.102865511840713e-05,0.05305899054909956,0.18589661032101013,0.0014186211901189366,0.03455754972884149,0.18589661032101013,0.0006945024056022029,0.005201611030436101,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.22676757466423775,9.251254247432754e-05,0.051423532919100644,-0.27490335668479493,1.8458210563673801e-06,0.07557185551656759,0.27490335668479493,0.0007566997815573327,1.3536021080027456e-05,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.22646468323947141,9.458747269466659e-05,0.051286252754754125,0.2121074196245054,0.00026165877595303545,0.04498955745976602,0.2121074196245054,0.0007566997815573327,0.0013544689578745366,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.22365674484096945,0.00011601692636620572,0.05002233951285852,0.05430531172547692,0.35513667105724833,0.0029490668816012206,0.05430531172547692,0.0008341985034878255,0.48080041620058234,True,False
65,slopeV5001500_sma3nz_stddevNorm,0.22282017589369982,0.00012323386983342877,0.049648830785299324,0.07087247381578991,0.2272806119183153,0.0050229075447698265,0.07087247381578991,0.0008341985034878255,0.3333448974801958,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.21251769809599957,0.000254392321831417,0.04516377200402242,-0.148682618890646,0.010960763940500723,0.02210652116018108,0.148682618890646,0.0015990374515117642,0.02538282175694904,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.2057832077051825,0.0004011957972310846,0.04234672857343428,-0.18489654843346734,0.0015068207802461722,0.03418673362260953,0.18489654843346734,0.002257935558507096,0.005250620741095253,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.20543739644289866,0.0004105337379103811,0.04220452385723671,-0.1600273880702364,0.006134519568543994,0.02560876493258204,0.1600273880702364,0.002257935558507096,0.014995492278663095,True,True
12,loudness_sma3_percentile200,0.19935357078884688,0.0006116397725870703,0.039741846186263786,0.2993035352228091,1.8627044738466235e-07,0.08958260619687133,0.2993035352228091,0.0031230556634553137,2.3416856242643267e-06,True,True
22,mfcc1_sma3_amean,0.198679606711715,0.0006388068402522233,0.03947358612312175,0.19146974708016362,0.0010080233823937233,0.03666066404694183,0.19146974708016362,0.0031230556634553137,0.004032093529574893,True,True
10,loudness_sma3_amean,0.19618363421791166,0.0007494388936424148,0.03848801833494736,0.3007258128426411,1.6186872205563538e-07,0.0904360145098672,0.3007258128426411,0.0034710854021332894,2.3416856242643267e-06,True,True
23,mfcc1_sma3_stddevNorm,-0.19462503097549053,0.0008272351507088343,0.03787890268221065,-0.20629952967294807,0.00038762036596027893,0.04255949594327958,0.20629952967294807,0.0035632909234000667,0.001795294326552871,True,True
13,loudness_sma3_percentile500,0.19400134442230765,0.0008604030619778622,0.03763652163766284,0.3020577397169789,1.4182687870904275e-07,0.09123887812293018,0.3020577397169789,0.0035632909234000667,2.3416856242643267e-06,True,True
16,loudness_sma3_meanRisingSlope,0.1934485369150823,0.0008908227308500167,0.03742233643458596,0.3341733763623964,4.768921571931227e-09,0.11167184546944384,0.3341733763623964,0.0035632909234000667,1.3988836610998267e-07,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.18736863536046072,0.0012973868311527104,0.035107005516841296,0.040472324627557066,0.4908816169359177,0.0016380090607583623,0.040472324627557066,0.004811161211472909,0.5759677638714767,True,False
36,logRelF0H1H2_sma3nz_amean,-0.18718297640617074,0.0013121348758562477,0.035037466656273074,-0.1993180202233269,0.0006130456430603109,0.03972767318574655,0.1993180202233269,0.004811161211472909,0.0026974008294653683,True,True
14,loudness_sma3_percentile800,0.18637142359276843,0.0013784256810147456,0.03473430753199512,0.2934290476380986,3.300377450837388e-07,0.08610060599780152,0.2934290476380986,0.004852058397171904,3.630415195921127e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.18169561386550498,0.001823994257102019,0.033013296097962684,0.35419181128302324,4.676847804834736e-10,0.12545183917994876,0.35419181128302324,0.006173519024037602,3.1991378530134595e-08,True,True
19,loudness_sma3_stddevFallingSlope,0.17930485628767312,0.0020994888941907805,0.03215023148834311,0.27335860204746704,2.1189323536593708e-06,0.07472492531334544,0.27335860204746704,0.006842778618103285,1.4343542086309587e-05,True,True
74,mfcc4V_sma3nz_amean,-0.1781487184930589,0.0022458924966169474,0.03173696590071915,-0.18441219420358756,0.0015513197644145065,0.03400785737098169,0.18441219420358756,0.007058519275081835,0.005250620741095253,True,True
34,HNRdBACF_sma3nz_amean,0.17729547212321106,0.0023598438823148548,0.03143368443539231,0.10999233297122181,0.060492414288164466,0.012098313312452128,0.10999233297122181,0.007160905573920939,0.11090275952830153,True,False
18,loudness_sma3_meanFallingSlope,0.1746597035872079,0.0027459066460846023,0.030506012057171322,0.31436130500728104,4.052800975422088e-08,0.09882303008588078,0.31436130500728104,0.0080546594951815,8.916162145928592e-07,True,True
87,equivalentSoundLevel_dBp,0.1723832354052798,0.0031246127220987065,0.029715979848792113,0.23119630268358024,6.666086382759519e-05,0.05345173037455765,0.23119630268358024,0.008869868372409231,0.0003910770677885585,True,True
15,loudness_sma3_pctlrange02,0.16546504810988782,0.004583901780510034,0.027378682146007492,0.27558599775214,1.7361615168739965e-06,0.07594764215704251,0.27558599775214,0.012605729896402592,1.3536021080027456e-05,True,True
