,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.32921668848934027,1.7857037677030594e-09,0.1083836279798873,-0.26864501123983864,1.165474189543505e-06,0.07217014206405303,0.26864501123983864,1.5714193155786922e-07,1.2820216084978555e-05,True,True
84,StddevVoicedSegmentLengthSec,0.25805393508197766,3.118583287478418e-06,0.06659183341129354,0.2590446017530869,2.8494045694782464e-06,0.0671041056974154,0.2590446017530869,0.00010306393931739021,2.6423230097474834e-05,True,True
83,MeanVoicedSegmentLengthSec,0.25673901491069145,3.5135433858201206e-06,0.06591492177731224,0.24158846387209137,1.325419066710842e-05,0.0583649858760768,0.24158846387209137,0.00010306393931739021,8.97206752850416e-05,True,True
82,VoicedSegmentsPerSec,-0.23998719710621724,1.517601151142861e-05,0.05759385477489837,-0.22986618377327653,3.495699166950562e-05,0.052838462442489735,0.22986618377327653,0.0003338722532514294,0.00021972966192260678,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.23474263038623297,2.349274278564868e-05,0.05510410252064759,-0.1974534090928237,0.00039685205735859303,0.038987848762377986,0.1974534090928237,0.00041347227302741677,0.0018380516340819044,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2306102969527307,3.291813920056087e-05,0.05318110906062663,0.10423805866409984,0.06337214578301198,0.01086557287406032,0.10423805866409984,0.0004827993749415594,0.12392775175344566,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.22613873787280356,4.7095649422090786e-05,0.051138728766704555,0.18166434083833496,0.0011383290928402342,0.033001932732226735,0.18166434083833496,0.0005920595927348556,0.004453906435869863,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.21806937699563553,8.828920464332424e-05,0.047554253183264616,-0.25409152440024896,4.458255828006028e-06,0.06456250277204231,0.25409152440024896,0.0009711812510765667,3.269387607204421e-05,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.21284124422692421,0.00013105465198754468,0.0453013952440652,-0.18131503312382743,0.0011640891821023507,0.03287514123669464,0.18131503312382743,0.001190254252819498,0.004453906435869863,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.21149135748746187,0.00014490233800761355,0.04472859429188939,0.1717597085647652,0.00211402919631684,0.02950139748625307,0.1717597085647652,0.001190254252819498,0.006644091759852926,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.21113487665164374,0.00014878178160243724,0.04457793613870482,0.165613002968687,0.0030549443783397918,0.027427666752306328,0.165613002968687,0.001190254252819498,0.00896117017646339,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.20854640862517926,0.00018000974969878896,0.04349160455046024,0.06606113200772121,0.2401214606422038,0.004364073162141567,0.06606113200772121,0.0013200714977911192,0.3464047301067858,True,False
55,F3bandwidth_sma3nz_stddevNorm,0.20614300724539486,0.00021440266971849855,0.04249493943617492,0.20090346210417456,0.00031174315802101474,0.04036220108544351,0.20090346210417456,0.0014513411488636825,0.001545603402498789,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.2033742130088969,0.0002616036514145544,0.041361070516988174,0.05320531247480872,0.3442912251150745,0.0028308052755420363,0.05320531247480872,0.001596710251280511,0.44555335014891995,True,False
36,logRelF0H1H2_sma3nz_amean,-0.20281901306885672,0.00027216652010463255,0.04113555206222507,-0.21092978823519187,0.0001510575641176814,0.04449137556494289,0.21092978823519187,0.001596710251280511,0.0008862043761570643,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2004294537640802,0.000322332216556111,0.040171965936167564,-0.14202552191197051,0.011226443977715451,0.020171248874367616,0.14202552191197051,0.0017728271910586104,0.026700731622674584,True,True
74,mfcc4V_sma3nz_amean,-0.18916788284914715,0.0006970743022058333,0.03578448790162866,-0.19223178230471977,0.0005675108413269715,0.03695305812804917,0.19223178230471977,0.003608384623183137,0.002497047701838675,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.18607256733643707,0.0008553049238237061,0.03462300031517291,-0.14468829328805516,0.009777222629530171,0.020934702214610267,0.14468829328805516,0.004181490738693674,0.02389987753885153,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.1841466227356899,0.0009698470777193666,0.03390997866496051,0.03924980138067723,0.48552950503390163,0.001540546908422612,0.03924980138067723,0.004491923307331803,0.5934249505969909,True,False
23,mfcc1_sma3_stddevNorm,-0.1810619465020696,0.0011830871270100086,0.032783428471118314,-0.18778476486923876,0.0007640965461093011,0.03526311791699529,0.18778476486923876,0.005205583358844038,0.003201928383696119,True,True
22,mfcc1_sma3_amean,0.17889196624717957,0.0013580683330596014,0.03200233558778203,0.17188504312131273,0.0020979523656960886,0.029544468048815536,0.17188504312131273,0.005690953014725948,0.006644091759852926,True,True
12,loudness_sma3_percentile200,0.17353641553771476,0.0018962997438526663,0.03011488751767841,0.2813696373357019,3.3749294559109467e-07,0.07916887281442442,0.2813696373357019,0.007585198975410665,5.036979351849284e-06,True,True
10,loudness_sma3_amean,0.16446228017440084,0.003268517562399138,0.02704784160016312,0.28119495110057136,3.4343041035336023e-07,0.07907060052445272,0.28119495110057136,0.012119879348359525,5.036979351849284e-06,True,True
13,loudness_sma3_percentile500,0.16427038747797051,0.0033054216404616883,0.02698476020216257,0.2827165355453495,2.949112482658085e-07,0.07992863947076485,0.2827165355453495,0.012119879348359525,5.036979351849284e-06,True,True
28,mfcc4_sma3_amean,-0.16207575697551527,0.003755171527501753,0.026268550999186287,-0.1761883386369937,0.0016092435770730382,0.03104233067166397,0.1761883386369937,0.01321820377680617,0.005664537391297094,True,True
16,loudness_sma3_meanRisingSlope,0.1609757870822422,0.004000805280718069,0.025913204026747374,0.31266239266504403,1.2187952153030133e-08,0.09775777178703018,0.31266239266504403,0.013541187103968849,5.362698947333259e-07,True,True
14,loudness_sma3_percentile800,0.15643957267838557,0.005174478228495336,0.02447333989979588,0.274336707528093,6.747040815585236e-07,0.07526062909735445,0.274336707528093,0.016864966078058874,8.481994168164297e-06,True,True
34,HNRdBACF_sma3nz_amean,0.15310396816470248,0.006226099755026175,0.02344082506777823,0.10297583116006923,0.06665858820414415,0.010604021803107084,0.10297583116006923,0.019567742087225122,0.1260006995357171,True,False
17,loudness_sma3_stddevRisingSlope,0.1515578755740388,0.006775543333510345,0.022969789648515825,0.33126870955812426,1.3959327733003726e-09,0.10973895793230488,0.33126870955812426,0.020560269425824496,1.228420840504328e-07,True,True
19,loudness_sma3_stddevFallingSlope,0.147435026860121,0.008458581514080217,0.0217370871452446,0.25742162467171475,3.3029037621843542e-06,0.06626589284862518,0.25742162467171475,0.024755836563181206,2.6423230097474834e-05,True,True
64,slopeV5001500_sma3nz_amean,-0.14685986501390955,0.008720806062029744,0.021567819951903735,-0.17243791389505875,0.0020283583534175284,0.029734834148479695,0.17243791389505875,0.024755836563181206,0.006644091759852926,True,True
87,equivalentSoundLevel_dBp,0.14570533795020255,0.009269089297654876,0.021230045507182733,0.2007045718684293,0.00031614615051111595,0.0402823251688895,0.2007045718684293,0.02548999556855091,0.001545603402498789,True,True
18,loudness_sma3_meanFallingSlope,0.14361897891974507,0.01033796974353977,0.020626411105950176,0.29462689243231127,8.67308355524728e-08,0.08680500574432072,0.29462689243231127,0.027567919316106054,2.544104509539202e-06,True,True
86,StddevUnvoicedSegmentLength,-0.13904603013898342,0.013070264228731305,0.019333798497411087,-0.08655811549930072,0.1234711152668814,0.007492307358790283,0.08655811549930072,0.03382891918024573,0.19062207269272918,True,False
15,loudness_sma3_pctlrange02,0.13744522960840583,0.014167025066681637,0.018891191142107397,0.2580250525493159,3.1267841673278934e-06,0.06657692774307723,0.2580250525493159,0.035619948739085264,2.6423230097474834e-05,True,True
20,spectralFlux_sma3_amean,0.13219927769196152,0.01834758280950572,0.017476649022276355,0.2038648461331889,0.00025258882064909007,0.041560875488908786,0.2038648461331889,0.04457072739601752,0.0013892385135699952,True,True
70,mfcc2V_sma3nz_amean,-0.13176233276461452,0.018739964927871004,0.01736131233557301,-0.1472087625230141,0.008560889509700721,0.02167041976355716,0.1472087625230141,0.04457072739601752,0.021524522195818956,True,True
75,mfcc4V_sma3nz_stddevNorm,-0.12466286522532397,0.02621704305372688,0.015540829966187287,0.04505848996502509,0.42327604981436656,0.0020302675179282663,0.04505848996502509,0.05941595489674817,0.5246238363896375,False,False
68,mfcc1V_sma3nz_amean,0.12379896805086259,0.02728217851807612,0.015326184490458496,0.10758389452024938,0.0553006458149615,0.011574294360144146,0.10758389452024938,0.05941595489674817,0.11279449688701697,False,False
59,alphaRatioV_sma3nz_stddevNorm,0.12364613637337885,0.02747442959004615,0.015288367040064199,0.09488708450069691,0.09117553557507448,0.009003558805042396,0.09488708450069691,0.05941595489674817,0.16046894261213107,False,False
24,mfcc2_sma3_amean,-0.12348181244918663,0.027682433531439486,0.015247758005736103,-0.1491072932741286,0.00773558639767811,0.022232984907536998,0.1491072932741286,0.05941595489674817,0.020021517735166874,False,True
53,F3frequency_sma3nz_stddevNorm,-0.12158158140508751,0.03018763440581325,0.014782080936961923,-0.09035638666627362,0.10778453863804803,0.008164276611385149,0.09035638666627362,0.06325028161218013,0.17896300754996652,False,False
29,mfcc4_sma3_stddevNorm,-0.11744231217843307,0.03632252309703051,0.013792696689816529,-0.003023269463428015,0.9571738361355551,9.140158248496318e-06,0.003023269463428015,0.07350273305894542,0.9810814415915861,False,False
35,HNRdBACF_sma3nz_stddevNorm,-0.11717581958581409,0.03675136652947271,0.013730172695607253,-0.015690632246623103,0.7804602028371145,0.0002461959402987688,0.015690632246623103,0.07350273305894542,0.847907380860075,False,False
66,spectralFluxV_sma3nz_amean,0.11297503424713608,0.04409891990722505,0.01276335836314157,0.17773079127210606,0.0014611743303805191,0.03158823416620893,0.17773079127210606,0.08623788781857344,0.005357639211395237,False,True
41,F1frequency_sma3nz_stddevNorm,-0.11116380821323465,0.04762816503474686,0.012357392256468817,-0.0891814749908107,0.11245942996093698,0.007953335481536592,0.0891814749908107,0.09111475050125487,0.18326721919560102,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.10497791762446095,0.06150853292522737,0.011020363188768107,-0.16701851144675928,0.002811304161102224,0.02789518316589126,0.16701851144675928,0.11516491271106402,0.008530854006103301,False,True
32,shimmerLocaldB_sma3nz_amean,-0.10135717211385083,0.0710761515635005,0.01027327633891678,-0.09158023988919425,0.10307915486915506,0.008386940338162367,0.09158023988919425,0.1303062778664176,0.17444164670164702,False,False
78,slopeUV0500_sma3nz_amean,-0.09927849283411033,0.0770965023958121,0.009856219139412497,-0.1603011126691341,0.0041585589390752235,0.025696446722962427,0.1603011126691341,0.13603376816941315,0.011804941504471601,False,True
80,spectralFluxUV_sma3nz_amean,0.09921326448670711,0.07729191373262112,0.0098432718501093,0.15789890815870075,0.00476688188949506,0.024932065197709814,0.15789890815870075,0.13603376816941315,0.013108925196111414,False,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.09522627059017671,0.09001947193610466,0.009068042610513555,-0.07721930859255294,0.16955138455101243,0.00596282161951192,0.07721930859255294,0.15422694702756548,0.25289020068625584,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.094899180461567,0.09113410506174324,0.009005854452277062,-0.011337690551873475,0.8403934117313294,0.00012854322705004107,0.011337690551873475,0.15422694702756548,0.8912400321019792,False,False
72,mfcc3V_sma3nz_amean,0.09230995396523908,0.10035190628848083,0.008521127601064559,0.09746943746993336,0.08266666847894125,0.00950029124070525,0.09746943746993336,0.1666220330827606,0.15155555887805897,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.08840281268829411,0.11564433465975768,0.007815057291201615,-0.10721584057323418,0.05614455473659862,0.011495236469825167,0.10721584057323418,0.18695262217613856,0.11279449688701697,False,False
38,logRelF0H1A3_sma3nz_amean,-0.08811352982827589,0.11684538886008661,0.007763994138798465,-0.08752612767230408,0.11931416264629645,0.007660823025308475,0.08752612767230408,0.18695262217613856,0.19005874653096272,False,False
30,jitterLocal_sma3nz_amean,-0.0869666149103281,0.1217033681948233,0.0075631921089613025,-0.09620569947219577,0.08674703750343983,0.00925553661093445,0.09620569947219577,0.19124815002043663,0.15579059796536135,False,False
77,hammarbergIndexUV_sma3nz_amean,-0.0823515470656918,0.14285401710945955,0.006781777304112851,-0.12544872374605165,0.025279389419162364,0.015737382289513182,0.12544872374605165,0.2205465527303937,0.0556146567221572,False,False
52,F3frequency_sma3nz_amean,-0.08172474855103123,0.1459309767658747,0.006678934525729282,-0.053282616373012195,0.3435896566383202,0.002839037207553587,0.053282616373012195,0.2214125164723616,0.44555335014891995,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.07879098711923442,0.1610073784073662,0.006208019651223365,-0.10710652559569013,0.056397248443508484,0.011471807825180225,0.10710652559569013,0.2401465983025123,0.11279449688701697,False,False
26,mfcc3_sma3_amean,0.07359350372307885,0.19054526518408918,0.0054160037902388205,0.06461040757365606,0.2506251933759264,0.004174504766833953,0.06461040757365606,0.2748814105310468,0.3500796351917702,False,False
27,mfcc3_sma3_stddevNorm,-0.07327115433184211,0.19250006410394171,0.005368662057120626,-0.12636782378212014,0.024219536572442402,0.01596882688742897,0.12636782378212014,0.2748814105310468,0.055572771946542136,False,False
63,slopeV0500_sma3nz_stddevNorm,0.07276816755110092,0.1955795297985811,0.005295206208745097,-0.005214955926193844,0.9261971900061486,2.7195765312144295e-05,0.005214955926193844,0.2748814105310468,0.9703018181016795,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.07224804684224502,0.19880153315524549,0.0052197802725192305,0.028312269431301138,0.6149693736965927,0.0008015846003505888,0.028312269431301138,0.2748814105310468,0.7120698011223704,False,False
76,alphaRatioUV_sma3nz_amean,0.0720699288062629,0.1999137531134886,0.005194074638139802,0.11830321584947275,0.034966037220201175,0.01399565088032694,0.11830321584947275,0.2748814105310468,0.07504905549701717,False,False
46,F2frequency_sma3nz_amean,-0.07010802412254112,0.2124647549293878,0.004915135046366808,-0.06606944489909433,0.24006217598078303,0.004365171549274462,0.06606944489909433,0.2876445912890173,0.3464047301067858,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.06908149961000243,0.2192531089685735,0.004772253588366766,0.01670714977884319,0.7666355151395949,0.0002791288537327,0.01670714977884319,0.29233747862476467,0.8432990666535545,False,False
85,MeanUnvoicedSegmentLength,-0.06782287934764565,0.22778601752565894,0.004599942963005299,0.02238606227649664,0.6908671971488393,0.000501135784247186,0.02238606227649664,0.29918163495907446,0.7794399147320238,False,False
31,jitterLocal_sma3nz_stddevNorm,-0.06452005759578903,0.25128975684451643,0.004162837832163934,-0.032069765460317784,0.5688266734576035,0.0010284698566797915,0.032069765460317784,0.32519850885760954,0.6674232968569215,False,False
60,hammarbergIndexV_sma3nz_amean,-0.05301590574985736,0.34601402106680024,0.0028106862624777585,-0.04952454954031102,0.37874464641703764,0.0024526810071707206,0.04952454954031102,0.43638641428521,0.4761361269242759,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.05289401909372788,0.3471255568177807,0.0027977772558876496,-0.08714293379018805,0.1209464750651581,0.007593890909561097,0.08714293379018805,0.43638641428521,0.19005874653096272,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.049163447695965465,0.3822348444859267,0.002417044589353932,-0.0247559935281654,0.6600880815572558,0.0006128592155665672,0.0247559935281654,0.4737558635881909,0.7543863789225781,False,False
40,F1frequency_sma3nz_amean,-0.04835397073420612,0.3901297794660441,0.002338106485764462,-0.03735699034461071,0.5068317939463977,0.0013955447276073377,0.03735699034461071,0.4768252860140539,0.610975313250452,False,False
62,slopeV0500_sma3nz_amean,-0.04699668891357521,0.40358690010314135,0.002208688768839363,-0.10273701902670482,0.06729582816112163,0.010554895078493508,0.10273701902670482,0.48651571519282794,0.1260006995357171,False,False
25,mfcc2_sma3_stddevNorm,0.045669324046685895,0.41701131493112487,0.0020856871588812026,0.05681693946148198,0.31248696100649204,0.003228164609769708,0.05681693946148198,0.495905347485662,0.4230592702857123,False,False
11,loudness_sma3_stddevNorm,-0.039270309396058904,0.4853013727913881,0.0015421572000621922,-0.062340632618045975,0.26769197540735645,0.003886354475218178,0.062340632618045975,0.569420277408562,0.36807646618511514,False,False
71,mfcc2V_sma3nz_stddevNorm,0.03819578385311655,0.4973318578547472,0.0014589179041539987,-0.09294567106510404,0.09802290885027495,0.00863889776974252,0.09294567106510404,0.5758579406739178,0.16913756821223913,False,False
81,loudnessPeaksPerSec,0.03558699280312247,0.5271854670821066,0.0012664340567694905,0.0497505778234281,0.376569957536978,0.002475119993764976,0.0497505778234281,0.6024976766652647,0.4761361269242759,False,False
47,F2frequency_sma3nz_stddevNorm,-0.03460044708293176,0.5387074830623285,0.0011971909383387607,-0.002258867067940836,0.967995228381785,5.10248043062763e-06,0.002258867067940836,0.6077725449933963,0.9810814415915861,False,False
