,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.32101788660898123,4.0622214834430977e-25,0.10305248352289673,-0.3669784166370909,7.367114784374134e-33,0.1346731582774663,0.3669784166370909,3.008368962740506e-23,3.241530505124619e-31,True,True
15,loudness_sma3_pctlrange02,0.31955111584556717,6.837202188046605e-25,0.10211291563814709,0.3563810422383417,5.86410678105134e-31,0.1270074472668867,0.3563810422383417,3.008368962740506e-23,1.2901034918312948e-29,True,True
16,loudness_sma3_meanRisingSlope,0.31006472205917,1.850310153440616e-23,0.09614013186563035,0.37353925313597564,4.5103521481515206e-34,0.13953157363338248,0.37353925313597564,5.427576450092474e-22,3.969109890373338e-32,True,True
17,loudness_sma3_stddevRisingSlope,0.30637371811166797,6.465944894670077e-23,0.09386485514956779,0.36120357560127225,8.166529893368465e-32,0.130468023027144,0.36120357560127225,1.422507876827417e-21,2.3955154353880834e-30,True,True
14,loudness_sma3_percentile800,0.30289376009621605,2.0695913031684455e-22,0.09174462990522408,0.34279005249409866,1.2669469799210648e-28,0.11750502008890691,0.34279005249409866,3.642480693576464e-21,2.229826684661074e-27,True,True
18,loudness_sma3_meanFallingSlope,0.29154969413327186,8.23914685297965e-21,0.08500122414920439,0.3413623626025455,2.1947572449874426e-28,0.11652826260159174,0.3413623626025455,1.2084082051036822e-19,3.2189772926482494e-27,True,True
66,spectralFluxV_sma3nz_amean,0.28629289983860345,4.2974924095801196e-20,0.08196362449799663,0.2608693642514376,7.80823516127365e-17,0.06805282520494922,0.2608693642514376,5.402561886329293e-19,5.726039118267344e-16,True,True
10,loudness_sma3_amean,0.27964155659077766,3.30588954666627e-19,0.0781994001725131,0.3196287018855135,6.65195431605605e-25,0.10216250706901847,0.3196287018855135,3.636478501332897e-18,8.362456854470463e-24,True,True
13,loudness_sma3_percentile500,0.26465109746544385,2.6878368418944885e-17,0.07004020338966387,0.30179297288875967,2.9804873031750923e-22,0.09107899848503563,0.30179297288875967,2.628107134296833e-16,3.2785360334926015e-21,True,True
19,loudness_sma3_stddevFallingSlope,0.2599646060630796,1.0052014684711264e-16,0.06758159640553216,0.298899505855072,7.716443518074207e-22,0.08934091460040623,0.298899505855072,8.845772922545913e-16,7.544966995450336e-21,True,True
53,F3frequency_sma3nz_stddevNorm,-0.2530938039170889,6.629541281406557e-16,0.06405647358122185,-0.254992380751823,3.958649932080779e-16,0.06502111424148267,0.254992380751823,5.303633025125246e-15,2.67970149248545e-15,True,True
87,equivalentSoundLevel_dBp,0.2500048287032201,1.5200941238603215e-15,0.06250241437492643,0.29770573711454235,1.1389407655672611e-21,0.088628705910913,0.29770573711454235,1.1147356908309026e-14,1.0022678736991899e-20,True,True
20,spectralFlux_sma3_amean,0.24042465494251644,1.856337224255334e-14,0.05780401470422809,0.22931333383897304,2.960122369462122e-13,0.0525846050763443,0.22931333383897304,1.2565975056497645e-13,1.7366051234177784e-12,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.23646753657556513,5.058619822558294e-14,0.05591689585411623,0.25129717175108945,1.0756956705535718e-15,0.06315026853009655,0.25129717175108945,3.179703888465213e-13,6.761515643479594e-15,True,True
38,logRelF0H1A3_sma3nz_amean,-0.22935922804939968,2.927309063331239e-13,0.05260565549141653,-0.2166767521405677,5.819317879271902e-12,0.046948814918185006,0.2166767521405677,1.7173546504876603e-12,3.200624833599546e-11,True,True
78,slopeUV0500_sma3nz_amean,-0.21302358636499197,1.3314570767068572e-11,0.045379048347803194,-0.28866883073353605,2.0458468619955832e-20,0.08332969383706688,0.28866883073353605,7.323013921887715e-11,1.6366774895964665e-19,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.20832629964237687,3.776211146296809e-11,0.043399847122685395,0.0027550693331816222,0.9310775696967521,7.590407030637828e-06,0.0027550693331816222,1.9547445933771716e-10,0.9417796107277493,True,False
64,slopeV5001500_sma3nz_amean,-0.19267488774834193,1.0223618995335106e-09,0.03712361236883616,-0.17866363626285736,1.5649804179998248e-08,0.0319206949226666,0.17866363626285736,4.998213731052718e-09,7.651015376888031e-08,True,True
12,loudness_sma3_percentile200,0.18571665132987103,4.068597495843159e-09,0.03449067458118089,0.21486213559990075,8.794874286035282e-12,0.046165737314550134,0.21486213559990075,1.8844030507063052e-08,4.5526408068888523e-11,True,True
70,mfcc2V_sma3nz_amean,-0.1792239021756139,1.4088768609783259e-08,0.03212120711105402,-0.17485534155627372,3.1687566537226113e-08,0.030574390470761142,0.17485534155627372,6.199058188304634e-08,1.4676346606715253e-07,True,True
74,mfcc4V_sma3nz_amean,-0.17655791233071177,2.3159982344104542e-08,0.031172696406579305,-0.15294776919855613,1.366127615487585e-06,0.023393020102814795,0.15294776919855613,9.705135458481902e-08,5.226923050561195e-06,True,True
41,F1frequency_sma3nz_stddevNorm,-0.1679217793947986,1.100730017235889e-07,0.028197723995115408,-0.1557374122404314,8.69619785784938e-07,0.024254141571346068,0.1557374122404314,4.402920068943556e-07,3.478479143139752e-06,True,True
63,slopeV0500_sma3nz_stddevNorm,0.16343685026181895,2.3980937847698336e-07,0.02671160402350423,0.04687529595967852,0.14092628585814237,0.0021972933713074534,0.04687529595967852,9.175315350423712e-07,0.21381919233649188,True,False
24,mfcc2_sma3_amean,-0.15543872185340118,9.13058169718999e-07,0.02416119625141902,-0.15659976603003692,7.550723124363939e-07,0.024523486720662305,0.15659976603003692,3.34787995563633e-06,3.164112547352508e-06,True,True
25,mfcc2_sma3_stddevNorm,0.1468777102407939,3.5513154747455413e-06,0.021573061765578615,0.04450944952392182,0.1621240057733146,0.0019810910969225446,0.04450944952392182,1.2500630471104305e-05,0.24181207640765567,True,False
