,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.3247076615411713,6.21933571041207e-34,0.10543506546353586,0.40512361718158635,1.5459262905219696e-53,0.16412514519829252,0.40512361718158635,5.473015425162622e-32,4.534717118864444e-52,True,True
16,loudness_sma3_meanRisingSlope,0.3181143151957126,1.4503310775755224e-32,0.10119671753243718,0.4189219424507379,1.7258732699503036e-57,0.17549559386669936,0.4189219424507379,6.381456741332298e-31,1.518768477556267e-55,True,True
17,loudness_sma3_stddevRisingSlope,0.3151978882824839,5.696537262781196e-32,0.0993497087777372,0.4081018517322319,2.2479018121114836e-54,0.1665471213872766,0.4081018517322319,1.372752326464531e-30,9.890767973290528e-53,True,True
14,loudness_sma3_percentile800,0.31500255182214854,6.239783302111505e-32,0.09922660765446538,0.39522958369986044,8.141177442919096e-51,0.156206423831565,0.39522958369986044,1.372752326464531e-30,1.791059037442201e-49,True,True
66,spectralFluxV_sma3nz_amean,0.30865806225940995,1.1588197005460211e-30,0.09526979939773379,0.3277308586373019,1.4293929995170754e-34,0.10740751570314315,0.3277308586373019,2.0395226729609972e-29,1.2578658395750264e-33,True,True
18,loudness_sma3_meanFallingSlope,0.306452962345463,3.1462009474179005e-30,0.09391341813030976,0.3921557878131639,5.464028823011772e-50,0.15378616191536323,0.3921557878131639,4.614428056212921e-29,9.61669072850072e-49,True,True
10,loudness_sma3_amean,0.3005115824695092,4.4477441224290747e-29,0.09030721119832863,0.37775521329698525,3.1334441840616886e-46,0.14269900117305082,0.37775521329698525,5.591449753910836e-28,4.5957181366238104e-45,True,True
54,F3bandwidth_sma3nz_amean,-0.2939892452107585,7.5924179884309455e-28,0.08642967629959147,-0.19250733907055864,1.5534663200222797e-12,0.03705907559602704,0.19250733907055864,8.35165978727404e-27,7.594724231220034e-12,True,True
13,loudness_sma3_percentile500,0.2887460529940155,7.046894292921636e-27,0.08337428311962282,0.36391686650966837,8.581643111227542e-43,0.1324354857302158,0.36391686650966837,6.890296641967821e-26,1.0788351339828911e-41,True,True
19,loudness_sma3_stddevFallingSlope,0.2835284250671219,6.177290982730975e-26,0.08038836782104256,0.35656495232111546,4.924334372430246e-41,0.12713856522375935,0.35656495232111546,5.436016064803258e-25,5.41676780967327e-40,True,True
87,equivalentSoundLevel_dBp,0.2812937774431706,1.5434873850055504e-25,0.07912618922824798,0.3428796938733625,6.995651930057568e-38,0.11756648447069076,0.3428796938733625,1.2347899080044403e-24,6.840192998278511e-37,True,True
20,spectralFlux_sma3_amean,0.2803156884270564,2.2984408142899833e-25,0.07857688517833455,0.3023068036477679,2.010807558366148e-29,0.0913894035317301,0.3023068036477679,1.6855232638126546e-24,1.6086460466929185e-28,True,True
12,loudness_sma3_percentile200,0.23931265459815806,1.0022103275437628e-18,0.0572705466508173,0.29129696410414374,2.3975898974038168e-27,0.08485392129629081,0.29129696410414374,6.784192986450086e-18,1.622983930550276e-26,True,True
38,logRelF0H1A3_sma3nz_amean,-0.22361291480210255,1.7282304089136698e-16,0.050002735666292375,-0.166026839680311,1.184662939648051e-09,0.027564911494231695,0.166026839680311,1.0863162570314497e-15,4.738651758592204e-09,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.2233866839829014,1.856227698622572e-16,0.04990161058087666,0.23798375410110875,1.5728494484217494e-18,0.056636267216056996,0.23798375410110875,1.0889869165252424e-15,9.227383430740931e-18,True,True
80,spectralFluxUV_sma3nz_amean,0.21578777443713001,1.9557599511585405e-15,0.046564363596529705,0.19406944680017543,1.0175778884629897e-12,0.03766295018132612,0.19406944680017543,1.0022188281713418e-14,5.2674620108672406e-12,True,True
64,slopeV5001500_sma3nz_amean,-0.21568853034623955,2.0156799860734287e-15,0.0465215421229207,-0.2418211829668317,4.248420800625076e-19,0.05847748453147789,0.2418211829668317,1.0022188281713418e-14,2.6704359318214766e-18,True,True
78,slopeUV0500_sma3nz_amean,-0.21563299730965932,2.0499930576231994e-15,0.046497589528747545,-0.29535311288026517,4.220258463106952e-28,0.08723346128806266,0.29535311288026517,1.0022188281713418e-14,3.0948562062784315e-27,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.21169409519274074,6.707937958571873e-15,0.044814389939473176,-0.1702548226443833,4.3906447748952316e-10,0.02898670463367041,0.1702548226443833,3.1068344229174994e-14,1.839889239003716e-09,True,True
53,F3frequency_sma3nz_stddevNorm,-0.20502115370350338,4.7403253951860886e-14,0.04203367346591556,-0.1547455221752192,1.4807296706283011e-08,0.023946176633281257,0.1547455221752192,2.0857431738818791e-13,5.0117004236650185e-08,True,True
74,mfcc4V_sma3nz_amean,-0.2018276000687857,1.1805221157346033e-13,0.040734380149525705,-0.19920267057115243,2.4710947590181796e-13,0.03968170396267908,0.19920267057115243,4.946949818316432e-13,1.3591021174599987e-12,True,True
28,mfcc4_sma3_amean,-0.17246571418540083,2.586696476180882e-10,0.02974442256948037,-0.16257246378915446,2.6162250522758827e-09,0.026429805982475938,0.16257246378915446,1.0346785904723527e-09,9.592825191678238e-09,True,True
