,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.27832767652639184,6.1742975237747915e-46,0.0774662955205798,-0.3258695669016672,2.9871201160908963e-63,0.10619097463268015,0.3258695669016672,5.433381820921816e-44,2.6286657021599886e-61,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.23291933492836134,2.619367234671801e-32,0.054251416583470165,-0.26011495844399674,3.847117441347263e-40,0.06765979160632214,0.26011495844399674,1.1525215832555925e-30,6.770926696771184e-39,True,True
53,F3frequency_sma3nz_stddevNorm,-0.21178747622380148,7.080928781298703e-27,0.04485393508524728,-0.215182711420677,1.0354090719451364e-27,0.046303599294354354,0.215182711420677,2.0770724425142863e-25,9.1115998331172e-27,True,True
78,slopeUV0500_sma3nz_amean,-0.20434269597404797,4.275875015439922e-25,0.0417559373979422,-0.27411451992237057,1.4827866293729897e-44,0.07513877003227169,0.27411451992237057,9.406925033967828e-24,6.524261169241154e-43,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.19984548985367545,4.71890509206609e-24,0.0399382198148555,-0.010654767810778691,0.5934306993903892,0.00011352407710160575,0.010654767810778691,8.30527296203632e-23,0.6368524578823689,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.19578245046909865,3.9333280950861123e-23,0.03833076791168506,0.10130869822105808,3.5965486263410663e-07,0.010263452335245416,0.10130869822105808,5.768881206126298e-22,9.30871409170629e-07,True,True
16,loudness_sma3_meanRisingSlope,0.19063999406459806,5.390420149069112e-22,0.03634360733694998,0.2690002918508593,6.5203935493818445e-43,0.07236115701584747,0.2690002918508593,6.77652818740117e-21,1.9126487744853413e-41,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.18693302253553348,3.398970282388467e-21,0.03494395491427027,-0.1392031640068814,2.4018505427863374e-12,0.019377520869526724,0.1392031640068814,3.738867310627314e-20,1.0064897512628462e-11,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.18478897915997627,9.69081536748824e-21,0.034146966818986144,0.1853619904098052,7.333210796592859e-21,0.03435906748868471,0.1853619904098052,9.475463914877389e-20,4.609446786429797e-20,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.18352273611927533,1.7885431119432414e-20,0.033680594672705164,0.07160058680257603,0.0003279602987690595,0.005126644030473224,0.07160058680257603,1.5739179385100525e-19,0.0006140533253548348,True,True
17,loudness_sma3_stddevRisingSlope,0.17585971434793382,6.642502433535721e-19,0.030926639130536882,0.26076719910844465,2.4284824046688676e-40,0.06799953213086321,0.26076719910844465,5.3140019468285765e-18,5.3426612902715085e-39,True,True
14,loudness_sma3_percentile800,0.17464190997207266,1.162490090402861e-18,0.03049979671869353,0.22011182535964435,5.988803145102021e-29,0.04844921566315458,0.22011182535964435,8.524927329620982e-18,5.85571863076642e-28,True,True
41,F1frequency_sma3nz_stddevNorm,-0.17005646597550664,9.222998013639945e-18,0.028919201620078647,-0.17163085285706037,4.5586241259924584e-18,0.029457149652441908,0.17163085285706037,6.243260193848577e-17,2.507243269295852e-17,True,True
15,loudness_sma3_pctlrange02,0.16957782328730303,1.1411306631660418e-17,0.028756638150859774,0.2211031461740437,3.347582904240663e-29,0.04888660124806053,0.2211031461740437,7.172821311329405e-17,3.6823411946647293e-28,True,True
87,equivalentSoundLevel_dBp,0.16592862859742236,5.668113366945754e-17,0.02753230978822133,0.18294462658714025,2.362485802392262e-20,0.033468736397108186,0.18294462658714025,3.325293175274843e-16,1.3859916707367937e-19,True,True
19,loudness_sma3_stddevFallingSlope,0.1650037525707427,8.460292461009376e-17,0.02722623836242688,0.23625134794281127,3.236545393858128e-33,0.055814699404795276,0.23625134794281127,4.653160853555157e-16,4.068799923707361e-32,True,True
18,loudness_sma3_meanFallingSlope,0.1640246806126336,1.28954215415823e-16,0.026904095850076457,0.25059979087081874,2.727280802012315e-37,0.06280025518449808,0.25059979087081874,6.54450307015497e-16,4.0000118429513953e-36,True,True
66,spectralFluxV_sma3nz_amean,0.16393757667339307,1.3386483552589712e-16,0.02687552904554463,0.15641244225106077,3.1300600044640177e-15,0.02446485209094142,0.15641244225106077,6.54450307015497e-16,1.530251557737964e-14,True,True
10,loudness_sma3_amean,0.1616206740611098,3.590455452361186e-16,0.02612124228396749,0.2099249104129424,2.004794011084862e-26,0.04406846801188189,0.2099249104129424,1.662947788462023e-15,1.6038352088678896e-25,True,True
34,HNRdBACF_sma3nz_amean,0.1554703288873551,4.595174946178374e-15,0.024171023164342362,0.112028126812483,1.792819821825719e-08,0.012550301197113773,0.112028126812483,2.0218769763184848e-14,5.2589381440221096e-08,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.15356747197753393,9.907612918238434e-15,0.023582968449570668,-0.03976497381534006,0.04623867663106748,0.0015812531425346808,0.03976497381534006,4.1517616038332483e-14,0.06896616175481252,True,False
13,loudness_sma3_percentile500,0.15130252884889014,2.4416411104990385e-14,0.022892455236069233,0.20020344551185204,3.906105618340121e-24,0.04008141959481711,0.20020344551185204,9.766564441996154e-14,2.8644774534494225e-23,True,True
36,logRelF0H1H2_sma3nz_amean,-0.15032038201100686,3.595040275738287e-14,0.022596217247935035,-0.12921267739899667,7.954511591244455e-11,0.016695916000617185,0.12921267739899667,1.371325205176977e-13,2.592581555664859e-10,True,True
20,spectralFlux_sma3_amean,0.15021967843511633,3.739977832300846e-14,0.022565951789149753,0.14616868861513316,1.7935752965099416e-13,0.021365285531467756,0.14616868861513316,1.371325205176977e-13,7.891731304643744e-13,True,True
64,slopeV5001500_sma3nz_amean,-0.14842837791987337,7.520646789420655e-14,0.022030983371924752,-0.13389600503325289,1.5924951480421685e-11,0.017928140163864882,0.13389600503325289,2.6472676698760706e-13,5.839148876154618e-11,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.14638619240755668,1.650599286050962e-13,0.021428917327582207,-0.18686344281728168,3.5172257622233676e-21,0.0349179462615275,0.18686344281728168,5.586643737403256e-13,2.3808912851973566e-20,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.13130787176398823,3.900875139330437e-11,0.017241757187187977,-0.13025632870810805,5.585832710810945e-11,0.016966711168514694,0.13025632870810805,1.271396341707698e-10,1.890589532889858e-10,True,True
63,slopeV0500_sma3nz_stddevNorm,0.13059664924929304,4.974625902475435e-11,0.01705548479514287,0.035826205607330575,0.07255106931794862,0.0012835170082187246,0.035826205607330575,1.5634538550637081e-10,0.10466383770458161,True,False
59,alphaRatioV_sma3nz_stddevNorm,0.12551139387255028,2.7241390584073647e-10,0.015753109991830452,0.07318761756748865,0.00024067606569558382,0.0053564273652049734,0.07318761756748865,8.266353004822348e-10,0.00048135213139116764,True,True
38,logRelF0H1A3_sma3nz_amean,-0.11815835682547952,2.8305723319126003e-09,0.013961397287697344,-0.1121273930843715,1.7413511168982794e-08,0.012572552279897162,0.1121273930843715,8.303012173610295e-09,5.2589381440221096e-08,True,True
62,slopeV0500_sma3nz_amean,-0.1177384056683276,3.2219624374924e-09,0.013862332169319678,-0.16262216546264585,2.3480314355375425e-16,0.026445968699760167,0.16262216546264585,9.146215951591328e-09,1.2154515666311985e-15,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.11241074230851954,1.602201301203954e-08,0.012636174986352383,0.07286293916847557,0.0002565319056452234,0.0053090079042689715,0.07286293916847557,4.4060535783108735e-08,0.0005016623932617702,True,True
72,mfcc3V_sma3nz_amean,0.10533949123416961,1.20487550369415e-07,0.011096408413473695,0.10436419507558982,1.5757546043265914e-07,0.010891885213775767,0.10436419507558982,3.2130013431844e-07,4.333325161898126e-07,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.10261174984827698,2.536820730935385e-07,0.010529171206925371,-0.10993650098872278,3.2927868275475615e-08,0.012086034249643444,0.10993650098872278,6.565888950656291e-07,9.347265833038239e-08,True,True
74,mfcc4V_sma3nz_amean,-0.10234192937479654,2.7279259357447096e-07,0.010473870508155844,-0.09297381574244327,3.0332166715300788e-06,0.008644130413709794,0.09297381574244327,6.858785209872413e-07,7.0242912393328135e-06,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.09938154982591746,5.979949632376801e-07,0.009876692445801314,-0.04230292110599634,0.033961168032311834,0.0017895371341001504,0.04230292110599634,1.4617654656921067e-06,0.0515272894283352,True,False
69,mfcc1V_sma3nz_stddevNorm,-0.09883133509198505,6.902386395483958e-07,0.009767632796064235,0.012388531484596897,0.5347642360016247,0.00015347571234484858,0.012388531484596897,1.6416486562232116e-06,0.5882406596017872,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.0977388018049717,9.156586614632256e-07,0.009552873378271539,-0.138821026833511,2.759093625176628e-12,0.01927127749111038,0.138821026833511,2.120472689704312e-06,1.1036374500706512e-11,True,True
47,F2frequency_sma3nz_stddevNorm,-0.09627020138275716,1.3325211959267896e-06,0.009267951674276619,-0.09850020551716482,7.522029482941807e-07,0.009702290486923707,0.09850020551716482,3.006714493373269e-06,1.8912531271396543e-06,True,True
12,loudness_sma3_percentile200,0.09019934774742719,5.935838772095324e-06,0.008135922334061298,0.15446969213975065,6.891054922869321e-15,0.023860885789749344,0.15446969213975065,1.3058845298609713e-05,3.1916464905921064e-14,True,True
24,mfcc2_sma3_amean,-0.08780448744094117,1.0435381683753535e-05,0.007709628014766396,-0.10304991887140431,2.2537058258774436e-07,0.010619285779403012,0.10304991887140431,2.239789239439783e-05,6.00988220233985e-07,True,True
80,spectralFluxUV_sma3nz_amean,0.08075985025720346,5.054662693874478e-05,0.006522153413565926,0.08994613457689461,6.304933003046084e-06,0.008090307125324837,0.08994613457689461,0.0001059072183478462,1.4226515494052701e-05,True,True
70,mfcc2V_sma3nz_amean,-0.07905403489317946,7.272086532860782e-05,0.006249540432892035,-0.09776727583375572,9.089736784423057e-07,0.009558440223953675,0.09776727583375572,0.00014882409648645322,2.221935658414525e-06,True,True
83,MeanVoicedSegmentLengthSec,0.07568609030183425,0.00014605010032865567,0.005728384265177408,0.08815492623230078,9.616970837204527e-06,0.007771291019022393,0.08815492623230078,0.00029210020065731135,2.0641303260341424e-05,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.0754853890706741,0.00015211449517698862,0.005698043963151046,-0.01375386428719665,0.49071726301019986,0.0001891687828306234,0.01375386428719665,0.0002974683461238889,0.5608197291545142,True,False
28,mfcc4_sma3_amean,-0.06944570720756292,0.00049439321724243,0.0048227062495585565,-0.05940796165848411,0.0028894464467013013,0.003529305908415918,0.05940796165848411,0.0009457957199420399,0.004889832448263741,True,True
30,jitterLocal_sma3nz_amean,-0.06709258695383642,0.0007641637758594077,0.004501415224158101,-0.04604751673233184,0.020975217309078805,0.0021203737972143805,0.04604751673233184,0.0014307747292686783,0.03418183561479509,True,True
73,mfcc3V_sma3nz_stddevNorm,-0.06598924712312168,0.0009329859980941914,0.0043545807358764226,-0.015492919932235956,0.43756145648640915,0.0002400305680266742,0.015492919932235956,0.001710474329839351,0.5184450117530294,True,False
23,mfcc1_sma3_stddevNorm,-0.06530040456854014,0.0010552525808437117,0.004264142836815018,-0.07215295219987125,0.00029467761535104375,0.0052060485111569054,0.07215295219987125,0.0018651575947597743,0.0005637310902367794,True,True
37,logRelF0H1H2_sma3nz_stddevNorm,-0.06527650856684282,0.0010597486333862355,0.004261022570677104,-0.002607529404754019,0.8960520312982923,6.7992095966568475e-06,0.002607529404754019,0.0018651575947597743,0.9063514799339047,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.0629421248995286,0.0015948958750070373,0.003961711086867859,-0.11316754282325552,1.2813794487483916e-08,0.01280689274865337,0.11316754282325552,0.002751977196090574,4.0271925532092304e-08,True,True
82,VoicedSegmentsPerSec,-0.06246235621072864,0.00173189429644678,0.0039015459433959505,-0.06956901806068741,0.0004830623243039816,0.004839848273928251,0.06956901806068741,0.0029308980401407045,0.0008675405007908242,True,True
26,mfcc3_sma3_amean,0.061470487570171185,0.0020500255130686466,0.0037786208421145702,0.05986089439936258,0.002681982869272569,0.0035833266782916385,0.05986089439936258,0.0034038159462271866,0.004627735146980119,True,True
68,mfcc1V_sma3nz_amean,0.06064877514102541,0.002353241527610572,0.0036782739261066615,0.06837777396954757,0.0006034125739845782,0.004675519973030538,0.06837777396954757,0.00383491211906908,0.0010620061302128575,True,True
48,F2bandwidth_sma3nz_amean,-0.060340135422567144,0.0024773580631324175,0.003640931942813742,-0.07047367778833918,0.0004070470810042786,0.004966539261014652,0.07047367778833918,0.003963772901011868,0.0007462529818411775,True,True
60,hammarbergIndexV_sma3nz_amean,-0.060058158687978265,0.0025959552330364725,0.003606982424990379,-0.04332640502085214,0.029864366530900015,0.0018771773720309213,0.04332640502085214,0.004079358223343028,0.0461063904336702,True,True
25,mfcc2_sma3_stddevNorm,0.05558339436459741,0.005317309822475209,0.003089513729090359,0.026317988994212557,0.18720642895269624,0.0006926365446994932,0.026317988994212557,0.00820918007680383,0.24226714335054808,True,False
84,StddevVoicedSegmentLengthSec,0.054022470186861245,0.006753353720977392,0.002918427285090312,0.038800888965984166,0.05179343952223048,0.0015055089845506318,0.038800888965984166,0.010246467714586387,0.07596371129927137,True,False
