,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.2563623899501206,3.340926534420258e-48,0.0657216749809377,-0.16473395024542986,1.6872114859640732e-20,0.027137274363463762,0.16473395024542986,2.940015350289827e-46,8.733800633225791e-20,True,True
16,loudness_sma3_meanRisingSlope,0.20677827138133487,1.3353092524436286e-31,0.04275725351545297,0.2917043964104837,1.6765136159985702e-62,0.0850914548852046,0.2917043964104837,5.875360710751966e-30,1.475331982078742e-60,True,True
17,loudness_sma3_stddevRisingSlope,0.19464344745002982,4.0036965190822582e-28,0.03788607163523252,0.2849414385022636,1.3378465781200762e-59,0.08119162337573928,0.2849414385022636,9.595493689169318e-27,5.886524943728335e-58,True,True
14,loudness_sma3_percentile800,0.1945093017016598,4.361588040531508e-28,0.03783386844846732,0.24778226302864004,4.775972891730413e-45,0.06139604987159415,0.24778226302864004,9.595493689169318e-27,6.004080206746804e-44,True,True
15,loudness_sma3_pctlrange02,0.19216695016868532,1.9254359930864272e-27,0.036928136737133986,0.25019252687509547,6.381591726179154e-46,0.06259630050414537,0.25019252687509547,3.388767347832112e-26,9.35966786506276e-45,True,True
66,spectralFluxV_sma3nz_amean,0.1901969251852549,6.614478150837688e-27,0.036174870349925455,0.18742345465567958,3.6740876379589245e-26,0.03512755135506958,0.18742345465567958,9.70123462122861e-26,2.9392701103671396e-25,True,True
87,equivalentSoundLevel_dBp,0.18722959641316206,4.137775409190411e-26,0.03505492177303555,0.22037836558503446,9.111248738443867e-36,0.0485666240179311,0.22037836558503446,5.201774800125088e-25,8.017898889830604e-35,True,True
10,loudness_sma3_amean,0.1848138209227603,1.8000177875112373e-25,0.034156148404070115,0.2360539332260817,6.280186395068919e-41,0.05572145939150344,0.2360539332260817,1.980019566262361e-24,6.90820503457581e-40,True,True
19,loudness_sma3_stddevFallingSlope,0.18360390073111538,3.730674326271856e-25,0.03371039236368127,0.25932664486175533,2.544490341539574e-49,0.06725030873525498,0.25932664486175533,3.647770452354703e-24,5.597878751387063e-48,True,True
18,loudness_sma3_meanFallingSlope,0.1799172349219076,3.3322754069845465e-24,0.032370211421944885,0.2721687434025266,2.462266427258552e-54,0.07407582488531038,0.2721687434025266,2.932402358146401e-23,7.222648186625086e-53,True,True
20,spectralFlux_sma3_amean,0.1793771716277827,4.574547478322823e-24,0.032176169701183005,0.17632249048909823,2.6948042660097506e-23,0.031089620652278136,0.17632249048909823,3.6596379826582586e-23,1.693876967206129e-22,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.1776199931626078,1.2737296877038322e-23,0.03154886197108484,0.1845969281446538,2.051993931625517e-25,0.03407602588044248,0.1845969281446538,9.34068437649477e-23,1.5047955498587125e-24,True,True
78,slopeUV0500_sma3nz_amean,-0.17742855881569433,1.4231517964697814e-23,0.031480893483414304,-0.2518917518533521,1.5238911636454253e-46,0.06344945465175071,0.2518917518533521,9.63364292994929e-23,2.6820484480159485e-45,True,True
13,loudness_sma3_percentile500,0.17523591561190965,5.0251970207638446e-23,0.030707626120344323,0.22631424397265307,1.1240344263030985e-37,0.05121813702491353,0.22631424397265307,3.1586952701944165e-22,1.0990558834963629e-36,True,True
