,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.40427835357010145,3.809134921572481e-07,0.16344098716535196,0.28104095462208506,0.0005645102056966501,0.07898401817489287,0.28104095462208506,2.4269708554227885e-05,0.0024838449050652604,True,True
13,loudness_sma3_percentile500,0.3991194059665031,5.515842853233611e-07,0.1592963002190543,0.26029593737829215,0.0014523007762373347,0.06775397501564379,0.26029593737829215,2.4269708554227885e-05,0.005325102846203561,True,True
12,loudness_sma3_percentile200,0.3911397976287661,9.660969621635868e-07,0.1529903412890721,0.3075384681035789,0.00015117821541356632,0.094579909363496,0.3075384681035789,2.8338844223465216e-05,0.0007825695856702256,True,True
14,loudness_sma3_percentile800,0.38571717956523727,1.402257571365404e-06,0.1487777426117615,0.2357328516155917,0.0040488343140016245,0.05556997733081858,0.2357328516155917,3.0849666570038887e-05,0.011400900074895857,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.37894350588919723,2.2127157437026312e-06,0.14359818065559607,-0.3554345096332676,9.973027034181437e-06,0.1263336906382414,0.3554345096332676,3.894379708916631e-05,0.00012537519700113806,True,True
20,spectralFlux_sma3_amean,0.367726269578362,4.606227128672605e-06,0.13522260933801816,0.1915441000163824,0.020120915846217297,0.0366891422510859,0.1915441000163824,6.755799788719821e-05,0.037673204137598344,True,True
87,equivalentSoundLevel_dBp,0.3613940906259263,6.88494266777494e-06,0.13060568873934025,0.3822278699242937,1.7759362529631504e-06,0.1460981445468628,0.3822278699242937,8.327172495951388e-05,3.125647805215145e-05,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.35987951844911703,7.5701568145012625e-06,0.12951326779916836,-0.34032586404092147,2.4691153270671106e-05,0.11582169373519977,0.34032586404092147,8.327172495951388e-05,0.00019752922616536885,True,True
47,F2frequency_sma3nz_stddevNorm,-0.34869294149408775,1.5031646621271097e-05,0.1215867674477993,-0.35660178034133433,9.280282076424402e-06,0.12716482974260926,0.35660178034133433,0.00014118735586771312,0.00012537519700113806,True,True
66,spectralFluxV_sma3nz_amean,0.34760760029856047,1.6044017712240126e-05,0.12083104378532378,0.19800843033968002,0.01621307744521844,0.039207338485583915,0.19800843033968002,0.00014118735586771312,0.03101632206911354,True,True
64,slopeV5001500_sma3nz_amean,-0.3443250052702803,1.951155579998991e-05,0.11855970925437857,-0.3500076940668159,1.3885981693190988e-05,0.12250538590596981,0.3500076940668159,0.0001560924463999193,0.00013577404322231187,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,-0.3418456853641136,2.2586427431603336e-05,0.11685847260206055,-0.3299285426360921,4.4863718764816824e-05,0.10885284324597565,0.3299285426360921,0.00016563380116509116,0.00032248284381538667,True,True
41,F1frequency_sma3nz_stddevNorm,-0.33793559552034036,2.837852162052231e-05,0.11420046671968709,-0.38326674371449176,1.6557846014687764e-06,0.1468933968375099,0.38326674371449176,0.00019210076173892024,3.125647805215145e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,0.32644855687841356,5.453035126246197e-05,0.10656866028799881,0.08509249923159108,0.30548387507929003,0.007240733425478329,0.08509249923159108,0.00034276220793547524,0.3896026232895293,True,False
