,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.373464735499148,3.304358845499513e-07,0.13947590866144857,0.24187049436266694,0.0012204127177011445,0.058501336043240905,0.24187049436266694,2.565616195762323e-05,0.005366382807811513,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.3660933285821138,5.830945899459825e-07,0.13402432523233154,0.21969042953714923,0.003393635621129585,0.04826388483021713,0.21969042953714923,2.565616195762323e-05,0.010665711952121553,True,True
47,F2frequency_sma3nz_stddevNorm,-0.3489647190776106,2.068368137759166e-06,0.1217763751609157,-0.34189175412864425,3.4154981765866236e-06,0.11688997154116133,0.34189175412864425,6.0672132040935536e-05,0.00010018794651320764,True,True
34,HNRdBACF_sma3nz_amean,0.3319741114795345,6.761367267713042e-06,0.11020681069262639,0.27496294619635986,0.00022140728285214003,0.07560462178098229,0.27496294619635986,0.00014875007988968692,0.0016236534075823603,True,True
10,loudness_sma3_amean,0.3022859926352226,4.552130924363547e-05,0.09137682134346185,0.27633987152222783,0.00020522527549239253,0.07636372459292139,0.27633987152222783,0.0007624101831794341,0.0016236534075823603,True,True
13,loudness_sma3_percentile500,0.30009667546007024,5.198251248950687e-05,0.09005801462218672,0.25750624459773747,0.0005600991035438028,0.0663094660068298,0.25750624459773747,0.0007624101831794341,0.00379144008552728,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.29431947265552194,7.341142404202905e-05,0.08662395198422453,-0.29039902002892526,9.240335470272324e-05,0.08433159083376013,0.29039902002892526,0.0008644154244209587,0.0010164369017299556,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.2929230804837087,7.971152195605106e-05,0.08580393108006527,-0.28603534621545534,0.00011890786058161827,0.0818162192845954,0.28603534621545534,0.0008644154244209587,0.0010997192181038478,True,True
12,loudness_sma3_percentile200,0.29115696366153176,8.840612295214351e-05,0.08477237748860253,0.29651831286589597,6.442926387502367e-05,0.08792310986483737,0.29651831286589597,0.0008644154244209587,0.0008099678887145832,True,True
14,loudness_sma3_percentile800,0.2886436930368511,0.00010231952135504986,0.08331518152995193,0.23852498333972572,0.0014326742762977062,0.05689416767721643,0.23852498333972572,0.0009004117879244389,0.005730697105190825,True,True
87,equivalentSoundLevel_dBp,0.275321838366894,0.0002170787626389988,0.07580211468172611,0.32071967854801053,1.4267288589492299e-05,0.10286111220793921,0.32071967854801053,0.0017366301011119904,0.00031388034896883055,True,True
41,F1frequency_sma3nz_stddevNorm,-0.26766873160754856,0.0003288016149972218,0.07164654988039386,-0.3014183925241689,4.798581921525999e-05,0.09085304735185397,0.3014183925241689,0.00241121184331296,0.0007037920151571465,True,True
20,spectralFlux_sma3_amean,0.2564845885056879,0.0005902222162734896,0.06578434414093205,0.11296738925318399,0.13549334754640985,0.01276163103468039,0.11296738925318399,0.00376403169164505,0.19872357640140112,True,False
53,F3frequency_sma3nz_stddevNorm,-0.2562017087896014,0.0005988232236708034,0.06563931558671172,-0.3830828413862919,1.54151136821192e-07,0.14675246336459488,0.3830828413862919,0.00376403169164505,6.782650020132447e-06,True,True
66,spectralFluxV_sma3nz_amean,0.24344705801422845,0.0011307273841953411,0.05926647005578311,0.1279473602251762,0.09059240485135854,0.016370526988591,0.1279473602251762,0.006633600653946001,0.14763206716517688,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.2311941260342558,0.0020203987453875577,0.05345072391274335,0.0520041764164379,0.4930528467821664,0.0027044343647519955,0.0520041764164379,0.009183602821651133,0.6166076812285567,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.23114500671162921,0.0020249865909208386,0.053428014127719116,-0.2546392319167058,0.0006484502486068648,0.06484113843112987,0.2546392319167058,0.009183602821651133,0.00407597299124315,True,True
84,StddevVoicedSegmentLengthSec,-0.23067326576926378,0.0020695331567275026,0.0532101555406574,-0.08018650279149928,0.29009256564389024,0.006429875229931121,0.08018650279149928,0.009183602821651133,0.40520866312162446,True,False
65,slopeV5001500_sma3nz_stddevNorm,0.2305590833631548,0.0020804485141015724,0.05315749092125817,0.0752030863900548,0.3212081998444692,0.005655504202590045,0.0752030863900548,0.009183602821651133,0.43486648594328137,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.23048891290225965,0.0020871824594661664,0.05312513897086543,0.13072585454645946,0.08374724089718989,0.017089249046902077,0.13072585454645946,0.009183602821651133,0.1417260999798598,True,False
