,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.4083307625960134,5.957260796150538e-20,0.16673401168224186,-0.43907271583200286,3.7883220122507193e-23,0.19278484978809074,0.43907271583200286,5.242389500612473e-18,3.3337233707806328e-21,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.3707834895468068,1.7985977634488024e-16,0.13748039612050697,0.2588385907504704,1.7124855303705277e-08,0.06699741606168949,0.2588385907504704,7.913830159174731e-15,1.204128071783705e-07,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.3653357660422893,5.290550968159022e-16,0.13347022194970634,-0.19487323347392113,2.5177151576826797e-05,0.037975577124581376,0.19487323347392113,1.55189495065998e-14,9.231622244836493e-05,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.34931306856912786,1.124120577692805e-14,0.12201961987318022,-0.3687132482634738,2.7167374368514153e-16,0.13594945944500206,0.3687132482634738,2.4730652709241707e-13,1.1953644722146228e-14,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.32848983004196053,4.635453347504749e-13,0.10790556844099611,-0.33140559805235925,2.8002056104236576e-13,0.10982967042044191,0.33140559805235925,8.158397891608358e-12,6.160452342932047e-12,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.3147627819086868,4.630277061080237e-12,0.09907560887489553,-0.30911818458304,1.1534044271828362e-11,0.0955540520399144,0.30911818458304,6.791073022917682e-11,2.0299917918417918e-10,True,True
34,HNRdBACF_sma3nz_amean,0.30628230834409714,1.8111493678335163e-11,0.0938088524045886,0.2626061284573419,1.0413853589703517e-08,0.06896197870335395,0.2626061284573419,2.2768734909907063e-10,9.164191158939095e-08,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.3046137612592974,2.3565444343911383e-11,0.09278954354853623,-0.2651119236485429,7.448185792678991e-09,0.07028433206063085,0.2651119236485429,2.592198877830252e-10,8.19300437194689e-08,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.30236561360819886,3.350903651556958e-11,0.09142496429266261,0.13673318833601583,0.0032647586467505004,0.018695964792532375,0.13673318833601583,3.2764391259668033e-10,0.008706023058001335,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.3016434674480804,3.749672651950765e-11,0.09098878145410114,-0.17264107849090607,0.00019554637019171862,0.02980494198250319,0.17264107849090607,3.2997119337166735e-10,0.00061457430631683,True,True
54,F3bandwidth_sma3nz_amean,-0.2993676379517534,5.3333729268483096e-11,0.08962098265281211,-0.3497194692903264,1.0424831947770778e-14,0.12230370720070753,0.3497194692903264,4.2666983414786477e-10,3.057950704679428e-13,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.29569416163531,9.357555548618824e-11,0.08743503722520883,0.13168723967351106,0.004624165308575808,0.017341529092828746,0.13168723967351106,6.862207402320471e-10,0.011626472775847746,True,True
