,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,0.2727645334852357,3.992835632450552e-12,0.07440049072741828,0.2815195785312526,7.532706669742937e-13,0.0792532730964141,0.2815195785312526,3.513695356556486e-10,3.314390934686892e-11,True,True
54,F3bandwidth_sma3nz_amean,-0.237940439115083,1.7087485401880105e-09,0.05661565256627852,-0.1057327740362713,0.008158313224073541,0.011179419505405205,0.1057327740362713,7.518493576827246e-08,0.0377858717746564,True,True
78,slopeUV0500_sma3nz_amean,-0.22324687218761244,1.6872326116805676e-08,0.04983916594155217,-0.3086493574983617,2.918699116859992e-15,0.09526442588415149,0.3086493574983617,3.3155690919041073e-07,2.568455222836793e-13,True,True
23,mfcc1_sma3_stddevNorm,-0.22315101091034348,1.7117627797230896e-08,0.04979637367030824,-0.09292019923072428,0.02015857752171927,0.008634163425077494,0.09292019923072428,3.3155690919041073e-07,0.07095819287645182,True,False
62,slopeV0500_sma3nz_amean,-0.22251372800591745,1.8838460749455153e-08,0.049512359151091416,-0.24330182721942042,7.12814359400508e-10,0.05919577912830871,0.24330182721942042,3.3155690919041073e-07,1.5681915906811176e-08,True,True
26,mfcc3_sma3_amean,0.2011754913601881,3.95199182223098e-07,0.04047157832401312,0.2009592073076162,4.069244150268985e-07,0.04038460300170547,0.2009592073076162,5.290010679986943e-06,7.161869704473414e-06,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.20011470642547952,4.559951057259346e-07,0.040045895727755854,-0.26598934427864557,1.3938397482060695e-11,0.07075033126978383,0.26598934427864557,5.290010679986943e-06,4.0885965947378043e-10,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.19971887273620137,4.809100618169948e-07,0.039887628127019,0.1288716897008639,0.0012430383615581915,0.016607912406355754,0.1288716897008639,5.290010679986943e-06,0.006836710988570053,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.19873509186298205,5.486347399612474e-07,0.039495636737787915,-0.04552554993839319,0.2557684252271064,0.002072575697193132,0.04552554993839319,5.364428568509975e-06,0.41370701327811243,True,False
43,F1bandwidth_sma3nz_stddevNorm,-0.19370798391096766,1.0646632347937272e-06,0.03752278303085171,-0.17849559896668116,7.1370441304481095e-06,0.03186067885047427,0.17849559896668116,9.3690364661848e-06,8.972284049706194e-05,True,True
