,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
36,logRelF0H1H2_sma3nz_amean,-0.36468200774610937,1.8471052841485633e-07,0.13299296677373337,-0.40082100807248244,7.639114991001762e-09,0.16065748051224105,0.40082100807248244,1.6254526500507357e-05,6.722421192081551e-07,True,True
84,StddevVoicedSegmentLengthSec,0.3483704754631111,6.881229860066433e-07,0.1213619881743941,0.31778418603596326,6.687157169437377e-06,0.1009867888945397,0.31778418603596326,3.02774113842923e-05,0.0002942349154552446,True,True
83,MeanVoicedSegmentLengthSec,0.32671017745736014,3.5314900104343716e-06,0.10673954005421975,0.25197316285293786,0.000407784662024172,0.06349047479811315,0.25197316285293786,8.62180875626595e-05,0.002990420854843928,True,True
82,VoicedSegmentsPerSec,-0.325273800836684,3.9190039801208865e-06,0.10580304551074277,-0.2584290973965196,0.0002848217630798697,0.06678559838117981,0.2584290973965196,8.62180875626595e-05,0.0025040932503158594,True,True
72,mfcc3V_sma3nz_amean,0.30587592713689327,1.5191257842481101e-05,0.09356008280185404,0.26057756651185754,0.0002522381991402399,0.06790066816924153,0.26057756651185754,0.00026736613802766737,0.0024663290582601235,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.28390072423922286,6.305050841497841e-05,0.08059962122355525,-0.2865648762314848,5.338566916335351e-05,0.0821194282895662,0.2865648762314848,0.0009247407900863501,0.0009395877772750218,True,True
54,F3bandwidth_sma3nz_amean,-0.2782179939364558,8.941581486045068e-05,0.07740525215002575,-0.2771416631421963,9.54516892720791e-05,0.0768075014492226,0.2771416631421963,0.0011240845296742372,0.0013999581093238269,True,True
40,F1frequency_sma3nz_amean,-0.2758244618596784,0.00010335772335672597,0.07607913376018119,-0.28917543691490183,4.5280154423969014e-05,0.08362243331492437,0.28917543691490183,0.0011369349569239856,0.0009395877772750218,True,True
26,mfcc3_sma3_amean,0.2651952116873983,0.00019359120452948014,0.07032850030192399,0.2209008659053162,0.0020208861352353866,0.04879719255771849,0.2209008659053162,0.0018928917776215835,0.008468475233367334,True,True
52,F3frequency_sma3nz_amean,-0.2315017100042011,0.0011980167830959556,0.05359304173486923,-0.26503442919179193,0.0001953990016050497,0.07024324865701898,0.26503442919179193,0.009911436957455928,0.0021493890176555465,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.2308350494045034,0.001238929619681991,0.05328482003357952,-0.2266083179010997,0.0015295343103851181,0.051351329741965865,0.2266083179010997,0.009911436957455928,0.007917589371405317,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.22826764274383532,0.0014087331287923222,0.052106116723827235,-0.18148013050185433,0.011542391657498326,0.03293503776697008,0.18148013050185433,0.010108562195321535,0.0317415770581204,True,True
18,loudness_sma3_meanFallingSlope,0.22709292909169615,0.0014933103243088633,0.05157119844344613,0.2567473726955456,0.0003130116562894824,0.06591921338606539,0.2567473726955456,0.010108562195321535,0.0025040932503158594,True,True
78,slopeUV0500_sma3nz_amean,-0.22409804540526773,0.0017303549615498013,0.050219933954461435,-0.2892568307035043,4.504709795258849e-05,0.08366951410863574,0.2892568307035043,0.01087651690117018,0.0009395877772750218,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.22059595683509983,0.0020507933982033657,0.04866257617199323,0.22415226861649049,0.0017257743149755147,0.050244239525919304,0.22415226861649049,0.012031321269459746,0.007993059985149752,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.21120079212409223,0.0031945817021797798,0.04460577459384402,-0.18814062445382776,0.00878794970508737,0.03539689456987625,0.18814062445382776,0.017412005165449804,0.024946437872506083,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.2099488951200797,0.003384294347598943,0.04407853856214222,0.217879267092961,0.002335590714071777,0.04747137502896583,0.217879267092961,0.017412005165449804,0.009290734503000183,True,True
16,loudness_sma3_meanRisingSlope,0.20883524961447775,0.0035615465111147326,0.04361216148154123,0.21209572359590836,0.0030649149949263255,0.04498459596767196,0.21209572359590836,0.017412005165449804,0.010788500782140664,True,True
10,loudness_sma3_amean,0.20715842009081048,0.003844271099096304,0.04291461101452071,0.19866375165483569,0.0056115260123204055,0.03946728622157423,0.19866375165483569,0.0178050450905513,0.017636224610149846,True,True
13,loudness_sma3_percentile500,0.2046792229751406,0.004299416727457866,0.04189358431770732,0.2154895831162824,0.002615319516667794,0.04643576043162918,0.2154895831162824,0.01830604755186996,0.00958950489444858,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.20432384028904224,0.004368488620332604,0.04174823171046204,-0.22841812994115124,0.001398220903765978,0.052174842085812655,0.22841812994115124,0.01830604755186996,0.007690214970712879,True,True
76,alphaRatioUV_sma3nz_amean,0.20295150332935905,0.00464467929993636,0.041189312703646834,0.22905308431518479,0.0013546519195758524,0.05246531543429915,0.22905308431518479,0.01857871719974544,0.007690214970712879,True,True
46,F2frequency_sma3nz_amean,-0.20002532130778494,0.005286593673848652,0.04001012916428261,-0.24102277900471522,0.0007339801128798798,0.058091979999155795,0.24102277900471522,0.019824589857422872,0.004613589280959244,True,True
62,slopeV0500_sma3nz_amean,-0.19844263851002925,0.0056659486416411504,0.03937948077882214,-0.2724559821085109,0.00012645328887790397,0.07423226218671322,0.2724559821085109,0.019824589857422872,0.0015896984887507927,True,True
14,loudness_sma3_percentile800,0.19776495171720673,0.005835702267118367,0.03911097612770911,0.1930163196036267,0.00715834525283658,0.03725529963332937,0.1930163196036267,0.019824589857422872,0.021721875249986863,True,True
19,loudness_sma3_stddevFallingSlope,0.1976801348470162,0.0058572651851476676,0.039077435713134503,0.224987465335761,0.0016566024639026078,0.05061935955821026,0.224987465335761,0.019824589857422872,0.007993059985149752,True,True
