,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
36,logRelF0H1H2_sma3nz_amean,-0.3507206880370327,1.3726450829224965e-07,0.12300500101716962,-0.3671720371647676,3.1242886663589414e-08,0.1348153048757255,0.3671720371647676,1.207927672971797e-05,2.7493740263958684e-06,True,True
72,mfcc3V_sma3nz_amean,0.29986883548023574,8.037828507289917e-06,0.0899213184922727,0.26973999671670357,6.409917373191615e-05,0.07275966582872725,0.26973999671670357,0.0003536644543207563,0.0014101818221021554,True,True
84,StddevVoicedSegmentLengthSec,0.29104987414222994,1.5129385154484939e-05,0.08471002923820789,0.29180022330447386,1.4348338097610449e-05,0.08514737032054082,0.29180022330447386,0.0004437952978648916,0.0006313268762948598,True,True
82,VoicedSegmentsPerSec,-0.28686656637533764,2.0275540103663994e-05,0.082292426903976,-0.18286227600596705,0.007317701740397454,0.03343861198608247,0.18286227600596705,0.0004460618822806079,0.029270806961589815,True,True
40,F1frequency_sma3nz_amean,-0.26828853719647994,7.042256063097392e-05,0.071978739191027,-0.1789752303994522,0.00868861197544474,0.032032133096537,0.1789752303994522,0.000971823946254562,0.0332433849495277,True,True
83,MeanVoicedSegmentLengthSec,0.26823533001440764,7.066513779159647e-05,0.07195019226793817,0.2299592575830715,0.0006992944499987485,0.05288126014815743,0.2299592575830715,0.000971823946254562,0.006837545733321096,True,True
26,mfcc3_sma3_amean,0.26684195586673476,7.730417754297653e-05,0.07120462941078443,0.23364246181692558,0.0005696022308551391,0.05458879996387353,0.23364246181692558,0.000971823946254562,0.006265624539406531,True,True
54,F3bandwidth_sma3nz_amean,-0.2612264178200535,0.00011046247728642042,0.06823924136709718,-0.1407457240143813,0.03967424180423722,0.019809358828332388,0.1407457240143813,0.0012150872501506245,0.10579797814463258,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.24812496092926675,0.0002463817190698375,0.06156599623615015,-0.2185445649898187,0.0012940902923965828,0.047761726886589084,0.2185445649898187,0.0024090656975717445,0.009203011097391224,True,True
52,F3frequency_sma3nz_amean,-0.2276810404410467,0.0007926261316778073,0.05183865617631754,-0.051489465525082906,0.4536694187029061,0.002651165060058701,0.051489465525082906,0.006975109958764704,0.6945177761237379,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.21974179346222422,0.0012149185951072844,0.048286455793994806,-0.21874050056942543,0.0012808178464881568,0.047847406589362804,0.21874050056942543,0.009719348760858275,0.009203011097391224,True,True
78,slopeUV0500_sma3nz_amean,-0.2056163998270941,0.0025056730379828165,0.04227810387785542,-0.2792504163304942,3.414600644538065e-05,0.07798079502075433,0.2792504163304942,0.018374935611873987,0.0010016161890644992,True,True
46,F2frequency_sma3nz_amean,-0.20024007016936568,0.003261443610069095,0.04009608570143249,-0.07338874054821391,0.28518742086023013,0.005385907239253057,0.07338874054821391,0.02066128698011738,0.5185642478814173,True,False
62,slopeV0500_sma3nz_amean,-0.2000786928589534,0.0032870229286550375,0.040031483336147415,-0.2607042770153523,0.00011414405935791559,0.06796672005409755,0.2607042770153523,0.02066128698011738,0.0020089354446993146,True,True
