,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.3354232744714074,3.4570367889750384e-06,0.1125087730571211,-0.3774245773610761,1.388048245487919e-07,0.14244931159618693,0.3774245773610761,0.00030421923742980335,1.2214824560293688e-05,True,True
84,StddevVoicedSegmentLengthSec,0.264450557909956,0.00029743331647732974,0.06993409757888698,0.2257839910809928,0.0021177355636738055,0.05097841062846184,0.2257839910809928,0.013087065925002509,0.016941884509390444,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.24399516609419616,0.000873023410563645,0.05953364107733437,-0.18566006207429728,0.01186046118981199,0.03446965864943192,0.18566006207429728,0.015551071598918912,0.054932662352813424,True,False
82,VoicedSegmentsPerSec,-0.24282862218373882,0.0009258798977562906,0.05896573975165297,-0.24391173920587667,0.0008767093588751018,0.05949293652243559,0.24391173920587667,0.015551071598918912,0.01102148908300128,True,True
36,logRelF0H1H2_sma3nz_amean,-0.24068864728993014,0.0010305548432236154,0.0579310249342564,-0.24009608709451877,0.0010614013600624063,0.05764613103809874,0.24009608709451877,0.015551071598918912,0.01167541496068647,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.2401169641542184,0.0010603003362899257,0.057656156474638204,0.029365378101488933,0.6931302968625939,0.0008623254310434058,0.029365378101488933,0.015551071598918912,0.772094507897573,True,False
83,MeanVoicedSegmentLengthSec,0.2305436781533151,0.0016907920105686744,0.05315038753645934,0.2020385362549194,0.006092854837911978,0.040819570132030386,0.2020385362549194,0.01756414893328376,0.031539483866838476,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.22985178559961922,0.001747536726909908,0.05283184334333332,0.06692209260069314,0.36806088643182283,0.004478566478055747,0.06692209260069314,0.01756414893328376,0.49074784857576376,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.22783230738735102,0.0019232351341022128,0.051907560289444404,-0.28425094056226197,9.632094123872625e-05,0.08079859721053058,0.28425094056226197,0.01756414893328376,0.0021190607072519773,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.2270456151285421,0.001995926015145882,0.05154971134909807,0.15829695469560828,0.03233527192732238,0.025057925865903462,0.15829695469560828,0.01756414893328376,0.10162514034301319,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.20923803710155614,0.00447388851973737,0.043780556170112186,0.14163557836076168,0.05580766175557285,0.020060637057587462,0.14163557836076168,0.03579110815789896,0.13641872873584474,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.20441439784926776,0.005508481148562885,0.04178524604807873,0.13618290149883813,0.06603324298049125,0.01854578266064225,0.13618290149883813,0.040395528422794494,0.1417298873727617,True,False
40,F1frequency_sma3nz_amean,-0.20009914465439618,0.0066102730811380345,0.04003966769142097,-0.21829713267710782,0.002990404557842142,0.04765363813504681,0.21829713267710782,0.044746463933857464,0.01905841474614091,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.19746678996974804,0.007375150131579011,0.038993133140956586,0.05012666623752691,0.5003886794485642,0.00251268266808842,0.05012666623752691,0.0450313776971965,0.5793974183088638,True,False
