,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.330869707393228,1.4244499199727267e-06,0.10947476327048032,-0.29778678355791344,1.5967056498992847e-05,0.08867696846176759,0.29778678355791344,0.00012535159295759996,0.0007723683311763039,True,True
36,logRelF0H1H2_sma3nz_amean,-0.2485773406292131,0.0003487485854526429,0.06179069427429184,-0.24516545219822924,0.0004227523301877681,0.06010609895156223,0.24516545219822924,0.015344937759916289,0.0053146007223605135,True,True
84,StddevVoicedSegmentLengthSec,0.2324390434643633,0.000846510780282098,0.054027908926628176,0.2193328371569347,0.0016660527276490006,0.04810689345531043,0.2193328371569347,0.02483098288827488,0.016107695162528936,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.21946981361294812,0.0016546290884292786,0.04816699908730219,-0.17760943195821463,0.011241317859662224,0.031545110320519675,0.17760943195821463,0.034999175226104885,0.05819035127354563,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2114210300902582,0.0024618804850011946,0.04469885196442586,-0.2495986843148395,0.0003290545477354723,0.06229950321169891,0.2495986843148395,0.034999175226104885,0.0053146007223605135,True,True
83,MeanVoicedSegmentLengthSec,0.20679574628678893,0.003073822586096368,0.04276448068230998,0.19580811015449856,0.0051140231103941084,0.03834081600227624,0.19580811015449856,0.034999175226104885,0.032161618719620616,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.20642680361391075,0.0031281194134544573,0.04261202525025608,0.15029023276503992,0.032334205005160946,0.02258715406456988,0.15029023276503992,0.034999175226104885,0.09564754789973523,True,False
82,VoicedSegmentsPerSec,-0.20403081473225634,0.0035023629481641797,0.04162857336030831,-0.19579686558578788,0.005116621159939643,0.038336412573219084,0.19579686558578788,0.034999175226104885,0.032161618719620616,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.20356614006606175,0.0035794611026698183,0.04143917338139547,0.018238035684102018,0.7961994110495806,0.0003326259456145786,0.018238035684102018,0.034999175226104885,0.8403008407885513,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.19911466849648207,0.00439945721970757,0.03964665121046395,-0.17314700856358162,0.01349547845909972,0.029979886574517004,0.17314700856358162,0.038715223533426615,0.06597789468893196,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.19308120224601236,0.005779858282875405,0.03728035066076553,0.049750618814194264,0.4808745281650528,0.0024751240723952603,0.049750618814194264,0.04019941857673315,0.5877355344239533,True,False
59,alphaRatioV_sma3nz_stddevNorm,0.1929960066178864,0.005801856493650775,0.03724745857045125,0.09100354104598922,0.19660826009949095,0.008281644482909044,0.09100354104598922,0.04019941857673315,0.31457321615918554,True,False
40,F1frequency_sma3nz_amean,-0.19210585919298445,0.0060362203842286525,0.03690466113627477,-0.15316587956596303,0.029132311417217147,0.02345978666321509,0.15316587956596303,0.04019941857673315,0.09564754789973523,True,False
52,F3frequency_sma3nz_amean,-0.18959405705340973,0.006743845020707449,0.03594590646997158,-0.10476199783424701,0.13688077094029802,0.010975076190222775,0.10476199783424701,0.04019941857673315,0.23618642828914166,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.18923050674373443,0.006852173621034059,0.03580818468249052,0.13741389869288778,0.05057824121168861,0.018882579553979227,0.13741389869288778,0.04019941857673315,0.1263547358428826,True,False
