,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.32624724897603585,2.103082662243627e-15,0.10643726746443152,-0.3948505299134052,2.0721618114842655e-22,0.1559069409728969,0.3948505299134052,1.8507127427743917e-13,1.8235023941061536e-20,True,True
17,loudness_sma3_stddevRisingSlope,0.2963311698657544,7.443630051816898e-13,0.0878121622340066,0.35353373248034553,5.472127148667279e-18,0.12498610000148452,0.35353373248034553,3.275197222799435e-11,2.4077359454136027e-16,True,True
70,mfcc2V_sma3nz_amean,-0.29255271132895694,1.4907616285307026e-12,0.08558708890592401,-0.3189118555361151,9.435189092052572e-15,0.10170477160148796,0.3189118555361151,4.372900777023395e-11,2.0757416002515659e-13,True,True
38,logRelF0H1A3_sma3nz_amean,-0.2795500009943127,1.5052904625108517e-11,0.07814820305592024,-0.28175060904869437,1.026381356356367e-11,0.07938340569931021,0.28175060904869437,3.311639017523874e-10,1.2903079908480043e-10,True,True
15,loudness_sma3_pctlrange02,0.27561325779877754,2.961259792013907e-11,0.07596266787445541,0.29357199573746967,1.237316157713118e-12,0.08618451668128091,0.29357199573746967,5.211817233944476e-10,2.1776764375750875e-11,True,True
16,loudness_sma3_meanRisingSlope,0.2705918903102334,6.91064785539606e-11,0.07321997110166538,0.32597237218413105,2.2264156935617926e-15,0.10625798742734965,0.32597237218413105,1.0135616854580888e-09,6.530819367781258e-14,True,True
24,mfcc2_sma3_amean,-0.2629098082061648,2.443586241398241e-10,0.06912156725100235,-0.2831639527388325,8.01155174857022e-12,0.08018182413067976,0.2831639527388325,3.07193698918636e-09,1.1750275897902992e-10,True,True
53,F3frequency_sma3nz_stddevNorm,-0.25676651766344355,6.518431426456604e-10,0.06592904459301147,-0.24693290013796731,2.974301090124336e-09,0.06097585717054734,0.24693290013796731,7.170274569102264e-09,2.0133730456226272e-08,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.24997365056301615,1.8729028443191846e-09,0.06248682597580091,0.2719933920269884,5.464569911333523e-11,0.073980405306347,0.2719933920269884,1.8312827811120915e-08,5.343135024415001e-10,True,True
18,loudness_sma3_meanFallingSlope,0.24373044391778265,4.809197760762887e-09,0.05940452929235939,0.2806235882010614,1.2493028595118609e-11,0.0787495982548389,0.2806235882010614,4.23209402947134e-08,1.374233145463047e-10,True,True
25,mfcc2_sma3_stddevNorm,0.23867055875430693,1.0135579403707712e-08,0.05696363561609308,0.12638643980644054,0.002686013037089541,0.015973532166947017,0.12638643980644054,8.10846352296617e-08,0.006753404207539418,True,True
14,loudness_sma3_percentile800,0.23286936506588282,2.3343241742751558e-08,0.054228141186187406,0.2642691156670025,1.9599475125507432e-10,0.06983816549541955,0.2642691156670025,1.711837727801781e-07,1.7247538110446541e-09,True,True
66,spectralFluxV_sma3nz_amean,0.21892070799842608,1.5883201068511353e-07,0.04792627639053214,0.1742816782440397,3.263551714336286e-05,0.03037410337155898,0.1742816782440397,1.0751705338684608e-06,0.00012486632646156227,True,True
19,loudness_sma3_stddevFallingSlope,0.21688815555011265,2.0788078534723922e-07,0.04704047201792986,0.25275773096331755,1.2197362888211011e-09,0.06388647056172482,0.25275773096331755,1.3066792221826465e-06,9.757890310568809e-09,True,True
10,loudness_sma3_amean,0.20480896026939208,9.755871316299634e-07,0.04194671020662942,0.23717089019149276,1.2601374291387142e-08,0.05625003115422512,0.23717089019149276,5.723444505562453e-06,7.92086384030049e-08,True,True
13,loudness_sma3_percentile500,0.190239214400191,5.587919282464042e-06,0.03619095869560184,0.22016564231071203,1.345220334772148e-07,0.048472910054088394,0.22016564231071203,3.073355605355223e-05,7.398711841246813e-07,True,True
48,F2bandwidth_sma3nz_amean,-0.17895468490679692,1.9772316537773985e-05,0.03202477925009097,-0.2007964886709125,1.5981960329078745e-06,0.04031922986256789,0.2007964886709125,0.00010235081501906533,7.4021710997838395e-06,True,True
72,mfcc3V_sma3nz_amean,0.17837486504247932,2.1055516468639757e-05,0.03181759247892271,0.18572362379472804,9.350401344494378e-06,0.03449326443544567,0.18572362379472804,0.00010293808051334992,3.7401605377977514e-05,True,True
87,equivalentSoundLevel_dBp,0.17749421726129128,2.315672872176021e-05,0.03150419716119847,0.25215312276879004,1.339378448721938e-09,0.0635811973220525,0.25215312276879004,0.00010725221723762624,9.82210862396088e-09,True,True
42,F1bandwidth_sma3nz_amean,-0.17419780723603828,3.292649043813879e-05,0.03034487604584395,-0.18635595113704662,8.706468389622684e-06,0.03472854052419331,0.18635595113704662,0.0001448765579278107,3.648424848984744e-05,True,True
40,F1frequency_sma3nz_amean,-0.17313590403406867,3.682968306196101e-05,0.029976041265694236,-0.23051174290882528,3.2561850610419226e-08,0.05313566361886436,0.23051174290882528,0.00015433390997393186,1.9102952358112614e-07,True,True
71,mfcc2V_sma3nz_stddevNorm,0.16760440372238045,6.531096111838938e-05,0.028091236147134695,0.03315672850604665,0.4327485912020641,0.0010993686452236866,0.03315672850604665,0.0002612438444735575,0.5519112467504586,True,False
36,logRelF0H1H2_sma3nz_amean,-0.16715389319533303,6.837643545963359e-05,0.0279404240103568,-0.13410537478666892,0.0014400514439457633,0.017984251546672936,0.13410537478666892,0.0002616141878455546,0.004224150902240906,True,True
20,spectralFlux_sma3_amean,0.16473316528681878,8.731042356647065e-05,0.027137015745414356,0.13585824811089434,0.0012442434032127164,0.018457463579761326,0.13585824811089434,0.00032013821974372574,0.003910479267239966,True,True
