,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
17,loudness_sma3_stddevRisingSlope,0.35477725031096813,1.6059406201842706e-24,0.12586689733821133,0.4477929946883604,1.1075773765853365e-39,0.20051856609197,0.4477929946883604,1.4132277457621582e-22,9.74668091395096e-38,True,True
15,loudness_sma3_pctlrange02,0.34468787451947147,3.7557643555414804e-23,0.11880973084075092,0.40602659429561594,2.81334912497196e-32,0.1648575952752967,0.40602659429561594,1.6525363164382513e-21,8.252490766584417e-31,True,True
16,loudness_sma3_meanRisingSlope,0.3414109800389014,1.0202203284690662e-22,0.11656145729112313,0.4302527807662076,1.9092332623012165e-36,0.1851174553570543,0.4302527807662076,2.9926462968425947e-21,8.400626354125352e-35,True,True
18,loudness_sma3_meanFallingSlope,0.32618930078398395,9.073549009352995e-21,0.10639945994594435,0.3886194728450967,1.736345891087931e-29,0.15102509467440084,0.3886194728450967,1.9961807820576589e-19,3.055968768314759e-28,True,True
14,loudness_sma3_percentile800,0.32282586157834436,2.3650265619626104e-20,0.10421653690380035,0.38978509759375374,1.1427208207343636e-29,0.15193242230617213,0.38978509759375374,4.1624467490541945e-19,2.5139858056156e-28,True,True
66,spectralFluxV_sma3nz_amean,0.3145569203534537,2.3693891028692326e-19,0.098946056142249,0.3063867957541401,2.153148250961118e-18,0.09387286861248914,0.3063867957541401,3.4751040175415414e-18,1.894770460845784e-17,True,True
10,loudness_sma3_amean,0.30732175081232144,1.6784545740515226e-18,0.0944466585223506,0.37056129452451925,9.178279317757013e-27,0.1373156729996875,0.37056129452451925,2.1100571788076285e-17,1.1538408285180246e-25,True,True
19,loudness_sma3_stddevFallingSlope,0.3055986180010011,2.6543323300421653e-18,0.09339051532412178,0.36598965284901686,4.220239410878672e-26,0.13394842599254386,0.36598965284901686,2.919765563046382e-17,4.642263351966539e-25,True,True
54,F3bandwidth_sma3nz_amean,-0.2996932663831034,1.2477242124301171e-17,0.08981605391537377,-0.18226451478416514,3.024723790597141e-07,0.03322035334950715,0.18226451478416514,1.2199970077094478e-16,1.0237526675867247e-06,True,True
13,loudness_sma3_percentile500,0.2978294665348697,2.0186978015085452e-17,0.08870239113644507,0.3576528905029901,6.403137998979135e-25,0.12791559008514383,0.3576528905029901,1.7764540653275198e-16,6.260846043446264e-24,True,True
87,equivalentSoundLevel_dBp,0.29191262249501065,9.085787560530413e-17,0.0852129791719146,0.3794556881328643,4.394102069881858e-28,0.14398661925638556,0.3794556881328643,7.26863004842433e-16,6.4446830358267255e-27,True,True
20,spectralFlux_sma3_amean,0.2877131519559632,2.5871934228945594e-16,0.08277885780843516,0.2787829591311804,2.2602038632704805e-15,0.0777199383019374,0.2787829591311804,1.8972751767893436e-15,1.8081630906163844e-14,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.25723610833280747,3.073909197460732e-13,0.06617041543020787,-0.24076883945505206,9.785280707344607e-12,0.05796963405253264,0.24076883945505206,1.98070319284682e-12,5.3819043890395336e-11,True,True
12,loudness_sma3_percentile200,0.25712217198753484,3.1511187158926683e-13,0.06611181132758745,0.27476856003609146,5.838347816275583e-15,0.0754977615843072,0.27476856003609146,1.98070319284682e-12,4.2814550652687613e-14,True,True
38,logRelF0H1A3_sma3nz_amean,-0.24429422866437348,4.7638166438330384e-12,0.05967967015872119,-0.17427544984924476,9.890039275702003e-07,0.030371932420156626,0.17427544984924476,2.794772431048716e-11,2.9010781875392544e-06,True,True
36,logRelF0H1H2_sma3nz_amean,-0.24250516313951778,6.874148841151582e-12,0.058808754149324134,-0.23788756980239528,1.7475128140752823e-11,0.05659049586648949,0.23788756980239528,3.78078186263337e-11,8.543395979923602e-11,True,True
80,spectralFluxUV_sma3nz_amean,0.23989605538927422,1.1673685921871074e-11,0.05755011739133373,0.1748444601248196,9.105669773338631e-07,0.030570585236339633,0.1748444601248196,6.042849183086204e-11,2.763099793288964e-06,True,True
70,mfcc2V_sma3nz_amean,-0.22901704351355,9.93842179350921e-11,0.05244880621968726,-0.21416739606348562,1.559088188185974e-09,0.04586767353661391,0.21416739606348562,4.858783987937835e-10,6.533321931445985e-09,True,True
24,mfcc2_sma3_amean,-0.22769567529211152,1.2798028719755885e-10,0.05184532054673068,-0.23498217947383754,3.112184400439271e-11,0.05521662467027479,0.23498217947383754,5.927508038623778e-10,1.4414327749402939e-10,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.21641210061579746,1.041272071097195e-09,0.04683419729294205,0.24446252005127228,4.601592252549656e-12,0.059761923709818705,0.24446252005127228,4.5046932681308e-09,2.699600788162465e-11,True,True
64,slopeV5001500_sma3nz_amean,-0.2162358052006655,1.074983620803941e-09,0.04675792345078015,-0.23978100666395102,1.1947784640104875e-11,0.05749493115677773,0.23978100666395102,4.5046932681308e-09,6.184735578407229e-11,True,True
53,F3frequency_sma3nz_stddevNorm,-0.2156712330324855,1.1902444205238043e-09,0.046514080757752665,-0.1388545976330156,0.00010101628594879391,0.019280599283826663,0.1388545976330156,4.760977682095217e-09,0.0002469286989859406,True,True
40,F1frequency_sma3nz_amean,-0.20989083936015063,3.323331647934692e-09,0.04405416444730856,-0.16534795104939176,3.492258082572722e-06,0.027339944916232053,0.16534795104939176,1.2715355870358823e-08,9.913506815045145e-06,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.20675703628761125,5.7287766031660465e-09,0.0427484720544366,-0.19484439154396904,4.2028145102939366e-08,0.03796433691613951,0.19484439154396904,2.1005514211608838e-08,1.6811258041175746e-07,True,True
72,mfcc3V_sma3nz_amean,0.2056497837155599,6.930061117548011e-09,0.04229183354225656,0.2526444165022191,8.273861939416896e-13,0.06382920118974675,0.2526444165022191,2.4393815133768996e-08,5.2007132190620494e-12,True,True
78,slopeUV0500_sma3nz_amean,-0.2030500051368117,1.079071696072056e-08,0.04122930458605926,-0.2736350434725166,7.61093219489335e-15,0.07487613701620605,0.2736350434725166,3.6522426636284974e-08,5.152015639620113e-14,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.19911283784367598,2.08686167437543e-08,0.039645922194162006,-0.17519032019102596,8.658498956961466e-07,0.030691648288634195,0.17519032019102596,6.801623235001401e-08,2.7212425293307464e-06,True,True
52,F3frequency_sma3nz_amean,-0.19390114767489464,4.8957649065590146e-08,0.0375976550696413,-0.028414300208359243,0.4283923034322122,0.0008073724563307641,0.028414300208359243,1.5386689706328332e-07,0.4895912039225282,True,False
26,mfcc3_sma3_amean,0.19215287399487724,6.48340020926815e-08,0.03692272698449117,0.22354623300663995,2.8030621783691903e-10,0.04997291829145896,0.22354623300663995,1.9673766152261974e-07,1.2333473584824438e-09,True,True
74,mfcc4V_sma3nz_amean,-0.1914143095669386,7.294526285971828e-08,0.03663943790698781,-0.1936045172657171,5.1356636397138343e-08,0.03748270910569135,0.1936045172657171,2.1397277105517363e-07,1.9649495664992064e-07,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.18374055290715216,2.4160324428950486e-07,0.033760590782625985,0.19149157620200352,7.205276765967881e-08,0.036669023756327725,0.19149157620200352,6.858414676605299e-07,2.6419348141882234e-07,True,True
25,mfcc2_sma3_stddevNorm,0.18141998630758235,3.4368737444943556e-07,0.03291321143184337,0.06429563223216564,0.07289266487904641,0.004133928324133897,0.06429563223216564,9.451402797359477e-07,0.11138951127639247,True,False
46,F2frequency_sma3nz_amean,-0.17939125045723978,4.6599261990372177e-07,0.03218122074061213,-0.052753726002588215,0.14127849401023654,0.002782955607156152,0.052753726002588215,1.2426469864099247e-06,0.19126934573693563,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.1742251039383733,9.962483745642838e-07,0.030354386842336975,0.18291384672057,2.7406577842048135e-07,0.03345747532211618,0.18291384672057,2.578525204754617e-06,9.647115400400943e-07,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.16921643781351825,2.0378315819400985e-06,0.02863420282629629,0.17679931368890595,6.84130412882033e-07,0.03125799732086817,0.17679931368890595,5.123690834592248e-06,2.229758382726626e-06,True,True
28,mfcc4_sma3_amean,-0.16788639365337102,2.455832902094869e-06,0.028185841173934658,-0.16274704895312173,4.982088041488809e-06,0.0264866019429498,0.16274704895312173,6.003147094009679e-06,1.3700742114094226e-05,True,True
83,MeanVoicedSegmentLengthSec,0.16264217512876825,5.053394703369796e-06,0.02645247713061692,0.06671613537515571,0.0627202768011615,0.004451042719396103,0.06671613537515571,1.201888469990654e-05,0.0985604349732538,True,False
63,slopeV0500_sma3nz_stddevNorm,0.15949385154117274,7.710087074052212e-06,0.02543828867943765,0.0731296441974298,0.04129604340080211,0.005347944860442678,0.0731296441974298,1.7854938487278805e-05,0.06988561190904972,True,False
42,F1bandwidth_sma3nz_amean,-0.15703382855403755,1.0665985714838461e-05,0.02465962331033886,-0.029459313030486645,0.4115983467587676,0.0008678511242282002,0.029459313030486645,2.4066839561686787e-05,0.4765875594048888,True,False
86,StddevUnvoicedSegmentLength,-0.15664636633505064,1.122035668370937e-05,0.024538084085974885,-0.14931124909835308,2.8623950343625135e-05,0.022293849107310443,0.14931124909835308,2.4684784704160614e-05,7.408551853644152e-05,True,True
60,hammarbergIndexV_sma3nz_amean,-0.13936472990894264,9.517945417588033e-05,0.01942252794259253,-0.08567312369489018,0.01676849980208955,0.007339884123639953,0.08567312369489018,0.0002042876089628651,0.0335369996041791,True,True
48,F2bandwidth_sma3nz_amean,-0.13796907595232294,0.00011195659611997171,0.019035465919137858,-0.056400396636343095,0.11574391283716885,0.0031810047407368216,0.056400396636343095,0.00023457572520375024,0.16975773882784767,True,False
77,hammarbergIndexUV_sma3nz_amean,-0.13556454849950375,0.00014755959407399954,0.018377746809874303,-0.14720576276441136,3.7155942445451994e-05,0.021669536591052158,0.14720576276441136,0.0003019824250816735,9.342065529142215e-05,True,True
76,alphaRatioUV_sma3nz_amean,0.13534133535889292,0.0001513560540395959,0.01831727705672832,0.13347665756372715,0.00018685368573560237,0.01781601811438448,0.13347665756372715,0.0003027121080791918,0.0004444087660738651,True,True
84,StddevVoicedSegmentLengthSec,0.1273621657705156,0.00036585293038011817,0.016221121269756295,0.10136641844936337,0.004626524077595201,0.010275150789251434,0.10136641844936337,0.00071544573052112,0.009930100459228725,True,True
27,mfcc3_sma3_stddevNorm,-0.1200939528846119,0.0007831820185963274,0.014422557519451384,-0.04149594611500789,0.2473483401447213,0.0017219135439796385,0.04149594611500789,0.0014982612529668873,0.3154587526483402,True,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.1160862511608637,0.0011711682703741562,0.013476017708583128,-0.0180061787667608,0.6158107442037115,0.00032422247378054744,0.0180061787667608,0.0021928256977218246,0.6608700669503246,True,False
79,slopeUV5001500_sma3nz_amean,-0.11512854105718318,0.001287047873711768,0.013254580965955512,-0.08658974866445193,0.015630527932858077,0.007497784573772955,0.08658974866445193,0.00232708104681405,0.03198805716491886,True,True
71,mfcc2V_sma3nz_stddevNorm,0.11505978183425625,0.0012957610374305505,0.013238753395746644,0.029478950900347793,0.4112865335941344,0.000869008546185116,0.029478950900347793,0.00232708104681405,0.4765875594048888,True,False
34,HNRdBACF_sma3nz_amean,-0.10907588037648758,0.0022992431535514514,0.011897547679905827,-0.11996963880253485,0.0007931647530017291,0.014392714234410676,0.11996963880253485,0.004046667950250554,0.0017897050836962092,True,True
35,HNRdBACF_sma3nz_stddevNorm,0.10451255712761018,0.0034966984273199623,0.010922874597351981,-0.029806734069255065,0.40610263291899507,0.0008884413958752906,0.029806734069255065,0.006033518854983464,0.4765875594048888,True,False
62,slopeV0500_sma3nz_amean,-0.103878730630781,0.003701797481765917,0.010790790677462359,-0.15385109911520617,1.6114195107934317e-05,0.023670160698956992,0.15385109911520617,0.006264580353757705,4.297118695449151e-05,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.09470394083980632,0.008170460260204309,0.008968836410589535,-0.06930914013939699,0.05315284314315914,0.0048037569068625705,0.06930914013939699,0.013566047224490172,0.08661944808514824,True,False
