,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.2979562628157259,6.911311629892971e-32,0.08877793455111392,-0.3477456547439197,1.5241088608722356e-43,0.12092704039327741,0.3477456547439197,6.081954234305814e-30,1.3412157975675673e-41,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2640011629114998,3.7889475846163395e-25,0.06969661401862424,-0.28866671737921046,5.98573209089181e-30,0.08332847372248897,0.28866671737921046,1.6671369372311893e-23,2.6337221199923965e-28,True,True
53,F3frequency_sma3nz_stddevNorm,-0.22847447483008226,4.489365695494048e-19,0.05220058564888189,-0.21765036457839565,2.0538379329772077e-17,0.047371681201108545,0.21765036457839565,1.3168806040115873e-17,3.0122956350332383e-16,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.2116377616061046,1.575863531185188e-16,0.04479054213764236,-0.1535828274118887,2.604228745572051e-09,0.02358768487582999,0.1535828274118887,3.4668997686074136e-15,1.4323258100646281e-08,True,True
36,logRelF0H1H2_sma3nz_amean,-0.20161529946642967,4.1124175566703265e-15,0.04064872897893811,-0.17696641478577718,6.198905093216763e-12,0.03131711196213174,0.17696641478577718,7.237854899739775e-14,4.1961819092544236e-11,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.19664602060043918,1.947942109453231e-14,0.03866965741798835,0.19622181447582893,2.220337658482997e-14,0.03850300047618663,0.19622181447582893,2.8569817605314056e-13,1.7762701267863975e-13,True,True
78,slopeUV0500_sma3nz_amean,-0.17709552296639033,5.9811252730727145e-12,0.03136282425473929,-0.23952121735149162,7.366417032474908e-21,0.05737041356154049,0.23952121735149162,6.699580100064624e-11,1.6206117471444799e-19,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.17678892820268657,6.511007193885071e-12,0.03125432513505467,0.059758637268033134,0.02115040082110612,0.0035710947281323586,0.059758637268033134,6.699580100064624e-11,0.036494809259947816,True,True
72,mfcc3V_sma3nz_amean,0.1766043753591978,6.851843284157001e-12,0.03118910539601243,0.16849138250351323,6.117356073522992e-11,0.028389345977945204,0.16849138250351323,6.699580100064624e-11,3.5888488964668223e-10,True,True
16,loudness_sma3_meanRisingSlope,0.17613930741081918,7.790097139761807e-12,0.03102505561516306,0.22333461205711813,2.827911649350117e-18,0.04987834894270345,0.22333461205711813,6.85528548299039e-11,4.977124502856206e-17,True,True
17,loudness_sma3_stddevRisingSlope,0.17455505718036693,1.2030275534898574e-11,0.030469467987241167,0.24085552986774703,4.419821447022747e-21,0.05801138626787318,0.24085552986774703,9.624220427918859e-11,1.2964809577933393e-19,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.16952437854005023,4.6562778968154354e-11,0.028738514919390244,0.03199815721478147,0.21735393325740082,0.0010238820651418713,0.03199815721478147,3.4146037909979864e-10,0.2854797929350936,True,False
65,slopeV5001500_sma3nz_stddevNorm,0.16738259382338153,8.184011559206416e-11,0.02801693271504312,-0.027728058983151144,0.2851122471835623,0.0007688452549731088,0.027728058983151144,5.539946286232035e-10,0.36362141669787656,True,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.15546274386913636,1.6542521114376126e-09,0.024168664731320694,-0.17015150321763609,3.94206621785579e-11,0.028951534047221224,0.17015150321763609,1.0398156129036422e-08,2.4778701940807823e-10,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.15377767615183058,2.4852139161010726e-09,0.023647573682657283,-0.20216555373362274,3.4531026041242626e-15,0.040870911116422305,0.20216555373362274,1.4579921641126294e-08,3.096984105089867e-14,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.1520519424753433,3.7531735494023335e-09,0.023119793210525104,0.06211755058404608,0.016554270826509888,0.003858590090561524,0.06211755058404608,2.0642454521712834e-08,0.0297301190353647,True,True
41,F1frequency_sma3nz_stddevNorm,-0.15032304844807,5.646030897124575e-09,0.022597018894720804,-0.1390370314595075,7.245857476419996e-08,0.019331296117072076,0.1390370314595075,2.846153885232701e-08,2.812461918670448e-07,True,True
19,loudness_sma3_stddevFallingSlope,0.15019254309677052,5.821678401612344e-09,0.02255780000187527,0.20630022623557637,9.140938078773922e-16,0.04255978334484999,0.20630022623557637,2.846153885232701e-08,1.0055031886651314e-14,True,True
18,loudness_sma3_meanFallingSlope,0.1430640057207197,2.981281348249747e-08,0.020467309732858117,0.21124091280896615,1.7988584830282018e-16,0.04462272324436524,0.21124091280896615,1.380803992873567e-07,2.2614220929497395e-15,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.14266290095938736,3.2606512449457366e-08,0.020352703310147966,-0.04380300354008575,0.091205209996518,0.0019187031191327645,0.04380300354008575,1.4346865477761242e-07,0.1408080435033962,True,False
14,loudness_sma3_percentile800,0.14212416847678466,3.676076163398978e-08,0.02019927926521747,0.1405812913576346,5.169697474783088e-08,0.019763099479780152,0.1405812913576346,1.540450963710048e-07,2.1663494180043415e-07,True,True
15,loudness_sma3_pctlrange02,0.13986886104285842,6.043748657883634e-08,0.019563298289426437,0.15112741601078503,4.671805158332937e-09,0.02283949587009688,0.15112741601078503,2.4174994631534536e-07,2.175710202347755e-08,True,True
62,slopeV0500_sma3nz_amean,-0.1348408673872152,1.7803455001173443e-07,0.01818205951773656,-0.18209652093526968,1.4661816836505792e-12,0.03315914293672911,0.18209652093526968,6.811756696101143e-07,1.0751999013437582e-11,True,True
87,equivalentSoundLevel_dBp,0.13297005378391855,2.6351572134247735e-07,0.017681035203298192,0.13794604383862086,9.177419761395044e-08,0.01902911101072671,0.13794604383862086,9.662243115890836e-07,3.3650539125115167e-07,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.13125372277616834,3.7584866466063815e-07,0.017227539742603253,-0.20210583336064142,3.5193001194203034e-15,0.04084676787839936,0.20210583336064142,1.2790574814858572e-06,3.096984105089867e-14,True,True
24,mfcc2_sma3_amean,-0.1312272001386661,3.7790334680263966e-07,0.017220578056233525,-0.14323075302797883,2.8720978331125983e-08,0.020515048612961866,0.14323075302797883,1.2790574814858572e-06,1.2637230465695434e-07,True,True
10,loudness_sma3_amean,0.130409991264887,4.467940906276777e-07,0.017006765821707903,0.13016900772910292,4.6932052526274514e-07,0.016943970573179257,0.13016900772910292,1.4562177768605792e-06,1.4750073651114848e-06,True,True
34,HNRdBACF_sma3nz_amean,0.12929490806524707,5.605753101027609e-07,0.016717173251600694,0.07037237344974119,0.006614134287146673,0.004952270944949839,0.07037237344974119,1.76180811746582e-06,0.01238391100572143,True,True
26,mfcc3_sma3_amean,0.12873619588468502,6.276148170808507e-07,0.016573008130859993,0.11251837056799857,1.3581150957305584e-05,0.012660383715277447,0.11251837056799857,1.9044863414867194e-06,3.515121424243798e-05,True,True
