,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.26574866775253236,1.98321897991651e-32,0.07062235441224583,-0.1557663614643808,6.584139565967496e-12,0.024263159363852135,0.1557663614643808,1.7452327023265288e-30,3.408260481206704e-11,True,True
36,logRelF0H1H2_sma3nz_amean,-0.22944433967184902,2.2281870998331954e-24,0.05264470500745083,-0.20579947622240624,7.922662660444023e-20,0.04235342441341675,0.20579947622240624,9.804023239266059e-23,7.746603490211934e-19,True,True
72,mfcc3V_sma3nz_amean,0.22707702681741204,6.725397988009578e-24,0.05156397610823567,0.23690250934199567,6.321481585436513e-26,0.05612279893253434,0.23690250934199567,1.972783409816143e-22,9.271506325306887e-25,True,True
16,loudness_sma3_meanRisingSlope,0.21883883903029897,2.8521781789014585e-22,0.0478904374681291,0.2707339645339723,1.2242755435563851e-33,0.07329687955228217,0.2707339645339723,6.2747919935832085e-21,5.386812391648094e-32,True,True
17,loudness_sma3_stddevRisingSlope,0.21227649652919364,5.071507526157608e-21,0.04506131097870876,0.2816789948256701,2.1969221888598278e-36,0.07934305612599989,0.2816789948256701,8.925853246037391e-20,1.9332915261966484e-34,True,True
26,mfcc3_sma3_amean,0.1957121538887845,4.783432325974591e-18,0.03830324717978726,0.18582427822671385,2.157612034135152e-16,0.03453066237847916,0.18582427822671385,7.015700744762734e-17,1.582248825032445e-15,True,True
19,loudness_sma3_stddevFallingSlope,0.1937548918616327,1.0335586085646443e-17,0.03754095812031298,0.24894348127421903,1.540160693988912e-28,0.061972856868927444,0.24894348127421903,1.299330822195553e-16,3.3883535267756064e-27,True,True
15,loudness_sma3_pctlrange02,0.1917208462810417,2.281966112435574e-17,0.03675688289871882,0.2109944986815401,8.801443974329605e-21,0.04451867847387443,0.2109944986815401,2.5101627236791314e-16,9.681588371762566e-20,True,True
14,loudness_sma3_percentile800,0.18934758421390815,5.686336640863825e-17,0.03585250764764304,0.19151275652249408,2.4733405914109473e-17,0.0366771359108441,0.19151275652249408,5.357769185254288e-16,2.1765397204416338e-16,True,True
18,loudness_sma3_meanFallingSlope,0.18916875650317283,6.0883740741526e-17,0.035784818436956696,0.2561494234671015,3.585139939618116e-30,0.06561252714252849,0.2561494234671015,5.357769185254288e-16,1.0516410489546474e-28,True,True
87,equivalentSoundLevel_dBp,0.18312177458612275,5.895280489745667e-16,0.03353358432757075,0.21160074472833257,6.78468079414205e-21,0.04477487516958496,0.21160074472833257,4.716224391796534e-15,8.529312998350006e-20,True,True
66,spectralFluxV_sma3nz_amean,0.18182475427095537,9.498311493431539e-16,0.033060241265693305,0.13568186589044057,2.341559651200066e-09,0.0184095687315115,0.13568186589044057,6.965428428516462e-15,1.0845118384505569e-08,True,True
10,loudness_sma3_amean,0.18130977946215174,1.1467443147567299e-15,0.0328732361286141,0.17614156621150326,7.366866379767028e-15,0.031025851347441385,0.17614156621150326,7.76257689989171e-15,4.630601724424989e-14,True,True
20,spectralFlux_sma3_amean,0.17741108050800458,4.6891276757917325e-15,0.03147469148701768,0.13028040916685701,9.907525102776213e-09,0.01697298501268368,0.13028040916685701,2.947451681926232e-14,4.359311045221534e-08,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.17537662494321385,9.655929930403681e-15,0.0307569605764727,0.1862050234728525,1.8704077194159669e-16,0.03467231076652555,0.1862050234728525,5.664812225836827e-14,1.4963261755327735e-15,True,True
13,loudness_sma3_percentile500,0.17218684357106967,2.945294477988025e-14,0.029648309098968016,0.1684731666769867,1.0507410502057135e-13,0.02838320789017174,0.1684731666769867,1.6199119628934137e-13,5.779075776131424e-13,True,True
53,F3frequency_sma3nz_stddevNorm,-0.17116402479268175,4.1927161851576083e-14,0.029297123383229772,-0.09664955764650895,2.1921876823165807e-05,0.009341136993265858,0.09664955764650895,2.1703472017286443e-13,7.14490800162441e-05,True,True
78,slopeUV0500_sma3nz_amean,-0.16592197730574382,2.4763051007407396e-13,0.027530102553047768,-0.2388969605142077,2.3870634486501904e-26,0.05707175774292691,0.2388969605142077,1.2106380492510282e-12,4.201231669624335e-25,True,True
64,slopeV5001500_sma3nz_amean,-0.1468120497837597,9.98252219780465e-11,0.021553777961709136,-0.1526833528685272,1.7099022785822272e-11,0.02331220624317519,0.1526833528685272,4.6234839652989954e-10,8.359522250846444e-11,True,True
62,slopeV0500_sma3nz_amean,-0.14308356889350596,2.952759376644082e-10,0.020472907687302665,-0.1764129210089404,6.690675669813219e-15,0.031121518698906645,0.1764129210089404,1.299214125723396e-09,4.5290727611043324e-14,True,True
80,spectralFluxUV_sma3nz_amean,0.14198846468608592,4.0389424746022697e-10,0.020160724103911867,0.0942651476527963,3.485593303621388e-05,0.008885918062003487,0.0942651476527963,1.6925092274523795e-09,0.00010224407023956073,True,True
38,logRelF0H1A3_sma3nz_amean,-0.1394222800103627,8.336442783194783e-10,0.01943857216328798,-0.09353350605620053,4.009960094604803e-05,0.008748516755165301,0.09353350605620053,3.3345771132779133e-09,0.00011383112526620084,True,True
40,F1frequency_sma3nz_amean,-0.13102086752288028,8.157688323131491e-09,0.017166467726448146,-0.09866948581777713,1.4676043765779312e-05,0.00973566743154452,0.09866948581777713,3.12120248885031e-08,5.381216047452415e-05,True,True
52,F3frequency_sma3nz_amean,-0.12928343659910507,1.284872079584217e-08,0.01671420697887482,-0.018322817100798174,0.42207387937706364,0.000335725626509302,0.018322817100798174,4.711197625142129e-08,0.49523335180242134,True,False
12,loudness_sma3_percentile200,0.1272688730994469,2.159693857512057e-08,0.01619736606000312,0.10958009018805208,1.468750741732813e-06,0.012007796165621627,0.10958009018805208,7.602122378442439e-08,5.875002966931252e-06,True,True
63,slopeV0500_sma3nz_stddevNorm,0.12207091189409958,7.949548791549342e-08,0.01490130753065702,0.03789524765764771,0.09674017936857632,0.001436049795034454,0.03789524765764771,2.690616514062854e-07,0.14935325937604765,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.11285811091226797,7.034611511373286e-07,0.012736953198685778,-0.17243003930289086,2.707225390525729e-14,0.029732118453996485,0.17243003930289086,2.2927622703735153e-06,1.5882388957750944e-13,True,True
27,mfcc3_sma3_stddevNorm,-0.11149180921901493,9.584949985287094e-07,0.012430423522929222,-0.06195941400934794,0.006584022275937783,0.003838968984381782,0.06195941400934794,3.012412852518801e-06,0.012875421339611665,True,True
47,F2frequency_sma3nz_stddevNorm,-0.11005473924440304,1.3219401814312064e-06,0.012112045630153546,-0.035019147514725214,0.12484940382917081,0.0012263406926580852,0.035019147514725214,4.0114046884809024e-06,0.17720560543495212,True,False
86,StddevUnvoicedSegmentLength,-0.10786091899990868,2.1430371829703157e-06,0.011633977847504862,-0.06853127083032556,0.0026467997179372344,0.004696535081619432,0.06853127083032556,6.286242403379593e-06,0.005680935979962845,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.10713796945268851,2.507803265152727e-06,0.011478544498445216,-0.11039161301950483,1.2264138095516105e-06,0.012186308225048108,0.11039161301950483,7.118925397852902e-06,5.139257868597225e-06,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1057955638832515,3.3488398891120546e-06,0.011192701337375148,-0.1002141420357533,1.0741770220297387e-05,0.010042874263962135,0.1002141420357533,9.20930969505815e-06,4.109894692983348e-05,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.10175458169935743,7.83340438490063e-06,0.010353994896811205,-0.08988013385904348,7.952548254730938e-05,0.008078438462519573,0.08988013385904348,2.0889078359735014e-05,0.0002058306607106831,True,True
83,MeanVoicedSegmentLengthSec,0.10051774504041967,1.0097298364871961e-05,0.010103817068010813,0.05488019204748666,0.016118117861862197,0.0030118354791690183,0.05488019204748666,2.6134184003198018e-05,0.02894682391518109,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.0954916057026462,2.749582804840682e-05,0.009118646759669651,0.09748851774126897,1.857395491465564e-05,0.009504011091389715,0.09748851774126897,6.913236766456572e-05,6.2865693557296e-05,True,True
74,mfcc4V_sma3nz_amean,-0.09516670622991702,2.928701754640018e-05,0.009056701974651327,-0.0860030246338275,0.0001600276233612996,0.00739652024616674,0.0860030246338275,7.159048733564489e-05,0.00038060623934579364,True,True
84,StddevVoicedSegmentLengthSec,0.09460635850229261,3.263941245289479e-05,0.008950363069064314,0.0610437868129888,0.007429503405295118,0.003726343908469625,0.0610437868129888,7.762887286093896e-05,0.013910559567361072,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.09345047791745857,4.073983357974438e-05,0.008732991823001413,0.033532758153132926,0.1416826408042674,0.0011244458693565028,0.033532758153132926,9.434487776361856e-05,0.19481363110586766,True,False
24,mfcc2_sma3_amean,-0.09187641928266436,5.4874341281523804e-05,0.00844127642020394,-0.09018125733650223,7.523296944673768e-05,0.008132659174792438,0.09018125733650223,0.00012381902648138704,0.00020062125185796713,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.09047865581854536,7.120912943892171e-05,0.008186387158730792,-0.03268260660582443,0.15206478535997706,0.0010681527745510786,0.03268260660582443,0.00015666008476562777,0.20587232479504586,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.08886690150610799,9.573052273459153e-05,0.007897326183296298,0.09529131677557205,2.8587311130953825e-05,0.00908043505282242,0.09529131677557205,0.00020547039025961108,8.674770274220471e-05,True,True
46,F2frequency_sma3nz_amean,-0.08630743181716936,0.0001516325733585358,0.007448972786875338,-0.0219911088262289,0.33524993208157655,0.00048360886740704263,0.0219911088262289,0.0003177063441797893,0.40974991698859353,True,False
41,F1frequency_sma3nz_stddevNorm,-0.08384776678762274,0.0002332080157949055,0.0070304479952715705,-0.022749187224025854,0.3188525441145557,0.0005175255193537811,0.022749187224025854,0.000477262916045388,0.39519751946592824,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.08074431519703172,0.0003950560923286935,0.006519644436637608,-0.08745403624879057,0.00012358580188244142,0.0076482084562047754,0.08745403624879057,0.000790112184657387,0.0003020986268237457,True,True
60,hammarbergIndexV_sma3nz_amean,-0.07953997817194858,0.00048239841554354926,0.006326608127594056,-0.04254761840921738,0.06218911355371231,0.0018102998322963736,0.04254761840921738,0.0009433569015073852,0.0995025816859397,True,False
70,mfcc2V_sma3nz_amean,-0.07683299603915775,0.0007484177787914446,0.00590330928035323,-0.06126633774372902,0.007215504349362559,0.003753564140528675,0.06126633774372902,0.0014317557507314593,0.013803573537910983,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.07506188817559353,0.000990308892319168,0.005634287056485309,0.07987846154056039,0.0004561870053490711,0.0063805686180867845,0.07987846154056039,0.0018541953728529105,0.0010293450377107246,True,True
28,mfcc4_sma3_amean,-0.07423868010030028,0.0011257756079955648,0.005511381623034721,-0.06225242346497836,0.006332328448033879,0.0038753642272629884,0.06225242346497836,0.002063921947991869,0.012664656896067758,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.07388509135080838,0.0011890574461184285,0.0054590067239173,-0.09584331162137813,2.5674348358950015e-05,0.009185940382552596,0.09584331162137813,0.002135450107314729,8.069080912812862e-05,True,True
