,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.42141815201982225,3.910441161624962e-05,0.17759325885180202,0.21342322182087728,0.04462536041028247,0.045549471612403386,0.21342322182087728,0.001379698620612709,0.1266784424549954,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.4175022865515285,4.6900098498259335e-05,0.1743081592757546,-0.4099473613513501,6.618472011413251e-05,0.16805683907893443,0.4099473613513501,0.001379698620612709,0.0018235385632535547,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.4153340746454564,5.1816643125773136e-05,0.17250239356159755,-0.39922754713522157,0.00010640465784593829,0.15938263439160555,0.39922754713522157,0.001379698620612709,0.001872721978088514,True,True
13,loudness_sma3_percentile500,0.40407245677124626,8.602656168515808e-05,0.16327455032115068,0.18660845739516377,0.07994769786651658,0.03482271637140265,0.18660845739516377,0.001379698620612709,0.17441808498617095,True,False
16,loudness_sma3_meanRisingSlope,0.4021659256124588,9.356947539070091e-05,0.16173743172372573,0.44260613965736223,1.4052041523676196e-05,0.19590019486239243,0.44260613965736223,0.001379698620612709,0.0011252122954448938,True,True
14,loudness_sma3_percentile800,0.402044430979791,9.407036049632105e-05,0.16163972448186392,0.18969343189801663,0.07499914822282212,0.035983598105247476,0.18969343189801663,0.001379698620612709,0.1692288472720089,True,False
12,loudness_sma3_percentile200,0.3934930779881708,0.00013627651407012976,0.15483680242460465,0.2074015058154732,0.051149448765647594,0.04301538461452577,0.2074015058154732,0.0015376333494413247,0.13238680856991142,True,False
65,slopeV5001500_sma3nz_stddevNorm,0.3876519898791406,0.00017453468641418572,0.15027406525725734,0.2043814159064586,0.0547057983232684,0.04177176316792881,0.2043814159064586,0.0015376333494413247,0.13372528479021162,True,False
64,slopeV5001500_sma3nz_amean,-0.3851006025931162,0.00019417624649946416,0.1483024741175812,-0.40491182712244606,8.288811651152521e-05,0.16395358774363764,0.40491182712244606,0.0015376333494413247,0.0018235385632535547,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.38419406571859477,0.00020163292942807488,0.14760508013338391,-0.3676711651513403,0.00039324317608253304,0.13518208568374415,0.3676711651513403,0.0015376333494413247,0.003845044388362545,True,True
