,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.34396967021139585,0.0004284157243645994,0.11831513402533642,0.11440427526921418,0.25462711783881836,0.01308833819987413,0.11440427526921418,0.025017160359121174,0.5335044373765718,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.32935705843219726,0.0007705919942901332,0.1084760719391098,0.1179864453909581,0.23995496631978885,0.013920801295993537,0.1179864453909581,0.025017160359121174,0.5335044373765718,True,False
47,F2frequency_sma3nz_stddevNorm,-0.32675812835115414,0.0008528577395154945,0.10677087444354932,-0.25787023823834054,0.00922787039894697,0.0664970597690985,0.25787023823834054,0.025017160359121174,0.058003756793380955,True,False
16,loudness_sma3_meanRisingSlope,0.3121901060586401,0.001481670042947342,0.09746266232090496,0.4124619753780382,1.819023991147384e-05,0.1701248811327534,0.4124619753780382,0.028863733234368458,0.0016007411122096978,True,True
41,F1frequency_sma3nz_stddevNorm,-0.30943192781086637,0.001639984842861844,0.09574811794874921,-0.30528839302824906,0.0019067383216797614,0.09320100291777067,0.30528839302824906,0.028863733234368458,0.027965495384636503,True,True
34,HNRdBACF_sma3nz_amean,0.29004187102975026,0.0032597143668014546,0.08412428695043829,0.1870711954532532,0.06103889337207243,0.03499563216830926,0.1870711954532532,0.04780914404642134,0.20659317756701437,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.2710849692621414,0.006106595490056476,0.07348706055985613,-0.014030806362541906,0.8892450653790619,0.00019686352718314642,0.014030806362541906,0.07676862901785284,0.909925183178575,False,False
87,equivalentSoundLevel_dBp,0.25868272203716336,0.009001738334382394,0.06691675068055632,0.2900632596487077,0.0032573278012339416,0.08413669459803363,0.2900632596487077,0.09306066754450637,0.02877380869797268,False,True
10,loudness_sma3_amean,0.25685455308309624,0.009517568271597244,0.06597426143951711,0.1318152293849617,0.18885328753548578,0.017375254697810073,0.1318152293849617,0.09306066754450637,0.5193465407225859,False,False
39,logRelF0H1A3_sma3nz_stddevNorm,-0.2492552305667127,0.011950232192804191,0.06212816996486511,-0.306888665049568,0.0017993844750178894,0.09418065273590595,0.306888665049568,0.09577680095249844,0.027965495384636503,False,True
14,loudness_sma3_percentile800,0.24887303496655927,0.012085765493420091,0.06193778753346623,0.12918040008143233,0.19792378503689398,0.01668757576519892,0.12918040008143233,0.09577680095249844,0.5277967600983839,False,False
35,HNRdBACF_sma3nz_stddevNorm,-0.24622951539883156,0.013060472857158877,0.06062897425354343,-0.2765968271338098,0.0051101044555278245,0.07650580478049065,0.2765968271338098,0.09577680095249844,0.034591476314342194,False,True
13,loudness_sma3_percentile500,0.24268783617074333,0.014473222610453203,0.058897385825237555,0.1145897895838887,0.25385251001326065,0.013130819876879887,0.1145897895838887,0.09797258382460629,0.5335044373765718,False,False
65,slopeV5001500_sma3nz_stddevNorm,0.23048305667251126,0.020405528341205254,0.05312243941310404,0.1583996863815233,0.11362947813241572,0.025090460645764937,0.1583996863815233,0.11913678448523274,0.3448066922638822,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.22794782585816034,0.021870868410764504,0.05196021131346219,-0.2899520753954595,0.0032697509884059865,0.08407220602613422,0.2899520753954595,0.11913678448523274,0.02877380869797268,False,True
19,loudness_sma3_stddevFallingSlope,0.2260157018111697,0.023047323415539788,0.05108309746519558,0.3353101042975084,0.0006087760713651203,0.11243286604400596,0.3353101042975084,0.11913678448523274,0.0178574314267102,False,True
64,slopeV5001500_sma3nz_amean,-0.2236990847697883,0.024528857471272134,0.05004128052684093,-0.27866727236096644,0.004774947537117435,0.07765544868510105,0.27866727236096644,0.11913678448523274,0.034591476314342194,False,True
18,loudness_sma3_meanFallingSlope,0.22197283464242878,0.025684996622746554,0.04927193931919503,0.2981880714726542,0.0024563434363985585,0.08891612596858073,0.2981880714726542,0.11913678448523274,0.02877380869797268,False,True
20,spectralFlux_sma3_amean,0.2203994627551306,0.02677886140698886,0.0485759231827502,0.0985585812849649,0.3268086149736826,0.009713793944905035,0.0985585812849649,0.11913678448523274,0.5869215942384504,False,False
12,loudness_sma3_percentile200,0.21985164906157734,0.02716890468658989,0.04833474759509496,0.10687023297050806,0.28745846152207294,0.011421246695170667,0.10687023297050806,0.11913678448523274,0.5499205350857048,False,False
53,F3frequency_sma3nz_stddevNorm,-0.21752025590064158,0.02888329622849266,0.0473150617270806,-0.32621614129114307,0.0008709932320547793,0.10641697083888302,0.32621614129114307,0.11913678448523274,0.019161851105205144,False,True
17,loudness_sma3_stddevRisingSlope,0.21634181946683526,0.029784196121308185,0.046803782850220736,0.38180631968613465,8.159024594198445e-05,0.14577606575227087,0.38180631968613465,0.11913678448523274,0.003589970821447316,False,True
66,spectralFluxV_sma3nz_amean,0.21401042630589948,0.03163673449451771,0.04580046256763283,0.1252998988150049,0.21184757713699148,0.015700064643050463,0.1252998988150049,0.12104489719641559,0.5335044373765718,False,False
86,StddevUnvoicedSegmentLength,-0.21214685260901459,0.03318667155103684,0.045006287071910955,-0.23491095961997516,0.018048051928787317,0.0551831589495776,0.23491095961997516,0.12168446235380176,0.09342520998431082,False,False
32,shimmerLocaldB_sma3nz_amean,-0.2085768788570519,0.03633483889334456,0.0435043143937493,-0.22119341747180643,0.026222023177738186,0.048926527932856845,0.22119341747180643,0.12789863290457285,0.12819655775783112,False,False
59,alphaRatioV_sma3nz_stddevNorm,0.20184386636768273,0.04295569503008576,0.04074094639025496,0.235094658187761,0.017955547048539848,0.055269498308420185,0.235094658187761,0.14538850625567487,0.09342520998431082,False,False
42,F1bandwidth_sma3nz_amean,0.1987926714931247,0.046271131061384474,0.0395185262393734,0.0569007974219488,0.5719471060605976,0.003237700747253655,0.0569007974219488,0.15080961234821605,0.7799528468496119,False,False
73,mfcc3V_sma3nz_stddevNorm,-0.18983018466952734,0.05725616237316561,0.036035499011666854,-0.2837159387119045,0.004038391818894516,0.08049473387917713,0.2837159387119045,0.17994793888709193,0.03230713455115613,False,True
84,StddevVoicedSegmentLengthSec,-0.18670273585298694,0.0615591590756835,0.034857911574990214,-0.2078135412823438,0.03703954820363002,0.043186467940308414,0.2078135412823438,0.18680020685034995,0.14815819281452008,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.1728224804627008,0.08394248875976613,0.029867609753280597,0.0069808680286552625,0.9447632205586869,4.8732518433501214e-05,0.0069808680286552625,0.24623130036198068,0.9556225679214304,False,False
58,alphaRatioV_sma3nz_amean,-0.16335039950556557,0.10263730680384126,0.026683353018627877,-0.10808299777221236,0.28199189023090565,0.011681934407428063,0.10808299777221236,0.28638613895387255,0.5499205350857048,False,False
43,F1bandwidth_sma3nz_stddevNorm,-0.16264970757195096,0.10414041416504456,0.026454927373241163,-0.24798325789260212,0.012406504525152056,0.06149569619502881,0.24798325789260212,0.28638613895387255,0.07278482654755873,False,False
62,slopeV0500_sma3nz_amean,-0.1597386510841159,0.11057025009605519,0.02551643665017292,-0.29105792360095767,0.0031480588077958064,0.0847147148909009,0.29105792360095767,0.29485400025614716,0.02877380869797268,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.14621529676535452,0.14456275182654862,0.02137891300818069,-0.20830972054407823,0.036580187171521256,0.04339293967315197,0.20830972054407823,0.3741624164922435,0.14815819281452008,False,False
