,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.3598104717129151,9.357783846164091e-07,0.12946357555427046,-0.4810716761639846,1.3978091758036044e-11,0.23142995760722568,0.4810716761639846,4.202264941074391e-05,1.2300720747071718e-09,True,True
53,F3frequency_sma3nz_stddevNorm,-0.35953653779173356,9.550602138805434e-07,0.12926652200726665,-0.3720404653448901,3.6916658064090165e-07,0.13841410785404237,0.3720404653448901,4.202264941074391e-05,4.640951299485621e-06,True,True
62,slopeV0500_sma3nz_amean,-0.3313953176271506,7.031178260800194e-06,0.10982285654520002,-0.429250497287192,2.774612169218828e-09,0.1842559894213016,0.429250497287192,0.00017802741404536278,1.2208293544562843e-07,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.3293067159580578,8.092155183880126e-06,0.10844291317508098,-0.31277361707928186,2.3748823600555987e-05,0.09782733554085724,0.31277361707928186,0.00017802741404536278,0.0001741580397374106,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.3179968281151842,1.701694463552859e-05,0.101121982691318,-0.32426751912225793,1.1310816089984065e-05,0.10514942395770391,0.32426751912225793,0.0002994982255853032,9.953518159185977e-05,True,True
73,mfcc3V_sma3nz_stddevNorm,-0.258775088370134,0.0005246647554152371,0.06696454636097067,-0.08450944401385654,0.264785373380873,0.0071418461275311535,0.08450944401385654,0.0076950830794234775,0.3761213921282321,True,False
19,loudness_sma3_stddevFallingSlope,0.25179959801430957,0.0007484663562397667,0.0634030375601679,0.42344143039004556,4.759097656188363e-09,0.1793026449707678,0.42344143039004556,0.009409291335585638,1.3960019791485864e-07,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.23635874040644564,0.0015875728053544856,0.055865454166521555,-0.21069487767074482,0.005002931384532327,0.044392331476690125,0.21069487767074482,0.01571618559644218,0.018344081743285202,True,True
17,loudness_sma3_stddevRisingSlope,0.23452442338992643,0.0017305257362412974,0.05500170516637747,0.38106650893343286,1.812389411073519e-07,0.14521168423071407,0.38106650893343286,0.01571618559644218,2.6581711362411614e-06,True,True
16,loudness_sma3_meanRisingSlope,0.23132274844615944,0.0020084299111013345,0.05351021394868516,0.3908091930544184,8.206087474780084e-08,0.15273182537584568,0.3908091930544184,0.01571618559644218,1.4442713955612948e-06,True,True
63,slopeV0500_sma3nz_stddevNorm,0.23004554598664229,0.002130190601468889,0.05292095322829235,0.20232062125127145,0.007084039488667241,0.040933633783500435,0.20232062125127145,0.01571618559644218,0.02367118599443479,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.22869436981001282,0.0022662745857814338,0.0523011147827989,-0.1220116991087346,0.10670822658081554,0.01488685471940039,0.1220116991087346,0.01571618559644218,0.19163926406350548,True,False
41,F1frequency_sma3nz_stddevNorm,-0.2281649953969279,0.0023217092358380495,0.05205926512448013,-0.25987749589610254,0.0004955719470416604,0.0675363128732288,0.25987749589610254,0.01571618559644218,0.0029073554226444077,True,True
66,spectralFluxV_sma3nz_amean,0.2250430733669226,0.0026744177961206244,0.05064438487043012,0.34001180186296354,3.894584466558994e-06,0.11560802540609917,0.34001180186296354,0.016810626147043924,3.808038145079905e-05,True,True
79,slopeUV5001500_sma3nz_amean,0.22166917836300354,0.003109581292107062,0.04913722463612907,0.23780056234910085,0.0014828659779410978,0.0565491074535486,0.23780056234910085,0.018242876913694767,0.006868010845200874,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.21771505201548483,0.0037003602123032073,0.047399843874105264,-0.02397797420909711,0.7520916776148672,0.0005749432471721262,0.02397797420909711,0.018369832774819742,0.8595333458455625,True,False
42,F1bandwidth_sma3nz_amean,0.21755092283064192,0.0037269364601877223,0.047328404024463915,0.15399740721706962,0.041286827599781875,0.023715201429579964,0.15399740721706962,0.018369832774819742,0.0956116007573896,True,False
11,loudness_sma3_stddevNorm,0.21736367685920135,0.003757465794849493,0.04724696801775131,0.2516394665923812,0.000754508789225537,0.06332242114689812,0.2516394665923812,0.018369832774819742,0.004149798340740454,True,True
54,F3bandwidth_sma3nz_amean,-0.21238547686540915,0.0046563608384712655,0.045107590783347244,-0.3632860670271869,7.212241095546039e-07,0.13197676649608173,0.3632860670271869,0.02156630283081428,7.933465205100643e-06,True,True
34,HNRdBACF_sma3nz_amean,0.20800715748382456,0.005601671349841921,0.04326697756450059,0.16780724609649095,0.026003359689699763,0.028159271842488277,0.16780724609649095,0.024647353939304454,0.06934229250586603,True,False
72,mfcc3V_sma3nz_amean,0.20397905741919356,0.006619273092921319,0.041607455865622665,0.24123764507817386,0.0012582104937607775,0.05819560140286298,0.24123764507817386,0.025810256007148407,0.006151251302830467,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.20291568523570414,0.006914037448955408,0.04117477531467536,0.19016752375818946,0.011471673431189796,0.03616368709232155,0.19016752375818946,0.025810256007148407,0.03481059523947248,True,True
18,loudness_sma3_meanFallingSlope,0.20274346517555203,0.006962860933648404,0.04110491267139028,0.4086625305055337,1.7947980992910662e-08,0.16700506383918626,0.4086625305055337,0.025810256007148407,3.9485558184403454e-07,True,True
67,spectralFluxV_sma3nz_stddevNorm,-0.20247646629034982,0.007039160729222292,0.04099671940142717,-0.15210281530458436,0.04388010370948899,0.023135266423580502,0.15210281530458436,0.025810256007148407,0.0990115160624367,True,False
59,alphaRatioV_sma3nz_stddevNorm,0.19736881229161107,0.008649271085166202,0.03895444806540121,0.17491211295086634,0.02024019176184702,0.030594247256936623,0.17491211295086634,0.03044543421978503,0.0593712291680846,True,False
69,mfcc1V_sma3nz_stddevNorm,-0.19539926207349595,0.009352471302959003,0.038180871618866755,-0.13722567745613184,0.06934988973779226,0.018830886553294332,0.13722567745613184,0.03165451825616893,0.1386997794755845,True,False
37,logRelF0H1H2_sma3nz_stddevNorm,-0.19092963138485083,0.011138801251115658,0.036454124140755016,-0.08762700410993245,0.24749876440003937,0.007678491849282118,0.08762700410993245,0.03431655969490699,0.36761643417871914,True,False
15,loudness_sma3_pctlrange02,0.1908984237229441,0.011152263234157751,0.036442208179904706,0.3163112704788522,1.896235854289507e-05,0.1000528198319456,0.3163112704788522,0.03431655969490699,0.00015169886834316056,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.19053780185202157,0.01130886626309435,0.03630465393460024,0.2017086238412954,0.007262750248292492,0.0406863689319492,0.2017086238412954,0.03431655969490699,0.02367118599443479,True,True
