,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
53,F3frequency_sma3nz_stddevNorm,-0.33704322723411895,9.350810485962893e-07,0.11359813702438994,-0.18657451632311461,0.00784539339113968,0.03481005014120416,0.18657451632311461,8.228713227647346e-05,0.03138157356455872,True,True
43,F1bandwidth_sma3nz_stddevNorm,-0.2960897888126661,1.8820750207984943e-05,0.08766916303912922,-0.22082800349948242,0.0015876899234858629,0.04876500712956742,0.22082800349948242,0.0005853219752343147,0.0077620396259308845,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.2925315947043828,2.39325089793514e-05,0.08557473390028927,-0.2543462535231994,0.0002594346245157737,0.06469201668128761,0.2543462535231994,0.0005853219752343147,0.0015220164638258724,True,True
62,slopeV0500_sma3nz_amean,-0.29094848861687583,2.660554432883249e-05,0.08465102302844432,-0.3578831229877431,1.702976931785922e-07,0.12808032971946007,0.3578831229877431,0.0005853219752343147,2.1408852856737304e-06,True,True
78,slopeUV0500_sma3nz_amean,-0.2551680469386907,0.0002473676144820598,0.06511073217850587,-0.41863896058288586,5.63938043374068e-10,0.17525857931791905,0.41863896058288586,0.004353670014884253,1.654218260563933e-08,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.235218582653022,0.0007523839192528649,0.05532778162529654,-0.0960163082428514,0.17404454518131668,0.009219131448586253,0.0960163082428514,0.01103496414904202,0.34808909036263336,True,False
11,loudness_sma3_stddevNorm,0.22254326227050164,0.0014559613695223975,0.04952550358199728,0.253109149943757,0.0002786365670374214,0.06406424178525126,0.253109149943757,0.01830351435971014,0.0015325011187058174,True,True
69,mfcc1V_sma3nz_stddevNorm,-0.21890787498910566,0.0017480071570874984,0.047920657732245915,-0.11377123954505712,0.10691899033437018,0.012943894947618769,0.11377123954505712,0.018825208845066582,0.24125310639550193,True,False
47,F2frequency_sma3nz_stddevNorm,-0.21583683697255435,0.0020353430902762385,0.046585540194317,-0.1141998692973118,0.105595528615075,0.013041610147523097,0.1141998692973118,0.018825208845066582,0.24125310639550193,True,False
19,loudness_sma3_stddevFallingSlope,0.21482324341051448,0.002139228277848475,0.04614902590941315,0.44346334884410044,3.8512011947481336e-11,0.1966597417680243,0.44346334884410044,0.018825208845066582,3.3890570513783577e-09,True,True
17,loudness_sma3_stddevRisingSlope,0.20506159151997966,0.0034163150799994164,0.042050256316706995,0.40595440464162,2.04746205532706e-09,0.16479897864793216,0.40595440464162,0.02733052063999533,3.6035332173756254e-08,True,True
16,loudness_sma3_meanRisingSlope,0.2029658356697709,0.003767504246969986,0.04119513044912844,0.414302862158307,8.816422041766169e-10,0.17164686159256512,0.414302862158307,0.0276283644777799,1.9396128491885573e-08,True,True
54,F3bandwidth_sma3nz_amean,-0.20036519269573005,0.0042484076115506435,0.040146210443997035,-0.1416734487916963,0.04430241628656022,0.020071366092533394,0.1416734487916963,0.027951274989280937,0.13916972423533727,True,False
41,F1frequency_sma3nz_stddevNorm,-0.1993690064333726,0.0044467937482946945,0.039748000726230165,-0.13017213935519675,0.06482302109810026,0.016944785864308764,0.13017213935519675,0.027951274989280937,0.17826330801977572,True,False
66,spectralFluxV_sma3nz_amean,0.19597112025511812,0.005187677220749127,0.038404679974045966,0.3680283082490341,7.103700440622732e-08,0.13544483567264606,0.3680283082490341,0.03043437302839488,1.0418760646246674e-06,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.1925022105354093,0.006056431430151942,0.03705710106101905,-0.01035899248952317,0.8836694126251324,0.00010730872539799743,0.01035899248952317,0.030775035728269576,0.9369025097712247,True,False
73,mfcc3V_sma3nz_stddevNorm,-0.19235260550106567,0.006096665828504776,0.0369995248430486,-0.0809302540938758,0.25221907298020735,0.006549706027699301,0.0809302540938758,0.030775035728269576,0.47223996643102656,True,False
72,mfcc3V_sma3nz_amean,0.191628167904491,0.006294893671691505,0.03672135473443179,0.2795479978650899,5.599333776954141e-05,0.0781470831103803,0.2795479978650899,0.030775035728269576,0.0004106178103099704,True,True
79,slopeUV5001500_sma3nz_amean,0.18782422516376104,0.007433279063069095,0.03527793955836721,0.12024420208213554,0.08827357595881234,0.014458668134369449,0.12024420208213554,0.034427818818425285,0.22194499098215675,True,False
