,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.4425408161035544,0.0003993674738528572,0.19584237391759995,-0.5852398001357451,9.055907445196638e-07,0.3425056236629268,0.5852398001357451,0.03514433769905143,3.98459927588652e-05,True,True
13,loudness_sma3_percentile500,0.35863902568986933,0.0048954773901175785,0.12862195074777874,0.5858026907564311,8.788544632199382e-07,0.34316479249747484,0.5858026907564311,0.10118730823100228,3.98459927588652e-05,False,True
12,loudness_sma3_percentile200,0.34522268124576083,0.0069041939807300366,0.11917869964651219,0.5723857322431698,1.7684814419075573e-06,0.32762542647554965,0.5723857322431698,0.10118730823100228,5.187545562928835e-05,False,True
10,loudness_sma3_amean,0.33628790640454687,0.008612304693714516,0.11308955599395328,0.5553583175981619,4.1132314194443836e-06,0.30842286092546084,0.5553583175981619,0.10118730823100228,9.049109122777643e-05,False,True
18,loudness_sma3_meanFallingSlope,0.33197652298910396,0.00956062275670171,0.11020841181593508,0.5316306199420981,1.2373295293745465e-05,0.2826311160600196,0.5316306199420981,0.10118730823100228,0.000144136735914231,False,True
87,equivalentSoundLevel_dBp,0.32826079122974194,0.01044938589082804,0.10775514705877623,0.455806264849745,0.00025243801387255026,0.20775935107627588,0.455806264849745,0.10118730823100228,0.002019504110980402,False,True
20,spectralFlux_sma3_amean,0.3255661765950902,0.011137882471201949,0.10599333534274545,0.46648481928324914,0.00017210311683645842,0.21760808662172562,0.46648481928324914,0.10118730823100228,0.0015145074281608343,False,True
14,loudness_sma3_percentile800,0.32352394234566983,0.01168550386522959,0.1046677412708843,0.5502972866157712,5.2394386760297955e-06,0.3028271036566802,0.5502972866157712,0.10118730823100228,9.221412069812441e-05,False,True
16,loudness_sma3_meanRisingSlope,0.32321193433534173,0.011771183497963722,0.10446595449679326,0.5364366699720801,9.965900275613246e-06,0.28776430089073435,0.5364366699720801,0.10118730823100228,0.000144136735914231,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.3183048992638179,0.013191799977431997,0.10131800889534925,-0.2681952714682363,0.03827901772908422,0.07192870363792096,0.2681952714682363,0.10118730823100228,0.10354647208969903,False,False
66,spectralFluxV_sma3nz_amean,0.3172554177745324,0.013514090810915839,0.10065100010729311,0.47899511264664074,0.00010809441863076505,0.22943631793936806,0.47899511264664074,0.10118730823100228,0.0010569232043897026,False,True
19,loudness_sma3_stddevFallingSlope,0.3163477581081234,0.013798269304227583,0.10007590406003573,0.4240455621698302,0.0007344412419191485,0.17981463879592732,0.4240455621698302,0.10118730823100228,0.005385902440740423,False,True
76,alphaRatioUV_sma3nz_amean,0.3019953896330306,0.019022956368215993,0.09120121535960594,0.3301978222119906,0.009977524829863312,0.10903060179354136,0.3301978222119906,0.1287707815694621,0.04511447491608625,False,True
77,hammarbergIndexUV_sma3nz_amean,-0.2923798700420099,0.02339587137277616,0.08548598840578259,-0.3729355107913175,0.003339266641429128,0.13908089520918088,0.3729355107913175,0.14117823840718105,0.019590364296384218,False,True
15,loudness_sma3_pctlrange02,0.2910467449069716,0.024064472455769495,0.08470820772094378,0.5303448756100044,1.3103339628566456e-05,0.2812656870857911,0.5303448756100044,0.14117823840718105,0.000144136735914231,False,True
83,MeanVoicedSegmentLengthSec,0.28095436575475696,0.029668453885166837,0.07893535563665775,0.3290563851182661,0.010253289753655966,0.10827810458710067,0.3290563851182661,0.1631764963684176,0.04511447491608625,False,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.273602660693173,0.03440609065155126,0.07485841593838356,-0.3959078646174528,0.0017409625395258727,0.15674303726595135,0.3959078646174528,0.17182366984724307,0.010943193105591201,False,True
17,loudness_sma3_stddevRisingSlope,0.2722128068289842,0.03536898584211544,0.07409981220171385,0.4116099106823465,0.001085456055300809,0.16942271857192925,0.4116099106823465,0.17182366984724307,0.007347702528190091,False,True
