,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.4508731459973947,0.0002086135652132879,0.203286593781588,-0.34553995518075004,0.005542090675811023,0.11939786062631474,0.34553995518075004,0.018357993738769333,0.03334890631400236,True,True
13,loudness_sma3_percentile500,0.3432132809176082,0.005890651290869101,0.11779535619822906,0.5873404385820611,4.1912680381653295e-07,0.34496879079376785,0.5873404385820611,0.10696341937611088,3.68831587358549e-05,False,True
12,loudness_sma3_percentile200,0.33013242359050793,0.008231996951159172,0.10898741710574256,0.5744060311901676,8.543801889539376e-07,0.32994228866763986,0.5744060311901676,0.10696341937611088,3.759272831397325e-05,False,True
10,loudness_sma3_amean,0.3232735470894066,0.009757195643901338,0.10450578624776678,0.5574218583900594,2.0807877167763273e-06,0.3107191282110275,0.5574218583900594,0.10696341937611088,5.907014918353319e-05,False,True
18,loudness_sma3_meanFallingSlope,0.3154838230631558,0.011781868197107723,0.09953004261454461,0.534290073056014,6.479952740508516e-06,0.2854658821662007,0.534290073056014,0.10696341937611088,8.732382076828171e-05,False,True
87,equivalentSoundLevel_dBp,0.31435700763797486,0.012102923951357463,0.09882032825110179,0.4388519256423822,0.0003208103011654789,0.19259101264002693,0.4388519256423822,0.10696341937611088,0.0028231306502562144,False,True
16,loudness_sma3_meanRisingSlope,0.31408755177543163,0.012180808814586603,0.09865099018028445,0.5390202361924524,5.171906446779224e-06,0.2905428150249672,0.5390202361924524,0.10696341937611088,8.732382076828171e-05,False,True
20,spectralFlux_sma3_amean,0.3131812002377862,0.012445971720240855,0.09808246418238031,0.47089695796256315,9.822782873990243e-05,0.22174394501839595,0.47089695796256315,0.10696341937611088,0.0009604498810123793,False,True
14,loudness_sma3_percentile800,0.3114664811125108,0.012961287238675605,0.09701136885661005,0.5523787460861052,2.6850067810696905e-06,0.3051222791276578,0.5523787460861052,0.10696341937611088,5.907014918353319e-05,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.30879641847458206,0.01380033218481413,0.0953552280627292,-0.24820574603492654,0.04982848777594351,0.06160609236475445,0.24820574603492654,0.10696341937611088,0.13702834138384465,False,False
19,loudness_sma3_stddevFallingSlope,0.3065917795992281,0.014527969363766617,0.09399851931782167,0.42921135074072664,0.0004479475433477796,0.18422238360467907,0.42921135074072664,0.10696341937611088,0.003583580346782237,False,True
66,spectralFluxV_sma3nz_amean,0.30642030768670053,0.014585920824015119,0.09389340496281222,0.4831523380746313,6.050912458613766e-05,0.23343618178698283,0.4831523380746313,0.10696341937611088,0.0006656003704475142,False,True
76,alphaRatioUV_sma3nz_amean,0.30267242159859875,0.015903141371225542,0.09161059479635991,0.3389282647057469,0.006583264427579363,0.11487236861644883,0.3389282647057469,0.10765203389752674,0.03620795435168649,False,True
77,hammarbergIndexUV_sma3nz_amean,-0.29831213582289867,0.017562738243311535,0.08899013037921955,-0.38061175436701883,0.002089312666720359,0.14486530756233987,0.38061175436701883,0.11039435467224394,0.014143039590107044,False,True
